,T2M,Rain,Humidity
20150101,11.12,0.0,71.91
20150102,11.48,0.0,78.09
20150103,11.44,0.55,86.58
20150104,10.58,4.72,92.62
20150105,9.04,0.55,91.45
20150106,9.21,0.01,86.45
20150107,8.57,0.0,90.56
20150108,8.55,0.01,82.01
20150109,7.59,0.01,68.93
20150110,8.25,0.01,70.72
20150111,8.22,0.0,71.34
20150112,8.08,0.0,80.64
20150113,9.13,0.0,78.95
20150114,8.61,0.0,81.8
20150115,8.89,0.0,78.15
20150116,8.63,0.0,77.36
20150117,8.51,0.01,76.83
20150118,8.35,0.01,77.53
20150119,7.95,0.0,84.63
20150120,8.44,0.0,82.88
20150121,9.18,0.0,73.06
20150122,9.02,0.0,81.22
20150123,9.27,0.07,87.91
20150124,8.67,0.0,85.61
20150125,9.28,0.0,87.01
20150126,9.22,0.0,82.92
20150127,8.92,0.0,81.9
20150128,9.04,0.0,83.89
20150129,8.91,0.34,79.19
20150130,6.7,0.23,87.17
20150131,6.21,0.03,77.5
20150201,7.33,0.0,72.56
20150202,8.72,0.0,67.97
20150203,9.76,0.0,67.35
20150204,9.26,0.0,79.11
20150205,8.89,0.0,75.99
20150206,8.01,0.0,78.15
20150207,8.2,0.0,80.32
20150208,8.43,0.0,83.26
20150209,8.79,0.0,83.28
20150210,9.12,0.02,84.43
20150211,9.58,0.01,79.68
20150212,9.13,0.48,79.14
20150213,8.08,0.49,79.1
20150214,7.71,0.25,82.31
20150215,8.04,0.0,83.42
20150216,9.2,0.0,81.83
20150217,10.78,0.03,75.01
20150218,10.17,0.36,81.23
20150219,8.39,0.75,93.96
20150220,9.67,0.14,85.06
20150221,10.33,1.78,91.13
20150222,11.45,0.18,82.27
20150223,11.82,0.0,82.05
20150224,12.38,0.0,86.63
20150225,12.42,1.57,87.2
20150226,12.63,3.93,89.41
20150227,12.44,0.52,88.06
20150228,12.74,0.03,79.95
20150301,13.24,0.0,81.41
20150302,13.15,0.07,81.78
20150303,12.76,0.38,79.31
20150304,11.14,1.76,80.62
20150305,8.93,0.34,82.04
20150306,8.95,2.92,70.84
20150307,9.75,0.34,79.33
20150308,10.97,0.0,76.64
20150309,12.6,0.0,71.5
20150310,12.65,0.06,63.2
20150311,12.57,0.01,65.49
20150312,13.68,0.0,65.42
