,T2M,Rain,Humidity
20150101,14.46,0.0,59.17
20150102,15.88,0.02,77.01
20150103,15.94,1.98,86.03
20150104,14.68,6.44,91.09
20150105,11.86,0.45,86.76
20150106,10.51,0.0,80.51
20150107,11.06,0.0,83.76
20150108,11.14,0.01,79.11
20150109,11.17,0.03,76.41
20150110,11.5,0.0,74.82
20150111,11.47,0.0,74.89
20150112,10.97,0.0,83.74
20150113,11.98,0.0,78.07
20150114,13.13,0.0,77.58
20150115,13.34,0.0,79.0
20150116,12.96,0.05,69.0
20150117,13.28,1.82,69.22
20150118,11.26,0.52,81.22
20150119,11.17,0.0,74.47
20150120,11.89,0.0,77.88
20150121,11.59,0.0,85.72
20150122,13.03,0.0,80.56
20150123,12.58,0.0,79.89
20150124,11.57,0.0,73.27
20150125,11.15,0.0,72.86
20150126,11.71,0.0,60.13
20150127,12.55,0.0,65.03
20150128,12.31,0.0,83.12
20150129,12.14,0.0,77.17
20150130,10.68,0.56,84.68
20150131,9.46,0.0,62.64
20150201,11.04,0.0,60.28
20150202,12.06,0.0,64.99
20150203,13.79,0.0,64.14
20150204,11.95,0.0,73.2
20150205,12.2,0.0,66.61
20150206,11.18,0.0,54.81
20150207,12.04,0.0,50.01
20150208,12.51,0.0,61.64
20150209,12.28,0.0,68.13
20150210,12.6,0.0,72.83
20150211,12.47,0.0,61.37
20150212,11.77,0.0,57.65
20150213,11.0,0.0,70.57
20150214,11.58,0.35,69.92
20150215,11.83,0.01,68.74
20150216,13.28,0.0,68.58
20150217,14.6,0.61,68.03
20150218,13.9,7.94,70.63
20150219,12.91,5.04,81.41
20150220,13.98,0.01,80.42
20150221,14.07,5.54,81.91
20150222,14.24,0.21,80.98
20150223,15.39,0.0,77.22
20150224,15.99,0.0,75.09
20150225,16.43,0.0,76.91
20150226,15.49,6.66,86.81
20150227,15.58,0.04,85.17
20150228,16.37,0.0,78.5
20150301,18.67,0.0,69.75
20150302,17.76,0.02,78.9
20150303,15.78,0.09,73.58
20150304,14.16,4.86,80.09
20150305,13.29,0.09,73.24
20150306,12.81,0.0,54.4
20150307,13.37,0.0,60.73
20150308,14.47,0.0,60.19
20150309,16.38,0.0,55.79
20150310,15.35,0.0,53.95
20150311,15.48,0.0,46.8
20150312,17.02,0.0,43.89
20150313,15.82,0.0,50.84
20150314,16.5,0.0,61.93
20150315,17.14,0.0,64.5
20150316,17.19,0.0,64.65
20150317,16.71,0.0,71.23
20150318,16.48,0.0,70.06
20150319,15.74,0.0,62.78
20150320,16.54,0.0,45.62
20150321,18.08,0.0,54.49
20150322,19.24,0.0,46.16
20150323,19.91,0.0,53.41
20150324,19.8,0.0,60.23
20150325,20.13,0.04,63.26
20150326,19.3,0.03,69.88
20150327,17.56,15.94,79.63
20150328,16.99,2.94,87.74
20150329,18.58,0.17,80.67
20150330,18.0,6.49,84.09
20150331,17.36,1.49,86.37
20150401,17.76,9.64,82.67
20150402,18.14,24.72,88.86
20150403,18.91,16.12,85.77
20150404,19.22,30.79,88.6
20150405,18.49,28.7,88.77
20150406,17.6,3.99,83.24
20150407,18.99,0.01,71.55
20150408,18.39,4.21,83.43
20150409,17.68,3.49,85.84
20150410,17.78,0.55,83.21
20150411,18.49,8.06,79.28
20150412,19.09,0.3,76.48
20150413,18.93,0.12,78.31
20150414,20.1,0.0,70.5
20150415,20.06,0.0,68.97
20150416,18.97,0.0,77.95
20150417,18.43,0.88,79.84
20150418,18.43,39.71,87.36
20150419,19.19,32.5,84.65
20150420,19.47,24.97,82.92
20150421,20.05,32.53,91.47
20150422,20.71,22.86,89.12
20150423,20.3,21.05,90.28
20150424,18.47,12.41,90.54
20150425,18.53,5.65,79.4
20150426,17.23,0.28,87.1
20150427,18.34,0.11,78.74
20150428,19.0,9.05,79.59
20150429,18.28,13.3,85.42
20150430,19.18,9.05,81.15
20150501,19.12,13.65,86.8
20150502,19.64,15.78,90.63
20150503,20.21,6.48,88.04
20150504,20.31,6.15,83.94
20150505,19.7,11.89,82.71
20150506,20.32,4.21,84.76
20150507,20.44,7.61,82.65
20150508,19.3,3.91,85.71
20150509,20.82,1.08,75.83
20150510,20.63,32.79,87.77
20150511,20.29,2.64,88.57
20150512,19.5,3.38,92.1
20150513,20.71,10.22,85.68
20150514,21.03,41.88,90.99
20150515,21.51,20.83,91.93
20150516,20.47,14.74,93.82
20150517,19.53,12.17,91.0
20150518,20.39,3.12,87.88
20150519,21.43,0.0,84.21
20150520,22.44,0.03,83.38
20150521,22.41,10.56,87.32
20150522,22.12,7.85,86.09
20150523,22.02,16.43,87.98
20150524,21.84,20.11,90.15
20150525,21.4,28.1,90.76
20150526,21.3,20.52,87.52
20150527,21.03,28.84,92.21
20150528,21.81,26.04,91.01
20150529,22.19,22.62,89.72
20150530,22.54,35.74,90.26
20150531,22.04,24.99,91.86
20150601,21.99,14.31,93.82
20150602,22.04,8.65,92.36
20150603,22.19,17.84,91.8
20150604,22.09,3.18,92.48
20150605,21.7,0.19,92.08
20150606,22.23,6.76,92.29
20150607,22.13,9.97,93.79
20150608,22.61,11.18,92.15
20150609,22.63,33.25,92.92
20150610,22.36,94.39,94.03
20150611,21.61,75.47,95.02
20150612,21.25,35.46,95.24
20150613,21.08,35.98,94.41
20150614,21.31,10.13,93.61
20150615,21.44,16.22,93.15
20150616,21.29,23.12,94.31
20150617,21.59,10.92,92.67
20150618,21.39,12.45,92.16
20150619,23.4,1.72,83.9
20150620,22.44,7.31,92.42
20150621,21.59,4.86,93.1
20150622,22.52,12.78,91.76
20150623,22.89,18.04,92.99
20150624,23.37,8.37,93.35
20150625,23.86,16.82,90.76
20150626,22.68,16.52,94.87
20150627,22.21,10.97,93.15
20150628,21.84,5.19,92.02
20150629,22.21,5.06,91.23
20150630,22.34,2.48,91.36
20150701,22.8,1.18,90.27
20150702,22.88,6.65,90.52
20150703,22.57,8.93,93.58
20150704,23.02,10.12,92.08
20150705,22.77,13.49,93.28
20150706,22.88,6.28,94.84
20150707,22.17,16.27,95.31
20150708,22.6,6.76,89.57
20150709,21.68,6.5,94.43
20150710,22.28,18.83,90.26
20150711,21.72,10.33,92.48
20150712,22.4,7.4,91.17
20150713,23.52,27.94,91.71
20150714,23.36,42.67,94.22
20150715,22.44,52.57,96.0
20150716,22.29,17.2,95.62
20150717,21.85,7.85,90.16
20150718,21.39,10.34,93.49
20150719,21.29,30.58,93.51
20150720,21.01,27.42,92.27
20150721,22.21,17.62,90.77
20150722,21.77,15.78,95.25
20150723,22.0,17.13,94.82
20150724,21.85,40.66,94.68
20150725,21.43,4.07,92.29
20150726,21.59,0.13,90.76
20150727,21.4,0.18,90.51
20150728,21.83,0.06,90.28
20150729,21.97,0.04,89.34
20150730,21.19,6.72,90.6
20150731,20.71,20.85,94.45
20150801,21.13,17.3,93.38
20150802,21.06,3.12,92.04
20150803,20.89,6.59,92.26
20150804,21.65,19.78,92.81
20150805,21.38,4.25,93.76
20150806,22.16,7.39,90.65
20150807,22.87,12.66,89.97
20150808,22.46,10.37,91.63
20150809,23.61,17.19,88.1
20150810,22.31,10.26,91.55
20150811,22.98,5.7,88.68
20150812,23.18,9.26,89.57
20150813,22.79,9.22,89.9
20150814,22.54,10.16,92.53
20150815,22.38,9.25,95.31
20150816,22.51,5.12,93.4
20150817,22.43,16.83,93.05
20150818,21.71,34.26,95.67
20150819,22.67,46.76,94.78
20150820,22.34,45.9,95.83
20150821,21.66,17.22,94.09
20150822,21.98,6.54,92.44
20150823,21.39,5.43,94.74
20150824,22.03,4.34,93.52
20150825,22.44,1.78,92.9
20150826,22.69,1.4,91.12
20150827,22.04,32.58,94.47
20150828,21.77,15.65,91.87
20150829,21.95,25.69,95.24
20150830,22.25,58.52,95.46
20150831,21.76,77.73,96.95
20150901,21.38,22.26,94.71
20150902,21.82,13.34,91.7
20150903,21.33,40.32,95.15
20150904,20.52,25.26,95.8
20150905,21.29,6.89,94.35
20150906,21.54,1.67,91.0
20150907,21.21,3.0,93.44
20150908,21.6,19.59,91.52
20150909,22.11,3.32,86.8
20150910,22.14,8.67,92.38
20150911,22.39,24.2,89.23
20150912,23.11,6.73,88.53
20150913,22.72,4.72,90.9
20150914,21.92,32.6,92.59
20150915,21.82,20.11,91.62
20150916,22.46,1.16,89.06
20150917,23.69,0.0,83.77
