,T2M,Rain,Humidity
20150101,26.12,1.48,79.47
20150102,26.4,0.0,67.16
20150103,26.8,0.0,65.24
20150104,26.71,0.0,73.08
20150105,27.43,0.0,73.17
20150106,27.33,0.0,72.93
20150107,26.97,0.0,74.95
20150108,27.29,0.0,73.26
20150109,26.62,0.0,77.94
20150110,27.16,0.0,69.1
20150111,26.78,0.0,56.31
20150112,25.85,0.0,58.52
20150113,25.73,0.0,58.96
20150114,25.67,0.0,64.07
20150115,26.2,0.0,66.55
20150116,26.99,0.0,65.68
20150117,27.28,0.0,67.3
20150118,27.79,0.0,67.31
20150119,27.63,0.0,65.51
20150120,27.12,0.0,68.04
20150121,26.96,0.53,65.1
20150122,27.21,1.9,60.66
20150123,27.08,0.01,63.68
20150124,27.5,0.06,67.17
20150125,27.82,0.03,67.21
20150126,27.64,0.06,58.83
20150127,27.51,0.0,61.55
20150128,28.09,0.0,63.33
20150129,28.06,0.0,66.14
20150130,28.35,0.0,63.47
20150131,28.9,0.0,59.28
20150201,28.21,0.0,59.48
20150202,28.46,0.0,54.44
20150203,28.1,0.0,52.93
20150204,28.71,0.0,52.01
20150205,28.87,0.0,56.3
20150206,28.75,0.19,56.16
20150207,28.29,0.99,62.55
20150208,28.14,0.03,59.08
20150209,28.63,0.0,55.58
20150210,28.81,0.0,52.29
20150211,29.29,0.0,55.28
20150212,29.61,0.17,58.32
20150213,28.93,0.71,65.79
20150214,29.01,0.01,64.9
20150215,29.06,0.0,64.47
20150216,29.53,0.0,55.95
20150217,28.01,0.0,66.87
20150218,28.16,0.0,63.38
20150219,28.29,0.0,65.98
20150220,29.44,0.0,53.53
20150221,28.93,0.0,46.71
20150222,29.01,0.0,43.77
20150223,28.73,0.0,44.29
20150224,29.21,0.0,48.37
20150225,29.18,0.0,57.46
20150226,29.0,0.0,63.45
20150227,28.56,0.08,69.1
20150228,28.6,0.11,68.25
20150301,28.99,0.15,67.45
20150302,28.56,1.89,69.89
20150303,28.86,1.86,70.7
20150304,28.75,0.51,70.18
20150305,29.42,0.19,67.98
20150306,28.97,5.37,71.82
20150307,28.64,4.64,74.6
20150308,28.85,5.05,68.97
20150309,28.31,4.05,71.92
20150310,28.87,0.32,67.1
20150311,29.07,0.08,61.47
20150312,29.52,0.12,62.74
20150313,29.61,0.89,64.74
20150314,29.79,1.97,60.7
20150315,29.74,3.33,64.83
20150316,28.71,8.47,71.67
20150317,28.57,2.72,73.01
20150318,28.74,0.0,72.74
20150319,28.91,0.0,71.26
20150320,29.62,0.0,67.09
20150321,29.94,0.0,61.49
20150322,30.28,0.0,62.16
20150323,30.31,0.0,66.35
20150324,30.2,0.0,68.16
20150325,29.91,0.0,67.37
20150326,30.59,0.0,60.94
20150327,30.06,0.11,61.03
20150328,30.3,0.38,61.94
20150329,30.13,0.42,65.09
20150330,30.07,0.58,66.01
20150331,29.35,5.28,70.26
20150401,29.15,4.95,72.91
20150402,28.71,2.57,74.89
20150403,29.36,0.3,73.26
20150404,29.65,0.47,72.73
20150405,29.16,0.22,75.13
20150406,29.0,4.6,76.89
20150407,29.26,8.27,75.97
20150408,28.51,8.24,78.12
20150409,29.21,7.65,71.0
20150410,28.51,11.01,79.71
20150411,28.02,2.76,80.95
20150412,28.28,2.12,76.96
20150413,28.48,3.41,73.99
20150414,28.11,9.38,75.3
20150415,27.72,10.22,78.55
20150416,28.29,5.21,77.5
20150417,27.96,4.36,79.6
20150418,28.72,1.67,74.15
20150419,29.0,0.6,73.44
20150420,29.46,1.11,72.36
20150421,28.72,20.04,76.49
20150422,27.51,16.0,84.78
20150423,27.71,2.5,84.77
20150424,28.4,5.69,83.13
20150425,28.38,9.88,73.03
20150426,28.86,2.81,67.63
20150427,29.25,1.7,71.88
20150428,28.92,0.26,76.17
20150429,28.96,2.5,77.86
20150430,28.3,2.17,83.08
20150501,28.63,0.31,78.6
20150502,28.32,0.34,79.58
20150503,28.79,0.2,75.98
20150504,28.61,1.66,80.09
20150505,28.34,2.28,81.3
20150506,28.34,1.64,80.18
20150507,28.46,6.21,80.94
20150508,28.32,6.0,84.03
20150509,28.17,9.72,85.71
20150510,28.73,3.77,81.15
20150511,28.78,7.65,75.64
20150512,27.91,15.43,79.54
20150513,28.07,19.62,80.61
20150514,28.18,4.1,80.28
20150515,28.23,19.14,85.9
20150516,27.67,10.67,87.39
20150517,26.95,33.31,91.08
20150518,27.69,20.14,85.18
20150519,27.98,11.93,83.71
20150520,28.13,7.61,85.21
20150521,28.53,1.18,85.7
20150522,28.66,0.42,82.91
20150523,28.18,7.06,85.99
20150524,28.05,2.56,80.74
20150525,28.47,0.45,83.55
20150526,28.44,0.68,84.74
20150527,28.57,3.11,84.7
20150528,27.36,2.66,77.29
20150529,28.23,2.12,82.51
20150530,28.5,10.88,82.91
20150531,28.01,14.98,85.8
20150601,27.46,7.42,84.23
20150602,27.57,8.36,83.63
20150603,27.17,2.62,85.62
20150604,27.15,4.48,85.22
20150605,26.7,10.36,87.21
20150606,27.87,3.26,82.38
20150607,28.07,23.31,86.72
20150608,26.94,12.84,83.16
20150609,27.12,3.05,81.69
20150610,27.23,6.92,85.3
20150611,27.13,21.39,85.99
20150612,26.49,21.66,86.01
20150613,26.82,11.96,86.35
20150614,27.17,6.64,84.21
20150615,27.12,15.6,84.69
20150616,27.55,15.56,81.33
20150617,27.12,16.88,81.17
20150618,27.51,20.49,85.26
20150619,27.49,15.9,90.0
20150620,27.67,6.15,88.92
20150621,27.42,12.04,90.73
20150622,27.57,5.81,89.52
20150623,27.59,8.21,87.3
20150624,27.53,5.96,87.84
20150625,27.57,18.77,89.43
20150626,27.23,48.83,83.97
20150627,27.24,26.14,87.44
20150628,27.37,19.91,88.47
20150629,27.13,29.62,90.25
20150630,26.88,5.1,89.37
20150701,27.01,3.49,88.71
20150702,27.32,2.63,85.39
20150703,27.13,3.96,88.35
20150704,27.25,8.08,88.64
20150705,27.15,3.95,87.27
20150706,27.11,0.65,85.63
20150707,27.0,2.0,85.03
20150708,27.02,4.82,84.72
20150709,27.03,7.93,87.12
20150710,27.06,16.25,88.96
20150711,27.05,11.82,90.81
20150712,26.97,1.24,89.98
20150713,26.98,4.05,88.23
20150714,26.98,10.59,90.75
20150715,26.54,14.53,92.07
20150716,26.72,16.42,90.51
20150717,26.26,21.23,89.01
20150718,26.45,26.68,89.68
20150719,26.0,15.65,87.78
20150720,26.11,19.24,89.14
20150721,26.47,8.1,90.18
20150722,25.95,10.23,92.05
20150723,25.95,8.67,90.27
20150724,25.74,2.76,87.64
20150725,25.56,2.0,86.55
20150726,25.52,1.94,84.67
20150727,26.27,0.22,84.97
20150728,26.07,0.73,87.74
20150729,26.44,0.95,87.24
20150730,26.27,0.08,86.42
20150731,26.59,0.36,85.8
20150801,26.58,1.68,88.69
