,T2M,Rain,Humidity
20150101,13.81,0.0,33.42
20150102,15.27,2.54,48.72
20150103,14.51,0.86,66.65
20150104,13.18,0.0,49.86
20150105,12.08,0.0,45.0
20150106,13.19,0.0,50.62
20150107,13.28,0.0,49.73
20150108,13.14,0.0,38.77
20150109,13.13,0.0,30.95
20150110,11.53,0.0,31.13
20150111,12.96,0.0,25.94
20150112,14.57,0.0,24.68
20150113,13.57,0.14,37.11
20150114,12.14,4.14,55.01
20150115,11.32,0.1,72.61
20150116,12.96,0.0,63.23
20150117,13.58,0.0,52.6
20150118,13.93,0.0,43.65
20150119,15.17,0.0,36.8
20150120,12.47,0.0,38.09
20150121,12.74,0.73,43.4
20150122,12.75,6.8,75.4
20150123,13.0,0.05,71.45
20150124,12.61,0.0,59.31
20150125,12.6,0.0,49.2
20150126,12.48,0.09,48.69
20150127,10.38,0.16,51.67
20150128,9.68,0.0,52.6
20150129,10.25,0.0,40.55
20150130,11.19,0.0,38.49
20150131,13.9,0.0,34.6
20150201,14.32,0.0,37.53
20150202,14.94,6.7,46.18
20150203,13.93,1.17,70.33
20150204,13.19,0.08,68.97
20150205,13.33,0.0,53.92
20150206,14.28,0.0,44.43
20150207,14.48,0.0,49.07
20150208,15.7,0.0,50.66
20150209,15.14,0.01,52.81
20150210,15.31,0.0,42.13
20150211,15.54,0.0,36.72
20150212,15.4,0.0,31.78
20150213,17.74,0.0,29.16
20150214,20.5,0.0,32.86
20150215,21.24,0.0,28.51
20150216,20.08,0.11,29.14
20150217,19.56,0.19,44.05
20150218,20.3,0.0,39.27
20150219,20.44,0.01,38.11
20150220,21.24,1.07,42.94
20150221,20.61,0.35,47.39
20150222,21.06,0.0,46.37
20150223,21.64,0.0,38.97
20150224,21.52,0.0,34.15
20150225,19.84,2.6,34.66
20150226,14.84,0.0,22.15
20150227,15.94,0.02,22.72
20150228,15.67,0.01,34.64
20150301,16.07,34.98,79.89
20150302,16.32,5.32,76.68
20150303,15.92,0.79,59.2
20150304,16.65,0.03,49.28
20150305,17.53,0.19,47.03
20150306,17.2,0.84,65.61
20150307,17.86,7.39,64.98
20150308,17.12,1.42,62.55
20150309,13.95,0.0,54.66
20150310,16.15,0.0,49.65
20150311,18.46,0.0,40.96
20150312,19.32,0.0,43.54
20150313,21.29,0.05,44.31
20150314,20.25,0.71,62.43
20150315,18.71,15.15,74.91
20150316,19.03,7.94,70.95
20150317,19.03,0.0,59.79
20150318,18.65,0.0,59.17
20150319,21.23,0.0,44.84
20150320,23.25,0.0,37.59
20150321,24.16,0.0,43.54
20150322,23.85,0.0,52.24
20150323,24.56,0.0,48.84
20150324,27.31,0.0,32.87
20150325,26.74,0.0,38.83
20150326,26.11,0.0,45.7
20150327,27.46,0.0,38.66
20150328,27.82,0.0,31.68
20150329,23.12,4.55,52.83
20150330,22.53,1.94,66.76
20150331,23.96,0.0,58.93
20150401,25.8,0.01,51.35
20150402,25.5,0.03,50.48
20150403,23.19,29.36,65.72
20150404,22.67,10.19,62.61
20150405,23.51,0.01,51.48
20150406,24.35,0.87,48.03
20150407,23.69,1.78,54.0
20150408,23.51,0.27,54.11
20150409,23.96,0.0,51.04
20150410,25.8,0.0,45.41
20150411,28.35,2.3,37.82
20150412,25.63,0.76,53.55
20150413,26.05,0.11,51.24
20150414,25.64,0.07,59.01
20150415,26.69,5.78,54.49
20150416,27.12,1.71,53.66
20150417,27.31,7.54,49.76
20150418,29.04,0.0,45.64
20150419,30.59,0.0,42.57
20150420,30.61,0.0,36.31
20150421,28.7,0.0,41.93
20150422,29.11,0.0,35.13
20150423,31.19,0.0,25.43
20150424,31.35,0.0,26.71
20150425,31.89,0.0,25.95
20150426,28.99,0.0,37.75
20150427,30.08,0.0,39.7
20150428,31.63,1.16,38.61
20150429,31.4,0.95,32.19
20150430,31.35,0.0,28.95
20150501,30.03,2.42,37.42
20150502,31.04,0.0,28.21
20150503,32.24,0.0,20.18
20150504,33.39,0.0,16.38
20150505,33.34,0.0,15.91
20150506,34.15,0.0,14.17
20150507,34.52,0.0,14.52
20150508,35.2,0.0,15.77
20150509,35.28,0.0,22.15
20150510,36.45,0.0,21.74
20150511,35.37,0.82,24.78
20150512,33.69,0.39,25.89
20150513,33.04,0.93,27.05
20150514,32.31,2.6,34.56
20150515,33.07,0.1,31.78
20150516,33.99,0.64,25.92
20150517,34.61,0.0,21.83
20150518,37.12,0.0,19.72
20150519,36.75,0.0,23.29
20150520,35.61,0.83,15.74
20150521,35.63,0.0,15.71
20150522,36.7,0.0,16.26
20150523,36.49,0.0,11.82
20150524,36.71,0.0,11.38
20150525,36.46,0.0,11.6
20150526,35.31,0.0,10.65
20150527,34.38,0.0,7.47
20150528,35.53,0.07,11.92
20150529,36.08,0.5,21.12
20150530,36.32,0.0,21.37
20150531,36.42,0.01,19.93
20150601,35.94,0.28,17.95
20150602,34.34,0.07,31.17
20150603,33.76,0.17,30.43
20150604,33.57,3.11,29.11
20150605,33.92,0.1,30.16
20150606,35.24,0.0,24.48
20150607,36.31,0.0,21.08
20150608,37.99,0.0,17.26
20150609,38.09,0.0,19.77
20150610,36.2,0.01,32.4
20150611,36.89,0.07,28.72
20150612,37.15,0.0,31.53
20150613,36.1,9.7,33.68
20150614,31.67,12.97,52.49
20150615,32.7,0.58,53.35
20150616,33.27,1.11,48.55
20150617,33.94,0.44,42.7
20150618,35.55,0.02,36.88
20150619,36.87,0.0,32.42
20150620,36.63,0.08,29.58
20150621,35.26,7.24,42.67
20150622,34.77,2.37,43.2
20150623,36.12,0.16,36.95
20150624,31.59,51.8,62.44
20150625,31.67,0.71,57.54
20150626,32.13,1.51,50.34
20150627,32.57,0.12,56.32
20150628,33.67,0.0,49.97
20150629,34.21,0.27,45.58
20150630,32.74,4.84,52.49
20150701,32.79,0.09,52.94
20150702,32.73,0.46,53.14
20150703,33.38,3.37,53.38
20150704,34.32,0.25,50.78
20150705,34.79,2.49,49.18
20150706,32.53,31.9,60.23
20150707,30.57,4.81,65.86
20150708,32.11,3.91,60.4
20150709,32.28,5.48,59.64
20150710,31.78,8.37,61.29
20150711,29.94,7.68,70.55
20150712,29.13,31.19,76.38
20150713,30.06,2.24,71.89
20150714,31.65,0.0,63.21
20150715,32.87,0.04,54.7
20150716,32.59,0.7,57.82
20150717,31.84,8.66,61.97
20150718,30.72,5.92,68.05
20150719,32.19,0.64,63.5
20150720,31.39,12.75,65.38
20150721,31.56,10.98,65.68
20150722,30.96,0.99,67.92
