,T2M,Rain,Humidity
20150101,14.02,0.0,40.07
20150102,15.51,2.28,48.63
20150103,13.36,4.89,69.45
20150104,11.92,0.0,55.39
20150105,11.28,0.0,44.4
20150106,12.58,0.0,46.82
20150107,12.06,0.0,49.01
20150108,12.65,0.0,42.75
20150109,11.54,0.0,39.9
20150110,10.66,0.0,39.77
20150111,11.34,0.0,35.03
20150112,13.47,0.0,31.58
20150113,12.68,0.0,38.16
20150114,11.05,7.75,68.15
20150115,11.86,0.0,70.55
20150116,12.56,0.0,62.31
20150117,12.17,0.0,48.63
20150118,12.52,0.0,42.8
20150119,13.83,0.0,40.01
20150120,12.3,0.0,44.14
20150121,11.52,1.6,55.1
20150122,11.68,7.85,86.2
20150123,12.53,0.04,73.01
20150124,12.66,0.0,62.87
20150125,12.17,0.0,51.52
20150126,11.86,0.72,50.78
20150127,10.87,0.22,53.78
20150128,10.14,0.0,52.29
20150129,10.56,0.0,42.97
20150130,11.12,0.0,45.13
20150131,12.46,0.0,40.5
20150201,14.52,0.0,38.76
20150202,15.44,5.53,44.7
20150203,14.62,11.15,69.94
20150204,13.76,0.21,65.15
20150205,13.41,0.0,51.54
20150206,14.0,0.0,44.74
20150207,15.72,0.0,40.94
20150208,15.81,0.0,48.93
20150209,15.08,0.0,53.47
20150210,15.07,0.0,43.48
20150211,15.26,0.0,41.27
20150212,14.69,0.0,38.77
20150213,15.87,0.0,38.77
20150214,19.82,0.0,38.39
20150215,19.46,0.0,41.68
20150216,18.43,0.84,44.7
20150217,19.7,1.4,49.38
20150218,19.45,0.04,47.05
20150219,19.82,0.26,46.53
20150220,20.31,6.53,53.8
20150221,20.6,0.0,49.54
20150222,20.28,0.0,53.74
20150223,21.13,0.0,48.37
20150224,21.16,0.0,44.58
20150225,18.13,6.51,53.2
20150226,14.56,0.06,31.63
20150227,14.72,0.18,38.61
20150228,15.45,0.07,42.2
20150301,15.41,43.26,81.45
20150302,15.72,30.88,84.84
20150303,15.08,3.2,70.1
20150304,14.87,0.31,66.6
20150305,16.33,0.98,65.2
20150306,17.26,0.46,62.58
20150307,17.96,2.52,63.08
20150308,17.27,4.27,69.79
20150309,14.15,1.04,63.37
20150310,16.12,0.0,56.79
20150311,17.81,0.0,48.73
20150312,18.33,0.0,47.95
20150313,20.86,0.0,39.12
20150314,20.41,3.09,56.74
20150315,18.88,4.54,69.38
20150316,17.98,10.76,77.38
20150317,18.71,0.18,65.86
20150318,18.47,0.0,64.01
20150319,20.03,0.0,54.05
20150320,21.4,0.0,48.32
20150321,22.61,0.0,51.19
20150322,23.46,0.0,53.71
20150323,23.91,0.0,54.48
20150324,25.98,0.0,44.13
20150325,26.21,0.0,44.1
20150326,25.91,0.0,44.45
20150327,26.06,0.0,40.65
20150328,26.42,0.0,34.48
20150329,21.86,5.95,53.04
20150330,21.66,3.77,67.74
20150331,23.97,0.01,54.72
20150401,24.7,0.65,53.23
20150402,25.36,0.03,49.08
20150403,23.27,12.1,59.7
20150404,22.88,1.54,58.26
20150405,22.89,0.01,57.05
20150406,24.06,0.44,50.54
