,T2M,Rain,Humidity
20150101,12.48,0.0,33.47
20150102,14.66,0.01,36.36
20150103,14.16,0.36,45.17
20150104,13.72,0.0,38.65
20150105,12.25,0.0,42.36
20150106,13.27,0.0,45.82
20150107,13.81,0.0,46.49
20150108,13.54,0.0,34.13
20150109,13.53,0.0,27.75
20150110,12.21,0.0,26.73
20150111,13.88,0.0,20.21
20150112,15.39,0.0,22.42
20150113,13.0,4.35,39.99
20150114,11.59,2.27,68.22
20150115,11.93,0.04,70.93
20150116,13.09,0.0,58.73
20150117,13.76,0.0,44.78
20150118,14.46,0.0,37.16
20150119,15.09,0.0,36.87
20150120,12.67,0.0,41.72
20150121,11.85,5.96,54.61
20150122,12.33,1.05,75.89
20150123,12.05,0.08,73.02
20150124,12.35,0.0,59.4
20150125,12.5,0.0,50.4
20150126,12.18,0.0,45.33
20150127,10.44,0.0,50.22
20150128,10.25,0.0,46.37
20150129,11.62,0.0,36.08
20150130,12.18,0.0,36.29
20150131,14.57,0.0,31.59
20150201,14.54,0.0,36.14
20150202,14.18,4.76,47.75
20150203,14.11,5.63,77.04
20150204,13.37,0.03,68.67
20150205,13.79,0.0,54.12
20150206,14.92,0.0,46.19
20150207,14.33,0.0,47.68
20150208,15.08,0.0,58.06
20150209,15.08,0.0,50.81
20150210,15.51,0.0,39.03
20150211,16.02,0.0,37.05
20150212,15.85,0.0,32.66
20150213,18.69,0.0,29.86
20150214,20.11,0.0,35.24
20150215,20.77,0.0,31.69
20150216,19.95,0.55,34.03
20150217,18.48,2.94,48.79
20150218,18.92,0.04,45.06
20150219,19.41,0.24,49.48
20150220,17.76,4.09,67.68
20150221,18.91,0.15,62.6
20150222,19.93,0.0,53.53
20150223,21.1,0.0,47.09
20150224,20.45,1.97,45.9
20150225,18.17,3.36,41.87
20150226,14.8,0.0,28.04
20150227,14.88,0.0,37.47
20150228,15.41,0.0,41.81
20150301,14.54,25.32,79.35
20150302,15.59,2.17,70.79
20150303,15.82,0.16,56.0
20150304,16.24,1.13,54.68
20150305,16.44,2.04,58.47
20150306,16.61,0.24,63.45
20150307,16.61,2.72,64.3
20150308,15.82,0.84,62.8
20150309,14.32,0.0,61.57
20150310,16.08,0.0,47.52
20150311,18.08,0.0,41.08
20150312,18.66,0.0,37.84
20150313,20.48,0.0,36.09
20150314,20.42,0.49,55.55
20150315,18.61,21.55,76.55
20150316,18.69,2.09,69.35
20150317,18.08,0.0,63.3
20150318,19.08,0.0,55.88
20150319,22.3,0.0,38.94
20150320,23.48,0.0,39.29
20150321,24.68,0.0,45.88
20150322,23.86,0.0,52.42
20150323,25.4,0.0,46.58
20150324,27.77,0.0,33.91
20150325,26.26,0.01,49.1
20150326,26.55,0.0,43.91
20150327,27.08,0.0,34.02
20150328,27.88,0.51,31.43
20150329,22.87,1.97,59.37
20150330,22.58,8.73,67.54
20150331,23.85,0.12,60.95
20150401,24.3,0.02,57.48
20150402,24.34,0.27,55.61
20150403,22.56,8.42,63.87
20150404,23.56,0.93,54.85
20150405,24.07,0.0,50.04
20150406,24.09,0.44,53.06
20150407,21.73,5.73,68.35
20150408,22.96,0.02,62.1
20150409,25.01,0.0,47.27
20150410,26.81,0.0,42.95
20150411,27.13,2.3,47.81
20150412,24.48,4.6,64.15
20150413,26.78,0.0,48.62
20150414,26.68,0.0,52.05
20150415,28.19,2.43,49.0
20150416,27.49,2.05,53.02
20150417,27.61,0.72,49.55
20150418,29.6,0.0,41.67
20150419,31.07,0.0,38.8
20150420,31.1,0.02,33.79
20150421,29.57,0.0,34.02
20150422,30.18,0.0,28.58
20150423,31.83,0.0,21.16
20150424,33.25,0.0,17.23
20150425,33.27,0.0,18.59
20150426,31.15,0.0,25.96
20150427,32.09,0.0,30.89
20150428,32.4,0.23,31.19
20150429,33.12,0.11,23.54
20150430,32.14,0.45,24.39
20150501,30.43,0.78,30.83
20150502,31.45,0.0,23.95
20150503,32.74,0.0,17.97
20150504,33.17,0.0,17.12
20150505,34.38,0.0,15.84
20150506,35.44,0.0,17.02
20150507,35.64,0.0,16.23
20150508,34.98,0.0,17.23
20150509,35.95,0.0,19.55
20150510,35.94,0.0,22.03
20150511,34.98,0.57,24.09
20150512,32.37,1.47,31.94
20150513,31.1,3.91,36.84
20150514,31.87,1.04,36.31
20150515,32.92,1.62,34.55
20150516,34.18,0.1,26.12
20150517,34.76,0.0,23.27
20150518,36.86,0.0,23.29
20150519,35.83,0.0,23.16
20150520,35.48,0.29,16.0
20150521,36.08,0.0,14.4
20150522,36.75,0.0,11.59
20150523,37.26,0.0,12.45
20150524,37.61,0.0,11.63
20150525,37.86,0.0,16.13
20150526,34.71,0.0,8.69
20150527,35.3,0.0,7.47
20150528,36.4,0.02,11.84
20150529,35.67,0.28,19.5
20150530,36.13,0.0,21.22
20150531,36.74,0.18,18.81
20150601,36.13,1.41,18.31
20150602,33.94,0.04,28.9
20150603,33.81,0.03,30.53
20150604,32.57,1.12,31.33
20150605,34.21,0.0,29.78
20150606,35.96,0.0,22.98
20150607,37.37,0.0,18.66
20150608,38.49,0.0,16.72
20150609,38.75,0.03,18.46
20150610,37.09,0.0,31.1
20150611,36.58,1.53,28.51
20150612,37.52,0.0,28.03
20150613,38.13,0.02,24.7
20150614,36.46,2.53,31.83
20150615,33.57,17.96,48.91
20150616,34.22,0.0,44.76
20150617,34.86,0.39,41.3
20150618,36.14,0.0,35.76
20150619,37.8,0.0,30.43
20150620,37.7,0.0,28.1
20150621,37.0,1.19,32.0
20150622,37.04,0.16,30.38
20150623,37.88,0.54,30.29
20150624,35.04,7.15,42.6
20150625,33.77,2.09,46.14
20150626,34.74,0.14,35.17
20150627,35.76,0.05,38.19
20150628,36.79,0.0,32.7
20150629,37.81,0.0,27.51
20150630,35.18,3.08,34.87
20150701,35.66,0.03,35.34
20150702,35.65,2.03,38.93
20150703,34.8,13.56,47.0
20150704,35.56,0.15,47.11
20150705,36.93,0.45,40.55
20150706,34.96,10.33,49.3
20150707,32.13,24.65,62.87
20150708,33.27,0.74,54.96
20150709,34.42,1.63,49.16
20150710,34.46,0.57,47.12
20150711,30.76,19.44,66.01
20150712,30.44,8.04,66.03
20150713,31.92,0.29,58.3
20150714,33.77,0.0,51.14
20150715,35.03,0.0,46.58
20150716,35.06,0.19,47.52
20150717,33.24,9.61,55.84
20150718,30.8,2.0,64.51
20150719,33.64,0.37,54.62
20150720,33.94,1.4,50.17
20150721,33.47,2.43,53.77
20150722,33.12,1.81,54.8
20150723,32.71,1.59,58.99
20150724,33.16,0.75,59.34
20150725,33.39,4.35,59.86
20150726,32.73,0.38,58.87
20150727,32.16,1.08,61.33
20150728,32.22,0.09,56.53
20150729,31.94,0.0,55.84
20150730,32.72,1.48,57.08
20150731,31.72,6.16,62.42
20150801,30.48,8.11,72.93
20150802,28.39,36.06,83.87
20150803,30.5,4.79,72.91
20150804,32.42,0.03,61.49
20150805,33.29,1.7,57.38
20150806,34.0,2.86,53.68
20150807,34.56,0.04,53.09
20150808,34.41,0.22,52.26
20150809,34.04,0.14,49.98
20150810,33.69,0.01,47.47
20150811,33.51,0.0,47.21
20150812,31.23,6.24,60.15
20150813,31.71,3.57,60.39
20150814,32.93,0.42,60.41
20150815,32.6,5.93,62.06
20150816,32.33,1.62,61.31
20150817,33.07,0.07,55.09
20150818,33.47,2.81,52.73
20150819,33.23,1.29,49.93
20150820,32.97,1.11,49.02
20150821,32.41,3.33,54.39
20150822,32.36,1.55,50.59
20150823,32.6,1.13,51.27
20150824,32.44,0.23,51.64
20150825,32.68,0.0,47.03
20150826,33.11,0.0,46.72
20150827,33.82,0.0,45.02
20150828,33.84,0.13,45.67
20150829,33.94,0.44,46.98
20150830,33.95,0.0,39.64
20150831,32.91,0.0,37.88
20150901,33.24,0.0,34.72
20150902,33.1,0.0,33.26
20150903,32.78,0.0,32.23
20150904,32.23,0.0,29.6
20150905,32.12,0.0,30.6
20150906,32.37,0.0,30.34
20150907,32.52,0.0,30.98
20150908,32.49,0.0,32.39
20150909,32.88,0.15,31.84
20150910,32.67,0.0,29.49
20150911,32.75,0.0,30.06
20150912,33.73,0.0,27.75
20150913,33.23,0.0,27.26
20150914,33.63,0.0,26.39
20150915,33.92,0.0,22.83
20150916,33.77,0.0,23.55
20150917,32.74,1.2,30.08
20150918,32.32,0.0,28.99
20150919,28.75,3.36,52.48
20150920,29.21,12.31,66.04
20150921,29.37,16.35,68.4
20150922,27.8,43.87,77.58
20150923,27.16,3.12,67.16
20150924,27.32,0.0,54.23
20150925,27.87,0.0,49.11
20150926,28.64,0.0,47.79
20150927,28.75,0.7,49.01
20150928,28.03,0.09,48.32
20150929,27.69,0.03,47.48
20150930,27.05,0.0,47.41
20151001,27.84,0.0,45.87
20151002,28.52,0.0,43.62
20151003,29.14,0.0,37.38
20151004,28.88,0.0,35.42
20151005,28.94,0.0,39.56
20151006,28.33,0.0,45.47
20151007,28.71,0.0,42.04
20151008,27.94,0.0,45.6
20151009,27.73,0.0,43.84
20151010,28.3,0.0,39.47
20151011,28.39,0.0,50.6
20151012,28.62,0.0,53.75
20151013,28.4,0.0,48.36
20151014,27.3,0.17,46.51
20151015,26.43,1.17,54.43
20151016,27.16,0.0,47.21
20151017,26.81,0.0,47.22
20151018,27.84,0.0,42.83
20151019,27.88,0.06,40.09
20151020,26.13,0.0,43.8
20151021,23.76,0.0,44.8
20151022,23.45,0.0,35.98
20151023,24.38,0.0,34.0
20151024,25.72,0.0,33.15
20151025,22.73,1.4,46.75
20151026,22.35,0.64,52.65
20151027,21.28,0.42,47.43
20151028,21.28,0.09,42.62
20151029,22.54,0.0,38.05
20151030,22.52,0.0,38.03
20151031,22.42,0.0,35.52
20151101,22.25,0.0,35.84
20151102,23.53,0.0,35.57
20151103,23.22,0.0,36.03
20151104,23.79,0.06,35.55
20151105,22.34,0.42,36.88
20151106,20.26,0.1,41.14
20151107,20.17,0.0,33.14
20151108,20.93,0.13,30.26
20151109,21.29,0.0,30.4
20151110,19.89,0.0,41.09
20151111,20.12,0.0,47.38
20151112,21.26,0.0,44.71
20151113,23.13,0.0,41.05
20151114,22.53,0.0,44.52
20151115,22.72,0.0,36.27
20151116,20.62,0.03,32.49
20151117,19.78,0.0,28.93
20151118,20.02,0.0,23.42
20151119,20.54,0.0,22.13
20151120,20.42,0.0,24.95
20151121,19.42,0.0,28.21
20151122,19.41,0.0,26.89
20151123,19.41,0.0,28.03
20151124,18.76,0.0,31.86
20151125,19.17,0.0,33.85
20151126,19.44,0.0,26.31
20151127,17.72,0.08,33.42
20151128,19.35,0.0,29.21
20151129,19.37,0.0,36.57
20151130,19.4,0.0,37.87
20151201,18.35,0.0,38.11
20151202,18.45,0.0,36.63
20151203,17.67,0.0,34.15
20151204,18.39,0.0,30.86
20151205,19.84,0.0,19.77
20151206,19.31,0.0,22.29
20151207,18.46,0.0,24.94
20151208,18.82,0.0,25.05
20151209,17.08,0.0,29.23
20151210,17.63,0.18,37.12
20151211,14.92,0.01,41.33
20151212,13.82,0.0,36.72
20151213,13.28,0.0,25.04
20151214,12.52,0.0,20.87
20151215,13.33,0.0,25.35
20151216,15.7,0.0,16.74
20151217,14.15,0.0,18.49
20151218,12.54,0.0,22.07
20151219,13.36,0.0,22.59
20151220,13.72,0.0,21.6
20151221,13.58,0.0,25.92
20151222,13.49,0.0,24.16
20151223,12.66,0.0,29.1
20151224,11.52,0.0,32.68
20151225,11.65,0.0,20.1
20151226,13.63,0.0,18.46
20151227,16.44,0.0,26.04
20151228,17.09,0.0,37.34
20151229,18.15,0.0,31.06
20151230,18.08,0.0,23.26
20151231,16.41,0.0,28.46
20160101,16.8,0.0,22.01
20160102,17.23,0.0,16.25
20160103,16.52,0.0,23.68
20160104,16.78,0.0,25.22
20160105,16.19,0.0,34.66
20160106,15.58,0.0,46.09
20160107,15.87,0.0,44.73
20160108,15.44,0.0,42.66
20160109,14.68,0.0,41.85
20160110,17.05,0.0,34.25
20160111,16.32,0.0,36.62
20160112,16.25,0.79,34.76
20160113,13.3,1.85,60.07
20160114,13.85,0.0,44.65
20160115,13.5,0.0,47.81
20160116,13.66,0.0,42.17
20160117,14.14,0.0,33.95
20160118,13.18,0.0,33.71
20160119,12.68,0.0,36.81
20160120,13.26,0.0,32.88
20160121,13.69,0.0,23.96
20160122,13.52,0.0,19.48
20160123,12.42,0.0,20.66
20160124,11.93,0.0,21.77
20160125,12.26,0.0,22.01
20160126,13.88,0.0,20.82
20160127,14.32,0.0,24.21
20160128,15.89,0.0,37.21
20160129,15.99,1.61,42.56
20160130,15.72,3.83,58.01
20160131,15.06,0.0,41.54
20160201,15.05,0.0,32.43
20160202,14.55,0.0,30.02
20160203,14.26,0.0,27.9
20160204,15.67,0.0,25.64
20160205,16.78,0.0,20.31
20160206,16.46,0.0,22.31
20160207,16.27,0.03,27.21
20160208,16.02,0.0,39.8
20160209,17.21,0.0,31.66
20160210,16.65,0.0,27.71
20160211,13.88,0.04,32.63
20160212,14.04,0.0,41.86
20160213,15.39,0.02,31.13
20160214,14.55,0.0,27.85
20160215,14.22,0.0,27.69
20160216,15.51,0.0,26.78
20160217,16.71,0.0,19.5
20160218,18.74,0.5,28.65
20160219,18.39,5.82,59.69
20160220,18.44,1.32,67.44
20160221,17.63,0.0,42.42
20160222,18.97,0.0,30.37
20160223,19.49,0.0,24.94
20160224,20.91,0.0,20.42
20160225,20.93,0.0,17.65
20160226,20.49,0.0,18.64
20160227,21.61,0.0,19.22
