,T2M,Rain,Humidity
20150101,22.88,0.32,71.79
20150102,22.16,0.11,70.11
20150103,22.44,0.02,66.11
20150104,22.82,0.0,60.43
20150105,23.26,0.0,56.1
20150106,22.74,0.0,48.44
20150107,23.36,0.0,45.97
20150108,21.73,0.0,42.03
20150109,20.75,0.0,33.01
20150110,19.53,0.0,26.76
20150111,18.64,0.0,24.81
20150112,18.54,0.0,30.12
20150113,19.6,0.0,35.28
20150114,20.26,0.0,34.44
20150115,20.12,0.0,44.15
20150116,20.82,0.0,47.81
20150117,21.69,0.0,41.53
20150118,22.65,0.0,41.26
20150119,22.93,0.0,43.45
20150120,23.02,0.0,47.93
20150121,23.1,0.0,53.14
20150122,22.4,0.0,44.3
20150123,22.15,0.0,44.56
20150124,22.33,0.0,47.57
20150125,22.86,0.0,40.07
20150126,22.86,0.0,44.86
20150127,22.69,0.0,43.55
20150128,22.78,0.0,46.76
20150129,23.44,0.0,47.07
20150130,24.0,0.0,43.66
20150131,23.47,0.0,42.69
20150201,23.46,0.0,43.65
20150202,23.3,0.0,42.08
20150203,22.75,0.0,47.01
20150204,21.98,0.0,43.25
20150205,22.79,0.0,33.93
20150206,23.17,0.0,31.86
20150207,23.18,0.0,35.83
20150208,23.75,0.0,35.91
20150209,23.53,0.0,42.62
20150210,23.6,0.0,39.18
20150211,23.36,0.0,42.08
20150212,23.95,0.0,37.45
20150213,24.63,0.0,27.69
20150214,25.17,0.0,30.27
20150215,26.07,0.0,26.17
20150216,25.53,0.0,24.96
20150217,25.51,0.0,25.58
20150218,26.39,0.0,29.3
20150219,25.17,0.0,40.69
20150220,25.68,0.0,45.73
20150221,25.41,0.0,34.95
20150222,25.41,0.0,31.47
20150223,25.37,0.0,28.1
20150224,24.74,0.0,26.33
20150225,24.69,0.0,23.33
20150226,25.83,0.0,45.03
20150227,26.08,0.0,44.98
20150228,23.49,0.64,50.37
20150301,24.97,3.27,55.08
20150302,24.77,3.53,66.16
20150303,23.75,0.0,57.41
20150304,23.34,0.05,49.0
20150305,25.27,0.0,47.78
20150306,26.74,0.53,45.69
20150307,27.74,0.5,45.35
20150308,27.81,7.72,51.14
20150309,24.69,6.93,69.99
20150310,25.6,0.16,63.11
20150311,25.13,0.0,48.46
20150312,25.35,0.0,46.39
20150313,26.51,0.0,44.96
20150314,26.89,0.0,41.57
20150315,27.2,0.0,55.19
20150316,28.97,0.0,48.4
20150317,30.11,0.0,38.48
20150318,29.7,0.0,38.17
20150319,28.94,0.0,34.45
20150320,28.36,0.0,25.81
20150321,28.38,0.0,27.38
20150322,29.19,0.0,25.44
20150323,29.52,0.17,35.73
20150324,30.27,0.19,39.24
20150325,30.18,0.32,30.43
20150326,29.62,0.06,33.14
20150327,29.14,0.04,32.28
20150328,29.46,0.0,27.85
20150329,29.58,0.0,33.58
20150330,29.49,0.32,37.84
20150331,29.24,0.93,43.25
20150401,30.45,0.29,43.38
20150402,30.53,0.0,35.09
20150403,30.22,0.0,38.26
20150404,30.45,0.0,35.83
20150405,30.41,0.0,28.06
20150406,30.78,0.0,34.16
20150407,30.46,0.0,35.7
20150408,31.09,0.0,40.95
20150409,31.58,0.0,40.06
20150410,31.1,1.87,42.43
20150411,26.78,7.53,55.99
20150412,26.2,3.18,62.59
20150413,26.18,1.63,61.7
20150414,26.59,0.12,55.04
20150415,27.72,0.05,52.82
20150416,28.66,0.01,48.65
20150417,29.39,0.0,44.5
20150418,30.02,0.0,38.48
20150419,30.55,0.0,35.09
20150420,31.28,0.0,37.02
20150421,31.51,0.0,37.57
20150422,31.8,1.26,43.39
20150423,30.35,8.26,53.81
20150424,28.84,6.74,59.59
20150425,28.79,0.52,51.52
20150426,28.77,0.04,52.79
20150427,29.79,0.27,49.06
20150428,31.36,0.14,44.37
20150429,32.37,0.06,38.87
20150430,31.1,0.04,43.56
20150501,31.48,0.0,42.96
20150502,31.57,0.62,44.45
20150503,31.06,0.34,45.73
20150504,31.61,1.5,43.51
20150505,31.41,2.59,46.89
20150506,31.05,0.76,49.55
20150507,31.01,2.26,49.99
20150508,29.81,2.94,57.23
20150509,29.11,0.33,60.25
20150510,28.16,0.59,59.92
20150511,29.41,1.23,56.64
20150512,28.03,4.62,64.14
20150513,26.43,9.93,72.31
20150514,28.67,0.39,56.96
20150515,28.94,0.24,55.5
20150516,30.05,0.94,55.58
20150517,29.25,2.3,61.42
20150518,29.63,0.46,60.14
20150519,28.0,0.11,66.64
20150520,29.82,0.0,58.13
20150521,29.61,0.0,60.25
20150522,28.59,0.0,59.37
20150523,29.39,0.0,59.21
20150524,30.37,0.0,55.41
20150525,30.02,0.0,56.94
20150526,30.72,0.0,55.15
20150527,31.17,1.49,52.55
20150528,29.98,1.42,55.6
20150529,29.77,4.76,56.7
20150530,28.56,4.08,65.05
20150531,26.29,18.38,75.78
20150601,26.97,7.11,72.06
20150602,26.7,5.66,71.19
20150603,28.21,1.5,64.4
20150604,28.22,5.9,67.46
20150605,26.7,3.8,73.33
20150606,27.97,0.0,66.62
20150607,27.8,0.95,68.69
20150608,26.33,3.63,71.23
20150609,25.39,2.17,77.75
20150610,26.63,0.59,71.48
20150611,26.92,0.9,73.45
20150612,24.97,1.24,77.39
20150613,24.67,1.86,76.42
20150614,24.9,1.54,73.78
20150615,25.24,5.7,69.66
20150616,24.04,0.86,77.4
20150617,24.42,1.82,74.6
20150618,24.05,2.49,76.63
20150619,23.77,6.5,80.84
20150620,24.42,5.93,78.73
