,T2M,Rain,Humidity
20150101,22.54,1.19,71.12
20150102,23.14,1.5,66.78
20150103,21.77,20.49,81.49
20150104,21.42,1.95,74.53
20150105,18.33,0.0,61.67
20150106,17.44,0.0,50.43
20150107,19.17,0.0,44.58
20150108,18.17,0.0,48.29
20150109,16.69,0.0,54.36
20150110,17.24,0.0,50.06
20150111,16.63,0.0,51.64
20150112,16.9,0.0,48.67
20150113,17.62,0.0,48.96
20150114,18.89,0.0,45.67
20150115,18.56,0.0,48.17
20150116,18.85,0.0,47.08
20150117,18.43,0.0,49.39
20150118,18.22,0.0,49.51
20150119,18.29,0.0,44.0
20150120,19.0,0.0,42.1
20150121,19.93,0.0,45.67
20150122,20.7,0.0,49.67
20150123,21.61,0.01,46.95
20150124,22.17,0.01,49.26
20150125,22.94,0.0,49.5
20150126,23.06,0.0,50.42
20150127,22.79,0.0,48.62
20150128,22.66,0.0,49.85
20150129,22.83,0.02,53.37
20150130,21.67,0.01,54.85
20150131,20.48,0.0,35.06
20150201,20.63,0.0,29.82
20150202,21.52,0.0,36.18
20150203,22.5,0.0,44.43
20150204,23.0,0.0,36.51
20150205,22.86,0.0,35.83
20150206,22.93,0.0,41.99
20150207,23.45,0.0,42.8
20150208,24.07,0.01,45.26
20150209,23.68,0.01,46.08
20150210,24.26,0.29,44.7
20150211,24.78,1.37,48.51
20150212,24.84,0.01,46.41
20150213,24.81,0.0,39.81
20150214,24.12,0.0,27.81
20150215,26.28,0.0,23.72
20150216,25.1,0.0,26.25
20150217,26.25,0.0,25.25
20150218,26.64,0.0,24.54
20150219,26.15,0.0,34.26
20150220,26.99,1.19,32.06
20150221,26.99,0.46,31.78
20150222,27.01,0.0,27.69
20150223,27.52,0.0,26.04
20150224,27.82,0.0,24.82
20150225,27.54,0.0,25.14
20150226,27.15,0.0,24.14
20150227,26.49,0.0,26.07
20150228,26.79,1.49,35.1
20150301,26.63,3.38,49.25
20150302,23.59,16.35,72.11
20150303,24.47,0.38,62.41
20150304,22.27,0.0,45.48
20150305,23.51,0.0,44.09
20150306,25.08,0.0,45.94
20150307,25.84,0.0,42.48
20150308,26.56,0.46,42.37
20150309,25.96,10.01,59.91
20150310,26.74,0.01,51.63
20150311,26.87,0.0,47.71
20150312,27.21,0.93,50.24
20150313,28.08,0.0,44.98
20150314,28.13,0.07,41.26
20150315,27.86,0.03,39.85
20150316,26.73,2.59,48.02
20150317,28.58,0.01,47.98
20150318,28.67,0.0,43.6
20150319,28.78,0.0,35.32
20150320,29.21,0.0,29.85
20150321,29.75,0.0,27.31
20150322,31.12,0.0,24.93
20150323,31.97,0.0,23.82
20150324,31.72,0.0,25.18
20150325,31.05,0.0,22.82
20150326,31.49,0.0,24.76
20150327,30.79,2.22,36.08
20150328,30.43,2.97,42.0
20150329,30.88,1.78,42.13
20150330,30.03,0.04,44.25
20150331,31.5,0.0,40.02
20150401,32.01,0.0,40.2
20150402,32.07,0.0,29.99
20150403,32.22,0.0,23.1
20150404,31.77,0.0,22.82
20150405,31.27,0.0,23.08
20150406,32.55,0.0,27.05
20150407,32.94,2.02,34.96
20150408,31.75,1.92,40.01
20150409,31.12,4.8,41.51
20150410,31.77,1.8,42.42
20150411,30.05,4.66,50.32
20150412,26.74,3.24,62.43
20150413,26.22,7.91,62.62
20150414,26.66,6.26,59.84
20150415,26.95,1.89,59.01
20150416,28.63,0.17,54.05
20150417,30.23,0.0,48.03
20150418,31.53,0.0,43.8
20150419,32.53,0.0,40.28
20150420,33.78,0.0,38.56
20150421,33.92,0.05,36.01
20150422,33.77,0.38,33.32
20150423,34.07,0.08,31.64
20150424,33.62,2.23,30.78
20150425,33.03,0.19,38.9
20150426,31.41,7.09,46.87
20150427,31.79,2.03,48.7
20150428,33.47,0.0,39.35
20150429,33.64,0.0,32.17
20150430,33.88,0.0,35.24
20150501,33.75,0.01,33.64
20150502,34.48,2.0,36.8
20150503,34.26,0.77,38.48
20150504,33.2,3.92,44.76
20150505,33.55,0.0,41.79
20150506,34.57,0.18,34.77
20150507,35.19,0.09,31.45
20150508,35.71,0.0,27.5
20150509,35.26,0.01,27.58
20150510,32.97,0.01,36.1
20150511,33.27,1.16,38.1
20150512,33.39,0.0,36.8
20150513,35.7,0.01,28.45
20150514,35.52,0.48,32.42
20150515,33.31,11.25,45.02
20150516,31.39,2.81,57.65
20150517,33.05,0.0,49.28
20150518,34.51,0.0,45.01
20150519,36.67,0.0,32.16
20150520,37.48,0.0,26.22
20150521,37.18,0.0,23.9
20150522,38.28,0.0,21.18
20150523,38.38,0.0,18.87
20150524,37.62,0.01,22.0
20150525,38.01,0.1,23.37
20150526,38.55,0.0,24.05
20150527,39.16,0.07,22.29
20150528,38.76,0.0,19.33
20150529,39.02,0.01,20.72
20150530,39.66,0.03,24.12
20150531,37.26,0.03,33.05
20150601,33.56,2.18,46.61
20150602,34.82,1.21,38.16
20150603,35.52,0.02,35.67
20150604,34.84,0.17,38.41
20150605,33.14,5.46,47.05
20150606,32.58,1.34,51.9
20150607,32.67,4.52,53.05
20150608,33.55,0.07,49.19
20150609,34.03,0.03,44.73
20150610,36.33,0.0,36.81
20150611,35.09,1.05,43.53
20150612,30.76,8.53,67.08
20150613,28.57,30.57,76.86
20150614,26.74,26.27,86.34
20150615,27.28,16.06,83.05
20150616,27.94,26.3,82.46
20150617,27.86,10.76,84.72
20150618,27.79,27.02,86.74
20150619,27.73,11.5,85.85
20150620,27.6,15.77,86.85
20150621,26.33,102.15,92.82
