,T2M,Rain,Humidity
20150101,20.0,0.92,63.15
20150102,19.02,0.03,62.48
20150103,20.03,0.0,57.75
20150104,19.52,0.0,45.16
20150105,19.28,0.0,39.69
20150106,19.71,0.0,29.26
20150107,20.64,0.0,34.63
20150108,19.71,0.0,30.65
20150109,19.56,0.0,33.29
20150110,20.05,0.0,29.57
20150111,20.26,0.0,30.71
20150112,21.5,0.0,28.33
20150113,21.51,0.0,27.69
20150114,21.65,0.0,47.57
20150115,19.0,0.0,28.88
20150116,18.22,0.0,29.38
20150117,18.01,0.0,27.0
20150118,17.88,0.0,23.95
20150119,19.47,0.0,30.7
20150120,20.28,0.0,37.76
20150121,19.99,5.81,71.81
20150122,20.57,0.0,64.62
20150123,19.28,0.0,47.99
20150124,18.99,0.0,47.01
20150125,20.29,0.41,51.74
20150126,18.12,0.0,37.77
20150127,16.63,0.0,43.55
20150128,17.32,0.0,39.31
20150129,17.56,0.0,32.71
20150130,18.58,0.0,29.44
20150131,20.41,0.0,26.19
20150201,20.56,0.0,26.11
20150202,22.8,0.0,38.91
20150203,23.18,0.0,35.95
20150204,21.77,0.0,29.46
20150205,21.8,0.0,26.55
20150206,22.23,0.0,20.21
20150207,22.35,0.0,20.46
20150208,21.7,0.0,24.15
20150209,21.64,0.0,33.8
20150210,23.03,0.01,38.79
20150211,23.57,0.02,32.87
20150212,22.81,0.0,22.26
20150213,24.0,0.0,17.7
20150214,24.92,0.0,26.14
20150215,25.66,0.0,34.45
20150216,25.32,0.0,40.29
20150217,24.77,0.0,43.35
20150218,26.02,0.0,28.69
20150219,25.84,0.0,34.73
20150220,26.46,0.0,41.74
20150221,27.96,0.0,21.7
20150222,29.21,0.0,19.96
20150223,28.57,0.0,20.49
20150224,27.36,0.0,33.24
20150225,24.59,0.0,34.43
20150226,22.0,0.0,17.27
20150227,22.45,0.0,13.06
20150228,23.29,0.12,25.46
20150301,20.71,14.77,58.06
20150302,20.56,0.22,50.86
20150303,20.61,0.0,51.39
20150304,22.23,0.0,43.5
20150305,24.31,0.0,36.65
20150306,24.53,0.0,38.06
20150307,25.88,0.0,36.52
20150308,25.36,0.0,42.61
20150309,23.23,0.0,19.15
20150310,23.81,0.0,18.71
20150311,26.64,0.0,25.62
20150312,28.48,0.21,25.33
20150313,27.99,1.16,31.38
20150314,27.1,3.85,47.12
20150315,25.06,0.23,46.9
20150316,23.76,0.0,43.88
