,T2M,Rain,Humidity
20150101,13.13,4.58,75.47
20150102,13.55,2.05,84.37
20150103,13.98,0.7,83.99
20150104,14.92,0.01,66.05
20150105,13.99,0.0,48.6
20150106,14.51,0.0,50.1
20150107,14.55,0.0,50.23
20150108,14.66,0.0,43.16
20150109,13.99,0.0,38.59
20150110,15.48,0.0,35.79
20150111,16.37,0.0,35.04
20150112,14.94,0.0,41.79
20150113,14.67,0.0,42.1
20150114,15.52,0.29,43.15
20150115,12.21,0.0,44.87
20150116,12.77,0.0,40.1
20150117,13.65,0.0,37.04
20150118,13.02,0.0,38.69
20150119,12.89,0.0,39.12
20150120,13.96,0.0,40.46
20150121,16.64,4.52,45.97
20150122,15.03,8.23,77.74
20150123,14.38,3.7,77.68
20150124,14.03,0.0,66.6
20150125,14.51,0.38,64.22
20150126,13.0,3.1,86.21
20150127,12.93,0.0,70.25
20150128,11.6,0.0,54.08
20150129,11.69,0.0,47.56
20150130,12.2,0.0,40.97
20150131,14.84,0.0,35.6
20150201,14.97,0.0,46.82
20150202,16.99,0.0,48.82
20150203,17.62,0.0,49.01
20150204,14.98,0.0,54.41
20150205,14.21,0.0,44.21
20150206,16.54,0.25,45.99
20150207,17.95,0.34,57.47
20150208,17.59,3.43,68.25
20150209,16.83,0.08,64.54
20150210,17.05,0.0,45.55
20150211,17.03,0.0,44.22
20150212,16.75,0.0,41.96
20150213,19.35,0.0,29.29
20150214,20.11,0.0,36.6
20150215,20.92,0.0,32.84
20150216,21.31,0.0,35.29
20150217,21.66,0.0,33.49
20150218,21.48,0.0,36.78
20150219,22.71,0.0,34.13
20150220,23.61,0.02,29.26
20150221,23.46,0.0,30.22
20150222,23.28,0.0,29.79
20150223,24.11,0.0,28.53
20150224,23.28,0.0,30.56
20150225,24.75,0.0,27.68
20150226,18.95,0.0,13.17
20150227,17.98,0.0,16.7
20150228,19.27,0.02,25.28
20150301,19.64,19.95,63.35
20150302,18.6,3.03,71.45
20150303,17.87,0.0,61.95
20150304,18.02,0.0,48.44
20150305,19.23,0.0,46.85
20150306,21.07,0.0,46.15
20150307,21.17,0.02,50.89
20150308,22.15,0.16,48.77
20150309,17.06,0.0,29.56
20150310,16.96,0.0,37.37
20150311,21.08,0.09,36.76
20150312,23.6,0.42,48.02
20150313,23.23,11.0,63.12
20150314,21.31,26.34,73.06
20150315,20.33,21.8,82.08
20150316,20.63,0.54,63.18
20150317,19.03,0.01,63.84
20150318,19.63,0.0,53.26
20150319,21.42,0.0,46.11
20150320,23.27,0.0,43.94
20150321,23.95,0.0,48.41
20150322,25.27,0.0,49.7
20150323,25.92,0.0,47.33
20150324,26.93,0.0,42.94
20150325,26.93,0.0,43.12
20150326,27.32,0.0,44.03
20150327,28.27,0.0,46.07
20150328,27.87,0.0,45.37
20150329,26.02,0.91,54.59
20150330,25.93,4.23,56.63
20150331,24.65,0.04,61.71
20150401,26.53,0.0,48.22
20150402,27.91,0.23,42.9
20150403,27.72,0.47,47.79
20150404,24.16,5.28,60.11
20150405,23.95,0.0,58.03
20150406,25.44,0.22,45.03
20150407,25.12,5.97,48.97
20150408,26.22,0.28,46.24
20150409,25.81,0.0,41.54
20150410,26.74,0.0,39.47
20150411,26.62,0.3,42.53
20150412,25.21,2.88,57.64
20150413,23.69,2.63,67.96
20150414,23.57,0.98,66.88
20150415,25.89,0.19,54.08
20150416,27.12,0.0,51.28
20150417,29.64,0.0,42.22
20150418,31.62,0.0,37.59
20150419,32.92,0.0,30.02
20150420,32.49,0.0,24.63
20150421,31.76,0.0,23.17
20150422,31.51,0.0,24.57
20150423,32.26,0.0,20.78
20150424,32.99,0.0,17.36
20150425,33.33,0.0,14.86
20150426,32.0,0.0,24.99
20150427,33.93,0.0,24.13
20150428,34.16,0.0,18.52
20150429,33.24,0.0,24.78
20150430,34.24,0.0,20.99
20150501,32.58,0.0,13.13
20150502,32.32,0.0,19.81
20150503,33.43,0.0,16.46
20150504,33.48,0.0,14.93
20150505,34.4,0.0,13.66
20150506,35.32,0.0,11.29
20150507,35.83,0.0,13.12
20150508,35.71,0.0,16.69
20150509,35.61,0.0,16.89
20150510,35.36,0.0,17.05
20150511,36.04,0.01,21.65
20150512,36.33,2.86,25.28
20150513,35.0,0.22,27.07
20150514,33.94,0.01,25.39
20150515,34.22,2.27,26.08
20150516,35.02,0.55,24.43
20150517,35.32,0.0,23.19
20150518,37.05,0.0,18.09
20150519,37.8,0.0,22.12
20150520,36.9,0.95,21.9
20150521,36.77,0.0,19.11
20150522,37.9,0.06,20.05
20150523,37.51,0.0,18.74
20150524,37.92,0.06,23.3
20150525,37.89,0.0,22.56
20150526,38.05,0.0,23.94
20150527,35.87,0.0,8.85
20150528,36.54,0.0,15.26
