,T2M,Rain,Humidity
20150101,17.41,2.41,76.45
20150102,20.05,5.8,85.21
20150103,20.41,5.67,86.31
20150104,18.55,2.08,80.68
20150105,14.94,0.0,61.68
20150106,13.9,0.0,52.37
20150107,14.91,0.0,54.12
20150108,14.46,0.0,58.5
20150109,12.85,0.0,60.85
20150110,12.47,0.0,50.62
20150111,13.0,0.0,45.13
20150112,13.11,0.0,46.92
20150113,13.2,0.0,49.48
20150114,14.5,0.0,53.39
20150115,15.41,0.0,55.86
20150116,13.96,0.06,55.09
20150117,12.67,0.0,57.64
20150118,12.86,0.0,58.54
20150119,12.76,0.0,52.89
20150120,13.3,0.0,43.66
20150121,14.59,0.0,43.06
20150122,16.7,0.0,47.14
20150123,17.34,0.0,57.7
20150124,17.48,0.0,72.02
20150125,17.05,0.0,60.93
20150126,18.31,0.04,57.67
20150127,18.53,1.07,69.23
20150128,18.09,8.91,76.03
20150129,17.42,3.82,71.66
20150130,14.95,1.17,54.09
20150131,13.71,0.0,41.5
20150201,15.03,0.0,40.7
20150202,16.58,0.0,43.6
20150203,18.5,0.0,45.18
20150204,19.49,0.0,48.74
20150205,17.04,0.0,46.68
20150206,16.17,0.0,40.18
20150207,17.9,0.0,42.5
20150208,19.74,0.1,50.88
20150209,18.54,0.36,66.81
20150210,18.64,0.0,51.48
20150211,17.75,0.0,43.86
20150212,18.72,0.63,48.83
20150213,18.67,0.0,51.76
20150214,18.56,0.0,41.97
20150215,20.3,0.0,42.9
20150216,20.64,0.06,54.31
20150217,21.33,0.0,55.96
20150218,22.67,0.03,54.0
20150219,21.79,0.0,46.41
20150220,22.44,0.0,39.04
20150221,23.46,0.0,37.29
20150222,23.07,0.11,40.7
20150223,24.09,0.0,35.57
20150224,23.86,0.0,39.02
20150225,24.52,0.0,36.19
20150226,25.37,0.0,35.66
20150227,23.68,0.86,47.48
20150228,25.03,0.36,45.96
20150301,25.99,0.47,41.61
20150302,22.16,2.45,52.93
20150303,21.33,3.29,62.93
20150304,21.05,1.58,51.71
20150305,19.39,0.0,40.96
20150306,19.74,0.0,37.82
20150307,21.0,0.0,40.89
20150308,23.53,0.0,38.65
20150309,25.21,0.0,39.27
20150310,24.72,0.0,42.04
20150311,22.16,0.0,27.02
20150312,22.73,0.0,29.33
20150313,24.84,0.0,36.7
20150314,26.46,0.0,41.59
20150315,25.46,0.59,47.35
20150316,23.32,5.45,57.13
20150317,25.15,2.83,50.35
20150318,24.6,0.0,44.09
20150319,22.78,0.0,37.05
20150320,23.39,0.0,31.88
20150321,24.2,0.0,28.76
20150322,25.61,0.0,32.96
20150323,27.44,0.0,33.6
20150324,28.33,0.0,30.84
20150325,28.85,0.0,30.61
20150326,29.51,0.0,37.06
20150327,28.69,0.39,41.76
20150328,28.97,1.71,39.87
20150329,29.2,0.0,37.79
20150330,25.54,1.77,51.53
20150331,25.53,2.52,54.85
20150401,28.45,0.0,39.22
20150402,29.44,0.0,34.49
20150403,30.08,0.0,33.66
20150404,30.89,0.8,36.07
20150405,28.93,2.45,43.72
20150406,29.16,1.0,43.26
20150407,29.98,0.95,40.9
20150408,29.14,1.35,41.57
20150409,28.91,0.01,28.9
20150410,29.21,0.0,26.33
20150411,31.1,0.0,24.22
20150412,29.35,0.31,32.32
20150413,26.85,4.98,52.12
20150414,27.06,3.05,57.35
20150415,27.64,4.15,54.59
20150416,28.06,0.15,54.14
20150417,28.53,1.22,46.94
20150418,30.66,0.0,37.79
20150419,32.34,0.01,31.41
20150420,32.03,0.0,37.66
20150421,33.78,0.0,28.81
20150422,32.8,0.01,28.07
20150423,33.54,0.01,23.6
20150424,32.96,0.49,32.91
20150425,29.02,1.79,51.67
20150426,28.27,0.27,52.17
20150427,30.24,0.49,43.27
20150428,31.52,0.21,40.31
20150429,31.19,2.95,46.22
20150430,31.46,0.04,42.92
20150501,32.77,0.0,31.78
20150502,32.85,0.08,31.39
20150503,33.39,0.01,25.78
20150504,33.74,1.38,24.11
20150505,34.52,0.0,20.12
20150506,34.64,0.0,19.3
20150507,35.52,0.0,17.35
20150508,34.56,0.0,21.32
20150509,34.2,0.0,31.37
20150510,34.53,0.13,29.67
20150511,34.73,0.29,27.55
20150512,34.67,0.01,28.85
20150513,33.66,6.92,36.93
20150514,34.62,1.06,33.18
20150515,33.65,1.32,37.58
20150516,31.2,21.2,47.21
20150517,31.36,1.69,50.47
20150518,33.41,0.3,44.14
20150519,33.48,1.87,48.42
20150520,34.37,0.0,39.72
20150521,34.5,0.0,26.74
20150522,34.73,0.0,22.71
20150523,36.37,0.0,21.3
20150524,37.17,0.0,19.24
20150525,36.62,0.0,24.66
20150526,36.7,0.01,30.74
20150527,36.01,0.3,35.48
20150528,35.75,0.4,27.65
20150529,36.98,0.0,31.74
20150530,36.91,0.0,28.11
20150531,37.39,0.0,32.69
20150601,36.74,1.0,32.78
20150602,35.34,1.01,31.86
20150603,36.48,0.37,28.18
20150604,36.53,0.55,34.54
20150605,34.97,6.71,41.08
20150606,35.62,0.18,40.57
20150607,37.08,0.0,33.59
20150608,37.88,0.0,25.3
20150609,38.48,0.0,22.62
20150610,38.58,0.0,18.4
20150611,38.29,0.07,22.75
20150612,36.01,2.37,33.88
20150613,30.37,6.8,60.73
20150614,30.37,11.64,62.1
20150615,32.74,0.64,50.46
20150616,33.58,0.15,48.19
20150617,34.28,0.0,46.33
20150618,33.16,1.72,51.42
20150619,33.63,0.47,51.45
20150620,33.81,0.62,50.88
20150621,31.89,2.79,60.37
20150622,31.02,4.68,65.48
20150623,30.71,9.76,69.22
20150624,29.92,33.12,74.57
20150625,29.84,26.56,72.56
20150626,28.83,3.14,72.4
20150627,30.06,12.19,60.08
20150628,29.64,51.22,70.69
20150629,29.46,1.42,73.6
20150630,29.89,17.66,73.16
20150701,29.08,7.36,75.53
20150702,29.44,1.49,73.52
20150703,29.87,12.51,73.95
20150704,30.97,3.2,69.23
20150705,30.43,17.53,73.78
20150706,28.7,88.27,82.44
20150707,28.36,9.69,83.25
20150708,28.27,29.16,83.07
20150709,28.09,33.96,87.52
20150710,27.47,21.81,91.37
20150711,27.72,6.48,84.81
20150712,28.66,0.21,80.51
20150713,28.89,0.32,80.94
20150714,29.53,0.66,79.61
20150715,28.25,15.48,85.52
20150716,27.25,90.03,90.84
20150717,26.74,19.62,89.08
20150718,28.42,13.47,81.7
20150719,27.93,3.49,82.71
20150720,27.39,4.48,84.56
20150721,28.34,3.0,82.97
20150722,27.87,1.08,85.41
20150723,27.65,15.09,88.06
20150724,27.06,8.38,89.52
20150725,27.22,21.41,87.09
20150726,27.58,6.57,84.16
20150727,26.55,3.81,87.18
20150728,26.73,3.93,87.25
20150729,27.25,0.0,84.09
20150730,27.72,1.49,85.83
20150731,26.73,20.87,89.64
20150801,25.92,25.85,91.22
20150802,25.67,57.31,93.19
20150803,27.43,8.68,86.93
20150804,27.97,0.0,82.74
20150805,28.11,0.0,81.77
20150806,28.4,0.0,79.48
20150807,28.39,0.1,78.65
20150808,28.56,1.44,78.95
20150809,29.09,8.89,80.72
20150810,29.0,13.19,82.41
20150811,28.34,13.36,84.55
20150812,28.06,4.07,84.19
20150813,28.18,0.97,85.07
20150814,28.91,1.93,83.71
20150815,28.29,2.72,86.01
20150816,28.8,18.02,84.4
20150817,27.78,12.47,88.08
20150818,27.24,13.01,90.5
20150819,27.14,15.0,88.84
20150820,27.8,3.75,87.4
20150821,27.49,2.19,85.16
20150822,26.88,1.11,87.3
20150823,27.6,4.25,85.72
20150824,27.54,11.72,87.17
20150825,27.21,5.17,88.39
20150826,27.86,20.29,87.65
20150827,27.98,20.01,88.55
20150828,28.51,1.49,84.91
20150829,28.65,0.19,83.41
20150830,28.11,1.18,87.22
20150831,27.0,2.67,90.31
20150901,27.79,0.35,83.51
20150902,27.67,0.02,81.82
20150903,28.14,0.0,77.69
20150904,27.86,0.13,79.91
20150905,27.71,0.0,80.17
20150906,27.77,0.0,79.19
20150907,27.41,0.0,79.78
20150908,27.3,0.0,80.8
20150909,27.24,0.03,80.42
20150910,27.75,0.22,78.7
20150911,27.94,5.08,81.38
20150912,27.06,0.68,85.65
20150913,28.2,0.01,78.6
20150914,28.63,0.04,79.31
20150915,27.49,0.85,83.45
20150916,26.62,3.34,89.51
20150917,27.26,1.01,87.45
20150918,28.24,0.12,81.79
20150919,27.24,0.23,84.28
20150920,26.52,8.54,91.9
20150921,26.43,31.53,94.1
20150922,26.39,24.98,92.16
20150923,26.89,13.71,86.74
20150924,26.04,0.01,82.78
20150925,25.59,0.0,81.89
20150926,26.19,0.0,74.95
20150927,26.61,0.0,71.2
20150928,26.49,0.0,71.38
20150929,26.82,0.0,70.66
20150930,26.88,0.0,71.33
20151001,27.45,0.0,74.03
20151002,27.46,0.0,78.92
20151003,26.53,0.0,75.13
20151004,25.5,0.0,65.47
20151005,25.81,0.0,60.68
20151006,26.57,0.0,63.19
20151007,26.93,0.0,64.35
20151008,25.89,0.0,68.35
20151009,24.38,0.0,71.26
20151010,24.9,0.0,66.48
20151011,25.5,0.0,69.94
