,T2M,Rain,Humidity
20150101,20.53,0.01,46.25
20150102,20.79,0.01,62.74
20150103,21.88,0.0,60.21
20150104,22.19,0.0,49.91
20150105,22.47,0.0,44.21
20150106,22.15,0.0,36.81
20150107,20.72,0.0,62.71
20150108,22.1,0.0,60.74
20150109,22.66,0.0,46.16
20150110,22.64,0.0,36.2
20150111,22.52,0.0,34.65
20150112,22.69,0.0,35.85
20150113,21.61,0.0,59.29
20150114,22.3,0.0,67.11
20150115,22.12,0.0,38.78
20150116,21.25,0.0,35.03
20150117,21.7,0.0,33.43
20150118,21.28,0.0,33.87
20150119,21.34,0.0,37.74
20150120,22.12,0.67,63.5
20150121,22.4,4.49,75.32
20150122,21.09,2.14,67.89
20150123,20.11,0.0,60.85
20150124,21.15,0.0,48.11
20150125,20.85,0.0,45.09
20150126,19.91,0.0,34.57
20150127,19.2,0.0,32.54
20150128,19.4,0.0,36.53
20150129,20.14,0.0,31.43
20150130,21.63,0.0,33.02
20150131,22.73,0.0,35.71
20150201,21.61,0.0,51.45
20150202,22.43,0.0,67.15
20150203,23.18,0.0,62.11
20150204,24.1,0.0,41.51
20150205,24.29,0.0,36.23
20150206,23.55,0.0,35.59
20150207,22.82,0.0,37.14
20150208,22.12,0.0,50.66
20150209,22.78,0.0,33.97
20150210,24.06,0.0,42.59
20150211,24.32,0.0,37.19
20150212,24.51,0.0,29.38
20150213,24.31,0.0,39.08
20150214,24.06,0.0,62.38
20150215,24.32,0.0,64.86
20150216,25.07,0.0,61.43
20150217,24.91,0.0,60.78
20150218,25.09,0.0,63.93
20150219,24.84,0.0,67.21
20150220,25.4,0.0,62.0
20150221,26.84,0.0,51.04
20150222,27.81,0.0,39.61
20150223,26.64,0.0,55.52
20150224,25.62,0.0,66.55
20150225,24.08,0.0,56.76
20150226,22.71,0.0,48.6
20150227,22.42,0.0,47.25
20150228,22.68,0.42,59.9
20150301,22.78,8.49,67.61
20150302,21.41,0.17,55.82
20150303,21.49,0.0,55.78
20150304,22.23,0.0,55.29
20150305,23.89,0.0,54.84
20150306,25.08,0.0,57.99
20150307,25.43,0.0,53.24
20150308,24.62,0.0,57.95
20150309,24.77,0.0,36.42
20150310,25.76,0.0,28.16
20150311,25.78,0.0,34.36
20150312,27.41,0.43,40.13
20150313,26.52,0.99,51.27
20150314,25.88,1.06,61.46
20150315,24.12,0.46,64.34
20150316,23.48,0.0,58.36
20150317,25.52,0.0,46.62
20150318,26.84,0.0,32.35
20150319,27.64,0.0,33.43
20150320,28.6,0.0,38.65
20150321,29.63,0.0,40.47
20150322,30.55,0.0,44.41
20150323,30.65,0.0,41.83
20150324,30.2,0.0,44.68
20150325,30.59,0.0,40.89
20150326,31.13,0.0,34.31
20150327,30.73,0.01,52.12
20150328,29.78,0.02,54.33
20150329,28.71,0.01,55.18
20150330,28.14,0.0,57.32
20150331,27.21,0.0,57.36
20150401,27.57,0.0,61.57
20150402,27.24,0.0,65.2
20150403,27.26,0.0,63.19
20150404,27.24,0.0,68.54
20150405,27.06,0.0,65.64
20150406,26.04,0.0,68.26
20150407,27.18,0.0,65.1
20150408,29.16,0.0,60.6
20150409,30.02,0.0,56.3
20150410,28.7,0.0,65.68
20150411,27.81,0.06,65.45
20150412,27.56,0.4,67.4
20150413,28.12,2.64,66.46
20150414,29.38,2.21,62.21
20150415,29.42,0.35,63.09
20150416,30.68,0.04,59.13
20150417,31.83,0.0,54.44
20150418,31.17,0.0,55.4
20150419,31.2,0.0,56.22
20150420,32.65,0.0,41.73
20150421,33.39,0.0,29.8
20150422,32.26,0.0,39.99
20150423,30.51,0.0,54.62
20150424,29.83,0.0,57.98
20150425,29.2,0.0,65.09
20150426,29.58,0.0,63.82
20150427,30.14,0.0,63.5
20150428,30.72,0.0,58.22
20150429,30.58,0.0,62.85
20150430,30.24,0.0,65.49
20150501,30.29,0.0,64.92
20150502,31.03,0.0,57.89
20150503,30.61,0.0,59.01
20150504,31.9,0.0,54.17
20150505,31.28,0.0,52.69
20150506,30.24,0.0,56.94
20150507,30.79,0.0,55.26
20150508,31.42,0.0,55.96
20150509,31.4,0.0,54.35
20150510,30.57,0.0,60.04
20150511,30.12,0.2,66.89
20150512,30.61,1.46,66.81
20150513,30.79,0.45,63.79
20150514,30.94,0.19,62.25
20150515,32.35,0.06,54.49
20150516,32.73,0.0,53.2
20150517,32.08,0.0,54.55
20150518,31.39,0.0,58.79
20150519,30.82,0.0,63.32
20150520,31.03,0.0,64.87
20150521,31.27,0.0,65.55
20150522,31.19,0.0,67.23
20150523,30.98,0.0,69.95
20150524,30.28,0.0,72.9
20150525,30.55,0.0,69.91
20150526,30.72,0.0,67.47
20150527,30.33,0.0,71.01
20150528,30.48,0.0,71.39
20150529,31.2,0.0,66.89
20150530,31.25,0.0,65.62
20150531,31.1,0.12,64.95
20150601,30.49,0.33,69.17
20150602,30.15,0.43,69.58
20150603,30.31,1.48,67.06
20150604,30.95,0.28,62.86
20150605,31.78,0.11,61.02
20150606,30.94,0.39,63.83
20150607,30.55,0.52,67.86
20150608,30.59,1.45,71.68
20150609,30.37,5.23,68.41
20150610,29.65,9.75,73.56
20150611,30.15,5.65,72.02
20150612,29.69,7.7,76.79
20150613,29.08,14.37,80.0
20150614,29.15,6.68,79.75
20150615,29.09,8.09,79.66
20150616,29.62,2.22,75.24
20150617,29.55,1.81,76.42
20150618,29.3,4.51,78.27
20150619,28.86,2.22,83.44
20150620,29.24,15.4,84.35
20150621,29.46,10.76,83.12
20150622,28.33,17.49,87.1
20150623,28.56,78.25,87.47
20150624,28.21,56.39,88.69
20150625,28.58,17.0,83.2
20150626,28.54,0.0,81.75
20150627,28.43,0.01,80.25
20150628,28.23,0.0,80.11
20150629,28.2,0.0,79.96
20150630,28.28,0.0,78.53
20150701,27.63,0.0,80.76
20150702,27.86,0.0,80.77
20150703,28.25,0.0,79.83
20150704,28.33,0.0,78.35
20150705,28.23,0.02,77.44
20150706,28.19,0.03,78.77
20150707,28.06,0.04,80.44
20150708,28.0,0.03,80.12
20150709,27.97,0.06,80.71
20150710,27.97,0.07,80.78
20150711,28.36,0.08,78.38
20150712,28.44,0.15,78.45
20150713,28.63,0.07,77.43
20150714,28.62,0.01,76.68
20150715,28.82,0.11,75.82
20150716,28.84,0.06,75.68
20150717,29.08,0.06,75.27
20150718,28.97,0.2,75.52
20150719,28.71,1.08,76.39
20150720,28.12,4.65,79.64
20150721,27.79,11.36,82.87
20150722,27.32,61.58,89.45
20150723,27.17,17.32,90.38
20150724,27.19,14.12,88.62
20150725,27.16,13.8,84.58
20150726,26.95,8.46,85.67
20150727,26.32,47.69,89.6
20150728,26.27,17.97,87.87
20150729,26.49,5.9,85.81
20150730,26.84,0.57,83.22
20150731,26.78,0.16,84.18
20150801,27.05,0.1,82.14
20150802,26.95,1.3,82.91
20150803,26.86,0.59,83.03
20150804,26.68,0.05,84.39
20150805,26.74,0.07,85.2
20150806,26.93,0.06,84.46
20150807,27.3,0.03,84.59
20150808,27.3,0.03,83.84
20150809,26.65,0.57,86.44
20150810,27.1,0.54,83.68
20150811,26.8,0.13,84.34
20150812,26.71,0.72,84.73
20150813,27.08,1.58,84.35
20150814,27.1,1.93,86.06
20150815,27.45,0.77,83.69
20150816,27.35,0.4,83.82
20150817,27.12,0.78,84.9
20150818,27.33,0.83,84.53
20150819,27.14,0.32,83.74
20150820,27.21,0.42,83.35
20150821,27.22,0.25,81.14
20150822,27.55,0.15,79.7
20150823,27.22,0.15,81.54
20150824,27.08,0.09,81.98
20150825,27.35,0.06,80.08
20150826,27.4,0.02,80.65
20150827,27.46,0.02,79.4
20150828,27.7,0.02,79.41
20150829,27.66,0.17,79.38
20150830,27.43,1.09,80.69
20150831,27.22,1.93,79.94
20150901,26.85,0.61,78.43
20150902,26.54,0.34,76.52
20150903,27.02,0.17,70.86
20150904,27.12,0.2,70.25
20150905,27.08,0.0,71.81
20150906,26.96,0.0,74.4
20150907,27.24,0.09,76.63
20150908,28.11,0.26,72.41
20150909,28.46,0.05,72.06
20150910,28.65,0.19,72.89
20150911,28.55,1.25,76.76
20150912,29.07,3.73,77.07
20150913,27.39,1.48,84.35
20150914,28.41,0.5,79.2
20150915,28.48,0.13,75.56
20150916,28.69,0.01,72.45
20150917,28.99,0.01,70.56
20150918,29.33,3.82,72.78
20150919,27.97,29.78,86.04
20150920,27.35,63.29,87.94
20150921,27.29,5.36,85.64
20150922,27.17,1.09,83.12
20150923,26.45,0.07,81.06
20150924,26.05,0.01,79.29
20150925,25.64,0.0,80.66
20150926,26.37,0.0,76.88
20150927,26.75,0.0,74.29
20150928,27.11,0.0,73.4
20150929,28.15,0.0,70.15
20150930,28.88,0.0,66.93
20151001,28.89,0.0,62.68
20151002,28.08,0.01,67.76
20151003,28.79,0.08,77.23
20151004,28.91,0.08,75.12
20151005,29.36,0.01,69.1
20151006,30.13,0.01,65.47
20151007,30.61,0.0,60.87
20151008,30.69,0.0,58.2
20151009,29.65,0.0,65.3
20151010,29.25,0.0,68.94
20151011,29.18,0.04,72.75
20151012,28.77,0.04,76.91
20151013,29.49,0.0,70.56
20151014,30.02,0.0,64.53
20151015,29.6,0.0,63.07
20151016,30.12,0.0,55.48
20151017,29.88,0.0,57.51
20151018,30.16,0.0,61.23
20151019,30.02,0.0,62.39
20151020,30.67,0.0,59.33
20151021,30.64,0.0,55.59
20151022,30.99,0.0,53.6
20151023,30.49,0.0,49.81
20151024,29.81,0.0,48.87
20151025,29.8,0.0,52.25
20151026,29.68,0.01,51.21
20151027,29.32,0.0,49.75
20151028,29.42,0.0,48.57
20151029,26.5,0.0,31.71
20151030,26.19,0.0,42.52
20151031,26.93,0.0,48.81
20151101,27.42,0.0,51.14
20151102,28.42,0.0,59.03
20151103,28.77,0.0,60.14
20151104,29.11,0.0,54.64
20151105,28.33,0.0,56.59
20151106,28.61,0.0,54.05
20151107,27.84,0.0,45.81
20151108,27.19,0.0,40.2
20151109,27.23,0.0,38.76
20151110,27.98,0.0,40.12
20151111,27.93,0.0,45.06
20151112,28.33,0.0,47.38
20151113,28.62,0.0,51.67
20151114,27.6,0.0,45.96
20151115,27.77,0.0,44.91
20151116,27.29,0.0,47.93
20151117,27.03,0.0,39.12
20151118,26.37,0.0,39.87
20151119,26.38,0.0,43.34
20151120,26.63,0.0,43.43
20151121,27.05,0.03,52.47
20151122,27.74,0.04,70.43
20151123,28.27,0.0,67.31
20151124,27.96,0.0,66.14
20151125,27.57,0.0,66.89
20151126,28.17,0.0,52.69
20151127,25.92,0.0,27.78
20151128,24.02,0.0,21.43
20151129,24.3,0.0,33.35
20151130,25.95,0.0,37.61
20151201,26.38,0.0,38.98
20151202,25.92,0.0,34.24
20151203,25.2,0.0,30.7
20151204,25.02,0.0,30.75
20151205,25.56,0.0,32.25
20151206,26.03,0.0,36.05
20151207,26.21,0.0,36.61
20151208,25.33,0.0,35.85
20151209,25.69,0.0,47.27
20151210,25.06,0.0,64.01
20151211,23.22,0.0,38.7
20151212,23.01,0.0,25.77
20151213,23.43,0.0,21.69
20151214,22.62,0.0,23.45
20151215,22.15,0.0,26.41
20151216,22.38,0.0,24.29
20151217,22.18,0.0,49.54
20151218,21.52,0.0,27.03
20151219,22.7,0.0,29.6
20151220,22.39,0.0,30.57
20151221,21.28,0.0,27.49
20151222,20.83,0.0,27.21
20151223,20.99,0.0,29.6
20151224,20.37,0.0,30.7
20151225,20.28,0.0,29.65
20151226,21.26,0.0,31.04
20151227,23.15,0.0,25.05
20151228,25.16,0.0,28.31
20151229,25.21,0.0,35.39
20151230,25.72,0.0,36.43
20151231,25.83,0.0,31.8
20160101,25.62,0.0,30.87
20160102,24.92,0.0,28.86
20160103,24.73,0.0,32.36
20160104,24.31,0.0,36.49
20160105,24.05,0.0,44.31
20160106,24.32,0.0,47.99
20160107,24.36,0.0,40.24
20160108,24.15,0.0,39.26
20160109,23.18,0.0,35.84
20160110,22.33,0.0,43.77
20160111,22.43,0.0,51.83
20160112,22.03,0.0,59.52
20160113,22.43,0.0,64.03
20160114,22.1,0.0,54.54
20160115,22.36,0.0,40.01
20160116,21.84,0.0,34.24
20160117,21.5,0.0,38.31
20160118,21.29,0.0,46.09
20160119,21.24,0.0,41.27
20160120,20.73,0.0,30.14
20160121,20.21,0.0,27.45
20160122,20.71,0.0,25.33
20160123,21.64,0.0,27.78
20160124,21.84,0.0,26.35
20160125,21.67,0.0,32.68
20160126,21.56,0.0,48.9
20160127,22.73,0.0,65.8
20160128,24.78,0.0,58.08
20160129,24.63,0.0,53.37
20160130,24.12,0.0,61.58
20160131,24.09,0.0,61.39
20160201,24.07,0.0,53.71
20160202,23.51,0.0,37.05
20160203,23.48,0.0,28.48
20160204,23.52,0.0,30.04
20160205,23.14,0.0,31.01
20160206,21.99,0.0,62.13
20160207,22.53,0.0,44.52
20160208,23.02,0.0,35.97
20160209,23.44,0.0,29.95
20160210,22.08,0.0,49.64
20160211,22.42,0.0,67.27
20160212,21.61,0.0,61.58
20160213,22.45,0.0,61.53
20160214,22.69,0.0,34.94
20160215,22.51,0.0,28.14
20160216,23.5,0.0,34.01
20160217,24.95,0.0,46.81
20160218,25.07,0.0,64.67
20160219,24.84,0.0,70.82
20160220,25.13,0.0,47.98
20160221,25.73,0.0,31.9
20160222,24.81,0.0,37.65
20160223,25.96,0.0,27.56
20160224,25.13,0.0,38.89
20160225,25.11,0.0,50.14
20160226,26.61,0.0,35.66
20160227,27.37,0.0,26.62
20160228,27.55,0.0,27.91
20160229,27.68,0.0,34.4
20160301,27.68,0.0,43.66
20160302,27.14,0.15,54.73
20160303,27.52,0.13,54.91
20160304,27.67,0.08,50.72
20160305,26.42,0.0,54.5
20160306,25.96,0.0,53.31
20160307,27.16,0.0,44.51
20160308,27.46,0.0,38.82
20160309,27.38,0.0,46.4
20160310,28.17,0.0,47.38
20160311,28.26,0.0,47.85
20160312,25.54,0.01,60.88
20160313,24.72,0.09,68.82
20160314,25.48,0.0,60.68
20160315,27.07,0.0,53.52
20160316,27.67,0.0,48.22
20160317,27.59,0.0,56.82
20160318,28.66,0.0,59.34
20160319,28.77,0.0,55.29
20160320,28.98,0.0,48.39
20160321,28.64,0.0,47.98
20160322,28.82,0.0,44.91
20160323,29.43,0.0,37.92
20160324,29.55,0.0,44.0
20160325,30.28,0.0,41.74
20160326,30.02,0.0,41.86
20160327,29.54,0.0,35.61
20160328,28.63,0.0,44.29
20160329,28.73,0.0,49.37
20160330,28.32,0.0,50.74
20160331,27.73,0.0,55.99
20160401,28.25,0.0,64.21
20160402,28.69,0.0,63.58
20160403,28.98,0.0,59.47
20160404,29.03,0.0,57.74
20160405,28.24,0.0,55.81
20160406,28.75,0.0,55.62
20160407,28.62,0.0,51.53
20160408,28.51,0.0,49.69
20160409,28.93,0.0,54.88
20160410,29.88,0.0,49.91
20160411,30.2,0.0,46.97
20160412,29.65,0.0,48.18
20160413,29.24,0.0,55.42
20160414,29.24,0.0,54.29
20160415,29.16,0.0,58.0
20160416,28.64,0.0,61.36
20160417,29.06,0.0,64.8
20160418,29.29,0.0,61.82
20160419,29.23,0.0,61.73
20160420,29.05,0.0,56.84
20160421,28.94,0.0,56.38
20160422,28.58,0.0,60.35
