,T2M,Rain,Humidity
20150101,20.01,0.0,68.12
20150102,21.3,0.0,68.81
20150103,21.81,0.33,73.25
20150104,20.29,9.27,84.99
20150105,18.16,0.88,84.02
20150106,17.42,0.0,77.09
20150107,17.23,0.0,79.78
20150108,17.45,0.26,80.69
20150109,16.47,0.94,86.36
20150110,17.01,0.13,79.75
20150111,16.55,0.0,78.75
20150112,16.09,0.0,79.05
20150113,16.51,0.0,74.14
20150114,16.91,0.0,71.74
20150115,17.16,0.0,72.72
20150116,18.09,0.0,71.32
20150117,18.63,0.66,72.08
20150118,17.0,0.83,81.11
20150119,17.07,0.09,79.24
20150120,17.66,0.0,73.48
20150121,17.66,0.0,74.47
20150122,18.11,0.0,71.2
20150123,18.5,0.12,72.99
20150124,17.99,0.01,71.6
20150125,18.26,0.0,70.43
20150126,18.32,0.0,67.75
20150127,18.47,0.0,64.63
20150128,18.77,0.0,72.41
20150129,18.87,0.16,72.15
20150130,17.66,0.46,76.03
20150131,16.58,0.03,67.63
20150201,16.45,0.0,66.39
20150202,17.06,0.0,68.24
20150203,18.82,0.0,61.63
20150204,18.8,0.0,65.31
20150205,18.72,0.0,63.11
20150206,18.38,0.0,59.63
20150207,17.74,0.0,61.08
20150208,18.31,0.0,61.96
20150209,19.05,0.0,63.33
20150210,19.34,0.03,65.93
20150211,19.45,0.01,63.59
20150212,18.72,0.36,63.12
20150213,18.45,1.48,64.31
20150214,18.57,0.34,63.66
20150215,18.88,0.0,66.12
20150216,19.4,0.0,66.51
20150217,20.76,0.01,59.32
20150218,21.34,1.17,61.34
20150219,20.46,0.68,64.5
20150220,19.23,0.36,70.54
20150221,20.97,2.16,69.79
20150222,21.15,0.88,71.82
20150223,22.17,0.0,66.12
20150224,23.02,0.0,64.43
20150225,22.82,2.3,67.07
20150226,22.94,4.06,70.92
20150227,24.02,1.71,64.5
20150228,24.69,0.0,62.12
20150301,24.25,0.0,64.35
20150302,24.73,0.13,64.81
20150303,24.18,0.79,59.37
20150304,23.2,2.06,55.44
20150305,21.23,0.87,60.9
20150306,20.35,3.61,51.61
20150307,20.76,0.4,57.4
20150308,22.07,0.0,54.7
20150309,23.48,0.0,51.84
20150310,23.46,0.0,49.59
20150311,23.28,0.0,44.09
20150312,23.69,0.0,46.93
20150313,23.5,0.0,46.6
20150314,23.72,0.0,46.45
20150315,25.01,0.17,52.88
20150316,25.9,0.0,47.83
20150317,25.86,0.0,49.84
20150318,25.28,0.17,50.51
20150319,24.36,0.23,49.71
20150320,24.43,0.0,43.01
20150321,25.47,0.0,42.7
20150322,26.25,0.0,43.63
20150323,26.85,0.0,46.79
20150324,24.13,0.0,61.67
20150325,25.08,0.21,62.29
20150326,25.99,0.87,62.17
20150327,26.36,2.19,60.79
20150328,25.37,1.95,67.64
20150329,26.78,0.22,61.53
20150330,27.56,2.3,58.71
20150331,25.5,2.33,67.1
20150401,26.5,5.23,58.36
20150402,25.32,23.79,64.82
20150403,25.27,7.11,69.3
20150404,25.58,21.65,73.5
20150405,24.21,12.07,76.45
20150406,24.32,7.17,72.73
20150407,25.66,0.91,63.77
20150408,25.43,2.84,68.18
20150409,26.35,5.74,64.71
20150410,26.08,5.34,63.6
20150411,25.67,0.34,62.36
20150412,24.47,0.01,66.06
20150413,25.41,0.08,64.9
20150414,27.23,0.4,61.03
20150415,27.1,0.15,64.5
20150416,26.53,1.79,67.78
20150417,26.95,2.08,61.56
20150418,24.85,22.94,75.7
20150419,25.17,3.47,71.62
20150420,26.29,0.02,64.12
20150421,24.48,11.93,78.24
20150422,24.01,9.83,77.95
20150423,25.85,13.56,77.14
20150424,23.73,7.27,80.1
20150425,23.36,2.98,80.31
20150426,24.12,1.44,73.1
20150427,24.49,0.47,73.83
20150428,25.56,0.32,68.96
20150429,25.87,1.63,71.55
20150430,25.71,0.99,70.64
