,T2M,Rain,Humidity
20150101,20.32,7.39,79.78
20150102,21.1,7.29,74.1
20150103,19.35,5.39,85.34
20150104,19.65,0.44,70.43
20150105,15.99,0.0,58.46
20150106,17.26,0.0,44.34
20150107,17.58,0.0,45.91
20150108,16.55,0.0,50.96
20150109,15.27,0.0,50.01
20150110,15.93,0.0,44.16
20150111,15.91,0.0,42.13
20150112,16.39,0.0,43.31
20150113,16.93,0.0,40.09
20150114,17.58,0.0,42.48
20150115,17.18,0.0,47.17
20150116,17.61,0.0,46.74
20150117,17.03,0.0,46.44
20150118,16.53,0.0,38.27
20150119,16.82,0.0,36.42
20150120,17.09,0.0,41.85
20150121,18.29,0.0,45.06
20150122,19.83,0.05,46.36
20150123,20.54,1.27,51.95
20150124,20.8,0.37,60.85
20150125,21.98,0.01,52.19
20150126,22.09,0.01,52.16
20150127,22.64,0.01,48.81
20150128,21.58,0.91,56.1
20150129,20.24,1.7,64.72
20150130,18.89,0.0,45.28
20150131,17.86,0.0,29.12
20150201,19.25,0.0,28.07
20150202,19.83,0.0,33.61
20150203,20.99,0.0,37.14
20150204,22.15,0.0,37.11
20150205,22.17,0.0,44.11
20150206,22.06,0.0,41.12
20150207,22.58,0.0,38.96
20150208,23.15,1.1,43.41
20150209,21.54,0.61,46.96
20150210,22.72,1.47,47.67
20150211,22.48,1.29,55.33
20150212,22.69,1.03,55.47
20150213,22.14,0.0,40.69
20150214,22.62,0.0,30.42
20150215,24.23,0.0,28.92
20150216,23.62,0.0,28.15
20150217,24.51,0.0,25.89
20150218,25.46,0.0,24.08
20150219,24.56,0.0,29.47
20150220,25.83,0.0,29.2
20150221,25.52,1.47,30.48
20150222,25.62,0.0,28.22
20150223,26.21,0.0,25.53
20150224,26.57,0.0,23.9
20150225,26.88,0.0,23.05
20150226,26.15,0.0,25.63
20150227,26.45,0.0,28.65
20150228,26.96,5.45,31.26
20150301,24.05,5.92,63.08
20150302,21.82,26.48,73.17
20150303,22.27,0.64,62.34
20150304,20.2,0.0,46.79
20150305,21.89,0.0,44.99
20150306,23.48,0.0,42.56
20150307,24.16,0.0,43.41
20150308,25.34,0.0,42.06
20150309,25.39,0.57,49.09
20150310,25.23,0.01,51.3
20150311,25.61,0.0,46.03
20150312,26.18,1.38,44.87
20150313,27.23,0.0,43.86
20150314,26.23,1.68,48.68
20150315,26.27,1.5,49.41
20150316,25.31,6.85,55.74
20150317,26.62,0.12,58.0
20150318,25.59,0.0,49.49
20150319,25.47,0.0,40.01
20150320,26.2,0.0,33.46
20150321,27.2,0.0,31.3
20150322,29.23,0.0,31.41
20150323,29.81,0.0,31.54
20150324,29.81,0.0,30.47
20150325,29.82,0.0,22.19
20150326,30.4,0.0,20.87
20150327,30.91,0.05,25.58
20150328,31.33,0.41,29.15
20150329,30.33,2.6,38.3
20150330,26.65,0.65,51.23
20150331,29.54,0.0,41.45
20150401,30.44,0.0,32.6
20150402,30.38,0.0,20.09
20150403,30.64,0.0,23.27
20150404,30.79,0.0,22.03
20150405,30.06,0.0,26.81
20150406,30.99,0.0,26.34
20150407,31.8,0.01,26.78
20150408,32.27,0.29,34.71
20150409,31.0,10.11,44.45
20150410,30.76,0.53,47.87
20150411,29.48,1.53,51.51
20150412,25.2,1.13,61.82
20150413,24.19,5.95,65.33
20150414,25.4,9.49,62.26
20150415,25.33,3.94,61.89
20150416,27.44,0.03,55.0
20150417,29.51,0.0,47.89
20150418,30.79,0.0,46.02
20150419,31.89,0.0,41.59
20150420,32.41,0.0,39.19
20150421,33.21,0.0,32.65
20150422,34.16,0.01,27.16
20150423,32.91,0.03,25.88
20150424,33.0,0.22,19.36
20150425,32.55,0.17,32.75
20150426,32.02,1.17,37.42
20150427,33.42,0.36,34.46
20150428,34.12,0.12,29.93
20150429,34.58,0.0,18.61
20150430,34.2,0.0,25.72
20150501,34.6,0.0,19.07
20150502,34.27,0.04,19.97
20150503,34.42,0.84,27.18
20150504,33.92,3.04,34.89
20150505,33.92,0.0,34.89
20150506,34.38,0.0,26.65
20150507,34.95,0.0,23.0
20150508,35.58,0.0,19.33
20150509,35.34,0.0,19.62
20150510,33.7,0.0,28.3
20150511,35.17,0.2,30.03
20150512,35.2,0.16,34.34
20150513,35.84,0.26,29.1
20150514,34.54,0.24,35.09
20150515,31.69,13.19,49.01
20150516,31.13,3.94,56.11
20150517,32.05,0.03,50.16
20150518,33.84,0.0,46.36
20150519,36.6,0.0,34.77
20150520,37.26,0.0,25.1
20150521,37.25,0.0,22.61
20150522,37.87,0.0,20.42
20150523,38.07,0.0,17.11
20150524,37.58,0.0,22.3
20150525,37.98,0.26,24.74
20150526,37.83,0.0,24.12
20150527,38.81,0.35,21.87
20150528,38.1,0.0,14.42
20150529,38.9,0.02,20.32
20150530,39.61,0.0,18.53
20150531,38.88,0.0,22.49
20150601,35.31,1.22,37.14
20150602,35.39,1.22,35.49
20150603,35.9,0.02,32.1
20150604,36.46,0.0,33.73
20150605,35.96,1.92,35.29
20150606,35.6,5.2,38.6
20150607,33.09,3.55,50.7
20150608,35.06,0.0,41.52
20150609,36.4,0.02,33.65
20150610,37.02,0.01,32.4
20150611,35.5,2.02,39.27
20150612,30.17,4.5,63.77
20150613,28.86,30.61,70.35
20150614,28.38,29.61,75.0
20150615,28.53,9.94,73.83
20150616,28.83,29.39,74.89
20150617,29.27,8.81,74.66
20150618,29.31,31.92,77.04
20150619,29.61,4.52,74.63
20150620,29.27,9.43,78.42
20150621,28.39,66.16,84.74
20150622,26.36,94.14,93.31
20150623,25.94,1.17,89.08
20150624,26.9,8.47,85.59
20150625,26.84,5.16,83.07
20150626,27.27,0.28,78.55
20150627,28.17,0.5,77.62
20150628,28.74,1.53,76.33
20150629,27.83,1.07,81.62
20150630,27.49,6.47,81.44
20150701,26.89,5.25,83.13
20150702,27.22,17.63,81.92
20150703,27.54,2.91,79.92
20150704,28.0,0.22,77.0
20150705,28.07,0.0,76.53
20150706,28.21,0.86,76.13
20150707,27.4,0.83,79.68
20150708,27.36,10.43,81.77
20150709,26.57,29.55,87.69
20150710,25.46,14.72,91.76
20150711,25.59,11.09,89.4
20150712,27.27,1.3,81.03
20150713,28.38,7.77,79.42
20150714,28.54,4.45,81.47
20150715,27.96,3.55,83.61
20150716,27.62,1.24,81.95
20150717,26.57,8.12,87.72
20150718,27.11,0.93,83.42
20150719,25.55,10.39,91.14
20150720,26.16,1.97,91.29
20150721,26.28,1.11,88.85
20150722,26.45,11.2,87.13
20150723,26.48,26.67,88.93
20150724,25.63,24.01,91.77
20150725,26.09,5.8,89.77
20150726,25.24,0.64,88.89
20150727,25.62,0.01,86.31
20150728,25.99,0.48,84.0
20150729,26.37,0.03,83.44
20150730,26.56,0.0,83.18
20150731,26.86,0.0,81.23
20150801,26.56,0.05,82.41
20150802,26.19,7.02,85.2
20150803,25.23,37.5,92.11
20150804,25.39,66.07,93.54
20150805,24.55,7.98,89.08
20150806,26.65,1.23,85.6
20150807,27.18,11.96,86.54
20150808,27.84,4.38,84.54
20150809,28.16,0.09,79.85
20150810,27.93,2.94,83.16
20150811,27.45,11.62,85.43
20150812,26.75,40.69,89.14
20150813,25.83,51.82,93.71
20150814,26.35,28.41,90.93
20150815,25.84,1.17,92.15
20150816,26.48,15.08,91.62
20150817,26.19,7.91,89.61
20150818,26.26,0.49,88.95
20150819,26.38,24.55,87.99
20150820,26.08,7.35,88.05
20150821,25.51,0.45,85.16
20150822,26.06,1.81,85.23
20150823,25.89,0.42,86.07
20150824,26.11,0.0,85.04
20150825,26.24,9.57,86.01
20150826,26.53,4.61,85.28
20150827,26.3,8.01,89.18
20150828,26.6,19.95,88.91
20150829,26.87,18.0,90.16
20150830,26.18,7.19,90.6
20150831,26.39,12.72,89.46
20150901,26.33,3.41,88.1
20150902,26.17,3.51,86.42
20150903,26.04,0.92,81.07
20150904,26.61,0.03,79.53
20150905,27.2,0.0,79.43
20150906,27.63,0.08,79.6
20150907,27.24,13.21,80.03
20150908,26.77,19.32,84.04
20150909,27.21,0.69,78.55
20150910,26.5,0.0,78.8
20150911,26.75,0.14,81.0
20150912,26.85,0.5,75.89
20150913,27.82,1.78,75.62
20150914,27.79,16.84,80.15
20150915,26.22,25.0,90.46
20150916,26.03,22.1,89.77
20150917,25.89,47.29,93.82
20150918,26.44,11.62,90.85
20150919,26.37,3.14,87.34
20150920,25.69,23.47,87.72
20150921,24.96,3.1,90.11
20150922,25.58,0.05,87.13
20150923,25.9,1.53,86.68
20150924,26.05,0.0,84.3
20150925,24.88,0.0,83.55
20150926,24.03,0.0,76.75
20150927,24.65,0.0,79.13
20150928,25.49,0.01,79.7
20150929,25.55,0.0,80.25
20150930,25.45,0.0,80.47
20151001,26.61,0.07,81.6
20151002,27.36,0.06,80.27
20151003,27.55,0.02,78.84
20151004,26.69,0.09,73.88
20151005,25.98,0.0,67.9
20151006,25.01,0.0,75.43
20151007,24.8,0.0,71.37
20151008,25.36,0.0,61.07
20151009,25.54,0.0,62.92
20151010,26.23,0.0,66.34
20151011,26.69,0.0,63.26
20151012,26.51,0.0,62.96
20151013,26.36,0.0,63.56
20151014,25.1,0.28,74.02
20151015,24.76,0.49,81.81
20151016,24.5,0.0,82.26
20151017,25.55,0.0,70.09
20151018,26.03,0.0,63.9
20151019,25.02,0.0,74.05
20151020,25.81,0.0,71.68
20151021,26.59,0.0,67.52
20151022,25.42,0.27,72.56
20151023,26.19,0.03,67.56
20151024,25.1,0.0,69.84
20151025,24.35,0.01,70.61
20151026,24.97,0.0,68.17
20151027,25.69,0.0,68.16
20151028,24.67,4.1,75.69
20151029,22.24,6.18,81.94
20151030,22.26,4.34,82.27
20151031,22.74,0.0,80.82
20151101,23.09,0.0,77.21
20151102,24.16,0.0,75.24
20151103,24.08,0.0,75.09
20151104,24.5,0.0,70.32
20151105,24.71,0.0,66.15
20151106,24.55,0.0,67.05
20151107,24.44,0.0,69.3
20151108,24.25,0.0,71.45
20151109,23.88,0.0,72.88
20151110,24.13,0.0,69.43
20151111,24.2,0.0,66.24
20151112,23.6,0.0,68.27
20151113,23.15,0.0,63.0
20151114,23.16,0.0,57.84
20151115,23.45,0.0,58.87
20151116,22.91,0.0,64.19
20151117,23.0,0.0,64.73
20151118,22.28,0.0,69.54
20151119,21.61,0.0,63.4
20151120,21.23,0.0,66.23
20151121,21.7,0.0,61.13
20151122,21.61,0.0,65.22
20151123,22.37,0.0,65.11
20151124,22.82,0.0,62.3
20151125,22.84,0.0,59.85
20151126,23.33,0.0,56.62
20151127,23.27,0.0,62.42
20151128,23.88,0.0,67.31
20151129,24.17,0.0,61.8
20151130,23.42,0.0,61.43
20151201,24.01,0.0,57.46
20151202,24.13,0.01,59.97
20151203,23.49,0.01,61.49
20151204,22.26,0.0,50.8
20151205,21.75,0.0,46.01
20151206,20.78,0.0,35.96
20151207,20.62,0.0,39.64
20151208,20.97,0.0,40.04
20151209,20.99,0.0,41.01
20151210,22.27,0.0,36.55
20151211,23.74,0.0,42.77
20151212,24.26,0.0,43.98
20151213,23.06,0.0,43.96
20151214,22.99,0.0,53.33
20151215,20.45,0.0,30.36
20151216,21.21,0.0,36.93
20151217,23.04,0.0,61.71
20151218,20.71,0.0,31.89
20151219,19.1,0.0,27.99
20151220,20.81,0.04,46.0
20151221,22.22,0.41,56.15
20151222,21.43,0.06,65.42
20151223,21.54,0.0,56.09
20151224,18.41,0.0,33.84
20151225,16.61,0.0,27.92
20151226,17.18,0.0,23.29
20151227,19.63,0.0,22.04
20151228,21.46,0.0,25.54
20151229,22.52,0.0,24.46
20151230,22.4,0.0,25.93
20151231,23.04,0.0,31.78
20160101,22.48,0.0,36.71
20160102,22.31,0.0,36.05
20160103,21.05,0.0,29.22
20160104,20.81,0.0,28.37
20160105,21.72,0.0,26.2
20160106,22.14,0.0,25.99
20160107,21.62,0.0,32.17
20160108,22.22,0.0,30.67
20160109,22.08,0.0,33.36
20160110,21.16,0.0,28.31
20160111,20.92,0.0,28.66
20160112,21.1,0.0,22.68
20160113,21.19,0.0,25.99
20160114,21.65,0.0,33.16
20160115,22.43,0.0,38.76
20160116,23.39,0.38,44.5
20160117,20.5,2.34,58.07
20160118,21.42,0.79,57.95
20160119,21.49,1.11,57.31
20160120,18.31,0.06,54.17
