,T2M,Rain,Humidity
20150101,19.65,5.04,54.49
20150102,19.31,10.28,74.8
20150103,19.63,2.8,83.42
20150104,18.81,2.38,76.76
20150105,14.81,0.0,64.44
20150106,12.63,0.01,63.26
20150107,14.05,0.0,60.49
20150108,14.0,0.0,62.42
20150109,12.96,0.01,60.75
20150110,11.32,0.0,58.04
20150111,11.73,0.0,55.79
20150112,12.51,0.0,53.39
20150113,13.12,0.0,53.28
20150114,14.24,0.0,51.5
20150115,14.4,0.0,56.7
20150116,14.16,0.0,60.21
20150117,13.3,0.0,59.95
20150118,13.28,0.0,61.41
20150119,12.65,0.0,57.53
20150120,12.23,0.0,54.67
20150121,12.98,0.0,50.21
20150122,15.19,0.0,45.09
20150123,17.38,0.12,61.71
20150124,16.93,0.53,65.18
20150125,16.11,0.0,58.63
20150126,15.82,0.24,72.79
20150127,16.52,1.39,77.43
20150128,17.43,0.01,66.58
20150129,16.04,1.84,61.98
20150130,14.07,0.0,49.77
20150131,13.72,0.0,48.69
20150201,14.37,0.0,47.89
20150202,17.05,0.0,42.08
20150203,18.99,0.0,41.3
20150204,19.23,0.12,47.62
20150205,15.86,0.32,53.22
20150206,15.65,0.0,45.07
20150207,16.6,0.0,46.83
20150208,18.69,0.19,57.09
20150209,18.04,0.0,63.54
20150210,17.84,0.0,45.41
20150211,17.0,0.0,41.11
20150212,17.97,0.0,46.27
20150213,17.82,0.0,46.49
20150214,18.29,0.0,41.28
20150215,19.06,0.0,43.63
20150216,20.7,0.0,43.89
20150217,21.86,0.0,46.37
20150218,22.45,0.07,49.15
20150219,22.38,0.39,47.57
20150220,22.01,0.17,46.15
20150221,23.51,0.0,41.3
20150222,23.14,0.04,42.44
20150223,23.96,0.57,39.99
20150224,24.29,0.0,42.09
20150225,24.01,0.0,41.4
20150226,23.44,2.04,45.22
20150227,23.71,0.08,50.84
20150228,24.9,0.03,43.82
20150301,22.0,2.22,53.79
20150302,20.33,7.53,71.15
20150303,20.36,4.76,69.77
20150304,21.09,0.3,48.47
20150305,19.32,0.0,40.25
20150306,20.25,0.0,41.41
20150307,21.36,0.0,44.77
20150308,22.64,0.0,42.88
20150309,24.58,0.0,41.99
20150310,24.11,0.0,38.01
20150311,21.41,0.0,33.62
20150312,22.63,0.0,32.61
20150313,24.96,0.0,38.95
20150314,25.17,0.02,44.18
20150315,24.81,0.34,52.17
20150316,24.05,1.56,55.72
20150317,25.42,0.39,47.48
20150318,24.94,0.0,38.19
20150319,23.59,0.08,40.09
20150320,24.58,0.03,39.42
20150321,25.19,0.0,36.05
20150322,26.75,0.0,36.48
20150323,27.02,0.07,37.76
20150324,28.51,0.37,36.2
20150325,30.32,0.04,32.49
20150326,30.69,0.13,34.55
20150327,28.58,6.04,48.64
20150328,28.65,1.9,54.45
20150329,29.79,0.52,41.87
20150330,24.51,16.21,64.44
20150331,25.52,0.0,61.14
20150401,28.16,0.04,43.47
20150402,29.44,0.03,38.45
20150403,30.19,0.02,39.18
20150404,29.22,0.99,41.09
20150405,27.38,0.56,45.83
20150406,28.95,0.81,41.4
20150407,29.4,0.0,37.33
20150408,28.79,0.0,33.63
20150409,27.98,0.0,32.13
20150410,28.41,0.0,31.41
20150411,29.56,0.0,31.0
20150412,29.17,0.01,32.07
20150413,28.54,1.42,41.82
20150414,26.94,3.43,55.97
20150415,28.86,1.29,49.42
20150416,29.56,0.0,47.64
20150417,29.77,1.72,43.06
20150418,30.68,0.24,36.76
20150419,32.37,2.24,32.46
20150420,32.33,0.0,34.6
20150421,33.78,0.01,28.71
20150422,32.94,0.5,24.83
20150423,32.29,3.0,23.33
20150424,32.19,0.03,31.15
20150425,28.5,2.3,50.37
20150426,27.71,0.03,49.24
20150427,29.96,0.39,43.65
20150428,31.05,2.78,43.28
20150429,29.83,12.14,50.06
20150430,30.79,1.16,44.32
20150501,32.53,0.01,35.71
20150502,32.86,0.02,31.73
20150503,32.32,1.71,28.81
20150504,32.36,0.04,22.94
20150505,33.42,0.0,20.12
20150506,34.61,0.01,18.48
20150507,34.33,0.03,21.21
20150508,34.59,0.02,27.42
20150509,34.99,0.0,27.97
20150510,35.67,0.03,30.59
20150511,36.15,0.86,29.77
20150512,33.23,14.53,45.69
20150513,33.76,1.57,35.41
20150514,35.16,0.05,30.3
20150515,33.24,0.05,37.4
20150516,34.79,0.82,34.52
20150517,33.85,1.27,40.78
20150518,35.0,0.03,35.11
20150519,35.98,0.91,37.54
20150520,35.46,5.11,34.84
20150521,34.98,0.69,27.01
20150522,35.02,0.14,21.33
20150523,36.35,0.03,18.46
20150524,37.12,0.15,18.6
20150525,36.21,0.08,23.77
20150526,37.03,0.04,24.19
20150527,36.37,0.19,27.93
20150528,36.19,0.2,30.78
20150529,37.64,0.01,27.36
20150530,37.03,0.03,26.15
20150531,37.14,0.51,27.38
20150601,38.29,1.85,18.47
20150602,37.79,0.83,23.21
20150603,38.0,0.03,21.06
20150604,36.71,4.02,37.41
20150605,36.93,4.29,35.42
20150606,38.15,0.0,23.3
20150607,38.34,0.0,20.26
20150608,38.43,0.0,20.06
20150609,39.48,0.05,24.89
20150610,39.33,0.56,19.22
20150611,37.59,1.01,29.39
20150612,38.18,0.37,29.93
20150613,36.24,6.02,38.95
20150614,34.33,6.42,46.62
20150615,34.55,2.33,44.44
20150616,34.41,5.46,42.86
20150617,35.86,0.61,42.44
20150618,36.72,0.32,39.75
20150619,36.04,3.18,44.33
20150620,35.19,2.05,49.87
20150621,34.58,1.77,49.99
20150622,33.76,1.05,55.28
20150623,34.39,2.66,53.68
20150624,34.83,6.68,51.93
20150625,33.57,17.3,56.86
20150626,33.06,9.14,59.63
20150627,31.68,8.1,57.07
20150628,28.49,32.08,78.87
20150629,30.97,14.38,68.13
20150630,33.82,0.68,53.92
20150701,33.27,2.58,59.1
20150702,33.16,4.73,61.34
20150703,34.12,10.23,56.43
20150704,35.19,0.55,50.33
20150705,34.77,9.43,55.84
20150706,32.06,61.36,71.5
20150707,30.31,8.94,77.66
20150708,30.5,4.97,75.53
20150709,31.06,8.22,73.65
20150710,28.98,7.2,82.16
20150711,29.58,6.82,77.67
20150712,30.83,0.79,73.95
20150713,31.45,2.79,72.33
20150714,31.71,0.77,72.57
20150715,31.75,6.51,72.21
20150716,29.44,41.61,86.06
20150717,29.22,8.54,80.45
20150718,29.67,0.86,76.78
20150719,30.33,1.66,76.61
20150720,29.64,5.6,80.49
20150721,29.94,1.15,78.02
20150722,29.41,0.65,81.07
20150723,28.75,6.64,83.72
20150724,28.69,6.6,85.06
20150725,28.64,14.0,86.37
20150726,30.38,0.5,73.98
20150727,29.78,0.27,75.22
20150728,30.22,0.43,73.33
20150729,30.22,0.34,70.93
20150730,30.14,8.45,75.85
20150731,29.57,45.46,82.12
20150801,28.97,15.76,79.52
20150802,28.69,2.66,81.27
20150803,29.42,0.39,79.48
20150804,30.01,0.02,77.1
20150805,29.93,0.05,78.5
20150806,30.3,3.56,77.24
20150807,31.13,6.13,71.87
20150808,30.06,4.39,77.69
20150809,31.31,4.93,73.63
20150810,31.38,9.86,77.09
20150811,30.38,29.51,81.15
20150812,30.39,2.36,78.16
20150813,30.0,0.62,81.36
20150814,30.49,0.45,79.09
20150815,30.13,4.76,83.54
20150816,28.94,25.49,88.26
20150817,28.35,40.22,89.11
20150818,28.67,14.95,86.09
20150819,28.36,23.68,89.83
20150820,28.61,15.88,89.08
20150821,28.41,33.17,87.19
20150822,28.25,12.59,86.32
20150823,28.69,2.96,85.26
20150824,28.76,10.48,86.29
20150825,28.83,0.83,85.91
20150826,29.11,10.13,84.76
20150827,29.7,24.27,81.47
20150828,29.61,5.88,83.1
20150829,29.84,9.77,83.37
20150830,29.45,6.78,84.32
20150831,29.02,9.05,85.45
20150901,28.36,15.85,83.55
20150902,28.09,1.09,83.08
20150903,28.36,0.6,80.79
20150904,28.35,7.15,80.79
20150905,27.83,0.19,80.47
20150906,27.55,3.61,78.46
20150907,27.55,0.01,78.23
20150908,27.55,0.41,78.2
20150909,28.61,0.25,75.94
20150910,29.71,0.31,72.45
20150911,28.78,3.04,82.64
20150912,27.49,10.13,90.11
20150913,28.34,3.19,84.15
20150914,30.3,3.21,75.86
20150915,28.88,5.73,83.87
20150916,27.9,0.36,86.88
20150917,27.89,0.07,87.92
20150918,29.25,0.01,82.42
20150919,30.1,0.0,79.04
20150920,28.07,0.7,89.12
20150921,27.49,8.07,89.74
20150922,28.11,5.05,86.69
20150923,28.23,19.31,82.42
20150924,26.94,0.33,75.09
20150925,24.8,0.0,72.07
20150926,25.99,0.03,68.44
20150927,27.16,0.03,71.19
20150928,27.8,0.02,69.9
20150929,28.25,0.07,68.73
20150930,28.34,0.0,70.57
20151001,28.74,0.0,69.64
20151002,28.83,0.04,65.41
20151003,27.45,0.86,56.07
20151004,27.39,0.04,54.38
20151005,27.14,0.0,57.6
20151006,27.46,0.0,55.89
20151007,27.71,0.0,59.76
20151008,28.81,0.0,57.36
20151009,28.68,0.0,50.52
20151010,27.83,0.01,53.8
20151011,25.92,0.48,67.46
20151012,25.6,2.7,75.86
20151013,26.96,0.25,67.93
20151014,26.87,0.38,72.2
20151015,26.78,1.05,72.27
20151016,26.95,4.6,66.1
20151017,27.17,0.0,59.27
20151018,27.06,0.0,60.35
20151019,26.83,0.01,63.21
20151020,27.1,0.0,60.8
20151021,26.54,0.0,61.22
20151022,26.42,0.0,52.79
20151023,24.56,0.01,44.09
20151024,24.29,0.05,45.32
20151025,24.05,0.0,53.97
20151026,24.64,0.0,56.13
20151027,24.41,0.0,50.61
20151028,24.45,0.01,48.8
20151029,22.76,2.19,57.97
20151030,22.76,1.69,58.64
20151031,24.25,0.26,50.55
20151101,24.47,0.0,54.86
20151102,25.29,0.0,55.65
20151103,25.57,0.0,48.69
20151104,24.08,0.0,49.71
20151105,24.41,0.0,48.01
20151106,24.78,0.0,48.68
20151107,24.37,0.0,50.39
20151108,23.81,0.0,46.56
20151109,24.21,0.0,45.74
20151110,24.49,0.0,43.36
20151111,24.37,0.0,46.22
20151112,23.3,0.0,46.48
20151113,23.81,0.0,45.07
20151114,24.6,0.0,46.79
20151115,24.91,0.0,46.46
20151116,24.04,0.0,45.77
20151117,24.57,0.0,41.29
20151118,23.14,0.0,42.79
20151119,22.02,0.0,42.55
20151120,22.4,0.0,39.88
20151121,22.3,0.0,41.79
20151122,22.43,0.0,40.48
20151123,22.34,0.0,44.8
20151124,21.91,0.0,49.95
20151125,22.5,0.0,45.21
20151126,22.86,0.0,41.74
20151127,22.3,0.0,44.27
20151128,21.34,0.0,50.83
