,T2M,Rain,Humidity
20150101,25.77,0.02,67.77
20150102,25.85,0.47,75.88
20150103,25.87,1.35,77.89
20150104,26.29,0.03,69.4
20150105,25.22,0.0,59.77
20150106,24.03,0.0,58.76
20150107,24.44,0.0,60.44
20150108,24.11,0.0,58.63
20150109,21.79,0.0,43.97
20150110,21.6,0.0,47.42
20150111,21.54,0.0,54.92
20150112,22.2,0.0,59.67
20150113,22.74,0.0,61.62
20150114,23.29,0.0,64.65
20150115,23.54,0.0,65.81
20150116,23.79,0.0,61.58
20150117,23.6,0.0,59.8
20150118,23.58,0.0,55.93
20150119,23.3,0.0,58.68
20150120,23.58,0.0,58.83
20150121,22.86,0.0,56.85
20150122,22.68,0.0,58.73
20150123,23.27,0.0,62.65
20150124,23.44,0.0,64.29
20150125,24.12,0.0,64.17
20150126,24.35,0.0,62.79
20150127,24.39,0.0,62.04
20150128,24.62,0.0,68.3
20150129,25.77,0.0,65.46
20150130,25.79,0.0,63.08
20150131,25.63,0.0,63.78
20150201,25.81,0.03,65.26
20150202,25.42,0.0,64.5
20150203,24.5,0.0,59.79
20150204,23.94,0.0,59.22
20150205,24.79,0.0,56.73
20150206,24.45,0.0,59.62
20150207,24.91,0.0,61.47
20150208,24.44,0.0,59.0
20150209,25.51,0.0,57.47
20150210,25.08,0.0,64.09
20150211,25.53,0.0,63.38
20150212,26.06,0.0,63.66
20150213,26.49,0.0,61.06
20150214,26.99,0.0,58.49
20150215,27.35,0.0,58.26
20150216,27.12,0.0,61.66
20150217,27.21,0.0,60.2
20150218,27.01,0.0,59.53
20150219,27.31,0.0,61.13
20150220,27.17,0.0,60.8
20150221,27.8,0.0,53.69
20150222,27.86,0.0,48.28
20150223,27.42,0.0,48.48
20150224,26.98,0.0,52.62
20150225,27.15,0.0,51.32
20150226,26.85,0.0,47.95
20150227,26.48,0.0,57.32
20150228,27.04,0.0,61.31
20150301,26.67,0.02,64.27
20150302,27.95,0.09,64.83
20150303,28.74,0.0,63.55
20150304,29.23,0.0,57.97
20150305,29.47,0.0,61.03
20150306,29.6,0.0,58.77
20150307,29.08,0.01,59.77
20150308,29.13,0.03,59.54
20150309,29.54,0.06,58.31
20150310,29.52,0.0,50.01
20150311,28.69,0.0,50.73
20150312,28.75,0.0,56.34
20150313,29.2,0.0,53.98
20150314,28.98,0.0,57.06
20150315,28.92,0.0,58.34
20150316,28.62,0.0,57.45
20150317,29.4,0.0,54.27
20150318,30.18,0.0,47.07
20150319,30.38,0.0,50.23
20150320,31.29,0.0,46.63
20150321,31.51,0.0,45.42
20150322,31.87,0.0,44.21
20150323,31.62,0.0,48.96
20150324,31.74,0.0,51.71
20150325,30.92,0.01,57.21
20150326,30.41,0.01,57.99
20150327,30.55,0.0,55.54
20150328,30.37,0.02,56.63
20150329,30.82,0.0,57.13
20150330,30.13,0.01,57.91
20150331,29.92,0.03,59.79
20150401,31.21,0.0,56.71
20150402,31.63,0.0,56.44
20150403,32.87,0.0,55.26
20150404,33.41,0.0,54.11
20150405,33.34,0.0,52.89
20150406,32.27,0.0,56.27
20150407,31.79,0.01,56.59
20150408,31.2,0.0,59.83
20150409,31.06,0.0,57.83
20150410,31.36,0.0,52.59
20150411,31.34,0.01,51.64
20150412,30.72,0.37,52.22
20150413,29.49,0.45,51.29
20150414,29.83,2.09,50.39
20150415,29.16,3.53,58.32
20150416,29.73,1.11,60.35
