,T2M,Rain,Humidity
20150101,12.97,0.0,38.72
20150102,14.75,0.0,35.71
20150103,13.19,0.26,47.79
20150104,11.98,0.08,43.67
20150105,11.32,0.0,40.76
20150106,13.1,0.0,40.97
20150107,12.77,0.0,42.48
20150108,13.24,0.0,34.83
20150109,12.53,0.0,32.71
20150110,10.92,0.0,29.79
20150111,12.58,0.0,26.91
20150112,14.67,0.0,26.26
20150113,12.75,0.99,40.48
20150114,12.37,7.31,74.28
20150115,12.45,0.0,71.69
20150116,12.46,0.0,52.7
20150117,12.31,0.0,44.43
20150118,12.75,0.0,38.94
20150119,13.41,0.0,38.37
20150120,13.44,0.0,40.27
20150121,10.4,14.68,69.06
20150122,11.56,1.51,88.14
20150123,12.29,0.07,76.83
20150124,12.36,0.0,63.5
20150125,12.42,0.0,52.88
20150126,11.86,0.0,48.58
20150127,10.1,0.0,54.49
20150128,11.14,0.0,46.83
20150129,11.34,0.0,46.44
20150130,11.49,0.0,43.57
20150131,12.63,0.0,42.62
20150201,13.66,0.0,47.32
20150202,15.1,1.45,61.56
20150203,12.84,19.63,84.37
20150204,13.65,0.0,60.21
20150205,13.52,0.0,46.67
20150206,14.13,0.0,40.81
20150207,14.16,0.01,46.87
20150208,14.98,0.08,58.02
20150209,14.8,0.0,51.29
20150210,15.58,0.0,43.25
20150211,16.56,0.0,39.81
20150212,15.68,0.0,36.68
20150213,16.81,0.0,40.97
20150214,19.15,0.0,45.82
20150215,18.88,0.0,46.89
20150216,18.16,4.93,55.09
20150217,18.71,7.58,57.12
20150218,18.86,0.91,52.09
20150219,18.29,16.34,63.18
20150220,16.25,7.92,76.73
20150221,19.27,0.0,56.18
20150222,19.64,0.0,57.46
20150223,20.1,0.0,55.7
20150224,19.64,2.52,61.58
20150225,16.39,12.58,71.38
20150226,14.13,0.0,54.9
20150227,13.82,0.0,51.64
20150228,15.08,0.08,46.65
20150301,14.16,33.48,83.53
20150302,15.24,32.71,88.24
20150303,14.28,1.59,75.62
