,T2M,Rain,Humidity
20150101,12.52,0.0,33.31
20150102,14.35,0.25,43.39
20150103,14.72,0.36,61.84
20150104,14.63,0.0,42.56
20150105,13.58,0.0,41.07
20150106,14.39,0.0,50.53
20150107,14.99,0.0,45.8
20150108,14.51,0.0,33.89
20150109,13.46,0.0,29.24
20150110,13.26,0.0,25.57
20150111,14.98,0.0,22.19
20150112,15.43,0.0,24.17
20150113,13.91,2.76,38.63
20150114,12.62,0.86,53.75
20150115,11.81,0.13,62.36
20150116,13.91,0.0,55.59
20150117,15.01,0.0,47.02
20150118,15.41,0.0,38.9
20150119,15.14,0.0,35.64
20150120,13.3,0.0,34.44
20150121,14.04,2.07,45.5
20150122,14.53,1.67,59.85
20150123,12.5,0.51,65.81
20150124,13.05,0.0,52.97
20150125,13.47,0.0,42.0
20150126,12.02,0.0,43.26
20150127,11.02,0.0,43.76
20150128,10.4,0.0,42.8
20150129,11.7,0.0,30.52
20150130,13.28,0.0,27.41
20150131,15.25,0.0,25.99
20150201,14.85,0.0,33.4
20150202,14.74,4.79,48.01
20150203,14.73,0.09,70.04
20150204,13.7,0.01,65.67
20150205,14.34,0.0,50.71
20150206,14.63,0.0,41.76
20150207,14.39,0.0,46.07
20150208,15.49,0.0,50.31
20150209,15.48,0.0,48.12
20150210,15.62,0.0,37.87
20150211,16.55,0.0,31.22
20150212,17.37,0.0,24.28
20150213,19.32,0.0,24.92
20150214,21.26,0.0,30.18
20150215,21.94,0.0,25.26
20150216,21.49,0.05,27.01
20150217,19.49,0.24,40.09
20150218,20.27,0.0,38.36
20150219,19.94,0.01,38.7
20150220,20.47,0.22,46.29
20150221,19.8,0.21,58.07
20150222,20.82,0.0,48.16
20150223,22.13,0.0,38.66
20150224,22.04,0.76,34.36
20150225,19.7,2.12,29.62
20150226,15.32,0.0,19.7
20150227,16.44,0.0,20.1
20150228,15.64,0.0,37.12
20150301,15.25,18.9,78.76
20150302,15.59,0.36,67.2
20150303,16.87,0.08,49.06
20150304,17.02,0.04,45.92
20150305,17.42,1.95,46.33
20150306,17.35,1.08,64.23
20150307,18.23,4.11,60.7
20150308,16.77,0.25,52.05
20150309,14.74,0.0,52.47
20150310,16.81,0.0,43.01
