,T2M,Rain,Humidity
20150101,17.95,25.95,88.13
20150102,18.52,3.58,84.94
20150103,18.47,0.74,75.3
20150104,17.58,0.0,67.87
20150105,15.61,0.0,58.11
20150106,17.16,0.0,44.72
20150107,17.82,0.0,42.14
20150108,15.81,0.0,53.59
20150109,15.58,0.0,49.86
20150110,16.52,0.0,43.64
20150111,17.16,0.0,47.1
20150112,17.44,0.0,46.12
20150113,16.92,0.0,45.34
20150114,18.5,0.0,38.65
20150115,16.84,0.0,55.96
20150116,17.32,0.0,58.47
20150117,16.55,0.0,54.23
20150118,16.94,0.0,47.2
20150119,18.08,0.0,42.33
20150120,18.84,0.0,42.02
20150121,20.51,0.39,49.38
20150122,18.77,0.94,67.64
20150123,20.1,0.07,65.63
20150124,20.03,8.57,70.48
20150125,20.36,2.18,72.28
20150126,19.56,0.33,74.03
20150127,19.93,0.31,71.3
20150128,18.92,0.03,70.95
20150129,18.43,0.01,66.87
20150130,16.75,0.04,48.91
20150131,17.47,0.0,39.32
20150201,20.13,0.0,33.31
20150202,21.46,0.0,34.5
20150203,22.32,0.0,45.45
20150204,22.17,0.0,48.5
20150205,21.99,0.0,48.21
20150206,23.26,0.0,36.94
20150207,24.11,0.02,33.89
20150208,23.74,0.06,38.2
20150209,22.7,0.08,51.64
20150210,23.07,2.62,47.75
20150211,23.25,0.28,49.28
20150212,22.98,0.0,47.02
20150213,21.73,0.0,35.94
20150214,24.35,0.0,24.79
20150215,24.26,0.0,27.07
20150216,25.98,0.0,26.0
20150217,25.25,0.0,23.55
20150218,24.41,0.0,26.54
20150219,25.56,0.0,22.4
20150220,25.38,0.0,23.97
20150221,25.67,0.35,27.76
20150222,26.2,0.0,26.4
20150223,26.78,0.0,23.39
20150224,27.32,0.0,21.04
20150225,26.35,0.0,25.64
20150226,24.86,0.0,30.39
20150227,23.88,0.0,19.24
20150228,24.8,1.51,26.71
20150301,19.33,16.94,76.06
20150302,20.67,3.14,65.89
20150303,19.34,0.0,54.32
20150304,19.87,0.0,45.48
20150305,22.0,0.0,42.73
20150306,23.73,0.0,37.85
20150307,24.89,0.0,33.23
20150308,26.02,0.0,36.02
20150309,24.87,0.0,40.16
20150310,25.71,0.29,43.71
20150311,26.76,2.26,46.24
20150312,26.13,0.77,50.53
20150313,26.97,3.91,47.92
20150314,24.85,15.63,62.18
20150315,24.17,3.72,63.12
20150316,23.89,1.65,62.33
20150317,22.96,0.0,52.37
20150318,22.69,0.0,54.23
20150319,23.27,0.0,43.77
20150320,25.39,0.0,38.85
20150321,27.99,0.0,38.4
20150322,30.18,0.0,35.3
20150323,29.88,0.0,36.76
20150324,29.6,0.0,35.48
20150325,30.69,0.0,26.41
20150326,31.73,0.0,23.35
20150327,32.43,0.0,26.87
20150328,33.22,0.68,27.32
20150329,31.68,0.27,31.32
20150330,28.37,0.45,35.56
20150331,28.95,0.0,25.69
20150401,28.41,0.0,18.35
20150402,29.51,0.0,23.8
20150403,29.67,0.0,30.1
20150404,28.58,0.0,33.58
20150405,29.06,0.0,41.37
20150406,29.82,0.0,28.32
20150407,31.0,0.01,22.33
20150408,31.48,0.0,25.83
20150409,32.73,0.36,25.8
20150410,33.1,1.63,28.55
20150411,31.89,1.26,34.28
20150412,26.44,20.53,59.87
20150413,23.48,4.18,69.02
20150414,23.51,1.98,67.22
20150415,25.72,0.05,58.36
20150416,27.72,0.0,53.28
20150417,29.7,0.0,47.23
20150418,31.79,0.0,37.56
20150419,32.3,0.0,33.83
20150420,32.76,0.0,31.5
20150421,34.13,0.0,27.89
20150422,34.16,0.0,20.87
20150423,32.44,0.0,21.33
20150424,31.82,0.0,24.29
20150425,32.98,0.0,22.3
20150426,33.8,0.0,23.27
20150427,34.93,0.0,21.43
20150428,34.99,0.07,22.0
20150429,34.46,0.0,25.49
20150430,34.38,0.0,21.85
20150501,34.06,0.0,24.31
20150502,34.06,0.0,18.27
20150503,34.35,0.0,13.47
20150504,34.8,0.53,15.14
20150505,34.75,0.0,15.66
20150506,34.76,0.0,15.54
20150507,35.71,0.0,15.36
20150508,36.54,0.0,16.71
20150509,36.94,0.04,18.79
20150510,36.94,0.4,18.79
20150511,36.31,0.14,18.91
20150512,36.53,0.23,23.7
20150513,35.06,1.7,29.21
20150514,34.12,0.34,32.42
20150515,34.85,3.2,31.4
20150516,35.48,0.22,33.14
20150517,36.52,0.0,21.91
20150518,37.2,0.0,17.04
20150519,37.94,0.0,21.16
20150520,38.12,0.0,20.18
20150521,36.87,0.0,25.57
20150522,36.6,0.0,26.69
20150523,35.89,0.0,28.39
20150524,35.69,0.0,34.89
20150525,34.75,0.01,39.32
20150526,35.68,0.0,34.36
20150527,36.37,0.01,32.1
20150528,36.46,0.76,30.83
20150529,37.25,2.61,29.89
20150530,37.49,0.0,19.84
20150531,36.89,0.0,22.35
20150601,36.88,0.0,25.99
20150602,35.29,0.14,30.75
20150603,34.85,0.05,31.14
20150604,36.32,0.0,28.48
20150605,37.38,0.0,22.33
20150606,36.61,0.41,24.0
20150607,36.67,0.37,26.84
20150608,36.42,0.32,33.32
20150609,35.67,0.09,35.7
20150610,34.79,2.51,40.48
20150611,32.42,15.75,55.35
20150612,29.96,12.63,67.9
20150613,28.72,15.09,73.46
20150614,28.96,7.97,70.78
20150615,27.99,56.55,79.66
20150616,28.05,12.24,78.8
20150617,28.51,11.45,76.07
20150618,27.48,17.01,82.62
20150619,27.58,10.86,81.32
20150620,29.4,3.61,74.35
20150621,28.52,24.3,80.02
20150622,26.46,41.43,91.2
20150623,27.14,0.58,82.78
20150624,27.6,4.98,78.83
20150625,27.22,1.0,76.89
20150626,27.89,0.26,77.19
20150627,28.22,0.01,75.85
20150628,28.04,0.01,75.27
20150629,28.4,1.5,75.66
20150630,26.94,0.39,81.84
20150701,28.24,0.09,75.46
20150702,28.05,0.05,72.96
