,T2M,Rain,Humidity
20150101,16.33,0.0,37.63
20150102,15.61,1.81,54.41
20150103,13.42,12.56,79.54
20150104,12.46,0.22,66.13
20150105,11.74,0.0,47.99
20150106,13.04,0.0,45.08
20150107,12.3,0.0,46.86
20150108,12.76,0.0,41.99
20150109,12.48,0.0,37.29
20150110,11.52,0.0,38.58
20150111,11.47,0.0,35.56
20150112,11.86,0.0,34.98
20150113,13.67,0.0,35.26
20150114,11.1,4.38,57.54
20150115,12.27,0.0,56.0
20150116,13.67,0.0,54.56
20150117,13.39,0.0,50.4
20150118,12.95,0.0,41.06
20150119,12.75,0.0,41.24
20150120,12.73,0.0,41.98
20150121,12.32,1.31,50.31
20150122,10.89,4.19,77.93
20150123,12.31,0.82,71.71
20150124,13.35,0.0,60.64
20150125,12.71,0.0,50.89
20150126,12.96,3.17,53.78
20150127,12.35,0.22,67.7
20150128,11.64,0.0,59.64
20150129,11.05,0.0,48.95
20150130,10.98,0.0,44.15
20150131,11.99,0.0,40.47
20150201,14.16,0.0,38.96
20150202,14.97,0.93,50.24
20150203,15.24,7.53,60.34
20150204,15.26,0.01,55.3
20150205,14.7,0.0,46.34
20150206,14.58,0.0,39.8
20150207,15.18,0.0,38.34
20150208,16.24,0.0,40.34
20150209,16.14,0.0,44.45
20150210,16.01,0.0,41.64
20150211,15.67,0.0,41.03
20150212,15.68,0.0,38.36
20150213,15.12,0.0,38.96
20150214,17.92,0.0,39.83
20150215,19.19,0.0,41.16
20150216,18.35,0.08,43.94
20150217,19.32,0.0,46.34
20150218,19.05,0.0,48.84
20150219,20.67,0.06,41.74
20150220,20.32,7.41,48.93
20150221,20.03,0.0,46.51
20150222,20.06,0.0,46.07
20150223,20.83,0.0,46.37
20150224,21.38,0.0,44.37
20150225,20.17,3.91,54.09
20150226,17.69,0.83,49.05
20150227,16.49,0.93,34.31
20150228,17.88,0.6,33.81
20150301,14.47,52.0,77.1
20150302,14.32,40.05,86.76
20150303,13.88,7.86,79.58
20150304,13.75,0.08,67.95
20150305,15.86,0.12,60.81
20150306,16.7,0.46,56.97
20150307,17.57,0.57,54.91
