,T2M,Rain,Humidity
20150101,20.68,0.96,82.44
20150102,20.21,0.04,79.8
20150103,20.2,0.0,78.26
20150104,20.2,0.0,75.54
20150105,20.76,0.0,73.49
20150106,20.58,0.0,71.69
20150107,19.8,0.0,68.26
20150108,19.65,0.0,66.74
20150109,19.85,0.0,71.31
20150110,18.28,0.0,57.69
20150111,16.92,0.0,48.46
20150112,16.81,0.0,56.71
20150113,16.92,0.0,57.16
20150114,17.65,0.0,56.82
20150115,18.17,0.0,60.82
20150116,19.32,0.0,64.49
20150117,20.48,0.0,66.47
20150118,21.01,0.0,65.52
20150119,20.83,0.0,65.34
20150120,20.69,0.0,69.32
20150121,20.53,0.0,65.77
20150122,19.92,0.0,59.89
20150123,19.91,0.0,64.09
20150124,21.16,0.0,68.19
20150125,21.41,0.0,61.27
20150126,19.22,0.0,55.42
20150127,20.38,0.0,63.19
20150128,21.89,0.0,64.8
20150129,21.99,0.0,69.27
20150130,22.78,0.0,62.09
20150131,21.69,0.0,55.38
20150201,21.37,0.0,58.01
20150202,20.97,0.0,54.37
20150203,20.57,0.0,51.86
20150204,20.19,0.0,50.34
20150205,21.67,0.0,42.9
20150206,22.17,0.0,50.23
20150207,21.53,0.0,55.3
20150208,20.93,0.0,52.89
20150209,21.83,0.0,50.34
20150210,21.26,0.0,44.65
20150211,21.43,0.0,43.57
20150212,22.1,0.0,50.56
20150213,22.04,0.0,47.02
20150214,22.78,0.0,34.39
20150215,22.69,0.0,37.39
20150216,23.18,0.0,44.49
20150217,22.79,0.0,38.65
20150218,22.76,0.0,38.99
20150219,24.26,0.0,54.48
20150220,23.38,0.0,42.33
20150221,22.38,0.0,40.46
20150222,22.61,0.0,43.43
20150223,22.35,0.0,35.55
20150224,22.31,0.0,31.66
20150225,23.32,0.0,39.4
20150226,24.13,0.0,46.77
20150227,25.13,0.0,58.71
20150228,24.69,0.67,58.57
20150301,24.59,0.52,63.44
20150302,24.42,0.97,64.78
20150303,23.6,6.1,66.26
20150304,24.19,0.75,66.32
20150305,25.83,0.0,59.27
20150306,25.49,6.02,62.82
20150307,24.96,1.78,67.16
20150308,23.83,2.6,70.99
20150309,24.85,0.4,63.38
20150310,24.31,0.01,51.58
20150311,23.63,0.0,43.59
20150312,24.92,0.0,49.62
20150313,25.39,0.0,48.23
20150314,25.18,0.0,44.69
20150315,25.59,2.95,60.71
20150316,25.64,0.48,60.11
20150317,25.57,0.0,50.76
20150318,26.18,0.0,52.37
20150319,26.5,0.0,47.66
20150320,25.99,0.0,38.58
20150321,25.56,0.0,36.06
20150322,26.22,0.0,32.5
20150323,27.39,0.0,39.67
20150324,28.33,0.0,37.25
20150325,27.52,0.0,39.21
20150326,27.08,0.0,38.73
20150327,26.14,0.0,35.43
20150328,26.17,0.0,33.99
20150329,26.63,0.72,42.97
20150330,27.15,1.77,51.49
20150331,26.58,1.71,58.93
20150401,26.82,2.65,61.07
20150402,27.26,0.93,61.35
20150403,26.64,3.38,62.98
20150404,27.21,0.19,56.39
20150405,28.42,0.0,45.26
20150406,27.86,0.27,54.16
20150407,26.76,1.24,62.84
20150408,26.93,0.95,60.6
20150409,27.45,0.31,54.76
20150410,26.89,1.29,59.45
20150411,24.38,4.24,68.67
20150412,23.69,7.69,72.61
20150413,23.75,6.7,75.05
20150414,24.4,5.04,70.46
20150415,25.05,3.06,67.66
20150416,25.07,0.52,66.49
20150417,25.6,2.0,63.93
20150418,26.4,0.12,61.24
20150419,26.57,0.23,63.67
20150420,27.04,0.18,62.57
20150421,26.71,0.79,62.77
20150422,25.79,1.12,71.53
20150423,24.4,8.41,79.24
20150424,25.6,10.9,71.4
20150425,23.45,14.18,81.73
20150426,24.8,4.4,70.8
20150427,25.76,1.07,65.1
20150428,27.09,0.22,61.13
20150429,27.41,0.99,60.61
20150430,26.18,2.63,67.83
20150501,27.24,5.39,63.93
20150502,26.43,6.45,68.49
20150503,26.26,1.53,66.62
20150504,26.35,0.7,66.33
20150505,25.25,2.09,71.72
20150506,25.08,2.24,72.76
20150507,24.88,2.28,73.68
20150508,25.02,2.27,76.99
20150509,24.95,1.57,77.56
20150510,25.02,1.57,72.15
20150511,24.82,7.37,69.43
20150512,25.28,3.97,66.61
20150513,24.29,2.35,74.04
20150514,25.56,3.29,66.83
20150515,24.57,15.43,78.04
20150516,23.31,21.74,86.99
20150517,24.56,12.13,78.4
20150518,23.95,7.53,84.35
20150519,24.58,6.5,79.52
20150520,25.36,0.4,74.68
20150521,24.86,0.0,76.17
20150522,24.56,0.07,77.03
20150523,22.64,0.12,82.86
20150524,24.07,4.77,75.4
20150525,25.07,0.52,76.02
20150526,25.56,0.0,73.54
20150527,24.6,4.46,79.63
20150528,23.96,1.01,81.69
20150529,24.33,9.08,79.76
20150530,25.11,9.28,76.13
20150531,24.72,13.71,79.68
20150601,24.55,2.85,79.9
20150602,23.5,0.55,83.96
20150603,24.77,5.49,76.18
20150604,24.11,17.94,82.42
20150605,24.04,3.34,82.65
20150606,24.16,0.06,77.93
20150607,23.97,0.38,77.36
20150608,23.45,2.47,77.69
20150609,23.05,4.2,84.91
20150610,23.29,2.58,79.78
20150611,23.94,1.96,81.21
20150612,22.68,1.29,81.81
20150613,22.92,6.1,80.51
20150614,21.75,4.35,80.95
20150615,21.62,5.76,79.77
20150616,21.58,4.65,80.96
20150617,21.69,7.19,80.69
20150618,21.75,4.65,81.83
20150619,22.65,6.11,85.24
20150620,22.95,11.83,80.47
20150621,23.08,18.58,82.25
20150622,23.37,14.4,83.21
