,T2M,Rain,Humidity
20150101,14.47,0.0,33.45
20150102,15.27,3.11,50.59
20150103,14.69,0.36,69.01
20150104,13.63,0.0,54.88
20150105,12.45,0.0,44.84
20150106,13.42,0.0,52.55
20150107,13.96,0.0,49.32
20150108,13.74,0.0,38.59
20150109,13.42,0.0,29.74
20150110,12.24,0.0,29.79
20150111,13.59,0.0,27.05
20150112,14.92,0.0,26.42
20150113,14.62,0.08,35.27
20150114,13.14,2.93,49.28
20150115,11.42,0.06,65.54
20150116,13.39,0.0,58.98
20150117,14.08,0.0,53.25
20150118,14.67,0.0,42.92
20150119,15.01,0.0,35.35
20150120,13.17,0.0,34.35
20150121,13.66,0.64,40.54
20150122,13.7,6.92,70.47
20150123,13.89,0.3,71.22
20150124,13.17,0.0,55.59
20150125,12.92,0.0,44.82
20150126,12.43,0.2,50.57
20150127,11.07,0.18,55.76
20150128,9.81,0.0,51.21
20150129,10.77,0.0,36.95
20150130,11.68,0.0,34.03
20150131,14.29,0.0,30.7
20150201,14.57,0.0,36.7
20150202,15.32,4.53,44.91
20150203,14.16,0.69,66.44
20150204,13.38,0.02,66.3
20150205,13.73,0.0,50.02
20150206,14.73,0.0,39.58
20150207,15.16,0.0,45.09
20150208,16.29,0.0,46.84
20150209,15.6,0.08,49.46
20150210,15.88,0.0,39.8
20150211,16.08,0.0,33.29
20150212,16.14,0.0,27.2
20150213,18.21,0.0,25.84
20150214,20.52,0.0,31.71
20150215,21.58,0.0,26.63
20150216,20.88,0.01,27.24
20150217,19.95,0.01,40.33
20150218,21.06,0.0,36.22
20150219,21.05,0.03,36.35
20150220,21.94,0.39,38.39
20150221,21.1,0.29,41.19
20150222,21.31,0.0,45.52
20150223,21.63,0.0,37.82
20150224,22.06,0.0,32.46
20150225,20.62,1.48,31.42
20150226,15.34,0.0,18.2
20150227,16.7,0.01,17.09
20150228,16.57,0.04,30.57
20150301,16.61,34.79,78.58
20150302,16.45,3.29,73.69
20150303,16.41,0.32,56.27
20150304,17.48,0.0,40.88
20150305,18.15,0.0,39.26
20150306,17.83,0.81,58.35
20150307,18.58,8.5,61.54
20150308,18.08,0.64,56.77
20150309,14.44,0.0,45.78
20150310,16.45,0.0,45.25
20150311,18.95,0.0,35.19
20150312,20.72,0.0,37.93
20150313,21.96,0.21,47.06
20150314,20.79,0.5,59.78
20150315,18.61,17.31,78.28
20150316,18.81,6.58,71.7
20150317,18.96,0.2,59.8
20150318,18.88,0.0,56.4
20150319,21.93,0.0,41.13
20150320,23.76,0.0,33.73
20150321,24.66,0.0,36.52
20150322,24.47,0.0,47.79
20150323,25.31,0.0,44.58
20150324,27.82,0.0,31.09
20150325,27.17,0.0,36.42
20150326,26.89,0.0,40.71
20150327,28.2,0.0,35.84
20150328,28.62,0.0,29.77
20150329,24.56,3.73,46.45
20150330,23.16,2.53,63.73
20150331,23.84,0.0,59.44
20150401,26.36,0.0,48.42
20150402,26.28,0.02,45.96
20150403,23.22,32.77,65.27
20150404,22.27,13.15,66.28
20150405,23.95,0.02,47.57
20150406,24.86,0.21,41.38
20150407,24.5,1.9,46.99
20150408,23.81,0.21,50.88
20150409,24.52,0.0,45.96
20150410,26.38,0.0,39.24
20150411,27.93,1.77,35.96
20150412,25.68,1.21,50.38
20150413,26.03,0.27,52.14
20150414,25.7,0.04,57.32
20150415,27.12,2.66,50.36
20150416,27.37,3.56,52.39
20150417,27.73,7.71,48.04
20150418,29.9,0.0,40.99
20150419,31.54,0.0,37.41
20150420,31.38,0.0,31.63
20150421,29.17,0.0,39.74
20150422,29.92,0.0,30.1
20150423,31.61,0.0,22.22
20150424,31.42,0.0,23.68
20150425,31.54,0.0,24.9
20150426,29.81,0.0,34.4
20150427,31.08,0.0,36.75
20150428,32.15,0.37,34.75
20150429,32.26,0.78,27.31
20150430,31.94,0.0,27.71
20150501,30.27,0.8,35.74
20150502,31.59,0.01,26.6
20150503,32.96,0.0,18.06
20150504,33.27,0.0,15.76
20150505,33.01,0.0,16.22
20150506,33.6,0.0,14.88
20150507,34.22,0.0,16.16
20150508,34.91,0.0,19.01
20150509,35.02,0.0,24.8
20150510,35.87,0.0,24.03
20150511,35.12,0.27,25.97
20150512,33.63,0.31,27.26
20150513,32.73,0.77,27.95
20150514,32.03,3.33,34.31
20150515,33.07,0.01,30.56
20150516,34.04,0.28,25.49
20150517,34.76,0.0,21.87
20150518,37.11,0.0,19.32
20150519,36.85,0.0,21.51
