,T2M,Rain,Humidity
20150101,18.1,0.87,79.72
20150102,19.4,0.0,73.33
20150103,19.92,0.09,74.12
20150104,19.22,1.7,79.93
20150105,16.52,0.29,78.78
20150106,14.74,0.0,65.42
20150107,14.6,0.03,64.13
20150108,14.25,0.27,59.27
20150109,12.29,0.25,65.09
20150110,13.77,0.07,60.48
20150111,15.37,0.0,52.7
20150112,14.68,0.0,56.85
20150113,15.53,0.0,53.73
20150114,17.09,0.0,53.22
20150115,17.25,0.35,57.1
20150116,16.88,1.25,69.34
20150117,17.63,1.72,69.8
20150118,15.08,0.22,67.23
20150119,13.59,0.05,69.49
20150120,14.72,0.0,65.69
20150121,16.31,0.0,60.82
20150122,16.34,0.0,63.7
20150123,15.71,0.0,67.37
20150124,15.48,0.0,62.09
20150125,15.95,0.0,53.03
20150126,16.05,0.0,42.9
20150127,16.74,0.0,38.29
20150128,16.63,0.0,53.72
20150129,17.35,0.0,58.33
20150130,16.22,0.0,67.28
20150131,14.97,0.0,59.07
20150201,13.99,0.0,43.61
20150202,15.8,0.0,39.22
20150203,17.33,0.0,35.31
20150204,17.11,0.0,40.78
20150205,16.39,0.0,49.01
20150206,16.43,0.0,48.58
20150207,15.5,0.0,44.85
20150208,16.13,0.0,35.65
20150209,17.2,0.0,34.55
20150210,17.07,0.0,50.35
20150211,17.28,0.0,49.68
20150212,16.01,0.0,44.55
20150213,15.09,0.0,48.26
20150214,15.12,0.0,59.07
20150215,15.73,0.02,57.53
20150216,16.85,0.0,52.62
20150217,17.68,0.0,45.14
20150218,17.98,0.21,46.95
20150219,16.95,1.07,61.28
20150220,18.12,0.09,61.0
20150221,18.17,2.75,60.72
20150222,18.31,1.3,59.05
20150223,19.28,0.0,57.24
20150224,19.74,0.0,57.25
20150225,19.5,0.0,58.87
20150226,19.45,0.05,61.56
20150227,19.18,0.05,66.02
20150228,20.54,0.0,62.5
20150301,22.65,0.0,53.81
20150302,21.8,0.0,50.3
20150303,20.38,0.08,58.16
20150304,18.68,5.46,72.59
20150305,18.75,0.15,67.37
20150306,18.54,0.0,44.56
20150307,18.06,0.0,34.71
20150308,19.61,0.0,32.86
20150309,21.53,0.0,31.58
20150310,22.12,0.0,31.03
20150311,21.87,0.0,26.17
20150312,20.87,0.0,20.05
20150313,19.72,0.0,23.71
20150314,21.33,0.0,34.81
20150315,22.67,0.0,44.95
20150316,23.38,0.0,41.76
20150317,22.31,0.0,47.41
20150318,22.29,0.0,49.51
20150319,21.91,0.0,47.95
20150320,21.69,0.0,38.68
20150321,22.88,0.0,23.62
20150322,22.76,0.0,25.56
20150323,22.86,0.0,28.72
20150324,23.09,0.0,38.88
20150325,21.24,10.22,62.56
20150326,21.63,2.76,65.2
20150327,22.17,0.0,62.43
20150328,21.96,0.57,63.72
20150329,21.87,0.67,64.26
20150330,22.05,1.83,65.7
20150331,19.55,4.01,77.72
20150401,21.05,4.52,75.43
20150402,20.47,21.9,77.97
20150403,20.6,20.93,82.93
20150404,21.49,2.9,77.31
20150405,21.75,11.54,77.73
