,T2M,Rain,Humidity
20150101,20.03,0.0,68.26
20150102,21.77,0.0,69.31
20150103,22.18,0.61,74.64
20150104,21.16,10.25,84.88
20150105,18.93,0.76,79.52
20150106,17.45,0.0,74.55
20150107,17.54,0.0,75.03
20150108,18.19,0.48,74.49
20150109,16.63,0.88,83.29
20150110,17.5,0.04,72.5
20150111,17.14,0.0,72.77
20150112,17.29,0.0,73.7
20150113,18.22,0.0,67.32
20150114,18.86,0.0,66.0
20150115,19.3,0.0,67.89
20150116,19.92,0.01,64.52
20150117,20.06,0.8,66.25
20150118,17.98,0.86,76.8
20150119,17.96,0.03,71.42
20150120,17.85,0.0,71.99
20150121,18.58,0.0,69.32
20150122,19.53,0.0,66.25
20150123,19.35,0.01,70.2
20150124,18.86,0.0,66.93
20150125,18.55,0.0,66.15
20150126,18.48,0.0,62.67
20150127,18.59,0.0,62.23
20150128,19.8,0.0,67.23
20150129,19.53,0.0,69.9
20150130,18.39,0.48,72.78
20150131,16.71,0.0,66.61
20150201,16.7,0.0,59.94
20150202,18.2,0.0,61.18
20150203,19.89,0.0,57.61
20150204,19.65,0.0,60.36
20150205,19.42,0.0,59.4
20150206,18.64,0.0,57.25
20150207,18.19,0.0,55.14
20150208,19.05,0.0,55.41
20150209,19.36,0.0,60.23
20150210,19.93,0.0,62.82
20150211,20.05,0.0,59.4
20150212,19.19,0.01,56.52
20150213,19.1,0.16,55.29
20150214,19.2,0.02,58.6
20150215,19.94,0.0,58.38
20150216,20.62,0.0,58.5
20150217,21.82,0.0,55.48
20150218,21.59,3.01,59.91
20150219,20.66,0.39,62.3
20150220,20.89,0.17,67.07
20150221,22.08,1.94,65.61
20150222,22.28,0.88,67.8
20150223,23.05,0.0,63.2
20150224,23.91,0.0,59.66
20150225,23.98,0.44,59.79
20150226,24.05,2.04,65.58
20150227,24.52,1.39,63.72
20150228,25.27,0.01,60.68
20150301,24.96,0.0,62.37
20150302,25.89,0.05,60.82
20150303,25.0,0.06,55.01
20150304,23.3,1.19,54.95
20150305,22.23,0.15,56.96
20150306,20.93,0.73,47.26
20150307,21.48,0.19,51.62
20150308,22.91,0.0,48.09
20150309,24.24,0.0,47.36
20150310,24.51,0.0,41.53
20150311,23.66,0.0,37.07
20150312,24.35,0.0,38.53
20150313,24.29,0.0,37.25
20150314,24.99,0.0,41.38
20150315,26.6,0.01,45.9
20150316,27.13,0.0,40.75
20150317,26.99,0.0,44.9
20150318,26.67,0.02,44.32
20150319,25.78,0.04,43.51
20150320,24.85,0.0,37.28
20150321,26.17,0.0,37.47
20150322,26.79,0.0,37.36
20150323,27.81,0.0,37.36
20150324,27.12,0.0,46.77
20150325,27.15,0.44,52.66
20150326,27.4,0.96,55.93
20150327,27.08,4.89,58.29
20150328,25.87,2.1,65.87
20150329,27.04,0.11,61.91
20150330,27.95,2.1,57.57
20150331,25.59,1.28,66.63
20150401,26.89,1.87,58.6
20150402,25.88,21.64,65.83
20150403,26.51,5.0,68.39
20150404,26.18,16.35,74.08
20150405,24.89,11.05,74.85
20150406,24.72,9.73,73.79
20150407,25.84,0.22,66.07
20150408,26.28,1.81,66.97
20150409,26.73,1.58,65.0
20150410,26.89,2.95,62.68
20150411,26.98,0.74,62.63
20150412,26.73,0.0,61.51
20150413,25.48,0.22,68.32
20150414,27.84,0.04,60.6
