,T2M,Rain,Humidity
20150101,14.89,21.77,86.11
20150102,14.98,8.0,90.37
20150103,16.79,1.11,76.97
20150104,15.73,0.04,67.82
20150105,14.06,0.0,60.58
20150106,16.43,0.0,42.5
20150107,15.61,0.0,51.32
20150108,14.1,0.0,57.69
20150109,13.94,0.0,52.83
20150110,15.31,0.0,45.09
20150111,15.47,0.0,51.37
20150112,15.24,0.0,52.36
20150113,14.76,0.0,49.33
20150114,16.35,0.0,46.68
20150115,15.46,0.0,68.86
20150116,14.7,0.0,64.43
20150117,13.75,0.0,59.74
20150118,13.35,0.0,53.39
20150119,14.17,0.0,50.11
20150120,15.72,0.0,53.64
20150121,17.29,0.11,63.81
20150122,15.86,1.76,78.95
20150123,16.93,0.9,78.74
20150124,17.4,5.88,77.14
20150125,17.23,3.77,80.06
20150126,16.92,0.67,80.02
20150127,17.37,0.69,79.32
20150128,16.43,0.71,76.26
20150129,16.17,1.55,66.57
20150130,13.96,0.04,47.98
20150131,15.15,0.0,44.71
20150201,17.67,0.0,43.07
20150202,18.97,0.0,47.3
20150203,18.94,0.0,57.89
20150204,18.46,0.0,59.93
20150205,18.14,0.0,57.86
20150206,20.03,0.0,51.39
20150207,21.41,1.16,49.98
20150208,21.64,2.18,60.88
20150209,19.32,0.88,65.81
20150210,19.61,0.19,59.25
20150211,18.01,1.19,70.41
20150212,19.61,0.0,60.63
20150213,18.79,0.0,45.95
20150214,21.7,0.0,34.09
20150215,21.36,0.0,35.96
20150216,22.37,0.0,37.11
20150217,23.12,0.0,31.56
20150218,23.39,0.0,32.11
20150219,23.04,0.0,32.55
20150220,23.41,0.0,32.1
20150221,23.69,0.23,34.85
20150222,24.04,0.0,32.89
20150223,24.45,0.0,28.52
20150224,25.9,0.0,25.35
20150225,25.84,0.0,25.93
20150226,24.1,0.0,29.03
20150227,22.94,0.0,17.83
20150228,22.9,0.8,32.19
20150301,18.13,16.54,76.57
20150302,19.17,6.0,68.9
20150303,18.36,0.01,53.3
20150304,18.51,0.0,52.31
20150305,20.34,0.0,47.27
20150306,22.02,0.0,42.28
20150307,23.06,0.0,40.35
20150308,23.87,0.0,44.78
20150309,22.4,0.0,46.87
20150310,22.93,0.02,42.27
20150311,24.66,1.01,46.13
20150312,24.25,0.05,50.92
20150313,25.04,0.88,48.64
20150314,21.92,19.92,69.33
20150315,22.6,4.83,68.6
20150316,22.64,0.67,65.33
20150317,22.69,0.0,56.28
20150318,21.8,0.0,52.49
20150319,21.67,0.0,45.41
20150320,23.36,0.0,44.27
20150321,26.33,0.0,38.45
20150322,27.56,0.0,40.6
20150323,27.38,0.0,45.41
20150324,27.65,0.0,38.24
20150325,28.0,0.0,32.91
20150326,29.18,0.0,29.77
20150327,30.17,0.0,32.67
20150328,31.16,0.47,32.94
20150329,30.17,0.09,33.95
20150330,27.12,0.51,35.59
20150331,27.58,0.0,24.61
20150401,27.87,0.0,21.61
20150402,29.58,0.0,24.51
20150403,29.76,0.0,27.29
20150404,28.62,0.0,31.65
20150405,28.56,0.0,37.07
20150406,29.31,0.24,36.21
20150407,29.65,0.35,30.22
20150408,29.49,0.0,32.39
20150409,30.83,0.6,27.28
20150410,31.55,0.25,29.02
20150411,31.23,0.32,30.14
20150412,28.14,2.14,43.59
20150413,24.47,1.91,55.96
20150414,24.41,2.35,55.3
20150415,25.52,0.02,55.16
20150416,27.84,0.0,48.17
20150417,30.79,0.0,36.8
20150418,33.79,0.0,26.97
20150419,34.09,0.0,24.35
20150420,33.97,0.0,22.0
20150421,34.45,0.0,20.15
20150422,34.34,0.0,18.32
20150423,32.84,0.0,15.2
20150424,32.53,0.0,16.94
20150425,32.94,0.0,15.42
20150426,33.05,0.0,17.21
20150427,34.32,0.0,20.19
20150428,34.93,0.03,17.27
20150429,34.13,0.0,17.89
20150430,34.34,0.0,16.46
20150501,33.55,0.0,16.47
20150502,33.35,0.0,11.69
20150503,34.38,0.0,15.36
20150504,34.92,0.26,14.72
20150505,35.07,0.0,14.15
20150506,35.05,0.0,12.87
20150507,35.54,0.0,13.2
20150508,36.27,0.0,15.51
20150509,36.52,0.34,18.77
20150510,36.64,0.37,19.23
20150511,36.17,0.0,17.84
20150512,36.38,0.2,21.1
20150513,35.68,2.03,25.75
20150514,34.97,0.62,25.53
20150515,35.32,0.29,27.01
20150516,34.48,1.28,33.97
20150517,35.41,0.04,26.1
20150518,36.63,0.0,20.89
20150519,37.93,0.0,18.36
20150520,37.85,0.0,19.01
20150521,37.27,0.0,21.08
20150522,37.39,0.0,21.39
20150523,36.29,0.0,20.81
20150524,36.64,0.0,29.02
20150525,36.16,0.0,33.33
20150526,36.76,0.0,29.35
20150527,37.34,0.14,26.19
20150528,37.77,1.06,22.32
20150529,36.48,5.11,28.29
20150530,36.4,0.0,22.32
20150531,37.23,0.0,20.92
20150601,37.04,0.0,20.39
20150602,36.17,0.01,25.5
20150603,35.35,0.13,28.34
20150604,35.98,0.0,28.16
20150605,37.28,0.0,22.45
20150606,36.4,0.25,22.56
20150607,37.31,0.01,19.42
20150608,37.7,0.0,26.5
20150609,36.41,0.0,30.22
20150610,35.48,1.93,36.59
20150611,33.55,1.9,44.4
20150612,31.83,5.95,53.06
20150613,30.02,11.94,66.4
20150614,30.24,2.37,62.05
20150615,28.22,87.35,77.31
20150616,28.74,10.51,74.03
20150617,29.89,2.02,66.83
20150618,29.01,5.15,70.41
20150619,28.59,5.26,74.39
20150620,29.44,6.28,73.15
20150621,30.85,10.41,68.09
20150622,28.09,39.12,84.87
20150623,27.44,3.53,80.2
20150624,27.3,8.39,81.27
20150625,26.37,6.91,81.64
20150626,27.94,0.1,74.0
20150627,28.45,0.0,72.99
20150628,28.66,0.25,71.07
20150629,28.37,4.65,75.17
20150630,27.73,2.88,77.12
20150701,28.51,1.11,72.29
20150702,28.41,1.96,69.8
20150703,28.45,1.05,69.24
20150704,29.15,0.09,66.04
20150705,29.29,0.0,67.35
20150706,29.0,0.01,66.54
20150707,28.77,0.03,67.46
20150708,29.15,1.66,66.92
20150709,27.49,21.59,75.99
20150710,26.85,28.52,79.35
20150711,26.28,22.58,85.4
20150712,26.47,13.03,83.21
20150713,27.72,0.0,77.29
20150714,28.56,2.7,75.35
20150715,28.27,0.3,74.64
20150716,27.48,0.35,77.99
20150717,26.58,24.73,83.94
20150718,26.04,78.04,89.43
20150719,25.81,83.6,92.15
20150720,26.14,19.61,89.87
20150721,26.04,6.81,90.81
20150722,27.64,8.88,87.4
20150723,26.78,29.71,90.26
20150724,26.44,38.76,89.04
20150725,25.48,126.27,93.8
20150726,25.07,70.08,90.26
20150727,24.58,6.84,90.57
20150728,24.53,2.18,90.46
20150729,25.06,1.2,87.69
20150730,25.6,0.05,85.43
20150731,25.79,0.0,84.76
20150801,25.79,11.53,86.06
20150802,25.24,27.52,89.15
20150803,25.21,40.64,90.08
20150804,25.76,40.61,92.32
20150805,26.33,14.51,90.09
20150806,26.53,0.42,87.08
20150807,26.45,4.94,87.39
20150808,25.56,3.14,92.72
20150809,26.91,0.32,85.7
20150810,26.02,6.3,92.56
20150811,26.57,41.47,88.03
20150812,26.79,45.34,85.26
20150813,25.68,16.13,92.53
20150814,25.65,8.96,93.11
20150815,26.03,26.63,93.21
20150816,25.83,16.44,92.69
20150817,25.86,11.59,90.05
20150818,25.73,32.05,90.9
20150819,26.02,2.25,89.01
20150820,25.22,1.72,89.65
20150821,25.12,0.07,86.77
20150822,25.02,1.38,86.55
20150823,25.18,0.18,85.48
20150824,25.42,0.0,85.6
20150825,25.4,0.0,85.04
20150826,25.96,2.36,84.31
20150827,26.08,0.61,86.23
20150828,25.84,8.07,87.9
20150829,25.29,8.88,92.29
20150830,25.71,25.72,90.15
20150831,25.79,2.91,87.35
20150901,25.19,2.02,88.41
20150902,25.05,0.68,85.75
20150903,24.98,0.11,81.28
20150904,25.42,0.26,80.52
20150905,26.21,0.0,78.45
20150906,26.11,0.0,81.34
20150907,25.6,3.33,81.52
20150908,25.5,1.31,81.77
20150909,25.84,0.0,75.18
20150910,26.15,0.0,77.22
