,T2M,Rain,Humidity
20150101,22.05,1.84,87.21
20150102,20.76,0.0,81.8
20150103,20.88,0.0,80.78
20150104,21.54,0.0,83.36
20150105,22.2,0.0,77.62
20150106,21.44,0.0,79.39
20150107,21.24,0.0,83.88
20150108,21.63,0.0,84.2
20150109,21.8,0.0,83.68
20150110,21.09,0.0,78.0
20150111,18.76,0.0,71.42
20150112,18.95,0.0,73.51
20150113,18.75,0.0,72.93
20150114,19.29,0.0,74.35
20150115,20.11,0.0,73.03
20150116,20.49,0.0,73.04
20150117,21.78,0.0,75.42
20150118,21.88,0.0,74.97
20150119,21.45,0.0,74.28
20150120,21.01,0.0,72.95
20150121,20.69,0.21,73.48
20150122,20.2,1.98,69.95
20150123,21.63,0.04,73.42
20150124,22.47,0.05,73.92
20150125,22.36,0.0,72.81
20150126,21.62,0.0,67.95
20150127,22.04,0.0,69.98
20150128,22.69,0.0,72.7
20150129,22.89,0.0,72.64
20150130,22.55,0.0,73.99
20150131,22.77,0.0,66.85
20150201,22.48,0.0,67.76
20150202,22.0,0.0,62.66
20150203,22.1,0.0,65.29
20150204,21.86,0.0,68.06
20150205,22.9,0.0,68.42
20150206,23.35,0.32,61.92
20150207,23.0,0.69,66.79
20150208,22.44,0.0,65.6
20150209,22.96,0.0,59.67
20150210,22.56,0.0,65.63
20150211,24.1,0.0,65.6
20150212,24.5,0.2,65.14
20150213,24.36,0.26,67.78
20150214,24.24,0.0,68.53
20150215,24.46,0.0,62.86
20150216,23.59,0.0,56.1
20150217,23.56,0.0,63.77
20150218,23.07,0.0,58.97
20150219,23.32,0.0,62.64
20150220,22.55,0.0,56.83
20150221,22.14,0.0,53.43
20150222,22.23,0.0,49.57
20150223,23.02,0.0,48.33
20150224,23.51,0.0,49.4
20150225,24.58,0.0,61.02
20150226,24.86,0.03,67.37
20150227,24.83,0.16,71.14
20150228,24.56,0.08,72.4
20150301,25.19,0.08,70.73
20150302,24.84,1.57,73.93
20150303,24.42,1.25,76.58
20150304,23.92,0.09,76.7
20150305,25.84,0.0,66.07
20150306,25.47,4.43,69.36
20150307,24.78,4.68,73.57
20150308,24.61,4.29,68.99
20150309,24.55,0.93,68.19
20150310,24.96,0.01,60.31
20150311,24.23,0.0,58.07
20150312,25.21,0.0,62.56
20150313,25.78,0.03,62.31
20150314,24.56,2.19,67.82
20150315,24.88,2.64,72.65
20150316,24.0,8.97,79.84
20150317,24.8,1.05,68.28
20150318,25.17,0.0,64.15
20150319,25.23,0.0,64.62
20150320,25.82,0.0,58.33
20150321,25.51,0.0,55.92
20150322,25.53,0.0,55.53
20150323,26.58,0.0,63.65
20150324,27.12,0.0,64.05
20150325,26.18,0.0,64.1
20150326,26.0,0.0,59.19
20150327,25.27,0.0,54.79
20150328,25.68,0.14,58.24
20150329,26.49,0.23,63.33
20150330,26.96,0.25,61.73
20150331,25.48,4.7,72.32
20150401,25.58,8.86,74.98
20150402,25.89,2.37,73.05
20150403,26.08,0.07,72.46
20150404,26.29,0.06,74.0
20150405,26.22,0.0,73.04
20150406,26.28,1.79,72.66
20150407,26.37,4.62,73.65
20150408,25.02,4.33,74.76
20150409,25.64,5.53,62.9
20150410,25.65,4.45,72.91
20150411,25.05,2.25,76.81
20150412,24.74,2.31,73.74
20150413,24.04,3.12,78.6
20150414,24.05,8.53,79.39
20150415,23.91,17.74,82.83
20150416,23.54,9.12,84.62
20150417,24.18,11.89,80.94
20150418,24.95,2.72,76.5
20150419,25.32,0.07,75.28
20150420,25.68,1.84,75.38
20150421,25.19,11.96,77.57
20150422,24.65,11.22,81.8
20150423,24.41,1.74,84.62
20150424,25.33,3.12,79.62
20150425,24.02,8.56,77.3
20150426,24.71,2.59,70.98
20150427,25.52,0.42,72.15
20150428,26.03,0.03,72.44
20150429,26.09,1.38,74.61
20150430,25.34,0.87,79.65
20150501,25.73,0.01,75.62
20150502,24.95,0.0,78.4
20150503,25.57,0.0,73.62
20150504,25.43,1.81,77.52
20150505,24.8,3.13,79.54
20150506,24.67,2.45,81.31
20150507,24.56,9.11,84.2
20150508,24.49,9.06,87.29
20150509,23.81,10.83,89.52
20150510,24.34,3.48,81.87
20150511,23.35,8.15,82.96
20150512,23.73,19.13,78.45
20150513,24.07,10.83,83.66
20150514,23.85,7.07,87.35
