,T2M,Rain,Humidity
20150101,14.67,21.34,86.25
20150102,16.89,2.76,82.88
20150103,17.8,0.05,72.54
20150104,17.04,0.0,60.78
20150105,15.95,0.0,50.4
20150106,17.22,0.0,40.21
20150107,17.12,0.0,44.58
20150108,15.79,0.0,50.81
20150109,15.24,0.0,48.07
20150110,17.11,0.0,39.81
20150111,17.6,0.0,45.42
20150112,17.21,0.0,48.68
20150113,17.0,0.0,44.83
20150114,17.85,0.0,44.42
20150115,16.65,0.0,56.17
20150116,16.66,0.0,53.37
20150117,16.32,0.0,45.08
20150118,16.75,0.0,42.82
20150119,16.82,0.0,42.63
20150120,17.87,0.0,43.45
20150121,19.3,0.55,57.41
20150122,19.47,2.22,74.11
20150123,18.87,0.0,70.94
20150124,19.14,2.0,68.64
20150125,18.29,19.07,78.41
20150126,18.89,0.18,72.62
20150127,18.16,0.02,74.86
20150128,17.3,0.0,74.56
20150129,17.3,0.0,57.14
20150130,15.91,0.0,40.66
20150131,17.35,0.0,38.08
20150201,18.53,0.0,43.54
20150202,20.23,0.0,43.05
20150203,20.44,0.0,51.24
20150204,19.79,0.0,56.49
20150205,19.91,0.0,50.59
20150206,20.88,0.0,49.69
20150207,22.03,0.11,46.45
20150208,21.14,0.16,47.34
20150209,20.22,0.03,58.74
20150210,20.64,0.31,53.45
20150211,22.01,1.5,53.46
20150212,21.24,0.0,49.54
20150213,21.9,0.0,31.53
20150214,23.16,0.0,27.57
20150215,23.49,0.0,28.6
20150216,23.63,0.0,31.35
20150217,23.84,0.0,27.43
20150218,23.9,0.0,28.66
20150219,25.04,0.0,24.52
20150220,25.43,0.0,24.67
20150221,25.49,0.0,25.53
20150222,25.86,0.0,25.87
20150223,26.26,0.0,24.85
20150224,26.84,0.0,22.86
20150225,25.15,0.0,32.49
20150226,23.42,0.0,25.64
20150227,21.95,0.0,18.56
20150228,22.84,0.79,23.16
20150301,19.25,5.11,68.04
20150302,19.59,1.4,66.46
20150303,18.67,0.0,43.07
20150304,19.96,0.0,40.32
20150305,21.66,0.0,35.65
20150306,22.71,0.0,33.77
20150307,23.98,0.0,33.17
20150308,24.93,0.0,33.32
20150309,23.91,0.0,25.49
20150310,24.75,0.05,24.73
20150311,26.85,1.63,36.31
20150312,24.35,1.79,59.29
20150313,25.86,5.63,48.79
20150314,22.81,25.13,70.26
20150315,23.84,3.8,67.22
20150316,22.06,0.0,60.61
20150317,21.97,0.0,47.43
20150318,22.27,0.0,48.95
20150319,23.04,0.0,40.36
20150320,25.32,0.0,36.91
20150321,27.36,0.0,37.36
20150322,30.15,0.0,33.85
20150323,28.62,0.0,41.44
20150324,28.83,0.0,39.54
20150325,29.87,0.0,33.35
20150326,30.84,0.0,29.76
20150327,31.38,0.0,31.73
20150328,31.75,0.4,32.87
20150329,29.87,0.27,32.38
20150330,28.76,0.09,30.53
20150331,27.79,0.0,24.93
20150401,28.13,0.0,21.91
20150402,29.22,0.0,29.01
20150403,28.89,0.0,37.53
20150404,27.5,0.0,44.22
20150405,28.0,0.0,45.5
20150406,28.66,0.0,34.49
20150407,29.15,0.16,30.47
20150408,30.31,0.0,31.91
20150409,31.18,1.56,29.55
20150410,31.62,0.01,31.0
20150411,30.17,1.94,39.99
20150412,27.17,4.53,53.45
20150413,24.15,2.85,64.23
20150414,24.24,0.91,60.98
20150415,26.48,0.16,55.65
20150416,28.89,0.0,47.05
20150417,31.4,0.0,34.97
20150418,33.27,0.0,27.46
20150419,33.81,0.0,25.27
20150420,33.95,0.0,24.23
20150421,34.55,0.0,20.26
20150422,33.58,0.0,17.43
20150423,31.74,0.0,22.69
20150424,32.15,0.0,27.64
20150425,33.0,0.0,25.54
20150426,33.45,0.0,29.1
20150427,34.52,0.0,26.67
20150428,34.08,0.0,26.24
20150429,33.77,0.0,25.23
20150430,33.29,0.0,28.97
20150501,33.41,0.0,29.69
20150502,33.34,0.0,23.75
20150503,33.77,0.0,12.78
20150504,34.09,0.0,16.17
20150505,34.41,0.0,16.93
20150506,34.29,0.0,18.09
20150507,35.38,0.0,17.68
20150508,36.08,0.0,18.37
20150509,36.2,0.08,18.4
20150510,35.02,0.17,19.63
20150511,35.2,0.0,22.15
20150512,35.11,0.05,28.3
20150513,34.39,0.44,32.24
20150514,33.96,0.68,32.42
20150515,35.82,0.01,22.31
20150516,36.83,0.05,17.4
20150517,36.57,0.0,15.27
20150518,37.02,0.0,18.73
20150519,36.6,0.0,26.49
20150520,36.26,0.0,29.87
20150521,35.3,0.0,33.64
20150522,35.23,0.0,33.11
20150523,34.57,0.0,36.63
20150524,33.94,0.0,44.01
20150525,33.51,0.0,46.45
20150526,34.06,0.0,42.1
20150527,34.84,0.0,37.86
20150528,35.13,0.07,36.5
20150529,35.99,0.74,32.76
20150530,36.59,0.0,21.09
20150531,36.63,0.0,25.49
20150601,35.5,0.0,32.26
20150602,33.8,0.04,39.06
20150603,33.47,0.31,39.6
20150604,34.77,0.09,33.76
20150605,35.56,0.0,26.96
20150606,35.04,0.0,28.71
20150607,35.52,0.02,33.85
20150608,34.77,0.3,38.24
20150609,33.33,0.24,43.12
20150610,33.14,5.58,47.17
20150611,31.84,2.48,53.65
20150612,29.84,5.29,65.12
20150613,28.91,12.35,71.01
