,T2M,Rain,Humidity
20150101,17.35,25.53,89.53
20150102,18.32,22.5,82.6
20150103,17.56,3.43,91.02
20150104,16.04,0.12,76.45
20150105,13.36,0.0,63.87
20150106,15.11,0.0,48.98
20150107,15.95,0.0,49.5
20150108,13.71,0.0,61.5
20150109,12.72,0.0,55.55
20150110,13.8,0.0,47.94
20150111,13.97,0.0,48.25
20150112,13.91,0.0,48.73
20150113,13.6,0.0,48.54
20150114,15.8,0.0,43.52
20150115,15.33,0.0,49.47
20150116,14.24,0.0,58.16
20150117,13.34,0.0,56.75
20150118,12.6,0.0,51.51
20150119,13.47,0.0,49.39
20150120,15.17,0.0,48.91
20150121,17.03,0.0,54.09
20150122,16.92,2.27,62.06
20150123,16.87,4.21,78.28
20150124,17.61,0.4,74.6
20150125,19.44,0.18,66.68
20150126,19.31,0.14,68.73
20150127,18.55,0.7,73.79
20150128,17.39,4.57,75.55
20150129,15.77,5.64,76.41
20150130,13.87,0.0,49.0
20150131,14.23,0.0,42.8
20150201,16.43,0.0,42.08
20150202,17.67,0.0,44.64
20150203,20.25,0.02,44.15
20150204,19.01,0.16,57.92
20150205,17.76,0.0,56.75
20150206,18.5,0.0,52.06
20150207,20.28,0.1,52.18
20150208,20.3,4.5,59.94
20150209,19.16,2.1,66.87
20150210,18.87,0.11,61.52
20150211,16.5,3.47,72.57
20150212,18.51,0.27,68.79
20150213,18.16,0.0,52.82
20150214,20.46,0.0,39.04
20150215,20.34,0.0,46.71
20150216,20.35,0.0,43.41
20150217,22.15,0.0,38.53
20150218,21.99,0.0,39.51
20150219,21.45,0.0,40.48
20150220,22.59,0.0,39.03
20150221,22.94,0.21,39.93
20150222,22.81,0.0,39.59
20150223,23.18,0.0,34.39
20150224,23.75,0.0,31.44
20150225,25.42,0.0,28.1
20150226,23.92,0.0,36.46
20150227,24.54,0.0,35.63
20150228,25.09,10.33,40.45
20150301,20.62,10.77,76.06
20150302,19.07,33.4,81.04
20150303,18.54,0.82,67.68
20150304,17.54,0.0,56.37
20150305,18.95,0.0,50.69
20150306,20.15,0.0,48.33
20150307,22.03,0.0,43.76
20150308,23.07,0.0,46.46
20150309,23.26,0.01,52.24
20150310,21.87,0.01,52.55
20150311,22.5,0.0,43.95
20150312,24.6,0.22,45.68
20150313,24.43,2.71,54.54
20150314,22.38,6.63,65.22
20150315,23.65,4.33,60.33
20150316,23.53,7.12,65.21
20150317,23.65,0.08,63.63
20150318,21.98,0.0,58.82
20150319,21.62,0.0,48.24
20150320,22.5,0.0,44.07
20150321,24.13,0.0,43.98
20150322,26.63,0.0,42.02
20150323,27.31,0.0,43.73
20150324,25.8,0.0,46.89
20150325,26.14,0.0,35.23
20150326,27.26,0.0,33.4
20150327,28.27,0.0,35.75
20150328,29.21,0.19,34.59
20150329,28.57,1.85,40.83
20150330,24.58,0.68,57.17
20150331,26.79,0.0,41.8
20150401,27.19,0.0,30.62
20150402,28.24,0.0,25.29
20150403,28.48,0.0,29.29
20150404,27.96,0.0,28.55
20150405,27.34,0.0,35.0
20150406,28.5,0.01,36.43
20150407,29.25,0.01,30.51
20150408,29.35,1.25,36.48
20150409,30.22,0.6,34.11
20150410,30.89,0.09,37.41
20150411,30.03,0.64,40.44
20150412,25.82,2.19,52.91
20150413,23.43,3.95,63.26
20150414,24.03,5.73,63.2
20150415,24.64,4.18,59.93
20150416,26.31,0.02,56.12
20150417,28.74,0.0,46.08
20150418,30.66,0.0,41.63
20150419,33.0,0.0,34.32
20150420,32.79,0.0,32.28
20150421,32.77,0.0,27.08
20150422,33.31,0.0,22.07
20150423,33.24,0.0,18.96
20150424,32.27,0.01,15.83
20150425,31.72,0.23,21.46
20150426,31.3,0.55,33.22
20150427,32.59,0.03,30.09
20150428,33.69,0.02,23.92
20150429,33.43,0.0,21.7
20150430,33.56,0.01,25.43
20150501,33.03,0.0,16.73
20150502,32.77,0.0,13.14
20150503,33.33,0.07,18.28
20150504,34.14,0.21,22.17
20150505,34.31,0.0,23.82
20150506,35.01,0.0,13.76
20150507,35.08,0.0,13.38
20150508,35.31,0.0,13.09
20150509,35.23,0.0,14.16
20150510,35.15,0.03,19.88
20150511,35.7,0.22,24.87
20150512,35.3,0.29,30.02
20150513,35.31,0.16,26.94
20150514,34.33,0.11,29.74
20150515,32.22,1.01,37.33
20150516,33.89,1.92,36.87
20150517,33.75,1.7,32.9
20150518,34.76,0.0,27.83
20150519,36.37,0.0,26.03
20150520,36.12,0.11,26.95
20150521,35.83,0.0,20.56
20150522,36.77,0.0,19.77
20150523,37.33,0.0,15.8
20150524,36.72,0.02,21.77
