,T2M,Rain,Humidity
20150101,13.17,0.0,41.1
20150102,15.03,0.02,38.82
20150103,12.39,2.48,61.02
20150104,11.54,0.18,52.58
20150105,10.58,0.0,45.18
20150106,12.22,0.0,45.81
20150107,12.1,0.0,47.34
20150108,12.89,0.0,41.12
20150109,12.21,0.0,38.95
20150110,10.3,0.0,36.39
20150111,11.45,0.0,32.91
20150112,13.76,0.0,30.09
20150113,12.6,0.17,41.57
20150114,11.51,9.03,72.49
20150115,12.09,0.0,73.55
20150116,12.27,0.0,59.88
20150117,11.81,0.0,48.47
20150118,12.58,0.0,41.73
20150119,13.35,0.0,40.02
20150120,12.59,0.0,43.79
20150121,10.63,13.01,66.51
20150122,11.23,5.13,89.21
20150123,12.33,0.16,76.1
20150124,12.47,0.0,65.19
20150125,11.97,0.0,54.82
20150126,11.64,0.07,49.24
20150127,10.41,0.06,54.01
20150128,10.45,0.0,50.7
20150129,10.6,0.0,46.98
20150130,10.93,0.0,46.39
20150131,12.13,0.0,43.5
20150201,13.76,0.0,45.17
20150202,15.31,1.63,52.94
20150203,13.32,17.61,81.67
20150204,13.62,0.0,65.19
20150205,13.16,0.0,50.8
20150206,13.73,0.0,43.37
20150207,14.32,0.0,47.99
20150208,15.07,0.01,56.22
20150209,14.6,0.0,53.76
20150210,15.18,0.0,45.2
20150211,15.78,0.0,43.09
20150212,15.16,0.0,38.78
20150213,15.89,0.0,42.08
20150214,19.07,0.0,43.97
20150215,18.66,0.0,47.66
20150216,18.21,3.92,50.84
20150217,19.32,7.88,53.73
20150218,18.7,0.64,53.25
20150219,18.02,9.49,62.37
20150220,17.9,11.88,70.33
20150221,19.36,0.0,54.8
20150222,19.01,0.0,61.7
20150223,20.25,0.0,55.6
20150224,20.47,0.08,53.87
20150225,16.95,15.2,65.63
20150226,13.9,0.01,46.78
20150227,13.84,0.03,50.91
20150228,14.72,0.12,49.23
20150301,14.2,49.11,85.53
20150302,14.99,29.54,87.98
20150303,14.28,2.08,76.15
20150304,14.44,1.77,68.95
20150305,14.03,1.88,74.33
20150306,15.92,0.09,66.07
20150307,15.41,3.2,66.95
20150308,15.62,4.41,76.32
20150309,12.99,0.39,71.24
20150310,15.13,0.0,58.23
20150311,16.63,0.0,53.69
20150312,18.33,0.0,48.23
20150313,18.94,0.0,45.58
20150314,20.35,1.33,56.75
20150315,18.41,9.57,76.72
20150316,17.05,15.13,83.17
20150317,17.71,0.27,73.84
20150318,17.73,0.0,70.14
20150319,19.36,0.0,59.76
20150320,19.99,0.0,58.03
20150321,21.6,0.0,58.21
20150322,22.44,0.0,60.54
20150323,23.22,0.0,62.33
20150324,25.25,0.04,53.43
20150325,24.92,0.03,54.18
20150326,25.11,0.0,49.87
20150327,24.83,0.0,43.97
20150328,26.34,0.01,42.21
20150329,22.09,6.09,58.67
20150330,22.02,18.34,72.08
20150331,21.92,0.58,69.15
20150401,22.74,0.77,66.6
20150402,24.19,0.28,57.69
20150403,22.19,5.42,65.37
20150404,22.64,1.52,61.26
20150405,22.03,0.04,62.09
20150406,22.84,1.09,59.13
20150407,19.98,6.19,76.57
20150408,22.47,0.05,60.94
20150409,23.13,0.0,58.49
20150410,24.78,0.0,53.03
20150411,26.24,0.01,51.59
20150412,25.1,0.23,56.11
20150413,25.95,0.0,53.71
20150414,25.47,0.03,58.02
20150415,25.92,21.89,61.44
20150416,25.22,3.2,63.94
20150417,25.62,0.0,61.58
20150418,27.9,0.0,50.25
20150419,29.61,0.0,42.8
20150420,29.15,0.89,43.78
20150421,27.62,0.0,46.62
20150422,27.61,0.0,44.07
20150423,29.51,0.0,35.09
20150424,30.34,0.0,34.19
20150425,31.14,0.0,32.98
20150426,29.18,0.01,40.36
20150427,29.58,0.24,43.72
20150428,30.54,1.68,40.1
20150429,30.15,0.68,36.07
20150430,29.13,1.93,39.43
20150501,28.04,4.44,41.97
20150502,28.64,0.0,32.54
20150503,29.83,0.0,28.85
20150504,30.04,0.0,29.84
20150505,31.45,0.0,31.26
20150506,32.62,0.0,33.59
20150507,34.19,0.0,30.96
20150508,32.92,0.0,31.49
20150509,33.2,0.0,31.44
20150510,33.66,0.13,34.81
20150511,33.85,1.33,34.54
20150512,31.84,3.06,39.12
20150513,30.19,6.19,45.45
20150514,29.9,7.27,47.71
20150515,31.02,0.38,42.16
20150516,32.35,0.48,36.04
20150517,33.19,0.01,32.55
20150518,34.92,0.05,34.55
20150519,34.1,0.0,29.85
20150520,33.3,0.11,28.33
20150521,33.73,0.0,27.01
20150522,34.56,0.0,24.66
20150523,35.73,0.0,24.31
20150524,36.46,0.01,23.44
20150525,36.49,0.01,24.23
20150526,33.83,0.01,19.29
20150527,32.07,0.0,19.9
20150528,33.82,0.0,18.85
20150529,34.28,0.0,22.27
20150530,34.83,0.01,24.08
20150531,35.43,0.1,23.08
20150601,34.76,0.64,21.74
20150602,32.38,0.04,29.13
20150603,33.26,1.17,29.38
20150604,29.29,5.64,46.52
20150605,32.99,0.13,36.83
20150606,33.92,0.0,28.69
20150607,35.68,0.0,23.91
20150608,37.2,0.04,19.98
