,T2M,Rain,Humidity
20150101,15.26,0.03,55.13
20150102,16.5,0.01,68.35
20150103,17.42,0.0,63.86
20150104,17.58,0.0,47.48
20150105,17.26,0.0,38.5
20150106,18.35,0.0,32.88
20150107,18.7,0.0,30.11
20150108,17.55,0.0,23.87
20150109,17.92,0.0,24.56
20150110,18.07,0.0,24.94
20150111,18.05,0.0,27.01
20150112,19.73,0.0,24.61
20150113,19.89,0.0,35.97
20150114,18.05,0.0,29.22
20150115,14.51,0.0,39.35
20150116,13.97,0.0,37.33
20150117,14.13,0.0,30.02
20150118,14.74,0.0,23.96
20150119,16.97,0.0,22.43
20150120,18.35,0.0,33.48
20150121,19.06,2.61,48.28
20150122,18.39,0.39,56.18
20150123,15.9,0.0,48.66
20150124,14.34,0.0,44.68
20150125,15.61,0.0,46.48
20150126,14.6,0.01,44.48
20150127,14.23,0.0,51.38
20150128,12.76,0.0,34.11
20150129,13.92,0.0,27.46
20150130,15.33,0.0,22.13
20150131,18.07,0.0,18.98
20150201,19.02,0.0,19.42
20150202,19.91,0.0,26.98
20150203,17.68,0.0,36.08
20150204,16.76,0.0,34.76
20150205,16.48,0.0,23.74
20150206,17.52,0.0,20.88
20150207,18.9,0.0,23.8
20150208,19.11,0.0,26.62
20150209,18.98,0.0,46.34
20150210,19.29,0.0,39.7
20150211,18.69,0.0,28.97
20150212,19.23,0.0,21.64
20150213,21.76,0.0,20.28
20150214,22.79,0.0,32.22
20150215,24.68,0.0,30.8
20150216,24.41,0.0,35.33
20150217,23.62,0.0,30.69
20150218,23.46,0.0,31.77
20150219,24.56,0.0,30.02
20150220,24.22,0.0,36.4
20150221,24.69,0.0,27.02
20150222,25.49,0.0,24.06
20150223,26.59,0.0,22.92
20150224,25.84,0.0,29.2
20150225,21.18,0.0,23.36
20150226,18.28,0.0,12.49
20150227,18.97,0.0,14.96
20150228,20.04,0.2,21.1
20150301,19.37,5.42,40.03
20150302,18.59,0.08,53.41
20150303,19.32,0.0,42.29
20150304,20.93,0.0,35.58
20150305,21.92,0.01,38.24
20150306,22.41,0.36,43.79
20150307,23.12,0.02,44.63
20150308,22.51,0.0,34.61
20150309,19.13,0.0,16.71
20150310,18.87,0.0,23.01
20150311,22.13,0.0,21.72
20150312,24.52,0.0,29.77
20150313,25.45,0.66,35.66
20150314,23.92,3.69,45.71
20150315,22.52,0.81,42.87
20150316,21.49,0.0,41.43
20150317,21.47,0.0,40.07
20150318,22.52,0.0,37.39
20150319,25.05,0.0,27.82
20150320,27.65,0.0,27.12
20150321,29.21,0.0,27.77
20150322,28.33,0.0,29.17
20150323,30.51,0.0,25.19
20150324,31.9,0.0,20.94
20150325,31.89,0.0,19.62
20150326,31.49,0.0,23.93
20150327,32.34,0.0,22.78
20150328,33.08,0.0,18.8
20150329,31.09,0.0,23.69
20150330,28.22,0.0,21.26
20150331,28.02,0.0,26.91
20150401,29.71,0.0,22.92
20150402,30.35,0.0,40.62
20150403,29.15,0.85,42.97
20150404,26.14,9.0,58.83
20150405,27.62,0.0,48.86
20150406,28.69,0.33,40.67
20150407,28.62,2.32,42.42
20150408,28.22,0.0,38.46
20150409,28.01,0.0,26.47
20150410,29.68,0.0,23.41
20150411,30.83,1.86,27.26
20150412,27.38,3.45,48.18
20150413,28.52,0.01,43.93
20150414,28.68,0.0,43.06
20150415,29.82,0.0,38.88
20150416,31.98,0.0,33.1
20150417,33.35,0.0,27.75
20150418,34.11,0.0,25.32
20150419,34.36,0.0,20.56
20150420,33.58,0.0,19.69
20150421,33.85,0.0,19.54
20150422,32.71,0.0,13.94
20150423,32.34,0.0,16.2
20150424,32.99,0.0,20.23
20150425,33.82,0.0,22.04
20150426,34.12,0.0,23.49
20150427,34.75,0.0,25.42
20150428,33.83,0.0,29.98
20150429,34.6,0.0,14.03
20150430,34.07,0.0,21.36
20150501,33.46,0.0,13.88
20150502,34.04,0.0,13.59
20150503,34.79,0.0,12.34
20150504,34.95,0.0,11.55
20150505,35.29,0.0,12.28
20150506,34.45,0.0,16.07
20150507,33.76,0.0,23.65
20150508,33.92,0.0,28.33
20150509,34.44,0.0,28.09
20150510,34.83,0.45,29.81
20150511,35.21,1.59,32.15
20150512,34.27,5.44,38.43
20150513,33.15,3.3,36.43
20150514,32.99,2.04,39.12
20150515,34.77,0.02,31.72
20150516,35.65,0.0,22.44
20150517,35.31,0.0,22.92
20150518,35.46,0.0,30.39
20150519,36.02,0.0,34.86
20150520,35.93,0.04,34.18
20150521,36.34,0.0,31.32
20150522,36.12,0.0,27.37
20150523,36.06,0.0,34.45
20150524,35.23,0.0,40.0
20150525,35.81,0.0,37.24
20150526,35.19,0.0,37.57
20150527,35.52,0.02,37.25
20150528,35.22,0.04,37.88
20150529,35.64,0.0,30.57
20150530,36.2,0.0,25.0
20150531,36.37,0.01,30.59
20150601,36.51,0.0,29.63
20150602,34.37,2.27,43.23
20150603,30.57,20.97,58.22
20150604,30.8,0.0,53.8
20150605,32.36,0.0,43.33
20150606,33.72,0.0,38.3
20150607,34.51,0.0,36.49
20150608,35.36,0.0,32.12
20150609,33.43,0.6,44.86
20150610,33.8,0.48,47.79
20150611,32.12,14.09,57.74
20150612,33.01,4.18,54.66
20150613,33.13,0.62,51.12
20150614,33.14,0.21,54.74
20150615,33.39,0.05,51.84
20150616,33.74,0.0,52.31
20150617,34.85,0.75,46.82
20150618,35.42,0.14,44.39
20150619,34.92,0.0,46.79
20150620,34.53,0.41,47.08
20150621,33.93,10.42,54.75
20150622,32.98,1.0,59.18
20150623,32.53,0.0,59.38
20150624,29.64,4.27,68.05
20150625,31.84,4.36,64.69
20150626,31.54,9.41,65.76
20150627,31.93,0.01,59.69
20150628,32.33,0.0,59.02
20150629,32.62,0.03,56.63
20150630,32.88,0.09,54.07
20150701,33.05,0.01,50.66
20150702,32.5,0.0,52.72
20150703,33.16,0.0,50.29
20150704,33.43,0.0,50.18
20150705,33.29,0.0,53.68
20150706,33.43,0.0,53.22
20150707,33.27,0.0,53.37
20150708,32.46,13.79,57.53
20150709,32.19,3.03,58.13
20150710,32.09,0.03,56.88
20150711,32.29,0.26,58.77
20150712,32.1,11.4,62.9
20150713,29.89,6.4,72.8
20150714,31.57,0.0,61.39
20150715,31.69,0.0,57.36
20150716,31.64,0.0,60.25
20150717,31.19,0.01,60.8
20150718,32.14,0.78,58.6
20150719,32.3,3.97,57.81
20150720,31.73,3.97,61.16
20150721,31.42,4.21,63.94
20150722,30.45,5.84,69.38
20150723,31.24,2.33,69.81
20150724,30.65,4.52,71.31
20150725,28.59,30.62,83.62
20150726,27.41,38.72,87.03
20150727,29.06,35.92,79.29
20150728,28.08,21.64,84.34
20150729,27.45,17.64,83.96
20150730,28.34,9.44,78.84
20150731,28.23,0.73,77.83
20150801,28.4,0.16,75.53
20150802,28.07,0.0,76.3
20150803,28.83,0.0,73.72
20150804,29.02,0.02,72.51
20150805,28.91,0.0,73.08
20150806,29.09,0.0,72.4
20150807,29.2,0.0,73.33
20150808,29.28,0.0,74.63
20150809,29.77,0.07,71.64
20150810,29.99,5.41,72.14
20150811,29.52,12.66,75.12
20150812,29.23,14.38,77.14
20150813,28.82,5.02,78.58
20150814,28.86,2.7,78.74
20150815,28.8,24.58,79.76
20150816,28.61,14.9,80.41
20150817,28.96,0.69,76.84
20150818,29.55,0.22,75.39
20150819,28.73,0.03,76.85
20150820,28.42,0.0,73.51
20150821,28.06,0.0,72.83
20150822,28.58,0.0,73.59
20150823,28.77,0.0,74.1
20150824,28.74,0.0,73.5
20150825,28.74,0.0,72.24
20150826,28.81,0.0,72.09
20150827,28.79,0.0,72.28
20150828,29.47,0.0,71.33
20150829,29.67,0.0,70.54
20150830,29.48,0.0,69.81
20150831,28.8,0.05,70.55
20150901,28.38,0.01,67.49
20150902,27.67,0.03,68.32
20150903,27.85,0.0,65.54
20150904,28.43,0.0,61.12
20150905,28.49,0.0,64.04
20150906,28.23,0.0,61.93
20150907,27.78,0.0,63.59
20150908,28.28,0.0,63.55
20150909,29.24,0.0,61.13
20150910,30.41,0.0,55.38
20150911,31.4,0.0,53.93
20150912,32.05,0.0,52.45
20150913,32.68,0.0,50.03
20150914,31.59,0.0,53.48
20150915,31.17,0.0,58.07
20150916,30.95,0.06,58.38
20150917,31.68,0.01,52.32
20150918,30.38,4.47,61.09
20150919,30.43,6.0,66.21
20150920,29.82,10.07,69.92
20150921,27.58,12.84,79.29
20150922,28.12,0.87,73.92
20150923,27.41,0.0,63.47
20150924,25.95,0.0,60.63
20150925,26.14,0.0,59.78
20150926,26.69,0.0,64.01
20150927,27.46,0.0,61.13
20150928,27.83,0.0,50.71
20150929,28.6,0.0,43.07
20150930,28.38,0.0,48.45
20151001,28.88,0.0,42.99
20151002,30.41,0.0,35.72
20151003,29.56,0.0,37.47
20151004,28.17,0.0,52.24
20151005,28.6,0.0,47.99
20151006,30.49,0.0,37.58
20151007,29.55,0.0,41.43
20151008,29.74,0.0,39.58
20151009,29.33,0.0,38.09
20151010,27.62,0.0,44.65
20151011,27.84,0.0,46.52
20151012,28.43,0.0,42.19
20151013,29.78,0.0,36.34
20151014,30.67,0.0,38.43
20151015,30.37,0.0,41.77
20151016,30.7,0.0,37.37
20151017,30.65,0.0,32.58
20151018,30.89,0.0,30.26
20151019,30.17,0.0,32.16
20151020,30.22,0.0,33.41
20151021,29.78,0.0,33.11
20151022,28.17,0.0,30.54
20151023,27.63,0.0,25.54
20151024,28.86,0.0,20.0
20151025,28.33,0.0,25.72
20151026,26.98,0.01,31.1
20151027,25.05,0.0,33.01
20151028,23.4,0.06,32.5
20151029,22.6,0.0,39.0
20151030,23.47,0.0,37.89
20151031,23.94,0.0,38.54
20151101,24.64,0.0,43.33
20151102,26.29,0.0,44.13
20151103,26.75,0.0,37.4
20151104,26.97,0.0,34.95
20151105,27.41,0.0,31.72
20151106,25.15,0.0,30.79
20151107,23.26,0.0,28.44
20151108,23.58,0.0,35.34
20151109,24.06,0.0,39.03
20151110,24.17,0.0,39.69
20151111,24.37,0.0,40.17
20151112,25.14,0.0,33.61
20151113,25.05,0.0,32.18
20151114,25.46,0.0,33.17
20151115,25.13,0.0,33.93
20151116,23.13,0.0,35.71
20151117,21.74,0.0,22.9
20151118,21.47,0.0,13.42
20151119,22.22,0.0,17.15
20151120,22.05,0.0,19.42
20151121,22.66,0.0,20.6
20151122,23.54,0.0,21.22
20151123,24.43,0.0,26.72
20151124,24.78,0.0,32.19
20151125,25.09,0.0,37.95
20151126,22.8,0.0,28.71
20151127,18.43,0.0,17.69
20151128,18.82,0.0,25.45
20151129,19.15,0.0,33.22
20151130,21.18,0.0,36.88
20151201,20.45,0.0,35.48
20151202,19.92,0.01,32.32
20151203,20.06,0.0,29.49
20151204,21.31,0.0,20.63
20151205,21.7,0.0,18.21
20151206,22.49,0.0,17.64
20151207,22.27,0.0,18.86
20151208,22.15,0.0,19.82
20151209,21.68,0.0,26.62
20151210,21.64,0.0,36.95
20151211,16.49,0.0,30.17
20151212,14.82,0.0,17.68
20151213,14.78,0.0,21.78
20151214,14.88,0.0,19.24
20151215,15.76,0.0,14.25
20151216,16.92,0.0,12.57
20151217,16.98,0.0,15.46
20151218,14.4,0.0,21.16
20151219,16.33,0.0,16.65
20151220,16.45,0.0,16.41
20151221,15.09,0.0,22.68
20151222,15.35,0.0,22.74
20151223,15.53,0.0,22.91
20151224,12.81,0.0,27.22
20151225,14.59,0.0,19.87
20151226,17.28,0.0,14.37
20151227,20.17,0.0,9.7
20151228,20.69,0.0,10.56
20151229,21.57,0.0,14.82
20151230,22.05,0.0,20.43
20151231,20.56,0.0,27.7
20160101,19.77,0.0,29.82
20160102,19.5,0.0,29.12
20160103,20.62,0.0,23.82
20160104,22.12,0.0,22.63
20160105,21.82,0.0,30.21
20160106,20.1,0.0,37.35
20160107,20.61,0.0,39.46
20160108,18.88,0.0,42.32
20160109,18.64,0.0,32.58
20160110,20.06,0.0,21.96
