,T2M,Rain,Humidity
20150101,19.58,0.01,54.43
20150102,20.5,0.0,65.13
20150103,20.8,0.0,61.04
20150104,21.29,0.0,54.17
20150105,21.21,0.0,47.95
20150106,21.1,0.0,48.26
20150107,20.97,0.0,75.57
20150108,22.15,0.0,59.58
20150109,21.9,0.0,39.94
20150110,21.75,0.0,41.08
20150111,21.64,0.0,43.29
20150112,21.25,0.0,60.3
20150113,21.22,0.0,77.67
20150114,22.66,0.0,65.64
20150115,20.5,0.0,40.31
20150116,19.24,0.0,43.85
20150117,19.11,0.0,42.38
20150118,19.45,0.0,38.41
20150119,20.05,0.0,33.77
20150120,20.76,0.05,48.93
20150121,21.28,3.01,76.75
20150122,20.29,0.01,65.28
20150123,19.92,0.0,58.72
20150124,19.36,0.0,49.53
20150125,19.23,0.0,44.88
20150126,18.39,0.0,43.7
20150127,17.9,0.0,43.08
20150128,17.66,0.0,42.44
20150129,18.17,0.0,39.49
20150130,19.83,0.0,38.56
20150131,20.72,0.0,38.24
20150201,20.45,0.0,72.31
20150202,22.02,0.0,74.77
20150203,22.28,0.0,55.2
20150204,22.3,0.0,40.47
20150205,21.82,0.0,36.45
20150206,21.76,0.0,36.76
20150207,21.35,0.0,53.41
20150208,21.12,0.0,57.95
20150209,21.2,0.0,44.81
20150210,22.24,0.0,47.07
20150211,22.31,0.0,41.13
20150212,22.5,0.0,37.93
20150213,22.92,0.0,59.97
20150214,22.9,0.0,72.13
20150215,23.2,0.0,73.36
20150216,23.64,0.0,72.28
20150217,24.09,0.0,71.99
20150218,24.27,0.0,69.56
20150219,23.92,0.0,73.52
20150220,24.68,0.0,67.61
20150221,26.18,0.0,56.0
20150222,28.0,0.0,36.46
20150223,26.94,0.0,53.0
20150224,24.26,0.0,73.73
20150225,22.93,0.0,53.07
20150226,22.1,0.0,44.62
20150227,22.14,0.0,44.43
20150228,22.74,1.74,49.7
20150301,21.53,7.82,55.81
20150302,20.47,0.01,56.37
20150303,21.5,0.0,59.97
20150304,22.28,0.0,57.73
20150305,23.12,0.0,60.55
20150306,24.23,0.0,65.18
20150307,23.7,0.0,72.06
20150308,23.74,0.0,56.23
20150309,23.37,0.0,33.4
20150310,23.61,0.0,29.57
20150311,24.79,0.0,32.99
20150312,25.84,0.16,35.49
20150313,25.85,0.59,55.07
20150314,24.7,0.19,65.87
20150315,23.49,0.03,62.73
20150316,23.27,0.0,56.26
20150317,24.93,0.0,51.06
20150318,25.71,0.0,40.89
20150319,26.57,0.0,44.92
20150320,27.8,0.0,49.95
20150321,28.97,0.0,48.87
20150322,30.39,0.0,39.97
20150323,29.66,0.0,44.89
20150324,28.34,0.0,56.8
20150325,28.89,0.0,53.44
20150326,30.0,0.0,43.64
20150327,29.1,0.0,57.97
20150328,28.69,0.0,60.64
20150329,28.8,0.0,59.86
20150330,27.17,0.0,63.35
20150331,27.08,0.0,58.99
20150401,27.09,0.0,66.99
20150402,27.11,0.0,69.34
20150403,27.26,0.0,67.58
20150404,27.2,0.0,69.91
20150405,26.99,0.0,64.43
20150406,27.25,0.0,61.51
20150407,28.18,0.0,60.86
20150408,29.1,0.0,57.71
20150409,30.84,0.0,43.93
20150410,29.22,0.0,59.75
20150411,27.81,0.0,66.78
20150412,28.01,0.02,67.75
20150413,29.49,0.43,60.12
20150414,30.85,0.14,49.21
20150415,31.78,0.0,42.62
20150416,32.24,0.0,46.37
20150417,30.99,0.0,56.98
20150418,30.16,0.0,61.22
20150419,30.1,0.0,64.0
20150420,30.88,0.0,56.5
20150421,31.66,0.0,44.89
20150422,31.09,0.0,48.65
20150423,29.53,0.0,61.03
20150424,29.28,0.0,63.01
20150425,29.63,0.0,65.13
20150426,30.25,0.0,62.53
20150427,30.42,0.0,64.01
20150428,29.59,0.0,66.56
20150429,29.6,0.0,69.76
20150430,29.66,0.0,70.87
20150501,30.2,0.0,66.75
20150502,30.97,0.0,59.41
20150503,30.71,0.0,59.82
20150504,30.9,0.0,60.34
20150505,30.54,0.0,59.53
20150506,30.0,0.0,63.29
20150507,30.34,0.0,63.56
20150508,30.75,0.0,62.73
20150509,30.86,0.0,62.33
20150510,30.35,0.0,66.94
20150511,30.28,0.42,68.83
20150512,30.71,2.57,67.92
20150513,31.54,0.0,62.12
20150514,31.49,0.02,61.79
20150515,31.73,0.0,60.22
20150516,32.0,0.0,59.25
20150517,31.8,0.0,59.4
20150518,31.31,0.0,63.86
20150519,30.71,0.0,68.3
20150520,30.77,0.0,68.41
20150521,31.04,0.0,69.3
20150522,31.19,0.0,70.16
20150523,31.21,0.0,70.27
20150524,30.71,0.0,74.34
20150525,30.83,0.0,71.77
20150526,30.92,0.0,71.07
20150527,30.84,0.0,72.21
20150528,31.01,0.0,70.44
20150529,31.11,0.0,69.28
20150530,31.01,0.0,68.75
20150531,31.24,0.0,67.8
20150601,31.26,0.0,68.71
20150602,31.17,0.1,67.02
20150603,31.11,4.98,64.86
20150604,31.49,4.32,63.61
20150605,31.44,0.07,64.44
20150606,31.4,0.0,63.86
20150607,30.98,0.13,65.45
20150608,32.44,0.82,60.49
20150609,31.4,6.58,65.53
20150610,30.73,14.07,70.22
20150611,31.44,4.78,68.3
20150612,31.32,0.09,70.69
20150613,30.62,9.06,73.84
20150614,30.52,5.6,74.93
20150615,30.8,7.61,74.4
20150616,30.78,9.31,74.2
20150617,31.17,3.71,71.84
20150618,30.63,5.54,74.93
20150619,31.63,1.88,70.25
20150620,31.17,0.77,72.85
20150621,31.3,1.14,75.23
20150622,30.85,0.99,75.39
20150623,30.08,39.93,79.4
20150624,29.04,70.57,84.76
20150625,29.81,11.65,81.35
20150626,29.89,0.0,78.98
20150627,29.89,0.0,77.43
20150628,29.87,0.0,76.63
20150629,29.78,0.0,75.53
20150630,29.65,0.0,75.2
20150701,29.31,0.0,75.73
20150702,29.36,0.0,75.21
20150703,29.68,0.0,74.27
20150704,29.83,0.0,73.95
20150705,29.64,0.0,74.5
20150706,29.68,0.0,74.87
20150707,29.58,0.0,75.66
20150708,29.38,0.0,75.78
20150709,29.03,0.0,77.09
20150710,29.34,0.0,75.2
20150711,29.77,0.0,74.2
20150712,29.83,0.0,74.79
20150713,29.87,0.0,74.26
20150714,29.73,0.0,73.49
20150715,29.86,0.0,73.05
20150716,29.86,0.0,72.83
20150717,30.01,0.0,72.85
20150718,29.89,0.0,73.44
20150719,29.46,0.05,75.11
20150720,29.14,0.32,76.02
20150721,29.16,7.96,79.44
20150722,28.19,19.29,85.75
20150723,28.24,33.31,88.14
20150724,28.17,3.33,88.51
20150725,27.74,7.02,85.58
20150726,27.46,31.47,86.95
20150727,26.81,82.0,90.89
20150728,26.69,150.1,89.78
20150729,27.38,5.43,84.22
20150730,27.47,0.22,83.14
20150731,27.42,0.13,83.18
20150801,27.62,0.0,82.13
20150802,27.65,0.2,82.23
20150803,27.73,0.09,82.28
20150804,27.62,0.0,82.06
20150805,27.69,0.0,82.33
20150806,27.71,0.0,81.47
20150807,28.07,0.0,82.99
20150808,27.93,0.0,82.7
20150809,27.68,0.02,82.51
20150810,28.14,0.02,81.68
20150811,28.24,0.0,80.58
20150812,27.86,0.02,83.1
20150813,27.82,0.19,83.09
20150814,28.48,1.66,81.77
20150815,28.54,0.15,82.18
20150816,28.41,0.04,82.26
20150817,28.36,0.73,83.1
20150818,28.46,0.79,82.05
20150819,28.03,0.09,82.02
20150820,28.2,0.45,80.95
20150821,28.15,0.45,78.8
20150822,28.38,0.04,78.71
20150823,28.12,0.09,80.32
20150824,28.07,0.05,80.58
20150825,28.06,0.0,79.23
20150826,28.21,0.0,79.27
20150827,28.41,0.0,77.98
20150828,28.6,0.0,77.91
20150829,28.43,0.0,77.16
20150830,28.43,0.01,77.31
20150831,27.89,0.01,77.81
20150901,27.59,0.22,75.32
20150902,27.57,0.09,73.17
20150903,28.1,0.27,69.22
20150904,28.51,0.52,68.19
20150905,28.1,0.0,70.95
20150906,27.47,0.0,76.12
20150907,27.97,0.0,76.57
20150908,28.47,0.0,72.2
20150909,28.74,0.09,73.87
20150910,28.93,0.01,71.84
20150911,29.32,0.0,73.39
20150912,29.72,3.83,75.5
20150913,28.78,1.76,79.64
20150914,28.87,0.0,78.11
20150915,28.73,0.0,74.84
20150916,28.71,0.0,72.74
20150917,29.09,0.0,72.71
20150918,29.71,2.59,74.24
20150919,29.8,18.98,76.56
20150920,28.33,34.24,88.51
20150921,28.96,8.48,82.3
20150922,28.66,0.53,80.32
20150923,27.59,0.0,78.96
20150924,26.76,0.0,76.37
20150925,26.81,0.0,76.59
20150926,27.59,0.0,74.0
20150927,27.48,0.0,72.1
20150928,27.81,0.0,68.28
20150929,28.96,0.0,64.45
20150930,29.67,0.0,60.39
20151001,30.05,0.0,58.8
20151002,29.82,0.0,56.5
20151003,29.98,0.0,66.14
20151004,29.35,0.0,70.11
20151005,29.47,0.0,64.94
20151006,29.94,0.0,61.42
20151007,30.35,0.0,60.49
20151008,30.17,0.0,57.89
20151009,29.43,0.0,64.22
20151010,28.92,0.0,70.21
20151011,29.13,0.0,71.42
20151012,30.16,0.0,66.73
20151013,30.84,0.0,65.55
20151014,30.98,0.0,64.37
20151015,30.72,0.0,61.8
20151016,30.86,0.0,57.21
20151017,30.91,0.0,53.29
20151018,31.32,0.0,56.23
20151019,30.63,0.0,60.73
20151020,29.77,0.0,63.53
20151021,29.49,0.0,60.26
20151022,30.2,0.0,57.95
20151023,29.53,0.0,48.67
20151024,29.24,0.0,56.66
20151025,29.21,0.0,58.67
20151026,28.88,0.0,52.36
20151027,28.6,0.0,48.4
20151028,27.92,0.0,41.96
20151029,25.71,0.0,42.77
20151030,26.14,0.0,48.5
20151031,26.86,0.0,46.72
20151101,27.19,0.0,48.49
20151102,27.92,0.0,52.81
20151103,28.59,0.0,50.22
20151104,28.39,0.0,52.65
20151105,27.84,0.0,64.91
20151106,27.9,0.0,61.32
20151107,26.64,0.0,42.25
20151108,26.1,0.0,41.45
20151109,26.17,0.0,45.56
20151110,26.48,0.0,47.84
20151111,26.78,0.0,47.32
20151112,27.49,0.0,46.38
20151113,27.86,0.0,44.96
20151114,26.74,0.0,53.61
20151115,26.58,0.0,67.06
20151116,26.51,0.0,55.58
20151117,25.79,0.0,43.56
20151118,25.58,0.0,40.29
20151119,25.89,0.0,42.78
20151120,25.67,0.0,41.54
20151121,26.0,0.0,40.49
