,T2M,Rain,Humidity
20150101,15.08,6.02,90.27
20150102,18.05,8.33,90.51
20150103,18.55,1.81,82.7
20150104,16.34,2.18,86.85
20150105,12.41,0.0,68.67
20150106,12.64,0.0,53.63
20150107,13.54,0.0,55.71
20150108,13.11,0.0,62.43
20150109,11.71,0.0,62.25
20150110,11.57,0.0,51.92
20150111,12.09,0.0,44.44
20150112,12.6,0.0,44.92
20150113,12.88,0.0,50.49
20150114,14.0,0.0,56.67
20150115,14.75,0.0,54.24
20150116,13.21,0.0,58.11
20150117,11.79,0.0,57.62
20150118,11.4,0.0,55.37
20150119,12.43,0.0,50.61
20150120,13.04,0.0,46.75
20150121,15.21,0.0,43.55
20150122,16.52,0.0,45.89
20150123,16.15,0.01,59.31
20150124,15.96,0.0,73.52
20150125,17.01,0.0,64.29
20150126,17.57,0.07,62.91
20150127,18.3,0.15,66.41
20150128,17.25,9.07,75.06
20150129,17.01,6.84,77.34
20150130,14.05,0.01,61.64
20150131,12.06,0.0,42.54
20150201,14.37,0.0,41.53
20150202,15.47,0.0,45.09
20150203,18.52,0.0,39.48
20150204,18.27,0.0,48.14
20150205,16.82,0.0,54.27
20150206,16.15,0.0,47.83
20150207,17.38,0.0,50.62
20150208,18.52,0.24,52.81
20150209,17.25,0.44,65.85
20150210,18.02,0.0,60.22
20150211,17.77,0.43,53.06
20150212,16.93,3.54,60.47
20150213,17.05,0.0,58.1
20150214,17.71,0.0,43.66
20150215,19.8,0.0,42.92
20150216,19.59,0.0,47.56
20150217,19.97,0.0,47.91
20150218,21.0,0.0,41.8
20150219,19.21,0.0,42.87
20150220,19.64,0.0,39.63
20150221,20.4,0.0,40.42
20150222,20.53,0.0,43.78
20150223,20.47,0.0,42.73
20150224,21.11,0.0,42.0
20150225,22.7,0.0,37.24
20150226,23.45,0.0,36.34
20150227,22.23,0.01,45.65
20150228,23.44,0.27,44.03
20150301,21.55,5.09,53.46
20150302,19.56,3.27,72.95
20150303,19.82,3.01,68.52
20150304,18.5,1.63,55.59
20150305,17.68,0.0,45.56
20150306,18.39,0.0,42.99
20150307,19.43,0.0,43.29
20150308,21.82,0.0,41.87
20150309,23.33,0.01,43.49
20150310,23.13,0.02,46.3
20150311,22.05,0.0,35.51
20150312,22.85,0.0,32.8
20150313,23.76,0.0,38.61
20150314,24.5,0.0,44.67
20150315,23.87,1.04,51.78
20150316,23.69,1.16,51.18
20150317,23.55,6.9,54.93
20150318,22.88,0.0,49.87
20150319,21.95,0.0,40.73
20150320,22.17,0.0,33.24
20150321,22.34,0.0,30.48
20150322,24.05,0.0,35.69
20150323,25.41,0.0,39.43
20150324,25.55,0.0,37.9
20150325,26.39,0.0,33.86
20150326,26.82,0.01,34.25
20150327,26.74,1.3,40.96
20150328,27.02,0.12,36.11
20150329,27.63,0.0,32.41
20150330,24.08,2.81,56.4
20150331,24.74,0.56,52.88
20150401,26.37,0.0,34.72
20150402,27.49,0.0,27.77
20150403,27.66,0.0,29.73
20150404,28.64,0.01,30.11
20150405,28.04,0.01,31.46
20150406,28.05,0.15,36.59
20150407,28.34,1.52,35.96
20150408,27.93,1.88,38.05
20150409,26.75,4.24,40.22
20150410,27.75,0.0,43.45
20150411,28.79,0.08,38.64
20150412,24.98,0.27,51.72
20150413,22.64,4.71,62.13
20150414,23.54,2.78,59.9
20150415,24.47,7.9,56.66
20150416,25.78,0.2,54.06
20150417,26.47,2.53,48.29
20150418,27.86,0.0,42.52
20150419,30.02,0.0,35.78
20150420,30.31,0.0,33.8
20150421,31.56,0.0,29.03
20150422,30.84,0.0,28.89
20150423,31.17,0.03,26.11
20150424,30.58,0.21,24.66
20150425,27.38,2.42,51.23
20150426,26.76,1.02,52.76
20150427,27.81,0.98,46.75
20150428,29.21,2.58,44.44
20150429,28.6,3.77,54.79
20150430,29.31,0.08,44.2
20150501,30.09,0.0,31.61
20150502,30.36,0.02,26.54
20150503,30.8,0.46,28.42
20150504,31.38,0.4,33.27
20150505,31.97,0.33,31.23
20150506,31.68,0.02,23.28
20150507,32.78,0.0,14.99
20150508,32.46,0.0,17.87
20150509,32.17,0.0,23.21
20150510,31.86,0.29,23.05
20150511,31.26,0.58,28.69
20150512,31.16,4.84,39.66
20150513,31.88,1.58,38.53
20150514,31.18,0.12,39.15
20150515,30.81,2.47,41.43
20150516,28.93,3.17,49.28
20150517,30.37,0.39,47.0
20150518,31.23,0.0,40.51
20150519,32.11,0.79,37.55
20150520,32.63,0.0,30.93
20150521,32.89,0.0,22.76
