,T2M,Rain,Humidity
20150101,17.97,3.71,71.22
20150102,19.44,4.6,86.58
20150103,20.36,4.61,86.88
20150104,18.96,1.08,79.69
20150105,15.46,0.0,61.37
20150106,13.83,0.0,55.78
20150107,14.9,0.0,56.28
20150108,14.55,0.0,60.56
20150109,13.33,0.0,60.55
20150110,12.55,0.0,52.86
20150111,12.71,0.0,49.19
20150112,13.03,0.0,48.86
20150113,13.38,0.0,49.92
20150114,14.55,0.0,49.89
20150115,15.19,0.0,52.52
20150116,13.71,0.05,59.33
20150117,13.05,0.0,57.75
20150118,13.45,0.0,59.95
20150119,13.0,0.0,54.34
20150120,13.17,0.0,46.72
20150121,14.39,0.0,44.7
20150122,16.7,0.0,46.22
20150123,17.59,0.0,59.48
20150124,18.02,0.01,69.7
20150125,16.88,0.0,58.92
20150126,17.7,0.01,62.04
20150127,18.06,1.09,75.96
20150128,18.49,5.06,73.81
20150129,17.42,5.12,70.49
20150130,15.04,0.28,52.07
20150131,14.23,0.0,42.53
20150201,14.96,0.0,42.49
20150202,17.04,0.0,42.36
20150203,19.21,0.0,42.6
20150204,19.65,0.0,49.42
20150205,16.98,0.0,45.81
20150206,15.88,0.0,40.03
20150207,17.92,0.0,41.31
20150208,19.8,0.33,52.57
20150209,18.97,0.1,66.4
20150210,18.66,0.0,50.32
20150211,17.65,0.0,44.85
20150212,18.84,0.32,49.47
20150213,18.85,0.01,50.76
20150214,18.91,0.0,41.34
20150215,20.52,0.0,42.72
20150216,20.56,0.07,52.35
20150217,21.74,0.0,54.9
20150218,23.07,0.0,54.7
20150219,23.1,0.0,45.62
20150220,23.14,0.0,39.39
20150221,23.94,0.0,38.55
20150222,23.6,0.19,41.39
20150223,24.73,0.01,36.21
20150224,24.53,0.0,38.91
20150225,25.04,0.0,36.53
20150226,25.78,0.0,36.62
20150227,23.98,0.9,49.93
20150228,25.65,0.26,45.5
20150301,26.13,0.71,47.22
20150302,22.21,2.4,57.38
20150303,21.71,4.24,64.38
20150304,21.8,0.39,48.77
20150305,19.9,0.0,40.02
20150306,20.21,0.0,37.8
20150307,21.59,0.0,40.87
20150308,23.72,0.0,40.07
20150309,25.68,0.0,39.95
20150310,24.86,0.0,42.21
20150311,22.16,0.0,28.49
20150312,22.8,0.0,30.71
20150313,25.27,0.0,39.02
20150314,26.88,0.0,42.58
20150315,25.89,0.0,47.42
20150316,23.79,6.05,57.31
20150317,26.07,0.9,47.46
20150318,25.77,0.0,40.05
20150319,23.46,0.0,35.59
20150320,23.94,0.0,33.42
20150321,24.43,0.0,31.4
20150322,26.24,0.0,34.57
20150323,27.67,0.0,35.29
20150324,28.87,0.0,32.18
20150325,30.0,0.0,30.34
20150326,30.48,0.0,35.01
20150327,29.12,0.68,41.93
20150328,29.66,0.78,40.38
20150329,29.98,0.0,37.48
20150330,25.63,6.39,54.74
20150331,25.98,1.14,55.24
20150401,28.97,0.03,40.72
20150402,30.01,0.0,35.91
20150403,30.46,0.0,36.35
20150404,31.22,0.37,37.47
20150405,29.24,2.49,43.19
20150406,30.04,1.75,42.34
20150407,30.96,0.19,37.84
20150408,29.8,0.59,37.66
20150409,29.24,0.0,27.38
20150410,29.51,0.0,25.51
20150411,31.5,0.0,23.74
20150412,30.17,0.46,30.11
20150413,27.88,4.54,47.57
20150414,28.02,1.16,55.06
20150415,29.01,2.41,49.97
20150416,29.5,0.27,50.61
20150417,29.88,1.1,42.49
20150418,31.67,0.0,35.51
20150419,33.25,0.15,28.98
20150420,33.02,0.0,35.75
20150421,34.84,0.0,27.02
20150422,33.73,0.0,26.42
20150423,33.86,0.04,22.42
20150424,33.47,0.13,33.71
20150425,29.92,0.65,50.8
20150426,28.72,0.15,50.26
20150427,30.82,0.06,42.41
