,T2M,Rain,Humidity
20150101,15.0,0.0,44.34
20150102,14.79,7.24,62.46
20150103,14.6,3.34,75.79
20150104,13.1,0.0,64.43
20150105,12.57,0.0,46.47
20150106,13.05,0.0,54.81
20150107,12.64,0.0,56.24
20150108,13.02,0.0,44.37
20150109,12.49,0.0,36.51
20150110,11.11,0.0,38.76
20150111,12.45,0.0,35.73
20150112,13.03,0.0,35.91
20150113,12.75,0.0,40.59
20150114,11.25,1.88,55.58
20150115,11.2,0.0,67.6
20150116,12.64,0.0,61.85
20150117,13.77,0.0,55.18
20150118,13.75,0.0,48.43
20150119,13.63,0.0,40.01
20150120,12.08,0.0,40.93
20150121,13.02,2.47,44.07
20150122,12.94,5.97,76.05
20150123,12.56,2.9,80.54
20150124,13.12,0.0,66.45
20150125,12.46,0.0,47.32
20150126,11.97,2.19,61.5
20150127,11.17,0.01,65.57
20150128,9.88,0.0,52.12
20150129,10.01,0.0,43.12
20150130,10.93,0.0,39.55
20150131,13.7,0.0,34.66
20150201,14.66,0.0,38.74
20150202,15.48,0.05,44.25
20150203,14.65,1.32,59.96
20150204,13.62,0.09,63.84
20150205,13.55,0.0,48.13
20150206,15.18,0.0,38.36
20150207,16.48,0.01,42.37
20150208,17.03,0.01,44.79
20150209,15.65,0.07,49.56
20150210,15.37,0.0,41.88
20150211,15.74,0.0,37.54
20150212,15.12,0.0,34.78
20150213,17.32,0.0,29.01
20150214,20.07,0.0,33.73
20150215,20.69,0.0,32.23
20150216,19.36,0.0,35.05
20150217,19.94,0.0,41.86
20150218,21.16,0.0,37.0
20150219,21.05,0.12,39.51
20150220,21.63,1.47,40.79
20150221,21.63,0.01,37.03
20150222,21.85,0.0,42.42
20150223,21.51,0.0,38.47
20150224,21.29,0.0,37.24
20150225,21.42,0.91,33.08
20150226,16.14,0.0,20.13
20150227,16.73,0.05,20.58
20150228,17.98,0.11,29.35
20150301,16.5,24.28,80.7
20150302,15.81,28.27,86.06
20150303,15.95,0.51,62.67
20150304,16.14,0.0,46.56
20150305,18.79,0.0,34.6
20150306,18.29,0.05,50.47
20150307,19.77,6.69,53.68
20150308,19.75,0.42,54.11
20150309,15.33,1.09,43.71
20150310,16.22,0.0,46.93
20150311,18.87,0.0,35.19
20150312,21.22,0.0,38.56
20150313,22.25,0.27,50.02
20150314,21.51,0.3,58.77
20150315,18.84,9.87,75.03
20150316,19.16,3.03,71.34
20150317,19.52,0.0,59.79
20150318,19.21,0.0,54.69
20150319,20.68,0.0,42.79
20150320,23.11,0.0,34.17
20150321,24.28,0.0,35.77
20150322,24.2,0.0,46.61
20150323,24.81,0.0,44.24
20150324,27.06,0.0,31.44
20150325,27.59,0.0,31.29
20150326,27.81,0.0,36.98
20150327,27.83,0.0,36.86
20150328,28.33,0.0,28.93
20150329,23.52,6.53,45.0
20150330,22.44,3.09,64.62
20150331,24.59,0.0,56.03
20150401,26.36,0.0,46.55
20150402,27.03,0.1,43.18
20150403,24.14,8.35,58.1
20150404,20.95,18.39,74.23
20150405,23.24,0.0,53.97
20150406,24.48,0.0,40.6
20150407,24.89,0.34,41.52
20150408,24.8,0.22,44.13
20150409,24.25,0.0,44.0
20150410,25.63,0.0,40.36
20150411,28.67,0.0,30.94
20150412,25.95,2.6,48.03
20150413,25.08,3.04,56.57
20150414,25.27,0.21,56.12
20150415,26.68,1.27,50.36
20150416,27.2,0.05,50.29
20150417,27.26,0.86,46.84
20150418,29.8,0.0,39.64
20150419,31.65,0.0,34.93
20150420,30.81,0.0,34.23
20150421,29.31,0.0,33.95
20150422,29.5,0.0,28.43
20150423,31.19,0.0,22.42
20150424,32.62,0.0,19.72
20150425,32.31,0.0,19.98
20150426,29.21,0.0,39.59
20150427,30.73,0.0,36.56
20150428,31.91,0.69,36.81
20150429,32.44,0.11,28.38
20150430,32.11,0.0,29.06
20150501,31.17,0.38,31.08
20150502,31.67,0.14,26.57
20150503,32.12,0.0,19.56
20150504,33.32,0.0,16.17
20150505,32.99,0.0,17.23
20150506,33.83,0.0,14.28
20150507,34.72,0.0,14.94
20150508,34.58,0.0,16.69
20150509,35.04,0.0,22.45
20150510,35.6,0.0,22.57
20150511,36.04,0.06,22.67
20150512,34.84,0.17,25.27
20150513,33.92,0.28,25.93
20150514,32.59,1.75,27.52
20150515,33.29,0.22,28.57
20150516,34.2,1.18,24.12
20150517,34.53,0.0,22.21
20150518,36.9,0.0,19.2
20150519,38.07,0.0,16.77
20150520,35.84,0.89,17.4
20150521,36.13,0.0,16.94
20150522,37.07,0.0,16.35
20150523,37.03,0.0,14.56
20150524,37.27,0.08,13.75
20150525,36.73,0.0,11.29
20150526,36.28,0.0,10.82
20150527,34.18,0.05,6.37
20150528,35.25,0.0,10.51
20150529,36.25,0.04,21.29
20150530,36.43,0.0,21.5
20150531,36.68,0.0,20.13
20150601,35.72,1.79,18.47
20150602,34.48,0.31,27.51
20150603,34.4,0.61,25.31
20150604,34.94,0.0,22.99
20150605,34.91,0.22,24.14
20150606,35.02,0.0,23.61
20150607,36.19,0.0,21.66
20150608,38.06,0.0,16.32
20150609,38.5,0.0,18.95
20150610,36.08,0.0,30.06
20150611,36.85,0.33,28.69
20150612,36.87,0.0,32.89
20150613,34.89,19.03,40.49
20150614,32.71,3.39,46.07
20150615,33.28,0.03,46.69
20150616,33.6,0.12,44.97
20150617,34.87,0.01,35.5
20150618,36.52,0.07,28.96
20150619,36.98,0.14,26.46
20150620,36.91,0.21,32.18
20150621,35.2,8.34,41.8
20150622,34.95,0.4,43.09
20150623,36.57,0.3,35.36
20150624,32.71,9.96,44.91
20150625,29.58,17.85,61.75
20150626,32.42,0.13,44.94
20150627,33.08,0.06,51.76
20150628,34.52,0.0,43.98
20150629,34.12,1.06,44.12
20150630,33.06,5.21,50.85
20150701,33.57,1.2,47.78
20150702,33.61,0.19,45.88
20150703,35.04,0.18,44.53
20150704,35.43,0.68,42.51
20150705,35.3,4.91,46.06
20150706,33.19,14.21,54.33
20150707,31.78,18.64,60.9
20150708,32.74,2.05,55.11
20150709,32.78,3.8,55.2
20150710,30.2,45.9,69.91
20150711,28.46,68.94,79.92
20150712,27.98,16.15,85.91
20150713,28.97,2.45,79.18
