,T2M,Rain,Humidity
20150101,13.82,10.75,86.02
20150102,14.02,0.89,86.53
20150103,15.29,0.3,77.05
20150104,14.41,0.01,70.24
20150105,15.18,0.0,49.7
20150106,15.15,0.0,48.79
20150107,15.18,0.0,52.81
20150108,14.95,0.0,49.17
20150109,14.26,0.0,47.84
20150110,16.22,0.0,41.99
20150111,16.88,0.0,44.43
20150112,16.07,0.0,48.27
20150113,15.92,0.0,46.3
20150114,16.13,0.01,49.28
20150115,13.26,0.01,55.12
20150116,13.35,0.0,50.32
20150117,12.5,0.0,46.09
20150118,12.87,0.0,43.63
20150119,14.26,0.0,42.19
20150120,15.62,0.0,45.23
20150121,17.47,3.2,56.28
20150122,17.72,3.05,77.77
20150123,15.79,0.26,80.46
20150124,15.51,0.02,72.94
20150125,13.12,8.06,85.1
20150126,14.97,1.16,79.94
20150127,14.87,0.09,76.74
20150128,13.63,0.0,62.57
20150129,13.28,0.0,50.41
20150130,12.67,0.0,45.91
20150131,15.84,0.0,36.89
20150201,16.82,0.0,45.51
20150202,18.13,0.0,49.78
20150203,18.72,0.0,51.95
20150204,16.35,0.0,52.93
20150205,17.15,0.0,41.51
20150206,19.4,0.05,43.7
20150207,21.09,2.7,49.95
20150208,19.78,7.19,62.38
20150209,18.16,0.0,68.45
20150210,17.91,0.0,54.16
20150211,18.29,0.16,57.34
20150212,18.13,0.0,54.58
20150213,19.66,0.0,38.11
20150214,21.03,0.0,38.78
20150215,20.87,0.0,39.8
20150216,22.44,0.0,35.33
20150217,23.11,0.0,33.18
20150218,23.19,0.0,32.69
20150219,23.77,0.0,31.61
20150220,24.67,0.0,29.91
20150221,24.18,0.0,29.29
20150222,24.55,0.0,29.19
20150223,25.04,0.0,26.52
20150224,25.34,0.0,27.8
20150225,25.1,0.0,33.85
20150226,21.28,0.0,20.48
20150227,20.05,0.0,17.53
20150228,20.68,0.13,28.6
20150301,20.37,12.89,59.82
20150302,19.39,2.01,66.73
20150303,18.3,0.0,53.42
20150304,19.04,0.0,47.19
20150305,20.49,0.0,44.07
20150306,21.46,0.0,46.39
20150307,22.75,0.0,46.07
20150308,23.63,0.02,45.32
20150309,19.36,0.0,26.61
20150310,19.28,0.0,28.81
20150311,24.1,0.21,32.8
20150312,24.13,2.51,54.89
20150313,23.2,10.33,60.7
20150314,21.33,21.41,73.44
20150315,21.93,19.59,75.59
20150316,21.26,0.0,63.57
20150317,20.48,0.0,62.34
20150318,19.81,0.0,54.45
20150319,21.61,0.0,43.97
20150320,23.13,0.0,46.45
20150321,25.39,0.0,44.62
20150322,26.18,0.0,49.52
20150323,26.48,0.0,48.63
20150324,27.92,0.0,41.75
20150325,27.52,0.0,41.63
20150326,27.89,0.0,39.99
20150327,27.8,0.0,43.91
20150328,29.06,0.0,40.94
20150329,28.17,0.06,44.63
20150330,27.88,0.48,35.87
20150331,26.19,0.0,34.08
20150401,27.72,0.0,31.66
20150402,29.1,0.0,31.46
20150403,29.42,0.01,34.07
20150404,27.21,0.04,40.77
20150405,26.56,0.01,47.92
20150406,27.9,3.34,43.75
20150407,26.83,3.48,47.7
20150408,27.23,0.35,44.14
20150409,28.01,0.08,38.49
20150410,29.87,0.0,33.34
20150411,30.15,2.46,37.95
20150412,27.6,1.52,45.34
20150413,24.68,1.2,55.11
20150414,24.93,1.34,54.99
20150415,27.01,0.03,48.92
20150416,28.95,0.0,42.09
20150417,30.92,0.0,36.24
20150418,33.2,0.0,28.51
20150419,34.03,0.0,26.44
20150420,34.02,0.0,22.01
20150421,33.68,0.0,19.98
20150422,32.59,0.0,19.48
20150423,31.8,0.0,16.9
20150424,32.5,0.0,17.43
20150425,33.76,0.0,15.33
20150426,33.63,0.0,19.14
20150427,34.5,0.0,20.83
20150428,34.57,0.0,17.9
20150429,33.89,0.0,18.51
20150430,34.54,0.0,16.44
20150501,33.33,0.0,15.93
20150502,32.88,0.0,12.26
20150503,33.33,0.0,15.79
20150504,34.36,0.0,14.8
20150505,35.1,0.0,14.42
20150506,35.18,0.0,13.19
20150507,35.3,0.0,15.68
20150508,36.56,0.0,18.43
20150509,35.96,0.0,20.24
20150510,35.45,0.11,19.07
20150511,35.77,0.0,22.49
20150512,36.19,0.12,24.74
20150513,35.41,0.39,26.47
20150514,34.31,0.12,24.25
20150515,35.61,0.58,20.81
20150516,35.98,0.0,19.4
20150517,36.13,0.0,19.4
20150518,37.4,0.0,15.22
20150519,38.19,0.0,21.76
20150520,37.52,0.02,22.07
20150521,37.6,0.0,22.3
20150522,37.79,0.0,21.24
20150523,36.74,0.0,20.43
20150524,36.9,0.0,28.59
20150525,37.11,0.0,29.75
20150526,37.07,0.0,28.72
20150527,37.18,0.0,25.27
20150528,37.31,0.0,23.0
20150529,37.49,0.67,22.67
20150530,37.47,0.0,20.68
20150531,37.82,0.0,18.06
20150601,37.57,0.0,18.84
20150602,35.88,0.69,29.75
20150603,34.63,0.38,34.81
20150604,34.15,0.0,33.34
20150605,35.4,0.0,25.38
20150606,35.69,0.0,22.5
20150607,37.03,0.0,20.43
20150608,37.96,0.0,24.09
20150609,36.63,0.0,30.18
20150610,35.06,6.47,39.75
20150611,33.38,2.6,48.11
20150612,32.52,6.86,54.84
20150613,32.26,3.25,58.2
20150614,32.01,2.18,57.78
20150615,30.62,30.58,67.06
20150616,31.43,4.23,62.8
20150617,32.53,0.27,56.19
20150618,32.89,0.82,54.56
20150619,32.27,1.36,57.36
20150620,32.36,0.78,60.11
20150621,33.62,2.2,56.29
20150622,31.36,6.46,63.98
20150623,30.12,5.61,69.88
20150624,28.9,6.34,72.63
20150625,29.04,25.0,72.15
20150626,29.77,6.37,66.8
20150627,30.77,0.0,62.95
20150628,30.63,7.62,64.72
20150629,31.16,6.74,63.73
20150630,30.62,0.21,65.0
20150701,30.36,0.07,63.7
20150702,30.42,0.04,60.85
20150703,30.9,0.0,59.88
20150704,31.35,0.0,57.27
20150705,31.57,0.0,58.65
20150706,31.12,0.0,59.65
20150707,30.86,0.02,59.74
20150708,30.5,16.09,65.29
20150709,29.45,14.07,71.15
20150710,29.31,15.56,70.51
20150711,28.89,9.54,74.1
20150712,28.14,7.53,74.71
20150713,29.53,1.69,71.46
20150714,30.87,0.38,65.21
20150715,30.95,0.11,61.02
20150716,29.85,0.09,65.61
20150717,29.39,11.94,69.8
20150718,27.54,37.71,82.89
20150719,27.9,19.2,82.19
20150720,26.54,25.89,88.78
20150721,27.84,49.13,85.82
20150722,28.08,14.49,84.79
20150723,27.92,22.03,86.72
20150724,26.73,27.92,89.84
20150725,26.34,61.11,91.52
20150726,25.7,47.17,91.56
20150727,26.31,8.12,85.23
20150728,25.44,5.39,83.74
20150729,25.53,1.95,87.65
20150730,26.55,0.18,82.45
20150731,26.74,0.06,81.9
20150801,26.24,2.44,84.9
20150802,26.89,4.62,82.66
20150803,26.65,16.4,83.57
20150804,26.98,17.26,85.22
20150805,27.24,4.87,85.48
20150806,27.59,1.19,83.76
20150807,26.29,1.87,87.89
20150808,26.93,5.17,86.03
20150809,26.93,36.91,88.87
20150810,26.52,12.3,88.88
20150811,27.39,19.68,82.73
20150812,27.83,10.08,82.53
20150813,27.2,20.23,85.98
20150814,27.55,7.82,86.84
20150815,26.64,34.74,93.5
20150816,26.45,18.28,91.39
20150817,26.6,48.96,88.93
20150818,26.71,12.3,90.5
20150819,26.86,0.14,87.27
20150820,26.24,0.0,86.55
20150821,25.89,0.0,85.23
20150822,25.9,0.0,84.93
20150823,26.05,0.0,84.55
20150824,26.22,0.0,85.21
20150825,26.15,0.0,84.03
20150826,26.59,0.0,83.17
20150827,27.01,0.15,82.75
20150828,27.22,3.31,84.24
20150829,27.34,18.23,84.32
20150830,26.97,15.58,86.42
20150831,26.85,2.45,85.24
20150901,25.92,9.68,87.15
20150902,25.65,7.05,85.47
20150903,25.63,0.71,82.03
20150904,25.69,0.0,78.67
20150905,26.29,0.0,77.58
20150906,26.22,0.0,79.73
20150907,25.58,0.0,78.52
20150908,25.21,0.0,78.07
20150909,26.27,0.0,73.43
20150910,25.78,0.0,78.01
20150911,26.87,0.0,75.75
20150912,27.38,0.0,71.17
20150913,27.46,1.94,72.32
20150914,27.96,0.25,71.66
20150915,28.01,0.0,71.57
20150916,27.82,0.0,72.12
20150917,27.11,4.21,80.61
20150918,27.18,4.75,86.03
20150919,26.93,0.21,84.26
20150920,26.05,0.02,82.02
20150921,25.76,0.58,81.39
20150922,25.93,0.62,84.2
20150923,25.66,0.01,83.62
20150924,24.42,0.0,79.0
20150925,23.72,0.0,76.44
20150926,24.11,0.0,75.06
20150927,24.62,0.0,74.6
20150928,26.27,0.0,63.35
20150929,26.89,0.01,59.51
20150930,24.97,0.0,62.56
20151001,25.12,0.0,61.41
20151002,27.52,0.0,60.33
20151003,26.4,0.0,64.06
20151004,25.63,0.0,56.91
20151005,26.53,0.0,58.51
20151006,27.04,0.0,54.59
20151007,26.81,0.0,55.35
20151008,26.67,0.0,54.58
20151009,26.16,0.0,51.87
20151010,25.76,0.0,56.38
20151011,26.02,0.0,57.15
20151012,26.78,0.0,51.14
20151013,26.61,0.0,47.92
20151014,26.17,0.0,46.49
20151015,26.49,0.02,53.8
20151016,26.5,0.01,62.03
20151017,27.42,0.0,53.13
20151018,28.21,0.0,48.12
20151019,28.13,0.0,49.8
20151020,28.06,0.0,49.67
20151021,27.66,0.02,49.76
20151022,27.57,0.02,47.04
20151023,27.65,0.0,43.21
20151024,26.95,0.0,41.88
20151025,26.06,0.0,51.66
20151026,24.37,0.51,61.86
20151027,25.02,0.09,58.07
20151028,24.51,1.24,59.36
20151029,21.15,0.27,67.56
20151030,20.32,0.0,64.73
20151031,20.84,0.0,64.85
20151101,22.66,0.0,67.23
20151102,23.57,0.0,62.75
20151103,24.72,0.0,58.31
20151104,26.03,0.0,53.4
20151105,26.65,0.0,48.75
20151106,25.79,0.0,44.68
20151107,25.11,0.0,44.48
20151108,25.25,0.0,45.33
20151109,26.49,0.01,47.84
20151110,26.11,0.0,46.67
20151111,25.48,0.0,49.58
20151112,24.98,0.0,48.97
20151113,24.99,0.0,46.34
20151114,25.58,0.0,40.69
20151115,25.16,0.0,36.0
20151116,23.06,0.0,38.03
20151117,21.56,0.0,41.43
20151118,20.82,0.0,34.87
20151119,20.31,0.0,31.05
20151120,20.15,0.0,31.44
20151121,20.36,0.0,34.69
20151122,20.67,0.0,37.07
20151123,22.56,0.0,38.67
20151124,23.16,0.0,43.43
20151125,23.29,0.0,38.51
20151126,23.32,0.0,34.79
20151127,19.8,0.0,25.42
20151128,19.77,0.0,29.02
20151129,22.59,0.0,38.3
20151130,24.9,0.0,52.88
20151201,25.96,0.58,47.91
20151202,22.53,0.22,49.31
20151203,18.49,0.0,37.77
20151204,19.57,0.0,33.26
20151205,20.26,0.0,29.48
20151206,20.14,0.0,28.23
20151207,20.14,0.0,27.4
20151208,20.66,0.0,24.26
20151209,21.24,0.0,23.1
20151210,22.64,0.0,28.12
20151211,19.29,0.0,39.35
20151212,15.74,0.0,22.91
20151213,15.04,0.0,24.27
20151214,14.26,0.0,28.26
20151215,14.95,0.0,18.2
20151216,15.82,0.0,18.46
20151217,15.64,0.0,22.05
20151218,15.48,0.0,20.59
20151219,15.38,0.0,22.59
20151220,15.23,0.0,24.8
20151221,14.29,0.0,26.33
20151222,13.5,0.0,26.67
20151223,13.02,0.0,27.42
20151224,13.4,0.0,27.64
20151225,13.6,0.0,27.02
20151226,15.71,0.0,18.22
20151227,19.77,0.0,14.73
20151228,21.27,0.0,17.39
20151229,21.95,0.0,19.58
20151230,22.55,0.0,23.01
20151231,20.95,0.0,30.98
20160101,19.54,0.0,33.97
20160102,18.41,0.0,30.32
20160103,18.99,0.0,28.7
20160104,20.65,0.0,23.46
20160105,21.1,0.0,24.15
20160106,20.47,0.0,31.2
20160107,20.62,0.0,34.95
