,T2M,Rain,Humidity
20150101,17.47,5.01,91.78
20150102,20.65,17.27,91.61
20150103,22.81,12.03,86.76
20150104,20.36,2.96,86.7
20150105,17.91,0.0,74.49
20150106,15.19,0.0,65.46
20150107,15.87,0.0,65.39
20150108,15.97,0.0,68.08
20150109,14.55,0.0,72.42
20150110,14.67,0.0,62.63
20150111,13.78,0.0,59.38
20150112,13.95,0.0,62.34
20150113,14.94,0.0,66.53
20150114,16.06,0.0,70.75
20150115,17.66,0.0,69.15
20150116,15.49,0.0,66.54
20150117,15.13,0.0,67.49
20150118,14.2,0.0,64.51
20150119,14.02,0.0,65.18
20150120,14.03,0.0,62.12
20150121,14.66,0.0,59.67
20150122,15.51,0.0,62.2
20150123,17.72,0.0,62.23
20150124,18.51,0.0,74.69
20150125,18.62,0.0,70.56
20150126,18.63,0.0,68.05
20150127,19.4,0.0,73.52
20150128,20.07,0.0,74.18
20150129,19.74,0.02,76.01
20150130,18.84,0.35,76.0
20150131,14.91,0.0,55.45
20150201,14.98,0.0,55.68
20150202,16.3,0.0,58.42
20150203,18.0,0.0,58.65
20150204,19.71,0.0,60.78
20150205,19.52,0.0,62.78
20150206,18.23,0.0,55.76
20150207,18.15,0.0,57.17
20150208,19.25,0.0,60.24
20150209,19.14,0.0,69.2
20150210,21.05,0.0,65.21
20150211,19.45,0.0,58.55
20150212,19.77,0.07,61.32
20150213,20.1,0.0,64.15
20150214,20.01,0.0,69.95
20150215,21.02,0.46,73.76
20150216,21.53,1.05,77.16
20150217,22.28,0.0,77.02
20150218,23.31,1.67,73.97
20150219,22.86,2.12,68.36
20150220,22.21,0.07,67.07
20150221,22.55,0.0,60.81
20150222,23.2,0.04,58.13
20150223,23.01,0.0,60.5
20150224,23.31,0.0,70.4
20150225,23.66,0.0,66.91
20150226,24.32,0.0,64.49
20150227,23.89,0.0,59.68
20150228,25.18,0.0,61.7
20150301,24.86,0.0,56.78
20150302,25.01,0.0,56.71
20150303,23.72,2.37,67.7
20150304,23.41,6.04,71.17
20150305,22.62,0.0,51.34
20150306,21.43,0.0,49.1
20150307,21.87,0.0,46.86
20150308,23.25,0.0,51.46
20150309,25.07,0.0,50.77
20150310,26.41,0.0,50.25
20150311,25.19,0.0,46.96
20150312,24.49,0.0,39.47
20150313,25.85,0.0,42.04
20150314,27.38,0.0,48.56
20150315,27.29,0.06,53.83
20150316,26.83,0.0,55.04
20150317,27.85,0.01,51.3
20150318,28.16,0.1,50.17
20150319,27.06,0.03,47.87
20150320,25.41,0.0,39.57
20150321,25.86,0.0,37.85
20150322,26.71,0.0,37.06
20150323,28.34,0.0,42.66
20150324,28.46,0.0,61.34
20150325,28.82,0.0,61.38
20150326,28.74,0.49,62.07
20150327,29.25,0.52,58.7
20150328,28.41,8.36,62.92
20150329,29.02,0.12,64.38
20150330,29.36,7.83,66.58
20150331,27.14,10.41,60.75
20150401,29.65,0.04,53.16
20150402,29.44,0.08,45.33
20150403,30.06,0.17,44.59
20150404,30.56,0.06,53.88
20150405,29.93,2.74,61.34
20150406,29.71,2.04,64.24
20150407,29.38,6.53,68.59
20150408,29.15,7.03,67.95
20150409,30.43,0.0,50.43
20150410,29.44,0.0,45.86
20150411,30.06,0.01,55.4
20150412,28.5,0.56,65.17
20150413,28.46,1.41,64.48
20150414,28.96,0.08,56.84
20150415,28.41,3.5,61.44
20150416,28.3,0.0,56.38
20150417,29.62,0.49,51.05
20150418,30.94,0.97,50.96
20150419,32.24,0.0,51.58
20150420,32.04,0.0,58.46
20150421,33.73,0.7,49.07
20150422,33.71,6.73,44.96
20150423,32.08,9.75,54.26
20150424,30.45,12.21,65.15
20150425,27.32,6.38,71.13
20150426,27.18,6.53,69.21
20150427,27.99,12.37,66.28
20150428,28.52,18.55,72.84
20150429,29.41,5.85,72.01
20150430,30.05,0.78,68.99
20150501,31.25,0.55,64.07
20150502,31.22,2.38,66.96
20150503,31.0,5.14,63.47
20150504,30.5,11.45,64.55
20150505,30.72,0.0,59.42
20150506,31.82,0.0,55.39
20150507,31.79,0.0,55.29
20150508,31.7,0.01,59.22
20150509,31.75,0.04,64.67
20150510,32.5,0.18,61.55
20150511,31.65,0.31,62.41
20150512,31.93,0.3,54.83
20150513,32.84,2.25,58.87
20150514,32.63,7.46,59.84
20150515,32.74,4.52,58.38
20150516,30.67,10.22,66.98
20150517,30.92,5.9,65.59
20150518,31.23,1.8,62.68
20150519,30.8,11.73,69.79
20150520,32.29,0.28,66.31
20150521,33.45,0.01,58.22
20150522,34.18,0.0,51.74
20150523,34.75,0.0,47.61
20150524,34.62,0.11,56.43
20150525,33.95,0.49,60.65
20150526,33.05,1.06,62.4
20150527,32.37,1.3,65.52
20150528,33.39,0.68,58.56
20150529,33.02,0.48,62.69
20150530,33.17,0.26,62.66
20150531,31.09,0.32,67.87
20150601,31.57,0.21,65.31
20150602,32.41,0.01,58.28
20150603,32.17,0.0,61.3
20150604,32.25,1.05,61.3
20150605,30.53,4.61,69.22
20150606,31.34,0.15,64.87
20150607,32.39,0.0,62.16
20150608,33.55,0.0,57.84
20150609,34.85,0.07,52.54
20150610,35.1,0.09,51.94
20150611,32.8,4.76,62.95
20150612,31.13,7.12,69.05
20150613,30.41,11.25,68.46
20150614,29.25,33.41,77.22
20150615,29.15,15.36,77.38
20150616,28.91,3.85,77.53
20150617,28.27,3.36,82.62
20150618,29.63,1.24,76.82
20150619,29.25,7.05,80.17
20150620,29.71,11.41,78.45
20150621,29.24,14.84,79.8
