,T2M,Rain,Humidity
20150101,14.13,0.01,44.97
20150102,14.13,3.84,64.93
20150103,13.83,0.03,75.74
20150104,13.75,0.0,59.09
20150105,12.66,0.0,47.12
20150106,13.49,0.0,52.31
20150107,14.56,0.0,45.13
20150108,14.49,0.0,35.05
20150109,13.7,0.0,28.28
20150110,13.55,0.0,26.99
20150111,14.72,0.0,25.79
20150112,15.25,0.0,26.76
20150113,15.07,0.02,33.06
20150114,13.72,1.36,43.42
20150115,11.71,0.01,47.48
20150116,12.88,0.0,48.79
20150117,14.5,0.0,43.56
20150118,14.59,0.0,38.71
20150119,13.79,0.0,32.66
20150120,13.78,0.0,30.76
20150121,14.54,0.35,38.24
20150122,13.99,7.88,68.7
20150123,13.36,2.09,76.47
20150124,13.28,0.0,61.06
20150125,12.93,0.02,43.89
20150126,12.23,0.6,65.03
20150127,11.33,0.04,65.22
20150128,9.68,0.0,45.18
20150129,11.01,0.0,33.99
20150130,12.21,0.0,27.57
20150131,14.22,0.0,28.88
20150201,14.47,0.0,37.03
20150202,15.63,0.62,42.02
20150203,14.54,1.17,58.66
20150204,13.11,0.0,59.92
20150205,13.99,0.0,39.49
20150206,14.7,0.0,39.39
20150207,16.56,0.0,43.02
20150208,16.71,0.58,47.5
20150209,15.98,0.05,44.48
20150210,16.4,0.0,37.29
20150211,16.17,0.0,33.52
20150212,16.25,0.0,25.58
20150213,18.17,0.0,25.42
20150214,19.93,0.0,31.23
20150215,21.48,0.0,24.88
20150216,20.92,0.0,28.54
20150217,20.07,0.0,35.59
20150218,21.04,0.0,33.4
20150219,21.77,0.04,33.46
20150220,22.62,0.27,30.67
20150221,21.18,0.02,32.48
20150222,21.37,0.0,41.04
20150223,22.84,0.0,32.03
20150224,22.47,0.0,29.55
20150225,20.95,0.45,28.24
20150226,15.53,0.0,15.35
20150227,16.68,0.0,15.33
20150228,17.29,0.09,23.96
20150301,16.9,30.87,73.43
20150302,16.14,3.66,71.93
20150303,15.9,0.02,56.17
20150304,16.61,0.0,39.7
20150305,18.02,0.0,37.28
20150306,19.43,0.69,44.7
20150307,19.1,5.43,55.17
20150308,18.73,0.05,49.6
20150309,14.48,0.05,33.66
20150310,16.02,0.0,37.74
20150311,20.22,0.0,26.72
20150312,21.77,0.02,36.96
20150313,22.17,1.0,57.24
20150314,20.72,1.01,57.28
20150315,17.97,21.62,84.18
20150316,18.79,2.51,66.43
20150317,18.57,0.57,58.09
20150318,18.68,0.0,51.18
20150319,21.47,0.0,38.86
20150320,22.61,0.0,34.63
20150321,24.09,0.0,32.86
20150322,24.67,0.0,37.62
20150323,25.61,0.0,36.46
20150324,27.8,0.0,28.76
20150325,26.96,0.0,33.84
20150326,27.66,0.0,34.03
20150327,28.19,0.0,34.38
20150328,28.11,0.0,32.88
20150329,25.23,3.88,41.29
20150330,24.46,0.76,54.4
20150331,24.03,0.0,54.91
20150401,26.03,0.0,45.13
20150402,27.68,0.0,34.59
20150403,23.25,19.34,63.59
20150404,20.98,12.65,72.36
20150405,22.76,0.0,49.88
20150406,24.2,0.07,37.41
20150407,24.35,3.2,43.24
20150408,23.66,0.03,45.34
20150409,24.78,0.0,36.25
20150410,26.61,0.0,30.88
20150411,27.45,0.0,32.18
20150412,25.67,1.94,47.43
20150413,24.96,1.18,53.07
20150414,24.61,0.0,57.2
20150415,26.32,0.92,48.52
20150416,27.03,4.23,49.85
20150417,28.09,1.07,43.1
20150418,31.18,0.0,32.84
20150419,32.27,0.0,30.49
20150420,31.23,0.0,25.51
20150421,29.32,0.0,30.1
20150422,30.61,0.0,22.2
20150423,31.72,0.0,18.26
20150424,32.02,0.0,15.78
20150425,31.76,0.0,17.33
20150426,30.53,0.0,28.1
20150427,32.02,0.0,29.1
20150428,32.01,0.01,27.16
20150429,31.91,0.32,23.69
20150430,31.95,0.0,23.93
20150501,29.68,0.03,26.73
20150502,30.91,0.02,23.7
20150503,32.25,0.0,16.82
20150504,32.35,0.0,15.5
20150505,33.35,0.0,14.45
20150506,33.14,0.0,14.0
20150507,33.92,0.0,16.16
20150508,33.76,0.0,21.12
20150509,34.14,0.0,25.02
20150510,34.56,0.0,25.27
20150511,34.38,0.01,26.74
20150512,33.07,0.61,29.84
20150513,31.96,1.14,28.3
20150514,31.2,1.79,31.87
20150515,32.56,0.41,28.36
20150516,33.46,0.04,24.09
20150517,34.15,0.0,20.35
20150518,36.25,0.0,19.27
20150519,37.13,0.0,17.95
20150520,34.32,1.43,21.23
20150521,35.09,0.0,20.62
20150522,36.05,0.07,19.47
20150523,35.72,0.0,18.64
20150524,35.49,0.03,19.64
20150525,35.05,0.0,13.24
20150526,34.26,0.0,14.79
20150527,33.07,0.0,7.96
20150528,33.91,0.89,17.41
20150529,33.99,0.46,25.91
20150530,34.44,0.0,24.76
20150531,35.36,0.15,22.5
20150601,35.35,0.94,21.84
20150602,33.28,0.12,31.46
20150603,32.11,0.37,32.45
20150604,32.3,0.02,27.99
20150605,32.85,0.03,29.26
20150606,33.45,0.0,26.31
20150607,35.56,0.0,21.95
20150608,37.3,0.0,17.66
20150609,36.2,0.0,24.58
20150610,33.82,0.75,34.07
20150611,34.69,0.77,35.64
20150612,35.06,0.0,39.49
20150613,34.81,9.89,39.58
20150614,31.57,9.69,51.31
20150615,31.54,1.06,53.43
20150616,32.89,0.06,43.92
20150617,34.87,0.16,32.8
20150618,36.03,0.09,28.59
20150619,36.8,0.25,25.91
20150620,36.77,0.54,30.29
20150621,35.74,2.95,36.32
20150622,34.51,0.44,38.11
20150623,34.59,8.8,44.08
20150624,28.47,24.92,69.35
20150625,30.22,1.44,54.92
20150626,30.99,4.31,55.97
20150627,31.16,0.1,57.53
20150628,33.18,0.45,46.48
20150629,34.08,2.37,41.26
20150630,31.27,11.43,58.27
20150701,31.75,1.46,53.57
20150702,32.51,2.61,49.22
20150703,33.8,0.85,46.78
20150704,33.94,0.22,43.92
20150705,34.52,1.01,43.11
20150706,32.69,15.8,55.32
20150707,30.81,7.41,62.71
20150708,31.95,5.01,55.14
20150709,31.62,6.29,57.74
20150710,30.45,13.39,65.54
20150711,28.64,12.75,73.96
20150712,27.22,15.72,83.49
20150713,29.39,0.88,64.5
20150714,31.53,1.23,58.28
20150715,32.65,0.0,49.65
20150716,32.7,0.18,50.25
20150717,32.17,2.05,52.74
20150718,30.52,13.74,63.8
20150719,30.35,9.56,68.44
20150720,30.12,9.46,66.1
20150721,30.62,7.07,65.15
20150722,30.73,0.52,65.05
20150723,29.97,5.17,71.43
20150724,30.76,0.18,64.89
20150725,31.35,3.04,62.11
20150726,29.63,4.57,69.19
20150727,29.25,2.88,71.32
20150728,27.99,1.86,70.44
20150729,27.56,4.48,73.66
20150730,28.39,2.91,74.98
20150731,28.14,5.24,74.32
20150801,27.31,3.25,78.77
20150802,27.79,1.76,74.12
20150803,29.79,0.15,62.57
20150804,31.13,0.45,56.27
20150805,31.29,7.81,58.35
20150806,31.13,9.18,63.46
20150807,31.2,0.86,60.45
20150808,30.24,7.13,64.59
20150809,30.45,8.44,62.84
20150810,31.51,1.4,55.7
20150811,31.02,1.67,56.64
20150812,29.3,25.66,72.5
20150813,29.88,13.23,70.14
20150814,30.99,1.1,66.32
20150815,29.11,12.43,77.71
20150816,28.32,4.5,79.2
20150817,29.79,0.57,68.82
20150818,31.1,0.23,61.79
20150819,30.26,1.36,65.33
20150820,29.48,0.0,63.5
20150821,29.16,1.18,63.36
20150822,29.27,0.03,62.16
20150823,29.22,8.51,67.91
20150824,29.19,1.2,63.99
20150825,29.96,0.0,57.53
20150826,30.27,0.0,57.01
20150827,31.17,0.0,53.18
20150828,31.1,2.77,53.88
20150829,31.17,2.08,54.1
20150830,31.02,0.0,53.4
20150831,30.18,0.0,53.64
20150901,29.76,0.01,50.41
20150902,29.38,0.0,47.37
20150903,29.46,0.0,47.82
20150904,29.29,0.0,49.02
20150905,29.49,0.0,44.34
20150906,29.82,0.06,46.09
20150907,29.97,0.01,46.74
20150908,30.16,0.0,44.32
20150909,30.31,0.0,41.0
20150910,30.27,0.0,38.81
20150911,30.54,0.0,37.12
20150912,31.11,0.0,37.41
20150913,30.89,0.0,37.05
20150914,32.83,0.18,29.03
20150915,32.16,0.0,31.49
20150916,31.39,0.17,36.72
20150917,30.85,0.03,41.2
20150918,29.44,3.04,52.74
20150919,29.05,2.18,63.23
20150920,30.82,0.35,57.19
20150921,30.38,2.1,53.84
20150922,29.11,3.27,63.4
20150923,27.9,0.07,55.01
20150924,27.03,0.0,38.41
20150925,27.39,0.0,40.87
20150926,28.82,0.13,41.4
20150927,28.46,1.64,43.79
20150928,28.54,0.31,38.78
20150929,28.27,0.0,35.04
20150930,27.21,0.0,36.45
20151001,28.43,0.0,30.1
20151002,29.26,0.0,23.96
20151003,29.48,0.0,25.09
20151004,29.45,0.0,25.08
20151005,29.54,0.0,27.96
20151006,29.13,0.0,33.07
20151007,28.88,0.0,32.88
20151008,28.47,0.0,32.26
20151009,28.62,0.0,27.1
20151010,28.75,0.0,29.67
20151011,28.26,0.0,32.0
20151012,27.64,0.0,35.9
20151013,27.96,0.0,33.72
20151014,28.18,0.0,29.47
20151015,27.59,0.42,32.82
20151016,27.94,0.97,37.04
20151017,28.41,0.0,32.2
20151018,28.8,0.0,32.25
20151019,28.57,0.0,31.49
20151020,28.57,0.0,31.82
20151021,25.42,0.1,34.99
20151022,24.67,1.34,30.14
20151023,25.17,0.0,22.31
20151024,26.61,0.0,22.29
20151025,26.16,0.0,23.47
20151026,24.06,0.04,32.79
20151027,22.46,2.73,39.69
20151028,19.77,9.13,56.05
20151029,20.19,0.0,57.65
20151030,21.22,0.0,45.79
20151031,22.43,0.0,40.21
20151101,21.79,0.0,44.2
20151102,22.68,0.0,46.2
20151103,23.8,0.0,45.71
20151104,24.3,0.0,44.2
20151105,23.94,1.41,39.41
20151106,21.96,0.0,35.63
20151107,21.07,0.1,36.93
20151108,21.5,0.76,42.67
20151109,22.98,0.3,46.36
20151110,22.77,0.0,46.5
20151111,21.54,0.0,41.14
20151112,21.92,0.0,37.74
20151113,23.05,0.0,36.58
20151114,22.96,0.0,40.97
20151115,22.89,0.0,41.33
20151116,20.67,0.21,40.36
20151117,19.0,0.0,24.35
20151118,19.72,0.0,21.69
20151119,20.17,0.0,21.23
20151120,20.16,0.0,21.68
20151121,20.55,0.0,23.53
20151122,20.17,0.0,26.62
20151123,19.7,0.0,29.94
20151124,19.8,0.0,28.72
20151125,20.65,0.0,31.41
20151126,20.33,0.01,38.35
20151127,17.04,0.0,28.9
20151128,17.88,0.0,37.45
20151129,19.12,0.0,44.1
20151130,19.52,0.0,37.48
20151201,18.74,0.39,42.56
20151202,17.27,0.03,37.63
20151203,17.75,0.0,38.73
20151204,19.05,0.0,31.64
20151205,19.6,0.0,21.72
20151206,20.3,0.0,19.6
20151207,20.21,0.0,22.7
20151208,20.66,0.0,22.45
20151209,18.59,0.0,26.81
20151210,19.03,0.0,37.99
20151211,15.24,0.0,35.31
20151212,12.88,0.0,32.47
20151213,13.25,0.0,22.53
20151214,12.3,0.0,25.08
20151215,13.71,0.0,19.65
20151216,15.13,0.0,17.13
20151217,13.61,0.0,22.97
20151218,13.13,0.0,22.31
20151219,14.02,0.0,20.64
20151220,13.12,0.0,24.51
20151221,13.49,0.0,22.35
20151222,12.66,0.0,27.04
20151223,12.49,0.0,27.88
20151224,10.86,0.0,31.2
20151225,11.85,0.0,22.76
