,T2M,Rain,Humidity
20150101,14.2,0.0,37.25
20150102,15.3,4.89,53.13
20150103,14.0,1.62,72.24
20150104,12.31,0.0,58.37
20150105,11.98,0.0,45.94
20150106,12.86,0.0,51.77
20150107,12.32,0.0,52.88
20150108,12.39,0.0,42.9
20150109,12.01,0.0,36.18
20150110,10.71,0.0,36.97
20150111,11.96,0.0,31.83
20150112,13.41,0.0,29.46
20150113,12.72,0.0,39.28
20150114,11.65,4.29,56.94
20150115,11.3,0.0,73.37
20150116,12.61,0.0,65.98
20150117,13.04,0.0,53.11
20150118,13.06,0.0,45.87
20150119,14.41,0.0,39.59
20150120,12.03,0.0,41.13
20150121,12.18,0.5,45.29
20150122,12.33,6.98,79.3
20150123,12.73,0.42,72.95
20150124,12.67,0.0,58.97
20150125,12.26,0.0,48.84
20150126,12.19,0.78,51.76
20150127,10.58,0.17,52.84
20150128,9.77,0.0,52.33
20150129,9.89,0.0,42.2
20150130,11.09,0.0,40.21
20150131,13.16,0.0,37.55
20150201,14.32,0.0,38.67
20150202,15.08,4.0,44.42
20150203,14.13,4.38,66.78
20150204,13.44,0.13,67.52
20150205,13.15,0.0,51.14
20150206,14.05,0.0,44.47
20150207,15.05,0.0,44.65
20150208,16.01,0.0,47.47
20150209,15.19,0.01,52.22
20150210,14.97,0.0,42.07
20150211,14.94,0.0,38.32
20150212,14.69,0.0,35.03
20150213,16.66,0.0,32.22
20150214,20.08,0.0,34.58
20150215,20.71,0.0,32.59
20150216,18.99,0.14,34.5
20150217,19.67,0.04,45.13
20150218,20.45,0.0,40.21
20150219,20.59,0.0,39.25
20150220,20.76,2.22,45.67
20150221,20.98,0.12,43.51
20150222,21.19,0.0,46.14
20150223,21.37,0.0,40.64
20150224,20.98,0.0,37.15
20150225,19.27,2.58,39.65
20150226,14.69,0.0,24.22
20150227,15.49,0.12,26.23
20150228,16.23,0.05,34.62
20150301,16.07,31.3,82.47
20150302,16.29,23.43,80.57
20150303,15.56,1.22,62.87
20150304,15.79,0.01,54.3
20150305,17.59,0.02,45.95
20150306,17.3,0.64,63.46
20150307,18.11,6.71,63.83
20150308,17.97,2.29,64.29
20150309,14.15,0.19,52.65
20150310,16.1,0.0,50.48
20150311,18.12,0.0,42.22
20150312,19.54,0.0,42.76
20150313,21.56,0.01,42.02
20150314,20.46,0.83,60.08
20150315,18.83,9.56,71.97
20150316,18.73,7.79,72.89
20150317,19.2,0.0,60.18
20150318,18.82,0.0,57.63
20150319,20.27,0.0,47.23
