,T2M,Rain,Humidity
20150101,18.28,10.6,88.07
20150102,20.57,1.98,74.02
20150103,19.14,3.55,82.92
20150104,19.08,2.09,74.88
20150105,15.6,0.0,55.94
20150106,16.17,0.0,45.53
20150107,17.15,0.0,43.79
20150108,15.9,0.0,51.73
20150109,14.68,0.0,49.91
20150110,15.53,0.0,42.01
20150111,14.9,0.0,40.72
20150112,15.25,0.0,41.55
20150113,14.82,0.0,43.28
20150114,15.8,0.0,45.22
20150115,16.27,0.0,49.7
20150116,16.17,0.0,47.62
20150117,15.58,0.0,48.4
20150118,15.25,0.0,40.19
20150119,14.47,0.0,45.71
20150120,14.6,0.0,46.91
20150121,15.98,0.0,51.41
20150122,17.89,0.05,47.25
20150123,18.87,0.61,56.18
20150124,19.4,0.1,64.44
20150125,19.89,0.0,59.98
20150126,20.01,0.0,63.31
20150127,21.24,0.05,56.47
20150128,19.92,0.52,65.11
20150129,19.69,1.09,66.64
20150130,17.8,0.0,45.1
20150131,16.7,0.0,31.25
20150201,17.01,0.0,34.57
20150202,17.06,0.0,42.27
20150203,19.34,0.0,39.95
20150204,21.48,0.01,39.81
20150205,20.72,0.0,47.15
20150206,20.29,0.0,42.75
20150207,20.76,0.0,43.87
20150208,20.72,0.33,47.77
20150209,19.5,1.44,57.28
20150210,20.95,0.13,53.18
20150211,20.81,0.36,51.86
20150212,20.14,3.63,62.94
20150213,20.55,0.0,44.38
20150214,21.4,0.0,33.74
20150215,22.82,0.0,33.5
20150216,22.55,0.0,31.97
20150217,23.14,0.0,32.8
20150218,24.02,0.0,29.65
20150219,23.71,0.0,30.87
20150220,23.61,0.0,31.26
20150221,24.95,0.15,30.52
20150222,25.11,0.0,29.2
20150223,25.09,0.0,26.79
20150224,25.22,0.0,25.34
20150225,25.32,0.0,25.01
20150226,25.58,0.0,25.7
20150227,25.76,0.0,28.75
20150228,26.29,1.86,31.13
20150301,25.18,5.93,49.51
20150302,20.82,19.65,75.3
20150303,21.96,3.01,63.57
20150304,19.94,0.0,44.92
20150305,20.88,0.0,42.78
20150306,22.15,0.0,40.93
20150307,23.33,0.0,39.41
20150308,24.78,0.0,38.87
20150309,25.91,0.13,40.53
20150310,25.63,0.02,45.64
20150311,25.58,0.0,37.84
20150312,26.28,0.11,33.41
20150313,26.19,0.0,41.43
20150314,26.25,0.6,44.79
20150315,26.28,0.95,45.15
20150316,25.32,3.21,46.28
20150317,25.34,3.02,56.59
20150318,25.63,0.0,45.24
20150319,25.46,0.0,35.05
20150320,25.87,0.0,29.54
20150321,26.7,0.0,27.91
20150322,28.51,0.0,28.58
20150323,29.69,0.0,28.65
20150324,29.54,0.0,28.32
20150325,29.51,0.0,23.06
20150326,30.06,0.0,22.7
20150327,30.17,0.03,25.38
20150328,30.44,0.12,27.3
20150329,29.78,2.09,32.89
20150330,25.53,1.71,53.08
20150331,28.34,0.0,41.46
20150401,30.27,0.0,31.37
20150402,30.13,0.0,20.93
20150403,30.19,0.0,23.33
20150404,30.83,0.0,22.61
20150405,29.92,0.0,24.44
20150406,30.7,0.0,25.94
20150407,31.04,0.0,27.02
20150408,31.18,4.65,29.88
20150409,29.36,4.38,48.82
20150410,31.13,0.16,39.74
20150411,30.01,1.28,42.57
20150412,25.57,0.43,55.16
20150413,23.61,0.6,61.63
20150414,25.74,4.61,56.06
20150415,24.93,4.23,58.15
20150416,27.8,0.04,48.72
20150417,29.35,0.14,41.13
20150418,31.36,0.0,36.46
20150419,33.0,0.0,34.32
20150420,33.76,0.0,30.71
20150421,33.72,0.0,26.79
20150422,34.27,0.0,23.19
20150423,33.77,0.02,21.69
20150424,33.14,0.39,18.18
20150425,31.75,2.17,34.55
20150426,30.1,4.07,46.05
20150427,31.76,0.09,40.6
20150428,32.99,0.0,31.72
20150429,33.46,0.35,24.13
20150430,33.16,0.17,28.61
20150501,34.08,0.0,21.25
20150502,33.62,0.01,16.41
20150503,33.72,2.03,29.21
20150504,33.92,0.04,32.06
20150505,33.94,0.1,30.71
20150506,34.36,0.0,24.59
20150507,34.51,0.0,22.44
20150508,35.8,0.0,17.63
20150509,35.13,0.0,15.97
20150510,34.05,0.0,22.89
20150511,33.87,1.34,29.8
20150512,34.69,0.1,32.86
20150513,35.66,0.62,27.95
20150514,33.78,0.37,33.74
20150515,31.28,1.11,42.55
20150516,32.92,0.37,38.98
20150517,34.29,0.08,33.93
20150518,35.41,0.0,28.62
20150519,37.18,0.0,23.72
20150520,37.68,0.0,21.15
20150521,37.79,0.0,18.57
20150522,38.45,0.0,16.02
20150523,38.46,0.0,16.11
20150524,37.93,0.01,18.69
20150525,38.37,0.11,20.58
20150526,38.39,0.0,21.22
20150527,38.69,0.07,18.3
20150528,37.4,0.0,7.63
20150529,38.54,0.0,11.8
20150530,38.66,0.0,17.36
20150531,38.04,0.04,27.04
20150601,33.98,2.11,41.52
20150602,35.16,0.33,33.59
20150603,35.26,0.33,31.98
20150604,34.2,0.32,41.29
20150605,33.74,2.92,41.83
20150606,33.39,6.45,47.39
20150607,32.51,4.29,51.96
20150608,34.51,0.0,41.24
20150609,35.74,0.0,34.53
20150610,36.79,0.0,29.55
20150611,35.5,1.93,35.97
20150612,31.21,3.28,54.41
20150613,28.9,8.52,65.55
20150614,28.82,15.37,68.37
20150615,29.56,8.47,65.26
20150616,29.38,9.58,65.55
20150617,30.05,11.3,65.75
20150618,29.91,9.31,67.7
20150619,31.34,2.02,61.73
20150620,30.95,0.85,63.08
20150621,30.55,25.11,67.25
20150622,27.95,61.84,83.96
20150623,26.05,7.04,85.19
20150624,27.22,3.55,81.74
20150625,27.27,7.74,77.73
20150626,27.26,0.5,72.11
20150627,28.56,0.34,70.12
20150628,29.47,0.43,70.05
20150629,27.19,3.16,82.24
20150630,27.93,3.61,76.18
20150701,26.84,14.65,80.95
20150702,26.37,25.16,82.31
20150703,27.33,7.11,79.05
20150704,28.15,0.71,76.26
20150705,28.32,0.34,74.15
20150706,28.24,8.39,76.05
20150707,26.57,5.12,82.4
20150708,26.63,11.63,84.42
20150709,26.6,37.26,87.01
20150710,26.1,24.55,89.39
20150711,25.72,9.68,88.2
20150712,27.22,0.69,80.86
20150713,27.93,16.19,80.62
20150714,28.25,3.57,81.23
20150715,27.42,7.15,86.31
20150716,26.71,3.03,85.94
20150717,26.58,8.73,84.66
20150718,26.77,1.38,83.09
20150719,25.94,2.97,89.29
20150720,26.24,1.97,91.16
20150721,26.51,0.66,89.55
20150722,26.98,21.59,84.37
20150723,26.47,22.93,87.86
20150724,26.38,1.96,86.68
20150725,25.72,5.26,89.94
20150726,24.91,1.2,89.01
20150727,25.1,0.03,86.06
20150728,25.92,0.0,82.43
20150729,26.48,0.0,81.32
20150730,26.09,0.0,83.01
20150731,25.98,0.31,83.43
20150801,25.87,0.52,83.45
20150802,25.96,13.77,84.73
20150803,25.27,36.91,90.5
20150804,26.5,28.27,86.47
20150805,25.19,1.52,85.51
20150806,26.53,0.46,84.24
20150807,27.75,0.95,82.2
20150808,27.79,0.13,83.33
20150809,28.39,0.19,79.93
20150810,26.98,2.15,86.77
20150811,26.31,7.71,90.32
20150812,26.63,14.41,87.41
20150813,26.41,14.68,86.65
20150814,26.34,3.65,89.05
20150815,26.74,0.78,87.35
20150816,26.75,35.19,89.06
20150817,26.46,25.78,87.66
20150818,26.29,4.06,86.78
20150819,26.24,2.19,84.96
20150820,26.06,0.5,85.89
20150821,25.51,0.03,82.84
20150822,25.59,0.74,83.63
20150823,26.1,0.63,83.09
20150824,25.7,0.06,84.38
20150825,26.27,12.71,84.86
20150826,26.6,7.14,83.89
20150827,25.85,6.68,90.3
20150828,25.82,11.81,89.59
20150829,26.1,18.7,91.17
20150830,26.23,7.86,88.99
20150831,26.33,12.54,88.58
20150901,26.14,9.68,87.38
20150902,26.35,10.64,85.48
20150903,26.4,9.92,83.09
20150904,26.11,0.23,81.24
20150905,27.02,0.01,77.83
20150906,27.39,0.0,77.42
20150907,26.84,2.23,77.62
20150908,26.41,2.18,81.28
20150909,26.53,0.06,78.4
20150910,26.01,0.0,79.22
20150911,27.17,0.28,74.41
20150912,26.47,1.7,80.22
20150913,26.23,1.05,81.83
20150914,27.61,3.05,77.6
20150915,25.4,23.57,90.49
20150916,26.02,40.04,89.75
20150917,26.09,33.01,92.22
20150918,26.5,0.79,88.9
20150919,26.72,2.67,86.36
20150920,24.65,66.17,93.14
20150921,23.5,10.72,92.23
20150922,25.48,0.03,87.56
20150923,25.54,0.57,87.3
20150924,25.59,0.0,84.79
20150925,24.25,0.0,83.12
20150926,23.52,0.0,76.47
20150927,24.24,0.0,76.3
20150928,25.21,0.0,77.29
20150929,25.04,0.0,79.49
20150930,25.24,0.0,78.24
20151001,26.37,0.0,80.81
20151002,27.42,0.0,79.28
20151003,27.17,0.01,77.82
20151004,25.84,0.0,70.65
20151005,25.48,0.0,66.84
20151006,24.37,0.0,73.54
20151007,24.58,0.0,64.64
20151008,24.58,0.0,64.73
20151009,23.69,0.0,68.95
20151010,24.4,0.0,71.22
20151011,25.11,0.0,67.49
20151012,25.13,0.0,67.25
20151013,25.91,0.0,64.74
20151014,24.88,3.49,76.01
20151015,24.03,0.12,82.25
20151016,24.21,0.0,80.31
20151017,24.98,0.0,68.48
20151018,25.05,0.0,66.95
20151019,25.2,0.0,70.3
20151020,25.5,0.0,64.5
20151021,25.97,0.0,61.58
20151022,25.51,1.41,68.24
20151023,25.28,0.05,65.44
20151024,24.31,0.0,67.91
20151025,24.05,0.0,67.64
20151026,24.78,0.07,65.34
20151027,24.78,0.0,69.95
20151028,24.0,4.0,76.08
20151029,21.92,4.75,80.23
20151030,21.58,3.65,84.36
20151031,21.9,0.0,81.65
20151101,22.06,0.0,76.48
20151102,22.92,0.0,75.89
20151103,23.28,0.0,73.35
20151104,24.1,0.0,65.72
20151105,24.38,0.0,63.24
20151106,24.17,0.0,65.08
20151107,24.08,0.0,66.8
20151108,23.56,0.0,71.1
20151109,23.35,0.02,71.01
20151110,23.83,0.05,63.79
20151111,23.9,0.0,58.83
20151112,23.62,0.0,58.85
20151113,22.88,0.0,54.11
20151114,23.08,0.0,51.62
20151115,23.42,0.0,50.89
20151116,22.7,0.0,53.3
20151117,23.02,0.0,56.06
20151118,21.82,0.0,66.95
20151119,20.84,0.0,60.09
20151120,20.89,0.0,66.7
20151121,21.08,0.0,61.79
20151122,20.94,0.0,61.72
20151123,21.27,0.0,62.14
20151124,21.89,0.0,60.79
20151125,21.84,0.0,53.22
20151126,21.84,0.0,44.46
20151127,22.53,0.0,53.69
20151128,22.73,0.0,66.63
20151129,22.55,0.0,62.64
20151130,22.7,0.0,61.75
20151201,23.31,0.0,59.59
20151202,23.49,0.0,62.05
20151203,22.87,0.06,63.4
20151204,21.73,0.0,55.82
20151205,21.33,0.0,48.86
20151206,19.6,0.0,39.92
20151207,19.6,0.0,41.96
20151208,19.83,0.0,40.14
20151209,20.01,0.0,41.12
20151210,21.14,0.0,39.15
20151211,22.09,0.0,47.9
20151212,22.75,0.0,52.92
20151213,21.21,0.02,54.87
20151214,21.3,0.31,65.05
20151215,19.25,0.0,33.59
20151216,18.65,0.0,42.46
20151217,20.3,0.09,72.98
20151218,19.36,0.05,42.76
20151219,16.55,0.0,34.19
20151220,17.97,0.0,49.43
20151221,19.19,0.95,65.35
20151222,19.3,1.16,78.1
20151223,20.51,0.21,70.3
20151224,18.12,0.02,47.62
20151225,15.79,0.0,32.11
20151226,15.92,0.0,28.5
20151227,18.75,0.0,25.18
20151228,20.95,0.0,28.65
20151229,21.95,0.0,26.93
20151230,21.52,0.0,28.71
20151231,21.74,0.0,33.3
20160101,20.6,0.0,38.01
20160102,20.42,0.0,45.32
20160103,19.73,0.0,29.03
20160104,19.43,0.0,26.36
20160105,20.49,0.0,26.74
20160106,20.27,0.0,30.78
20160107,21.2,0.0,32.89
20160108,21.96,0.0,30.71
20160109,21.48,0.0,34.41
20160110,19.86,0.0,29.73
20160111,20.05,0.0,27.97
20160112,19.54,0.0,24.51
20160113,19.01,0.0,29.02
20160114,20.17,0.0,35.84
20160115,21.91,0.0,38.55
20160116,22.23,1.26,43.48
20160117,20.28,1.35,56.49
20160118,19.51,1.44,63.43
20160119,19.26,4.37,71.27
20160120,17.24,0.08,59.11
20160121,15.25,0.0,39.33
20160122,14.96,0.0,33.92
20160123,15.48,0.0,25.64
20160124,16.52,0.0,25.07
20160125,17.77,0.0,25.94
20160126,18.64,0.0,29.54
20160127,19.19,0.0,33.04
20160128,20.64,0.0,29.87
20160129,21.64,0.0,32.08
20160130,23.19,0.0,28.81
20160131,23.93,0.0,28.47
20160201,23.28,0.0,37.59
20160202,22.9,0.0,34.68
20160203,21.95,0.0,33.59
20160204,20.78,0.0,26.55
20160205,21.3,0.0,20.62
20160206,21.29,0.0,24.36
20160207,23.91,0.0,30.16
20160208,23.27,0.0,32.04
20160209,21.26,0.0,21.71
20160210,22.61,0.01,26.91
20160211,24.85,0.78,41.35
20160212,24.86,0.0,22.88
20160213,25.71,0.14,39.88
20160214,25.97,0.0,35.31
20160215,25.64,0.0,36.52
20160216,26.53,0.44,41.2
20160217,26.12,0.03,42.54
20160218,27.46,0.0,32.99
20160219,27.86,0.0,25.38
20160220,28.46,0.0,22.84
20160221,27.73,0.0,32.84
20160222,28.12,0.0,26.62
20160223,28.01,0.0,15.62
20160224,27.28,0.0,25.29
20160225,26.99,0.0,25.08
20160226,27.8,2.75,39.73
20160227,26.75,0.41,51.36
20160228,25.73,0.01,42.2
20160229,26.23,0.51,32.57
20160301,27.09,0.0,28.87
20160302,26.77,0.0,19.42
20160303,26.95,0.0,21.44
20160304,28.8,0.02,26.01
20160305,28.86,0.7,29.06
20160306,29.2,4.21,36.77
20160307,27.02,3.98,47.75
20160308,26.87,0.28,45.32
20160309,28.19,0.04,37.28
20160310,28.44,0.05,36.62
20160311,29.49,0.0,32.31
20160312,30.0,0.17,30.53
20160313,28.19,3.26,40.72
20160314,26.16,6.14,55.96
20160315,25.16,0.4,54.24
20160316,25.78,0.0,41.01
20160317,27.38,0.0,32.88
20160318,29.16,0.0,38.85
20160319,30.13,0.0,30.09
20160320,29.3,0.0,21.9
20160321,29.76,0.0,20.08
20160322,29.11,0.0,18.71
20160323,28.92,0.0,11.97
20160324,29.18,0.0,10.66
20160325,30.24,0.0,12.17
20160326,31.64,0.0,12.91
20160327,32.17,0.19,19.03
20160328,28.23,8.59,43.4
20160329,29.57,0.0,37.5
20160330,30.21,0.0,30.69
20160331,30.1,0.0,20.6
20160401,31.31,0.0,19.36
20160402,32.9,0.0,17.32
20160403,33.81,0.0,18.02
20160404,34.56,0.34,23.66
20160405,34.63,0.19,24.73
20160406,32.95,0.01,30.79
20160407,31.44,0.0,32.22
20160408,31.84,0.17,31.14
20160409,33.57,0.02,25.97
20160410,34.25,0.13,23.05
20160411,34.65,0.05,20.65
20160412,34.58,0.0,17.04
20160413,33.39,0.0,15.67
