,T2M,Rain,Humidity
20150101,17.72,0.01,36.45
20150102,19.47,0.0,58.84
20150103,19.46,0.0,54.08
20150104,20.01,0.0,46.14
20150105,19.97,0.0,35.45
20150106,20.84,0.0,36.86
20150107,21.46,0.0,63.69
20150108,21.31,0.0,43.31
20150109,21.51,0.0,24.43
20150110,20.54,0.0,28.87
20150111,20.57,0.0,30.4
20150112,20.93,0.0,48.93
20150113,22.09,0.0,68.0
20150114,21.23,0.0,49.44
20150115,18.12,0.0,26.97
20150116,16.93,0.0,35.08
20150117,16.67,0.0,32.36
20150118,17.19,0.0,24.49
20150119,17.97,0.0,17.94
20150120,19.27,0.0,29.08
20150121,21.17,1.39,63.83
20150122,19.21,0.0,58.02
20150123,18.12,0.0,43.13
20150124,16.82,0.0,33.56
20150125,16.88,0.0,28.96
20150126,16.65,0.0,32.79
20150127,15.9,0.0,27.72
20150128,15.55,0.0,24.16
20150129,16.19,0.0,22.45
20150130,18.09,0.0,21.05
20150131,19.68,0.0,19.86
20150201,20.3,0.0,63.58
20150202,22.57,0.0,65.28
20150203,21.83,0.0,31.54
20150204,21.05,0.0,23.93
20150205,20.25,0.0,21.54
20150206,21.04,0.0,20.15
20150207,21.5,0.0,30.45
20150208,20.39,0.0,36.13
20150209,20.52,0.0,33.31
20150210,21.52,0.0,35.45
20150211,21.32,0.0,25.69
20150212,22.21,0.0,20.25
20150213,23.31,0.0,51.14
20150214,23.99,0.0,62.44
20150215,25.11,0.0,60.22
20150216,25.47,0.0,59.26
20150217,25.49,0.0,59.36
20150218,25.59,0.0,56.35
20150219,25.13,0.0,62.7
20150220,26.1,0.0,54.94
20150221,26.87,0.0,45.31
20150222,28.53,0.0,24.2
20150223,27.98,0.0,33.97
20150224,25.33,0.0,57.52
20150225,22.21,0.0,34.2
20150226,20.37,0.0,29.7
20150227,21.0,0.0,17.97
20150228,20.22,1.3,32.79
20150301,20.21,5.16,46.2
20150302,19.89,0.0,50.19
20150303,21.34,0.0,52.4
20150304,22.3,0.0,48.63
20150305,23.47,0.0,53.76
20150306,24.89,0.04,55.65
20150307,24.96,0.0,50.41
20150308,23.83,0.0,39.64
20150309,22.44,0.0,11.55
20150310,21.99,0.0,15.01
20150311,24.11,0.0,17.87
20150312,25.98,0.0,18.03
20150313,26.83,0.24,28.11
20150314,25.26,0.18,50.34
20150315,23.27,0.01,50.24
20150316,23.67,0.0,46.76
20150317,25.31,0.0,39.71
20150318,25.95,0.0,27.36
20150319,27.85,0.0,29.14
20150320,29.21,0.0,39.37
20150321,30.68,0.0,35.17
20150322,31.25,0.0,23.88
20150323,31.63,0.0,28.09
20150324,31.22,0.0,33.74
20150325,30.87,0.0,38.37
20150326,32.43,0.0,30.1
20150327,32.17,0.0,33.02
20150328,32.2,0.0,35.65
20150329,31.45,0.0,38.7
20150330,28.66,0.0,45.03
20150331,28.74,0.0,42.58
20150401,28.66,0.0,56.02
20150402,28.69,0.0,60.2
20150403,28.14,0.0,60.48
20150404,28.3,0.01,56.75
20150405,28.75,0.01,54.85
20150406,29.52,0.0,47.72
20150407,30.65,0.08,44.65
20150408,31.97,0.0,35.38
20150409,32.6,0.0,23.56
20150410,32.67,0.0,27.47
20150411,30.19,0.0,50.22
20150412,30.32,0.19,52.25
20150413,31.48,0.17,44.01
20150414,32.21,0.0,30.2
20150415,32.98,0.0,27.91
20150416,34.09,0.0,27.73
20150417,33.88,0.0,36.81
20150418,32.95,0.0,45.02
20150419,33.04,0.0,46.71
20150420,33.45,0.0,41.59
20150421,33.83,0.0,30.49
20150422,32.46,0.0,30.68
20150423,31.43,0.0,44.83
20150424,31.34,0.0,49.53
20150425,31.93,0.0,50.0
20150426,31.88,0.0,52.39
20150427,32.28,0.0,53.57
20150428,31.54,0.0,55.64
20150429,32.47,0.0,54.57
20150430,32.39,0.0,54.34
20150501,33.35,0.0,46.71
20150502,33.49,0.0,40.97
20150503,33.34,0.0,40.29
20150504,33.26,0.0,41.81
20150505,32.84,0.0,44.2
20150506,32.04,0.0,49.68
20150507,32.26,0.0,51.83
20150508,32.96,0.0,47.88
20150509,33.34,0.0,48.14
20150510,32.45,0.01,54.48
20150511,31.7,0.07,59.45
20150512,33.38,0.96,51.83
20150513,34.04,0.03,45.0
20150514,34.06,0.19,47.08
20150515,34.84,0.0,42.22
20150516,34.46,0.0,41.35
20150517,33.84,0.0,45.98
20150518,33.31,0.0,52.7
20150519,33.18,0.0,55.89
20150520,33.49,0.0,54.79
20150521,33.9,0.0,52.9
20150522,33.72,0.0,55.49
20150523,33.41,0.0,57.46
20150524,33.18,0.0,60.4
20150525,32.95,0.0,60.39
20150526,32.73,0.0,60.37
20150527,32.78,0.0,60.03
20150528,32.8,0.0,58.72
20150529,32.38,0.0,57.15
20150530,32.5,0.0,58.6
20150531,33.84,0.0,54.52
20150601,32.92,0.0,59.98
20150602,32.43,0.45,58.69
20150603,33.44,3.06,50.46
20150604,32.73,8.52,52.78
20150605,33.41,0.04,46.98
20150606,33.67,0.0,47.26
20150607,33.4,0.0,50.37
20150608,34.05,0.62,48.7
20150609,32.39,3.4,57.37
20150610,31.94,2.44,60.02
20150611,32.94,1.49,57.0
20150612,33.27,0.0,57.59
20150613,32.94,2.09,58.98
20150614,32.73,1.18,60.38
20150615,32.9,0.79,61.55
20150616,32.86,5.16,60.57
20150617,32.6,6.18,63.6
20150618,31.5,3.0,70.08
20150619,31.94,1.71,65.92
20150620,32.68,0.45,60.94
20150621,32.41,0.36,65.22
20150622,32.57,0.15,63.59
20150623,32.47,9.21,64.11
20150624,31.07,17.9,70.26
20150625,31.58,1.73,70.14
20150626,31.75,0.01,67.88
20150627,31.91,0.0,65.8
20150628,32.37,0.0,63.08
20150629,32.46,0.0,60.67
20150630,31.89,0.0,60.74
20150701,31.54,0.0,60.59
20150702,31.45,0.0,60.59
20150703,31.75,0.0,59.63
20150704,31.71,0.0,61.36
20150705,31.37,0.0,63.57
20150706,31.61,0.0,62.81
20150707,31.7,0.0,63.0
20150708,31.67,0.0,62.5
20150709,31.63,0.0,61.92
20150710,31.46,0.0,60.86
20150711,32.15,0.0,59.92
20150712,32.66,0.35,59.0
20150713,32.46,0.15,58.37
20150714,32.04,0.0,58.36
20150715,31.95,0.0,59.04
20150716,32.05,0.0,60.0
20150717,32.23,0.0,60.1
20150718,32.33,0.0,58.82
20150719,32.18,0.0,59.88
20150720,31.83,0.01,60.22
20150721,32.0,10.11,62.85
20150722,29.74,13.33,77.01
20150723,29.14,13.14,80.37
20150724,29.09,3.58,80.73
20150725,28.84,2.98,78.02
20150726,28.09,35.64,83.03
20150727,26.95,149.16,89.17
20150728,26.57,147.44,90.69
20150729,27.2,9.65,85.24
20150730,27.36,0.49,84.56
20150731,27.14,0.2,84.45
20150801,27.28,0.0,82.75
20150802,27.19,0.0,83.83
20150803,27.59,0.0,82.5
20150804,27.5,0.0,81.89
20150805,27.45,0.0,82.28
20150806,27.53,0.0,81.61
20150807,28.12,0.0,82.13
20150808,28.01,0.0,81.76
20150809,27.85,0.0,80.67
20150810,28.31,0.0,79.85
20150811,28.71,0.0,78.76
20150812,28.24,0.03,81.21
20150813,28.23,0.49,81.86
20150814,28.79,0.56,80.26
20150815,28.81,0.03,80.41
20150816,28.97,0.1,79.28
20150817,29.05,0.21,79.15
20150818,28.98,0.2,79.1
20150819,28.38,0.02,79.38
20150820,28.61,0.17,76.74
20150821,28.34,0.17,75.83
20150822,28.55,0.08,76.93
20150823,28.41,0.16,77.88
20150824,28.43,0.08,77.31
20150825,28.29,0.0,76.14
20150826,28.74,0.0,74.8
20150827,28.82,0.0,74.62
20150828,29.06,0.0,73.47
20150829,28.84,0.0,73.39
20150830,28.9,0.0,73.34
20150831,28.21,0.0,73.14
20150901,27.73,0.02,71.19
20150902,27.6,0.01,69.21
20150903,28.14,0.03,65.79
20150904,27.84,0.18,69.9
20150905,28.23,0.0,67.21
20150906,27.91,0.0,71.16
20150907,28.71,0.0,70.43
20150908,28.96,0.0,67.49
20150909,29.52,0.18,67.51
20150910,29.53,0.01,67.44
20150911,30.54,0.0,65.64
20150912,30.99,1.34,65.74
20150913,30.7,0.15,66.39
20150914,30.08,0.0,68.88
20150915,29.38,0.0,68.35
20150916,29.63,0.0,66.05
20150917,30.68,0.0,63.21
20150918,31.95,2.35,57.21
20150919,31.79,8.71,60.87
20150920,29.09,20.03,79.04
20150921,30.19,5.67,73.44
20150922,29.89,0.21,69.99
20150923,27.74,0.0,70.98
20150924,27.12,0.0,68.72
20150925,27.19,0.0,70.32
20150926,28.02,0.0,68.32
20150927,27.91,0.0,66.21
20150928,28.04,0.0,63.85
20150929,28.52,0.0,57.22
20150930,30.04,0.0,46.08
20151001,29.79,0.0,47.37
20151002,30.15,0.0,45.59
20151003,30.7,0.0,49.43
20151004,29.32,0.0,62.25
20151005,29.18,0.0,60.12
20151006,30.46,0.0,50.84
20151007,30.92,0.0,46.82
20151008,30.35,0.0,46.55
20151009,29.35,0.0,53.44
20151010,28.44,0.0,64.22
20151011,28.73,0.0,65.39
20151012,29.57,0.0,63.22
20151013,30.97,0.0,54.92
20151014,31.08,0.0,55.59
20151015,31.7,0.0,50.47
20151016,32.13,0.0,41.71
20151017,31.66,0.0,38.11
20151018,31.51,0.0,42.41
20151019,31.41,0.0,39.37
20151020,30.77,0.0,44.57
20151021,30.1,0.0,49.67
20151022,30.44,0.0,38.7
20151023,30.2,0.0,27.66
20151024,29.9,0.0,32.37
20151025,29.49,0.0,46.63
20151026,28.97,0.0,49.76
20151027,28.36,0.0,31.55
20151028,26.87,0.0,26.61
20151029,24.73,0.0,29.18
20151030,25.21,0.0,33.14
20151031,25.88,0.0,33.51
20151101,26.43,0.0,36.45
20151102,27.76,0.0,38.96
20151103,28.3,0.0,36.36
20151104,28.43,0.0,33.69
20151105,28.21,0.0,56.35
20151106,28.0,0.0,37.74
20151107,25.18,0.0,21.8
20151108,24.79,0.0,26.48
20151109,25.02,0.0,32.29
20151110,25.71,0.0,33.89
20151111,26.31,0.0,34.35
20151112,26.98,0.0,33.45
20151113,27.11,0.0,28.59
20151114,27.13,0.0,38.23
20151115,26.85,0.0,52.12
20151116,25.8,0.0,36.65
20151117,24.42,0.0,23.7
20151118,24.39,0.0,17.94
20151119,24.68,0.0,20.54
20151120,24.21,0.0,21.39
20151121,24.49,0.0,20.86
20151122,26.25,0.0,22.44
20151123,26.63,0.0,26.81
20151124,26.16,0.0,27.54
20151125,26.15,0.0,31.41
20151126,24.13,0.0,22.34
20151127,21.08,0.0,15.92
20151128,21.12,0.0,20.18
20151129,21.19,0.0,24.55
20151130,22.34,0.0,32.73
20151201,22.1,0.0,31.42
20151202,21.85,0.0,27.86
20151203,22.08,0.0,25.07
20151204,23.04,0.0,19.94
20151205,23.07,0.0,23.48
20151206,22.96,0.0,18.86
20151207,23.0,0.0,21.57
20151208,22.87,0.0,24.58
20151209,23.88,0.0,36.25
20151210,21.88,0.0,47.4
20151211,18.28,0.0,19.54
20151212,17.09,0.0,12.8
20151213,16.82,0.0,18.62
20151214,17.02,0.0,18.76
20151215,17.14,0.0,16.09
20151216,18.3,0.0,19.6
20151217,19.62,0.0,51.72
20151218,17.42,0.0,19.11
20151219,17.35,0.0,18.31
20151220,17.33,0.0,17.1
20151221,16.84,0.0,22.11
20151222,17.4,0.0,23.71
20151223,18.0,0.0,23.95
20151224,15.81,0.0,25.24
20151225,15.93,0.0,20.3
20151226,18.08,0.0,16.35
20151227,20.43,0.0,13.64
20151228,22.17,0.0,12.58
20151229,22.72,0.0,14.63
20151230,22.56,0.0,20.23
20151231,21.85,0.0,28.69
20160101,21.67,0.0,28.35
20160102,21.47,0.0,24.25
20160103,22.06,0.0,23.62
20160104,22.77,0.0,31.91
20160105,22.02,0.0,58.91
20160106,22.31,0.0,37.15
20160107,22.09,0.0,37.89
20160108,20.65,0.0,38.45
20160109,20.1,0.0,34.86
20160110,20.15,0.0,60.17
20160111,20.35,0.0,60.84
20160112,21.31,0.0,66.71
20160113,21.84,0.0,52.54
20160114,20.32,0.0,33.82
20160115,18.87,0.0,28.63
20160116,18.46,0.0,30.4
20160117,19.29,0.0,34.67
20160118,19.91,0.0,43.98
20160119,18.34,0.0,24.67
20160120,17.47,0.0,22.25
20160121,17.92,0.0,15.22
20160122,19.56,0.0,17.91
20160123,18.78,0.0,28.51
20160124,18.83,0.0,22.28
20160125,18.91,0.0,19.99
20160126,19.98,0.0,58.4
20160127,22.11,0.0,63.29
20160128,23.12,0.0,34.29
20160129,23.02,0.0,61.3
20160130,23.04,0.0,64.34
20160131,22.83,0.0,59.04
20160201,21.88,0.0,39.15
20160202,20.38,0.0,21.85
20160203,19.41,0.0,14.96
20160204,19.85,0.0,14.91
20160205,20.48,0.0,16.61
20160206,20.77,0.0,40.32
20160207,20.29,0.0,15.02
20160208,20.72,0.0,14.86
20160209,20.53,0.0,17.38
20160210,21.16,0.0,57.41
20160211,22.29,0.0,54.91
20160212,20.84,0.0,51.03
20160213,20.81,0.0,35.18
20160214,19.51,0.0,19.8
20160215,19.41,0.0,19.52
20160216,20.42,0.0,20.61
20160217,22.85,0.0,24.94
20160218,25.58,0.01,31.62
20160219,24.86,0.0,44.6
20160220,23.62,0.0,37.26
20160221,24.52,0.0,25.62
20160222,24.22,0.0,23.03
20160223,24.25,0.0,24.77
20160224,24.23,0.0,36.66
20160225,24.07,0.0,42.47
20160226,25.36,0.0,20.98
20160227,25.9,0.0,11.81
20160228,26.49,0.0,11.8
20160229,26.86,0.0,12.63
20160301,27.54,0.0,13.59
20160302,28.31,0.0,17.36
20160303,28.14,0.0,22.96
20160304,28.11,0.0,28.38
20160305,26.21,0.0,44.75
20160306,26.27,0.0,48.05
20160307,26.5,0.0,32.06
20160308,26.94,0.0,31.62
20160309,27.76,0.0,39.25
20160310,27.79,0.0,49.11
20160311,27.74,0.0,51.26
20160312,26.16,0.0,55.78
20160313,25.42,1.0,56.72
20160314,26.47,0.11,51.65
20160315,27.42,0.0,41.06
20160316,28.19,0.0,30.16
20160317,28.38,0.0,54.78
20160318,29.08,0.0,54.49
20160319,29.6,0.0,50.83
20160320,29.26,0.0,44.92
20160321,28.4,0.0,43.8
20160322,28.95,0.0,27.61
20160323,29.38,0.0,34.7
20160324,31.24,0.0,35.48
20160325,31.06,0.0,29.13
20160326,29.58,0.0,29.28
20160327,28.94,0.0,16.72
20160328,29.25,0.0,18.28
20160329,29.1,0.0,31.87
20160330,28.79,0.0,43.47
20160331,29.48,0.0,53.93
20160401,29.88,0.0,57.84
20160402,30.1,0.0,56.15
20160403,29.68,0.0,54.79
20160404,29.64,0.0,47.47
20160405,28.19,0.0,50.12
20160406,29.0,0.0,45.28
20160407,28.5,0.0,47.4
20160408,28.8,0.0,50.63
20160409,29.24,0.0,49.85
20160410,29.95,0.0,42.74
20160411,30.0,0.0,48.39
20160412,30.84,0.0,42.09
20160413,31.28,0.0,42.23
20160414,30.66,0.0,48.14
20160415,31.14,0.0,53.75
20160416,30.31,0.0,56.29
20160417,30.25,0.0,54.97
20160418,29.66,0.0,51.13
20160419,30.18,0.0,46.89
20160420,30.8,0.0,39.15
20160421,30.1,0.0,45.51
20160422,30.76,0.0,48.4
20160423,30.78,0.0,48.98
20160424,30.55,0.0,49.14
20160425,30.92,0.0,47.42
20160426,31.34,0.0,45.01
20160427,31.69,0.0,41.08
20160428,33.28,0.0,38.81
20160429,34.07,0.0,35.86
20160430,33.23,0.0,44.33
20160501,32.76,0.0,50.9
20160502,33.0,0.0,49.35
20160503,32.78,0.0,48.94
20160504,32.04,0.0,47.88
20160505,31.52,0.41,48.08
20160506,32.28,4.37,48.43
20160507,32.63,1.13,47.1
20160508,32.48,0.0,52.15
20160509,32.82,0.0,53.33
20160510,33.18,0.0,51.88
20160511,33.32,0.0,54.72
20160512,33.74,0.0,50.57
20160513,33.68,0.0,49.85
20160514,33.73,0.0,50.46
20160515,33.74,0.0,52.43
20160516,34.6,0.0,49.78
20160517,35.02,0.0,49.15
20160518,35.8,0.0,45.59
20160519,34.77,0.0,52.16
20160520,33.49,0.0,58.9
20160521,32.66,0.01,61.83
20160522,32.29,0.05,61.49
20160523,32.67,0.0,59.76
20160524,33.23,0.0,59.13
20160525,33.48,0.0,56.58
20160526,32.66,0.0,61.16
20160527,33.49,0.0,59.41
20160528,33.34,0.0,58.53
20160529,33.0,0.0,55.38
20160530,32.91,0.0,55.14
20160531,32.84,0.0,53.74
20160601,33.11,0.0,52.34
20160602,33.37,0.0,51.06
20160603,33.92,0.0,49.68
20160604,34.42,0.0,48.35
20160605,35.6,0.0,44.87
20160606,34.86,0.0,47.8
20160607,34.33,0.0,53.82
20160608,33.99,0.0,55.58
20160609,33.9,0.0,56.57
20160610,32.63,0.0,63.09
20160611,32.64,0.0,60.9
20160612,32.91,0.0,59.39
20160613,32.77,0.0,59.1
20160614,32.41,0.0,62.45
20160615,32.8,0.0,56.21
20160616,32.85,0.0,55.77
20160617,32.17,0.0,55.52
20160618,32.13,0.0,56.04
20160619,33.28,0.0,53.0
20160620,32.61,0.0,53.39
20160621,32.18,0.14,60.04
20160622,31.9,0.31,63.44
20160623,33.21,0.11,55.45
20160624,33.58,0.38,54.54
20160625,33.41,2.13,58.19
20160626,33.74,2.47,55.67
20160627,32.9,1.82,61.51
20160628,32.81,1.27,59.37
20160629,31.32,1.93,63.91
20160630,33.4,0.1,57.86
20160701,34.01,0.32,58.98
20160702,32.59,0.44,66.64
20160703,32.94,0.24,62.7
20160704,33.12,0.14,58.15
20160705,32.75,0.05,59.45
20160706,32.79,0.0,58.05
20160707,32.24,0.05,59.55
20160708,32.37,0.25,60.66
20160709,31.88,0.5,63.68
20160710,32.13,0.56,63.29
20160711,31.81,0.58,62.95
20160712,30.36,3.72,66.78
20160713,30.24,3.68,69.75
20160714,30.67,0.25,69.06
20160715,30.66,0.32,68.08
20160716,29.7,2.22,72.56
20160717,29.73,3.59,72.56
20160718,29.53,5.33,71.93
20160719,29.8,2.77,70.01
20160720,30.42,0.65,65.99
20160721,30.4,0.0,65.69
20160722,30.67,0.0,65.3
20160723,31.34,0.0,62.63
20160724,31.62,0.0,58.86
20160725,31.44,0.21,60.24
20160726,30.72,0.17,64.17
20160727,31.04,0.24,62.77
20160728,29.7,3.05,68.57
20160729,29.8,5.14,69.12
20160730,30.12,2.45,69.38
20160731,30.31,1.57,68.66
20160801,30.63,0.08,67.89
20160802,30.54,0.11,67.98
20160803,30.67,2.52,66.2
20160804,29.62,8.26,72.75
20160805,28.3,29.43,87.01
20160806,29.07,15.15,80.15
20160807,28.09,25.8,80.47
20160808,29.01,0.73,76.76
20160809,28.65,3.01,80.36
20160810,28.83,0.7,76.92
20160811,29.42,0.07,73.83
20160812,29.63,0.1,72.3
20160813,29.23,0.0,72.23
20160814,29.09,0.0,71.83
20160815,29.07,0.0,71.93
20160816,29.03,0.0,71.41
20160817,29.35,0.0,70.92
20160818,29.62,0.0,67.46
20160819,28.78,0.0,69.67
20160820,29.44,0.0,68.9
20160821,29.73,0.43,69.1
20160822,30.37,0.08,68.16
20160823,30.04,2.5,68.55
20160824,28.57,11.38,76.98
20160825,29.51,6.18,72.88
