,T2M,Rain,Humidity
20150101,16.86,16.11,72.54
20150102,17.8,5.0,88.84
20150103,19.02,2.21,85.23
20150104,17.92,0.49,77.9
20150105,14.95,0.0,57.24
20150106,14.58,0.0,50.08
20150107,15.5,0.0,53.45
20150108,14.57,0.0,57.29
20150109,13.2,0.0,54.2
20150110,12.67,0.0,47.07
20150111,13.41,0.0,43.05
20150112,13.4,0.0,44.31
20150113,13.8,0.0,44.48
20150114,14.04,0.0,49.31
20150115,14.67,0.0,51.52
20150116,14.0,0.01,55.62
20150117,13.15,0.0,54.44
20150118,13.47,0.0,55.71
20150119,13.23,0.0,49.42
20150120,13.45,0.0,41.81
20150121,14.41,0.0,44.77
20150122,16.79,0.0,47.14
20150123,17.89,0.21,63.73
20150124,17.73,0.0,67.18
20150125,16.9,0.02,56.73
20150126,17.33,0.37,65.68
20150127,17.43,3.89,78.73
20150128,17.96,2.72,70.64
20150129,16.67,11.5,68.72
20150130,13.96,1.25,47.98
20150131,14.18,0.0,39.94
20150201,15.49,0.0,39.02
20150202,16.52,0.0,44.73
20150203,18.93,0.0,46.03
20150204,19.39,0.02,49.4
20150205,16.65,0.0,43.28
20150206,16.19,0.0,39.86
20150207,18.89,0.0,43.36
20150208,19.71,0.7,54.76
20150209,18.56,0.07,67.72
20150210,18.44,0.0,45.03
20150211,18.2,0.01,44.81
20150212,18.9,0.92,53.41
20150213,18.42,0.0,48.81
20150214,19.2,0.0,39.24
20150215,20.77,0.0,43.27
20150216,20.7,0.0,48.41
20150217,21.2,0.0,53.74
20150218,22.31,0.0,49.26
20150219,22.45,0.0,44.53
20150220,23.39,0.0,37.45
20150221,23.89,0.0,38.14
20150222,23.19,0.0,40.62
20150223,24.05,0.0,39.16
20150224,24.48,0.0,38.3
20150225,24.61,0.0,37.38
20150226,24.6,0.07,40.19
20150227,23.73,0.78,51.14
20150228,24.72,1.68,48.26
20150301,25.11,0.72,50.77
20150302,19.9,7.84,72.18
20150303,21.15,2.9,65.11
20150304,20.54,0.09,49.46
20150305,19.23,0.0,41.92
20150306,20.07,0.0,38.83
20150307,21.43,0.0,41.98
20150308,24.28,0.0,38.94
20150309,25.46,0.0,40.66
20150310,24.27,0.0,41.63
20150311,21.8,0.0,29.01
20150312,23.21,0.0,31.15
20150313,25.29,0.0,41.14
20150314,25.98,0.05,44.97
20150315,25.02,0.0,51.32
20150316,23.08,5.94,58.58
20150317,25.23,2.34,50.47
20150318,24.99,0.0,40.63
20150319,22.91,0.0,36.13
20150320,23.59,0.0,32.99
20150321,24.37,0.0,30.22
20150322,26.61,0.0,34.08
20150323,27.36,0.0,36.52
20150324,28.09,0.0,35.36
20150325,29.67,0.0,31.0
20150326,30.55,0.0,30.91
20150327,30.33,0.0,32.39
20150328,30.21,0.36,32.32
20150329,29.99,0.01,33.63
20150330,23.93,4.66,53.21
20150331,26.3,0.08,52.22
20150401,28.52,0.0,39.65
20150402,30.06,0.0,33.41
20150403,30.75,0.0,32.01
20150404,31.17,0.01,35.25
20150405,29.06,0.91,40.52
20150406,30.26,0.76,38.13
20150407,30.97,0.0,31.74
20150408,29.01,0.44,31.08
20150409,29.59,0.02,24.51
20150410,30.01,0.0,21.66
20150411,32.15,0.02,21.77
20150412,30.23,0.09,33.2
20150413,27.79,8.63,51.2
20150414,26.56,6.53,61.06
20150415,27.25,14.77,61.4
20150416,28.63,0.19,53.2
20150417,29.68,0.19,42.38
20150418,31.03,0.06,38.38
20150419,32.73,0.0,32.54
20150420,32.43,0.0,33.68
20150421,34.32,0.0,29.05
20150422,32.43,0.0,29.59
20150423,33.3,0.0,25.11
20150424,33.43,0.0,27.7
20150425,31.14,0.24,43.17
20150426,29.35,0.04,46.55
20150427,31.06,0.0,39.12
20150428,32.05,0.0,34.95
20150429,32.35,1.59,36.06
20150430,32.23,0.0,36.01
20150501,33.74,0.0,26.77
20150502,33.07,0.0,28.53
20150503,33.95,0.0,21.02
20150504,34.49,0.01,17.13
20150505,34.95,0.0,15.98
20150506,35.66,0.0,13.8
20150507,36.35,0.0,12.91
20150508,35.54,0.0,17.77
20150509,35.61,0.0,21.2
20150510,36.52,0.18,19.68
20150511,37.47,0.0,18.03
20150512,35.85,0.62,25.54
20150513,34.95,0.11,26.22
20150514,36.14,0.4,25.8
20150515,34.45,0.43,33.17
20150516,34.23,6.49,36.52
20150517,33.88,0.56,40.36
20150518,35.16,0.0,33.96
20150519,36.32,0.33,32.97
20150520,36.93,0.3,25.28
20150521,36.16,0.0,18.19
20150522,37.13,0.0,13.93
20150523,38.21,0.0,15.14
20150524,38.87,0.0,14.74
20150525,38.77,0.0,18.18
20150526,38.37,0.0,21.1
20150527,38.02,0.0,19.28
20150528,36.19,0.0,15.29
20150529,38.28,0.0,22.29
20150530,38.51,0.0,17.94
20150531,38.58,0.0,20.76
20150601,38.22,1.16,22.22
20150602,37.63,0.29,25.13
20150603,37.99,0.11,21.4
20150604,37.77,1.08,28.51
20150605,38.11,0.3,29.51
20150606,38.71,0.01,25.42
20150607,39.05,0.0,22.89
