,T2M,Rain,Humidity
20150101,13.54,0.0,39.89
20150102,15.43,3.9,51.5
20150103,13.77,2.93,70.56
20150104,11.97,0.0,53.35
20150105,11.75,0.0,43.89
20150106,12.82,0.0,48.02
20150107,12.08,0.0,50.31
20150108,12.18,0.0,43.18
20150109,11.27,0.0,38.18
20150110,10.64,0.0,38.36
20150111,11.52,0.0,33.4
20150112,13.35,0.0,30.31
20150113,12.43,0.0,38.5
20150114,11.17,6.09,62.7
20150115,11.46,0.0,72.78
20150116,12.44,0.0,64.4
20150117,12.44,0.0,49.05
20150118,12.53,0.0,44.55
20150119,14.04,0.0,40.93
20150120,12.3,0.0,42.12
20150121,11.59,0.74,49.9
20150122,11.88,7.21,82.94
20150123,12.41,0.06,70.91
20150124,12.6,0.0,60.04
20150125,12.07,0.0,49.64
20150126,11.89,0.75,52.09
20150127,10.52,0.16,52.67
20150128,9.97,0.0,50.55
20150129,10.25,0.0,41.11
20150130,11.21,0.0,41.87
20150131,12.76,0.0,38.99
20150201,14.43,0.0,38.47
20150202,15.08,5.66,44.5
20150203,14.32,7.28,68.92
20150204,13.56,0.14,66.8
20150205,13.26,0.0,49.24
20150206,14.03,0.0,44.24
20150207,15.57,0.0,40.4
20150208,15.93,0.0,46.96
20150209,15.16,0.0,52.21
20150210,14.94,0.0,41.4
20150211,14.8,0.0,39.72
20150212,14.53,0.0,37.13
20150213,16.06,0.0,36.51
20150214,19.9,0.0,36.81
20150215,19.93,0.0,37.18
20150216,18.43,0.38,40.3
20150217,19.31,0.37,48.52
20150218,19.77,0.01,44.23
20150219,20.34,0.05,42.73
20150220,20.32,3.83,49.84
20150221,20.71,0.03,47.25
20150222,20.7,0.0,49.94
20150223,20.97,0.0,45.95
20150224,20.93,0.0,41.11
20150225,18.34,4.3,47.35
20150226,14.37,0.0,28.1
20150227,14.67,0.19,34.64
20150228,15.62,0.03,39.49
20150301,15.69,34.7,82.32
20150302,15.99,28.92,82.94
20150303,15.27,2.22,65.11
20150304,15.34,0.06,60.36
20150305,17.02,0.31,56.66
20150306,17.29,0.81,62.49
20150307,18.06,4.36,63.26
20150308,17.5,3.68,66.9
20150309,14.08,0.38,56.26
20150310,16.24,0.0,52.39
20150311,17.86,0.0,44.61
20150312,18.66,0.0,44.16
20150313,21.39,0.0,38.64
20150314,20.54,3.07,57.67
20150315,18.97,5.53,68.78
20150316,18.33,9.49,75.16
20150317,19.07,0.03,61.32
20150318,18.82,0.0,58.17
20150319,20.16,0.0,48.4
20150320,21.75,0.0,42.34
20150321,23.15,0.0,47.36
20150322,24.04,0.0,49.17
20150323,24.33,0.0,49.18
20150324,26.4,0.0,36.16
20150325,26.8,0.0,36.72
20150326,26.15,0.0,41.63
20150327,26.66,0.0,38.68
20150328,26.53,0.0,32.82
20150329,22.17,6.18,52.17
20150330,21.77,2.14,67.7
20150331,24.26,0.0,53.85
20150401,25.47,0.4,49.64
20150402,25.51,0.12,48.34
20150403,23.38,17.3,60.62
20150404,22.66,4.39,61.04
20150405,22.97,0.0,55.1
20150406,23.95,0.28,50.1
20150407,23.53,2.13,51.91
20150408,24.27,1.03,46.92
20150409,24.2,0.0,48.73
20150410,25.48,0.0,45.71
20150411,28.06,0.2,38.1
20150412,26.06,0.88,51.55
20150413,26.7,0.12,48.17
20150414,25.86,0.95,55.9
20150415,26.86,9.9,52.44
20150416,26.53,2.45,53.17
20150417,26.58,3.39,52.9
20150418,29.05,0.0,44.35
20150419,31.43,0.0,36.82
20150420,30.32,0.04,35.88
20150421,28.92,0.0,36.7
20150422,29.07,0.0,31.78
20150423,31.27,0.0,24.61
20150424,31.82,0.0,22.24
20150425,32.36,0.0,22.65
20150426,28.7,0.03,40.43
20150427,29.96,0.0,39.45
20150428,31.36,3.31,40.48
20150429,30.75,1.31,33.88
20150430,30.71,0.0,32.28
20150501,29.1,7.27,43.0
20150502,29.78,0.0,30.4
20150503,30.86,0.0,24.52
20150504,31.85,0.0,22.79
20150505,32.59,0.0,23.53
20150506,33.51,0.0,24.43
20150507,33.4,0.0,22.86
20150508,33.86,0.0,20.72
20150509,34.48,0.0,26.89
20150510,34.69,0.0,26.59
20150511,34.35,2.18,30.7
20150512,33.07,0.86,31.56
20150513,32.72,0.34,30.46
20150514,31.5,1.18,38.92
20150515,32.12,0.37,37.43
20150516,33.27,1.4,29.81
20150517,33.76,0.0,24.97
20150518,36.8,0.0,22.5
20150519,35.86,0.05,26.01
20150520,34.84,0.48,17.23
20150521,35.13,0.0,16.01
20150522,35.88,0.0,13.47
20150523,36.64,0.0,12.05
20150524,37.23,0.0,10.98
20150525,37.22,0.0,10.68
20150526,36.25,0.0,10.64
20150527,34.35,0.0,8.76
20150528,35.32,0.0,10.54
20150529,36.32,0.17,19.26
20150530,36.39,0.0,18.42
20150531,36.47,0.0,18.0
20150601,36.24,0.32,16.98
20150602,34.38,0.19,27.38
20150603,34.02,0.17,27.78
20150604,33.36,5.26,32.07
20150605,33.49,2.79,35.9
20150606,34.56,0.0,27.51
20150607,36.16,0.0,22.43
20150608,37.81,0.0,17.99
20150609,38.29,0.0,18.66
20150610,36.45,0.0,31.07
20150611,37.39,0.12,26.53
20150612,37.23,0.0,27.18
20150613,35.93,8.09,32.81
20150614,32.38,4.21,45.16
20150615,33.62,0.52,44.43
20150616,34.71,0.46,37.57
20150617,35.51,0.1,33.28
