,T2M,Rain,Humidity
20150101,20.39,0.0,59.04
20150102,21.3,0.05,66.4
20150103,21.15,0.7,79.88
20150104,19.6,6.4,86.72
20150105,17.98,0.09,77.96
20150106,16.3,0.0,75.32
20150107,16.53,0.0,75.58
20150108,17.13,0.0,75.05
20150109,17.72,0.0,73.55
20150110,16.65,0.0,68.23
20150111,16.24,0.0,71.59
20150112,17.18,0.0,77.13
20150113,18.27,0.0,73.24
20150114,18.93,0.0,72.85
20150115,19.62,0.0,71.23
20150116,19.16,0.04,70.52
20150117,19.18,1.12,72.55
20150118,16.6,0.03,75.0
20150119,16.01,0.0,70.01
20150120,16.15,0.0,71.42
20150121,17.41,0.0,76.83
20150122,18.69,0.0,76.29
20150123,18.53,0.0,71.0
20150124,18.09,0.0,67.65
20150125,17.61,0.0,68.72
20150126,17.25,0.0,63.43
20150127,17.97,0.0,63.76
20150128,18.96,0.0,74.59
20150129,18.38,0.0,71.42
20150130,17.25,0.8,76.07
20150131,14.43,0.0,62.56
20150201,15.15,0.0,66.99
20150202,17.14,0.0,68.83
20150203,18.55,0.0,70.42
20150204,19.24,0.0,63.3
20150205,18.71,0.0,60.41
20150206,16.8,0.0,58.62
20150207,16.8,0.0,60.95
20150208,18.05,0.0,63.1
20150209,18.43,0.0,65.38
20150210,18.8,0.0,65.75
20150211,17.99,0.0,60.48
20150212,17.78,0.0,54.47
20150213,18.34,0.0,60.35
20150214,18.12,0.28,63.07
20150215,19.29,0.02,62.79
20150216,19.89,0.0,66.07
20150217,20.69,0.39,68.42
20150218,21.04,4.45,66.12
20150219,20.69,2.82,70.38
20150220,20.96,0.02,72.07
20150221,21.32,2.97,71.4
20150222,22.45,0.01,64.93
20150223,22.49,0.0,69.37
20150224,23.04,0.05,66.62
20150225,23.5,0.0,66.48
20150226,23.65,9.22,69.23
20150227,23.82,0.96,66.31
20150228,24.21,0.0,63.34
20150301,24.53,0.0,70.46
20150302,25.01,0.07,68.75
20150303,23.14,0.07,62.08
20150304,22.01,3.2,61.4
20150305,20.91,0.05,54.75
20150306,19.54,0.01,53.57
20150307,20.55,0.0,55.32
20150308,21.39,0.0,58.11
20150309,22.52,0.0,52.63
20150310,22.98,0.0,47.01
20150311,22.2,0.0,46.88
20150312,22.78,0.0,45.25
20150313,22.97,0.0,43.96
20150314,24.44,0.0,48.6
20150315,25.16,0.0,51.25
20150316,25.55,0.0,48.69
20150317,25.34,0.0,52.28
20150318,25.4,0.0,49.35
20150319,23.81,0.01,46.4
20150320,23.23,0.0,45.36
20150321,24.55,0.0,50.7
20150322,25.32,0.0,45.13
20150323,27.22,0.0,46.58
20150324,26.35,0.0,58.63
20150325,26.7,0.0,60.43
20150326,27.1,0.03,58.5
20150327,23.23,18.3,79.56
20150328,24.78,2.63,73.53
20150329,26.15,0.02,69.12
20150330,26.56,2.96,66.56
20150331,25.39,0.45,69.43
20150401,26.43,3.48,61.12
20150402,26.18,13.44,69.31
20150403,26.55,3.36,69.37
20150404,26.9,14.24,70.0
20150405,25.75,15.4,77.27
20150406,25.16,1.56,70.32
20150407,25.86,0.01,65.62
20150408,26.22,2.08,68.41
20150409,27.32,0.53,60.28
20150410,26.98,0.01,56.07
20150411,27.08,2.36,60.3
20150412,27.38,0.43,63.93
20150413,25.26,0.4,72.44
20150414,27.44,0.01,61.21
20150415,27.29,0.08,59.51
20150416,28.02,0.0,57.29
20150417,28.39,1.95,53.57
20150418,25.81,44.78,73.62
20150419,26.7,14.17,73.68
20150420,27.17,19.2,72.17
20150421,27.36,31.64,78.01
20150422,28.24,11.61,75.69
20150423,27.79,13.44,75.65
20150424,25.85,15.71,78.79
20150425,24.45,9.51,78.84
20150426,23.74,0.24,80.84
20150427,25.31,0.07,72.52
20150428,26.05,8.47,72.19
20150429,26.06,13.71,74.28
20150430,26.82,2.74,69.71
20150501,27.02,11.57,72.46
20150502,27.08,14.83,77.16
20150503,27.68,2.71,74.32
20150504,28.3,8.38,71.25
20150505,28.3,10.8,71.0
20150506,28.11,2.22,72.63
20150507,28.47,6.32,71.25
20150508,26.11,3.1,79.27
20150509,27.15,0.27,72.89
20150510,28.23,9.79,77.27
20150511,28.24,2.48,76.28
20150512,27.31,4.18,79.37
20150513,27.99,6.39,75.11
20150514,28.54,41.66,77.97
20150515,28.84,17.01,77.79
20150516,27.02,6.12,82.27
20150517,26.97,6.92,79.48
20150518,28.02,3.74,74.39
20150519,28.72,0.03,73.31
20150520,29.27,0.42,73.9
20150521,29.72,6.16,73.33
20150522,29.62,5.75,73.54
20150523,29.6,9.91,73.57
20150524,29.33,19.01,76.22
20150525,28.83,30.45,77.47
20150526,28.73,12.45,75.33
20150527,28.47,17.1,79.44
20150528,28.81,29.54,80.08
20150529,29.92,15.03,75.91
20150530,29.33,21.23,80.98
20150531,28.98,15.58,79.94
20150601,29.02,6.9,79.7
20150602,28.94,6.59,79.22
20150603,28.86,23.46,81.37
20150604,29.36,3.02,79.36
20150605,29.47,0.69,76.37
20150606,29.16,4.37,77.43
20150607,29.42,6.14,78.04
20150608,29.71,14.8,78.28
20150609,29.85,17.93,78.68
20150610,29.36,39.0,80.13
20150611,28.96,59.22,80.27
20150612,28.73,19.55,82.19
20150613,28.34,10.88,80.21
20150614,27.88,3.45,82.81
20150615,28.73,18.6,81.3
20150616,28.78,26.01,81.36
20150617,28.92,8.53,80.26
20150618,29.2,3.68,77.27
20150619,30.11,1.98,74.46
20150620,30.04,4.13,79.21
20150621,30.39,4.61,76.83
20150622,30.2,6.38,77.55
20150623,29.88,12.66,80.13
20150624,29.39,4.77,85.44
20150625,30.64,10.36,78.85
20150626,28.93,17.37,87.69
20150627,30.15,9.09,78.8
20150628,29.21,2.19,78.26
20150629,29.17,2.17,79.53
20150630,29.42,1.83,78.68
20150701,29.87,0.8,79.65
20150702,29.91,9.86,78.16
20150703,29.74,5.63,78.54
20150704,29.8,9.92,80.0
20150705,28.82,9.63,86.4
20150706,28.12,5.03,88.3
20150707,28.6,10.69,87.72
20150708,28.39,3.12,86.24
20150709,29.17,1.65,81.5
20150710,29.31,20.42,79.08
20150711,28.76,8.16,80.71
20150712,29.59,3.38,79.22
20150713,30.24,6.71,80.92
20150714,29.91,30.54,83.93
20150715,29.08,36.12,86.8
20150716,27.72,9.93,89.2
20150717,29.11,1.75,77.29
20150718,29.03,1.45,78.5
20150719,28.63,31.42,81.03
20150720,27.75,19.0,83.46
20150721,28.22,7.4,84.35
20150722,28.18,11.69,86.73
20150723,28.95,4.59,82.73
20150724,28.85,28.29,83.48
20150725,29.08,11.75,79.65
20150726,30.08,0.01,74.1
20150727,29.67,0.03,77.61
20150728,29.69,0.01,78.5
20150729,29.75,0.0,79.91
20150730,29.32,2.26,78.86
20150731,26.77,7.33,86.6
20150801,27.62,7.06,85.29
20150802,27.96,3.24,81.16
20150803,27.78,1.25,80.98
20150804,28.33,7.76,83.14
20150805,28.87,1.16,81.38
20150806,29.1,2.75,80.48
20150807,29.12,9.17,80.58
20150808,28.45,15.06,83.21
20150809,29.57,4.77,80.92
20150810,28.58,5.62,86.39
20150811,30.06,1.59,81.26
20150812,29.39,11.22,82.66
20150813,29.72,4.08,80.26
20150814,29.43,2.8,81.83
20150815,28.52,4.52,85.79
20150816,29.54,4.33,80.66
20150817,29.47,19.48,80.39
20150818,28.4,25.56,84.47
20150819,28.86,34.67,85.02
20150820,28.97,44.97,85.24
20150821,28.25,24.23,85.17
20150822,27.98,4.64,86.03
20150823,28.7,5.03,83.18
20150824,29.51,3.63,80.19
20150825,29.39,1.19,83.4
20150826,29.27,0.55,82.93
20150827,28.85,43.03,84.36
20150828,28.47,9.31,82.57
20150829,28.58,25.22,85.35
20150830,28.39,37.46,86.58
20150831,27.87,37.17,89.29
20150901,28.87,8.9,79.91
20150902,28.57,10.67,79.67
20150903,28.08,37.17,84.63
20150904,26.53,23.77,89.87
20150905,27.65,4.26,85.32
20150906,27.98,1.21,82.59
20150907,27.95,0.94,83.11
20150908,28.23,6.38,82.59
20150909,28.96,1.05,79.99
20150910,29.33,2.53,83.65
20150911,28.86,16.81,83.48
20150912,28.66,14.18,83.97
20150913,28.99,0.62,83.6
20150914,28.86,15.22,84.39
20150915,28.47,20.39,83.29
20150916,29.42,0.46,80.51
20150917,29.53,0.0,81.41
20150918,29.94,0.17,81.89
20150919,29.27,1.01,82.97
20150920,28.17,9.36,81.84
20150921,28.58,31.38,83.66
20150922,27.78,17.41,87.76
20150923,27.82,61.29,86.75
20150924,27.61,16.49,88.4
20150925,27.45,0.54,84.04
20150926,26.64,0.0,80.21
20150927,26.99,0.0,77.42
20150928,27.69,0.0,79.84
20150929,28.24,0.0,81.53
20150930,28.45,0.0,82.49
20151001,28.44,0.33,83.46
20151002,28.23,1.64,83.65
20151003,27.76,1.19,82.14
20151004,27.21,0.0,80.61
20151005,27.92,2.21,75.51
20151006,27.0,13.4,85.87
20151007,28.75,1.55,77.33
20151008,27.96,3.3,83.86
20151009,27.24,0.84,84.86
20151010,26.48,11.14,81.78
20151011,26.61,13.59,80.93
20151012,24.22,0.8,86.33
20151013,25.34,2.18,83.11
20151014,24.49,4.79,85.86
20151015,26.01,0.13,76.61
20151016,25.92,2.14,79.99
20151017,26.1,0.72,79.42
20151018,26.09,0.01,80.59
20151019,26.46,0.0,80.95
20151020,25.93,0.0,82.92
20151021,25.51,0.0,82.28
20151022,25.61,2.19,83.52
20151023,25.12,2.15,82.85
20151024,24.07,0.01,81.6
20151025,24.82,0.0,79.71
20151026,24.83,0.0,79.25
20151027,24.56,0.0,80.53
20151028,23.98,0.0,84.05
20151029,24.58,0.0,79.57
20151030,23.87,0.0,85.6
20151031,23.77,1.19,83.33
20151101,24.77,0.59,79.59
20151102,24.57,0.07,81.71
20151103,24.03,3.03,83.6
20151104,23.14,2.33,83.06
20151105,22.89,0.86,82.88
20151106,23.77,0.03,76.81
20151107,22.89,0.0,80.15
20151108,22.22,0.0,85.0
20151109,22.99,0.0,76.81
20151110,24.19,0.0,76.14
20151111,23.45,0.0,80.79
20151112,22.61,0.0,79.61
20151113,22.93,0.0,78.55
20151114,23.01,0.0,81.63
20151115,22.3,0.0,80.93
20151116,22.0,0.0,79.93
20151117,22.39,0.0,79.68
20151118,23.4,0.0,72.32
20151119,22.02,0.0,80.47
20151120,21.63,0.0,79.16
20151121,22.28,0.0,77.94
20151122,23.0,0.0,75.65
20151123,22.4,0.0,76.95
20151124,22.04,0.0,73.65
20151125,22.05,0.0,75.13
20151126,22.35,0.0,77.9
20151127,21.73,0.0,82.56
20151128,21.2,0.0,81.69
20151129,21.46,0.0,83.95
20151130,21.96,0.0,80.69
20151201,21.77,0.0,82.06
20151202,21.27,0.0,79.85
20151203,20.79,17.87,83.48
20151204,20.52,0.19,78.26
20151205,19.47,0.0,80.29
20151206,19.5,0.0,84.63
20151207,20.74,0.31,78.11
20151208,20.74,0.47,76.12
20151209,20.13,0.0,78.28
