,T2M,Rain,Humidity
20150101,11.97,0.0,41.21
20150102,11.68,0.22,45.49
20150103,9.76,3.94,62.98
20150104,8.86,0.11,57.39
20150105,9.99,0.0,40.87
20150106,11.65,0.0,40.25
20150107,10.45,0.0,41.88
20150108,11.43,0.0,30.48
20150109,11.24,0.0,30.19
20150110,11.09,0.0,28.63
20150111,12.69,0.0,26.25
20150112,13.18,0.0,28.4
20150113,11.29,1.19,40.11
20150114,7.42,7.01,73.17
20150115,8.88,0.01,66.56
20150116,10.43,0.0,50.95
20150117,10.49,0.0,43.06
20150118,10.78,0.0,37.73
20150119,11.0,0.0,37.74
20150120,10.95,0.0,39.29
20150121,9.15,9.23,58.07
20150122,7.7,6.83,89.57
20150123,8.18,0.31,82.69
20150124,9.76,0.0,63.72
20150125,9.44,0.0,59.09
20150126,8.41,0.24,55.98
20150127,7.11,0.3,63.29
20150128,8.15,0.0,53.33
20150129,6.88,0.0,53.01
20150130,8.75,0.0,41.42
20150131,10.39,0.0,39.25
20150201,11.01,0.0,48.84
20150202,10.13,4.6,66.78
20150203,7.68,16.56,86.17
20150204,10.15,0.01,55.34
20150205,11.53,0.0,39.22
20150206,10.41,0.0,43.92
20150207,11.37,0.01,46.5
20150208,10.54,0.13,58.87
20150209,11.94,0.0,51.07
20150210,12.75,0.0,42.17
20150211,12.38,0.0,43.38
20150212,12.54,0.0,37.34
20150213,13.66,0.0,37.99
20150214,15.1,0.0,49.8
20150215,15.54,0.1,47.9
20150216,14.35,9.06,57.63
20150217,14.86,2.69,59.98
20150218,14.01,2.18,62.71
20150219,12.56,9.96,64.44
20150220,12.22,13.72,74.12
20150221,14.62,0.01,52.87
20150222,17.34,0.0,43.81
20150223,18.3,0.0,47.1
20150224,18.15,1.24,49.32
20150225,11.91,17.12,80.31
20150226,10.69,0.27,59.75
20150227,11.24,0.05,46.29
20150228,11.9,0.43,50.93
20150301,9.19,58.54,84.47
20150302,6.85,37.61,92.54
20150303,8.33,3.75,81.08
20150304,8.55,1.88,71.44
20150305,9.28,2.43,68.04
20150306,11.15,0.18,71.53
20150307,11.94,3.38,63.66
20150308,11.19,7.28,81.68
20150309,9.01,3.19,66.19
20150310,12.63,0.0,49.2
20150311,14.78,0.0,45.58
20150312,16.22,0.0,46.54
20150313,15.97,0.0,48.13
20150314,16.09,2.86,58.14
20150315,13.61,6.84,79.3
20150316,10.94,18.92,91.44
20150317,12.9,0.99,76.98
20150318,14.35,0.0,66.47
20150319,16.0,0.0,57.1
20150320,17.17,0.0,55.25
20150321,18.18,0.0,54.89
20150322,19.19,0.0,54.86
20150323,20.24,0.0,55.85
20150324,21.35,0.12,59.78
20150325,21.15,0.24,57.05
20150326,21.74,0.0,48.31
20150327,21.73,0.0,45.88
20150328,22.9,0.06,42.87
20150329,16.68,20.69,66.37
20150330,15.91,14.74,80.31
20150331,16.66,0.79,65.36
20150401,16.65,2.81,77.39
20150402,18.56,1.75,64.89
20150403,15.52,8.27,76.47
20150404,16.31,3.24,76.54
20150405,16.09,0.07,70.79
20150406,17.28,3.72,62.66
20150407,15.33,5.11,74.56
20150408,16.7,0.07,67.44
20150409,18.68,0.0,60.34
20150410,20.16,0.0,55.28
20150411,20.68,0.0,54.35
20150412,20.36,0.0,56.42
20150413,20.28,0.0,64.06
20150414,19.67,0.08,72.04
20150415,20.1,24.45,75.65
20150416,19.22,4.29,73.3
20150417,20.95,0.0,59.36
20150418,23.06,0.0,45.57
20150419,24.34,0.06,43.45
20150420,24.32,3.01,50.07
20150421,23.32,0.01,48.75
20150422,22.99,0.0,48.25
20150423,23.63,0.0,43.72
20150424,24.74,0.0,40.23
20150425,25.14,0.02,39.22
20150426,23.57,0.25,49.29
20150427,23.85,2.45,52.59
20150428,24.03,1.17,47.13
20150429,23.97,1.52,42.93
20150430,22.87,5.36,47.08
20150501,23.07,2.09,42.78
20150502,22.82,0.0,37.48
20150503,23.42,0.0,35.43
20150504,24.54,0.0,35.75
20150505,25.73,0.0,37.23
20150506,27.02,0.0,39.15
20150507,28.12,0.0,37.29
20150508,27.98,0.0,38.54
20150509,27.82,0.0,39.61
20150510,27.66,0.45,40.78
20150511,26.59,1.95,45.07
20150512,25.46,5.82,48.66
20150513,24.93,1.68,49.16
20150514,23.97,6.79,53.89
20150515,24.25,1.14,52.25
20150516,26.48,0.04,45.66
20150517,26.7,0.49,44.93
20150518,28.37,0.07,43.28
20150519,28.5,0.06,35.09
20150520,27.95,0.04,30.92
20150521,27.84,0.0,31.02
20150522,28.72,0.0,26.79
20150523,29.6,0.0,27.07
20150524,29.6,0.14,30.34
20150525,30.26,0.21,30.49
20150526,28.44,0.08,28.12
20150527,27.99,0.0,23.7
20150528,28.58,0.0,23.18
20150529,28.73,0.0,28.38
20150530,28.76,0.04,31.43
20150531,27.83,0.15,32.19
