,T2M,Rain,Humidity
20150101,23.4,0.21,81.18
20150102,22.84,0.01,76.48
20150103,23.0,0.0,75.07
20150104,22.89,0.0,75.7
20150105,23.5,0.01,76.25
20150106,23.83,0.01,76.1
20150107,24.1,0.0,76.1
20150108,23.81,0.0,73.97
20150109,23.83,0.0,72.85
20150110,23.77,0.0,71.11
20150111,22.44,0.0,50.32
20150112,22.03,0.0,58.94
20150113,21.95,0.0,61.28
20150114,22.12,0.0,60.62
20150115,22.5,0.0,65.25
20150116,23.26,0.0,67.44
20150117,23.71,0.0,68.67
20150118,24.52,0.0,71.38
20150119,24.42,0.0,73.66
20150120,24.54,0.01,70.93
20150121,24.07,0.03,73.43
20150122,23.94,0.03,68.61
20150123,23.77,0.01,67.32
20150124,24.27,0.01,70.53
20150125,25.24,0.01,69.02
20150126,24.88,0.02,56.52
20150127,24.47,0.0,63.84
20150128,24.9,0.0,68.93
20150129,25.07,0.03,74.45
20150130,25.52,0.02,67.79
20150131,25.78,0.0,62.72
20150201,25.33,0.01,65.24
20150202,25.43,0.02,61.39
20150203,24.59,0.0,53.94
20150204,24.36,0.0,53.23
20150205,25.52,0.0,54.71
20150206,25.78,0.0,62.34
20150207,25.24,0.01,67.75
20150208,24.59,0.11,67.54
20150209,25.23,0.06,59.68
20150210,25.31,0.01,58.51
20150211,25.5,0.01,60.77
20150212,25.56,0.0,61.89
20150213,25.77,0.01,62.76
20150214,25.89,0.0,58.57
20150215,25.9,0.0,62.52
20150216,26.02,0.0,59.84
20150217,26.17,0.02,69.59
20150218,25.66,0.02,68.14
20150219,25.92,0.02,70.97
20150220,26.41,0.0,60.02
20150221,26.3,0.0,46.32
20150222,26.55,0.0,44.55
20150223,26.19,0.0,45.62
20150224,25.95,0.0,54.07
20150225,25.88,0.01,64.17
20150226,25.92,0.0,67.96
20150227,26.58,0.04,66.99
20150228,26.33,0.41,66.4
20150301,26.22,0.44,69.49
20150302,26.12,0.42,70.88
20150303,25.95,1.28,69.0
20150304,26.13,0.25,67.96
20150305,26.88,0.02,63.92
20150306,26.7,4.61,70.75
20150307,26.35,1.96,73.17
20150308,25.99,1.25,72.43
20150309,26.57,0.96,69.14
20150310,26.93,0.51,63.62
20150311,26.79,0.1,54.47
20150312,27.44,0.08,57.1
20150313,27.59,0.8,61.74
20150314,27.53,1.21,58.43
20150315,26.23,10.77,75.89
20150316,26.77,4.29,73.67
20150317,26.84,0.96,72.43
20150318,27.18,0.15,72.54
20150319,27.77,0.07,68.52
20150320,27.97,0.01,61.68
20150321,27.59,0.01,55.63
20150322,27.73,0.0,59.33
20150323,27.95,0.0,68.56
20150324,28.35,0.01,66.54
20150325,27.93,0.01,66.72
20150326,27.78,0.01,62.97
