,T2M,Rain,Humidity
20150101,19.42,0.0,70.0
20150102,20.86,0.0,69.69
20150103,20.91,0.5,75.37
20150104,19.83,11.52,85.57
20150105,17.23,1.67,82.98
20150106,16.19,0.0,75.57
20150107,16.06,0.0,77.11
20150108,16.72,0.91,77.33
20150109,15.0,1.6,88.84
20150110,16.4,0.14,76.49
20150111,15.79,0.0,74.01
20150112,15.6,0.0,73.83
20150113,15.94,0.0,68.92
20150114,16.6,0.0,67.36
20150115,17.26,0.0,69.84
20150116,17.93,0.0,69.43
20150117,18.35,1.44,70.84
20150118,15.85,1.58,83.28
20150119,16.11,0.1,77.34
20150120,16.63,0.0,74.0
20150121,17.16,0.0,70.51
20150122,17.72,0.0,66.8
20150123,17.22,0.05,69.8
20150124,17.26,0.0,67.5
20150125,17.29,0.0,65.52
20150126,17.56,0.0,61.33
20150127,17.68,0.0,59.81
20150128,18.08,0.0,67.35
20150129,18.43,0.08,67.8
20150130,17.08,0.37,72.54
20150131,15.55,0.02,69.46
20150201,15.65,0.0,63.94
20150202,16.9,0.0,63.72
20150203,18.62,0.0,56.88
20150204,18.03,0.0,59.89
20150205,18.25,0.0,58.51
20150206,17.77,0.0,56.47
20150207,17.31,0.0,54.36
20150208,17.78,0.0,53.29
20150209,18.27,0.0,57.34
20150210,18.64,0.01,63.09
20150211,18.85,0.0,61.14
20150212,18.24,0.28,59.17
20150213,17.15,0.92,60.41
20150214,17.55,0.12,61.98
20150215,18.25,0.0,59.54
20150216,18.72,0.0,59.04
20150217,20.13,0.0,53.68
20150218,19.98,1.81,60.11
20150219,18.76,0.42,63.76
20150220,19.1,0.25,68.01
20150221,20.25,1.84,66.58
20150222,20.31,1.39,70.32
20150223,21.49,0.0,63.49
20150224,21.87,0.0,63.93
20150225,21.7,1.44,64.02
20150226,21.61,3.09,70.44
20150227,22.8,1.1,63.8
20150228,23.89,0.03,59.89
20150301,23.62,0.0,61.65
20150302,24.02,0.07,61.81
20150303,23.32,0.42,57.61
20150304,21.62,1.79,57.08
20150305,20.2,0.24,61.21
20150306,19.48,1.56,49.39
20150307,19.67,0.75,53.5
20150308,21.53,0.0,47.81
20150309,22.65,0.0,49.01
20150310,22.39,0.0,45.09
20150311,22.59,0.0,37.0
20150312,22.79,0.0,40.27
20150313,22.07,0.0,41.44
20150314,22.99,0.0,42.33
20150315,24.47,0.07,50.59
20150316,24.72,0.0,46.34
20150317,24.71,0.0,49.16
20150318,24.05,0.21,50.03
20150319,23.49,0.1,49.55
20150320,23.18,0.0,44.14
20150321,24.73,0.0,39.56
20150322,24.98,0.0,42.52
20150323,25.63,0.0,43.31
20150324,23.64,0.0,57.37
20150325,24.66,0.44,59.71
20150326,25.13,2.09,61.62
20150327,25.07,2.35,61.75
20150328,24.25,2.82,67.05
20150329,25.58,0.23,60.91
20150330,26.15,1.94,59.33
20150331,23.48,2.08,70.07
20150401,24.77,2.4,60.89
20150402,23.67,20.52,67.33
20150403,24.21,8.27,71.02
20150404,24.13,18.9,76.87
20150405,23.19,10.74,74.38
20150406,22.68,14.82,76.25
20150407,24.02,0.83,68.13
20150408,24.13,2.28,69.43
20150409,24.74,3.36,66.92
20150410,24.47,6.22,66.27
20150411,24.68,0.42,63.77
20150412,23.98,0.02,67.2
20150413,24.52,0.42,67.87
20150414,25.92,0.03,62.55
20150415,25.86,0.02,64.77
20150416,25.36,1.14,67.69
20150417,25.21,1.77,64.34
20150418,23.66,17.49,74.6
20150419,24.46,6.38,70.25
20150420,25.41,0.33,66.3
20150421,24.16,13.56,78.86
