,T2M,Rain,Humidity
20150101,25.27,0.53,78.04
20150102,24.86,0.06,75.14
20150103,25.52,0.0,70.83
20150104,25.33,0.0,72.83
20150105,25.92,0.02,74.0
20150106,26.47,0.02,73.34
20150107,26.7,0.01,74.84
20150108,26.24,0.0,71.57
20150109,26.4,0.0,68.55
20150110,26.36,0.0,69.76
20150111,25.32,0.0,51.9
20150112,24.95,0.0,59.14
20150113,24.59,0.0,61.92
20150114,24.76,0.0,63.23
20150115,25.14,0.0,65.54
20150116,25.92,0.0,65.2
20150117,26.26,0.0,66.37
20150118,26.83,0.0,67.98
20150119,26.67,0.0,71.33
20150120,26.47,0.02,73.03
20150121,26.55,0.03,68.01
20150122,26.42,0.01,64.46
20150123,26.3,0.01,65.71
20150124,26.48,0.02,68.22
20150125,27.17,0.03,69.07
20150126,27.29,0.05,59.14
20150127,26.54,0.02,68.21
20150128,26.81,0.02,71.62
20150129,27.09,0.13,73.15
20150130,27.67,0.08,69.74
20150131,27.9,0.02,64.61
20150201,27.38,0.03,69.47
20150202,27.38,0.08,67.69
20150203,27.44,0.02,56.25
20150204,26.9,0.0,52.49
20150205,27.76,0.0,54.18
20150206,27.69,0.0,63.99
20150207,27.46,0.01,67.2
20150208,27.63,0.17,63.09
20150209,27.38,0.07,62.58
20150210,27.62,0.04,61.53
20150211,27.52,0.01,60.53
20150212,27.48,0.0,61.07
20150213,27.67,0.0,59.45
20150214,27.84,0.0,59.55
20150215,28.14,0.0,63.33
20150216,27.91,0.01,64.82
20150217,27.84,0.05,73.01
20150218,27.64,0.03,69.58
20150219,27.47,0.04,71.46
20150220,27.86,0.01,66.62
20150221,28.37,0.0,56.68
20150222,28.67,0.0,53.01
20150223,28.41,0.0,54.55
20150224,28.33,0.0,61.68
20150225,27.7,0.05,66.42
20150226,27.68,0.01,69.06
20150227,28.1,0.15,67.53
20150228,28.47,0.55,64.16
20150301,28.06,1.52,70.37
20150302,27.53,0.78,72.84
20150303,27.49,0.25,70.75
20150304,27.2,0.12,69.59
20150305,27.52,0.0,68.61
20150306,28.31,1.08,69.67
20150307,28.18,1.12,71.61
20150308,28.04,1.7,70.7
20150309,28.13,1.6,71.14
20150310,28.43,0.84,69.02
20150311,28.69,0.33,61.22
20150312,28.99,0.12,62.67
20150313,28.8,0.93,68.82
20150314,28.96,0.95,65.47
20150315,28.32,3.93,72.02
20150316,28.54,3.09,73.6
20150317,28.45,1.24,75.01
20150318,28.75,0.58,72.9
20150319,29.04,0.21,69.65
20150320,29.6,0.04,65.78
20150321,29.64,0.06,62.42
20150322,29.5,0.03,67.67
20150323,29.28,0.02,71.18
20150324,29.45,0.02,70.39
20150325,29.3,0.04,71.45
20150326,29.14,0.06,70.73
20150327,29.0,0.72,68.14
20150328,28.94,1.44,71.27
20150329,28.68,2.71,74.95
20150330,28.3,4.91,76.48
20150331,28.37,3.07,76.44
20150401,28.43,6.53,77.27
20150402,28.73,4.13,74.47
20150403,28.8,2.94,73.41
20150404,29.41,0.04,67.84
20150405,29.98,0.01,62.76
20150406,29.3,0.76,71.33
20150407,28.34,3.32,75.99
20150408,28.45,3.85,75.98
20150409,28.16,2.13,74.38
20150410,28.06,3.78,78.09
20150411,27.27,3.74,75.67
20150412,28.26,6.5,72.61
20150413,27.85,7.3,75.44
20150414,27.59,2.2,74.76
20150415,28.32,1.37,71.33
20150416,29.32,1.19,66.22
20150417,29.08,0.31,66.77
20150418,28.94,0.82,71.44
20150419,28.87,2.45,74.93
20150420,28.61,2.23,77.64
20150421,28.58,8.38,79.99
20150422,27.95,5.48,85.47
20150423,27.88,8.86,84.37
20150424,28.61,8.32,79.39
20150425,27.44,7.68,82.86
20150426,28.42,3.07,73.28
20150427,29.24,2.58,70.34
20150428,28.68,1.87,76.14
20150429,29.16,1.41,73.85
20150430,28.91,1.87,73.51
20150501,28.81,1.55,75.78
20150502,28.43,3.15,78.0
20150503,28.74,2.75,75.04
20150504,28.46,3.57,78.41
20150505,28.4,7.38,79.07
20150506,28.51,6.37,78.84
20150507,28.39,3.86,81.14
20150508,28.56,3.17,82.28
20150509,28.66,5.69,81.19
20150510,28.54,5.45,80.2
20150511,28.73,15.97,78.66
20150512,28.31,13.03,82.79
20150513,28.33,12.11,77.26
20150514,28.62,16.36,79.35
20150515,28.84,27.04,83.8
20150516,27.69,22.82,89.64
20150517,27.27,7.92,89.51
20150518,27.1,12.41,87.17
20150519,28.27,3.04,80.17
20150520,28.68,1.59,80.41
20150521,28.68,0.48,83.04
20150522,29.21,1.33,82.14
20150523,27.37,2.34,86.06
20150524,27.8,0.91,80.82
20150525,28.46,0.55,84.43
20150526,28.45,1.9,85.49
20150527,28.16,5.16,86.03
20150528,26.92,6.18,88.14
20150529,28.04,10.04,82.66
20150530,28.67,7.4,78.02
20150531,28.43,11.51,81.45
20150601,27.83,6.31,83.94
20150602,26.99,10.25,87.81
20150603,27.4,2.73,84.17
20150604,26.91,34.25,89.24
20150605,27.4,6.57,83.79
20150606,27.79,10.08,85.55
20150607,27.5,23.72,89.69
20150608,27.11,31.34,86.55
20150609,26.68,16.01,86.46
20150610,27.03,25.93,81.69
20150611,26.92,43.58,87.07
20150612,26.04,22.72,87.29
20150613,26.6,31.04,83.15
20150614,26.83,7.54,81.12
20150615,26.92,16.71,81.48
20150616,27.24,22.44,80.3
20150617,26.08,45.51,84.65
20150618,27.06,24.07,84.89
20150619,27.55,32.42,88.6
20150620,27.42,37.57,89.73
20150621,27.4,58.77,89.84
20150622,27.41,25.82,90.3
20150623,27.55,43.05,90.34
20150624,27.5,33.05,89.39
20150625,27.62,59.93,89.8
20150626,27.65,56.46,90.2
20150627,27.28,11.78,90.93
20150628,27.07,10.44,89.12
20150629,27.31,17.48,88.08
20150630,26.86,13.16,88.99
20150701,27.0,10.28,87.11
20150702,26.8,6.39,88.33
20150703,26.87,13.27,88.87
20150704,27.22,13.21,87.12
20150705,27.22,13.56,84.58
20150706,27.28,11.69,81.77
20150707,27.26,14.67,80.94
20150708,27.24,23.59,83.92
20150709,27.0,45.54,88.17
20150710,27.11,36.12,90.19
20150711,27.03,33.44,89.08
20150712,26.88,29.53,89.11
20150713,26.9,4.89,87.02
20150714,26.84,8.02,89.11
20150715,26.59,31.99,90.24
20150716,26.72,52.29,89.08
20150717,26.73,58.2,90.45
20150718,26.92,53.7,89.42
20150719,26.27,39.97,88.69
20150720,26.53,36.91,88.13
20150721,26.6,22.4,89.06
20150722,26.65,28.18,89.09
20150723,25.98,54.81,91.94
20150724,25.8,10.22,87.45
20150725,25.49,29.48,84.31
20150726,25.72,22.93,84.98
20150727,25.89,20.72,84.46
20150728,25.88,9.5,86.27
20150729,26.15,8.79,87.68
20150730,26.58,4.05,84.6
20150731,26.62,11.4,85.52
20150801,25.95,12.57,87.38
20150802,26.02,9.61,89.86
20150803,26.32,25.07,88.24
20150804,26.39,20.78,89.28
20150805,26.17,29.54,91.41
20150806,26.48,30.72,89.71
20150807,26.69,28.63,88.14
20150808,26.49,15.82,89.55
20150809,26.4,25.6,90.64
20150810,26.3,38.19,90.49
20150811,26.56,22.13,89.35
20150812,26.38,32.09,90.53
20150813,26.31,31.92,91.61
20150814,26.35,16.3,89.98
20150815,26.57,11.74,88.03
20150816,26.52,15.01,89.17
20150817,26.48,14.95,90.43
20150818,26.73,12.31,90.89
20150819,26.41,23.58,92.0
20150820,26.5,59.73,89.9
20150821,25.72,16.93,91.39
20150822,25.69,8.05,89.49
20150823,25.94,11.64,88.47
20150824,25.47,11.72,88.86
20150825,26.25,4.64,86.97
20150826,26.39,6.88,85.66
20150827,26.47,8.96,85.52
20150828,26.43,5.03,86.09
20150829,26.63,5.3,87.59
20150830,26.73,4.23,86.47
20150831,26.73,10.04,86.07
20150901,26.7,5.18,86.06
20150902,26.78,2.19,85.19
20150903,26.88,1.57,85.06
20150904,26.86,6.51,86.42
20150905,26.18,27.79,88.63
20150906,25.99,8.7,89.59
20150907,25.42,26.02,89.86
20150908,25.56,8.13,88.15
20150909,26.1,3.58,85.57
20150910,26.27,10.63,83.91
20150911,26.84,4.07,80.13
20150912,26.94,4.2,83.25
20150913,26.73,5.64,84.57
20150914,26.97,14.88,82.55
20150915,26.95,21.08,83.92
20150916,26.37,26.89,87.29
20150917,25.94,10.54,87.06
20150918,26.43,9.04,90.12
20150919,26.75,5.09,87.82
20150920,26.32,6.79,89.27
20150921,26.44,1.62,86.59
20150922,27.0,0.14,80.51
20150923,27.36,2.1,81.61
20150924,26.88,10.38,87.97
20150925,27.14,4.59,86.99
20150926,26.95,3.39,87.63
20150927,27.1,11.89,86.41
20150928,27.04,10.24,85.21
20150929,27.57,12.5,84.91
20150930,26.7,28.6,87.27
20151001,26.35,9.77,88.26
20151002,26.99,6.5,87.84
20151003,27.09,5.58,86.96
20151004,27.16,12.5,86.09
20151005,26.16,48.44,87.63
20151006,25.74,19.02,84.95
20151007,26.47,8.19,85.63
20151008,26.76,13.84,86.9
20151009,27.17,3.76,86.15
20151010,26.99,3.97,86.46
