,T2M,Rain,Humidity
20150101,17.66,0.47,80.89
20150102,19.01,0.0,74.78
20150103,19.79,0.4,75.49
20150104,18.66,4.44,83.88
20150105,16.05,0.82,80.92
20150106,14.84,0.0,66.25
20150107,14.66,0.04,67.07
20150108,14.62,0.64,63.78
20150109,12.62,0.71,67.45
20150110,13.78,0.11,63.03
20150111,14.92,0.0,58.18
20150112,14.63,0.0,60.22
20150113,15.28,0.0,57.77
20150114,16.83,0.0,56.9
20150115,17.13,0.07,60.94
20150116,16.94,0.95,69.39
20150117,16.71,2.31,74.29
20150118,14.88,0.57,70.35
20150119,13.87,0.07,70.27
20150120,14.89,0.0,67.05
20150121,16.41,0.0,62.85
20150122,16.55,0.0,62.93
20150123,15.92,0.0,66.89
20150124,15.39,0.0,62.61
20150125,16.03,0.0,54.95
20150126,16.2,0.0,45.53
20150127,16.71,0.0,41.84
20150128,16.82,0.0,56.5
20150129,17.36,0.0,61.4
20150130,16.06,0.0,68.33
20150131,14.9,0.0,60.12
20150201,14.34,0.0,45.23
20150202,15.96,0.0,41.29
20150203,17.39,0.0,38.12
20150204,17.17,0.0,42.86
20150205,16.82,0.0,48.83
20150206,16.72,0.0,47.31
20150207,15.69,0.0,44.05
20150208,15.74,0.0,36.16
20150209,16.97,0.0,36.49
20150210,17.14,0.0,52.59
20150211,17.08,0.0,50.58
20150212,16.12,0.0,46.09
20150213,15.03,0.0,47.62
20150214,15.33,0.0,57.06
20150215,16.03,0.08,54.22
20150216,17.18,0.0,49.51
20150217,18.15,0.0,43.55
20150218,18.12,1.27,47.4
20150219,16.94,2.12,62.23
20150220,18.09,0.15,62.14
20150221,18.36,7.54,60.38
20150222,18.31,2.01,62.63
20150223,19.18,0.0,59.14
20150224,19.93,0.0,56.44
20150225,19.78,0.0,59.07
20150226,19.27,0.12,63.66
20150227,18.74,0.2,69.19
20150228,20.54,0.0,64.08
20150301,22.81,0.0,55.05
20150302,21.75,0.0,53.4
20150303,20.2,0.02,57.12
20150304,17.62,4.97,77.19
20150305,18.16,0.22,69.86
20150306,18.26,0.0,44.36
20150307,18.24,0.0,35.56
20150308,19.78,0.0,33.77
20150309,21.75,0.0,33.19
20150310,22.0,0.0,32.27
20150311,21.83,0.0,26.1
20150312,21.13,0.0,21.62
20150313,19.55,0.0,27.27
20150314,20.67,0.0,37.74
20150315,22.61,0.0,46.03
20150316,23.1,0.0,43.11
20150317,21.9,0.0,49.94
20150318,22.27,0.0,49.62
20150319,21.99,0.01,48.22
20150320,21.68,0.0,37.99
20150321,23.04,0.0,24.94
20150322,23.34,0.0,25.79
20150323,23.03,0.0,29.23
20150324,23.69,0.0,37.37
20150325,22.1,9.59,58.69
20150326,21.88,2.36,65.65
20150327,22.4,0.01,62.27
20150328,21.57,2.74,67.09
20150329,22.17,1.42,64.57
20150330,22.01,3.14,68.0
20150331,19.19,3.08,81.29
20150401,20.98,6.4,74.73
20150402,20.43,21.63,78.83
20150403,20.68,24.28,82.84
20150404,21.42,5.63,79.95
20150405,21.44,17.23,80.65
20150406,20.59,22.18,83.79
20150407,21.68,2.8,78.27
20150408,21.97,0.57,76.63
20150409,21.25,0.68,77.64
20150410,21.46,3.44,73.53
20150411,22.19,5.28,68.58
20150412,22.62,0.83,72.84
20150413,21.97,4.97,77.05
20150414,21.14,0.32,80.28
20150415,22.0,0.0,76.52
20150416,22.91,0.04,73.68
20150417,21.77,4.62,76.27
20150418,20.96,20.09,83.21
20150419,21.99,2.97,75.7
20150420,22.92,4.18,77.31
20150421,22.1,9.91,83.86
20150422,22.04,19.64,83.86
20150423,20.66,21.78,89.92
20150424,19.77,7.85,87.52
20150425,19.31,2.24,85.09
20150426,20.49,0.67,74.36
20150427,20.52,0.53,80.73
20150428,21.2,0.3,79.03
20150429,20.87,2.02,82.4
20150430,21.49,8.35,79.85
20150501,21.68,14.35,84.39
20150502,21.83,0.85,84.09
20150503,22.25,0.31,80.54
20150504,23.55,0.28,78.11
20150505,23.15,0.05,76.95
20150506,22.37,2.38,77.49
20150507,21.44,7.41,83.01
20150508,22.04,0.55,77.82
20150509,23.36,0.9,75.41
20150510,22.85,11.5,83.63
20150511,22.3,7.13,87.51
20150512,22.5,2.18,83.74
20150513,23.25,1.23,78.98
20150514,23.83,0.85,78.5
20150515,23.26,8.78,84.4
20150516,22.76,6.17,87.22
20150517,22.46,8.59,88.21
20150518,22.5,3.59,83.28
20150519,23.89,0.01,77.06
20150520,25.15,0.05,78.37
20150521,24.68,2.19,80.21
20150522,24.28,3.91,82.32
20150523,24.06,13.09,82.56
20150524,22.29,18.07,90.16
20150525,23.51,1.2,80.32
20150526,24.17,7.69,79.79
20150527,24.01,5.89,83.13
20150528,23.49,5.66,85.83
20150529,24.1,4.42,82.46
20150530,24.15,6.29,84.56
20150531,23.92,4.77,85.95
20150601,23.9,1.76,85.53
20150602,24.66,0.82,80.46
20150603,24.58,2.86,82.58
20150604,24.76,0.56,83.32
20150605,24.64,2.26,83.85
20150606,24.52,0.54,81.09
20150607,24.45,0.75,81.91
20150608,24.89,0.45,80.55
20150609,24.01,7.89,84.03
20150610,23.97,24.81,86.81
20150611,23.38,15.39,87.87
20150612,22.48,10.79,90.57
20150613,22.33,10.35,89.6
20150614,22.76,4.68,87.78
20150615,23.11,5.81,88.57
20150616,23.27,4.78,85.42
20150617,24.51,0.55,82.68
20150618,23.93,1.45,83.63
20150619,23.9,4.64,86.84
20150620,24.61,10.95,86.76
20150621,24.92,4.6,85.33
20150622,23.87,18.18,86.15
20150623,23.77,36.84,86.82
20150624,24.05,28.25,90.25
20150625,24.1,20.71,90.73
20150626,23.28,29.7,92.48
20150627,22.24,12.92,93.48
20150628,23.28,5.43,86.28
20150629,22.87,7.0,86.9
20150630,23.61,0.79,84.99
20150701,23.64,4.37,85.6
20150702,23.52,4.36,87.51
20150703,23.93,3.81,87.64
20150704,24.42,0.32,85.17
20150705,24.61,2.5,86.78
20150706,23.72,4.02,91.89
20150707,23.19,16.85,94.4
20150708,23.54,56.65,91.88
20150709,22.99,6.56,89.78
20150710,23.27,6.27,87.91
20150711,23.16,15.43,89.93
20150712,23.76,4.23,86.46
20150713,24.34,3.78,86.69
20150714,24.52,12.47,88.22
20150715,24.18,12.51,89.21
20150716,22.86,26.36,93.49
20150717,22.08,24.92,94.93
20150718,22.22,32.11,93.66
20150719,22.22,29.68,91.85
20150720,23.29,7.91,89.66
20150721,24.07,7.6,86.47
20150722,21.99,9.97,90.41
20150723,22.28,15.01,91.53
20150724,21.39,19.49,96.59
20150725,21.39,55.85,94.49
20150726,21.41,26.07,94.82
20150727,21.99,11.31,95.54
20150728,22.41,6.4,91.99
20150729,23.14,1.64,86.61
20150730,22.12,28.06,92.56
20150731,22.11,42.36,92.63
20150801,22.73,7.9,88.78
20150802,22.55,0.43,87.57
20150803,22.76,1.51,86.66
20150804,22.8,13.62,89.83
20150805,23.11,3.05,88.17
20150806,23.38,1.73,91.47
20150807,23.07,5.78,94.33
20150808,23.68,6.79,90.98
20150809,23.32,7.97,94.15
20150810,23.25,17.44,92.81
20150811,23.46,5.64,92.88
20150812,23.56,2.1,93.72
20150813,23.14,6.26,91.84
20150814,23.39,6.4,89.84
20150815,22.5,1.99,91.11
20150816,22.56,12.91,93.15
20150817,21.8,16.81,93.15
20150818,22.54,32.82,91.25
20150819,22.63,38.58,91.93
20150820,23.48,14.44,93.38
20150821,23.8,8.35,89.94
20150822,22.88,8.4,94.26
20150823,23.56,5.05,88.92
20150824,23.84,2.02,87.81
