,T2M,Rain,Humidity
20150101,20.9,0.05,61.84
20150102,21.17,2.18,63.99
20150103,20.24,4.94,71.12
20150104,19.88,1.14,69.34
20150105,16.85,0.05,68.03
20150106,14.96,0.0,57.16
20150107,15.9,0.26,55.39
20150108,16.72,1.16,57.06
20150109,16.75,0.0,54.16
20150110,15.07,0.0,48.05
20150111,16.0,0.0,41.31
20150112,16.41,0.0,45.8
20150113,17.74,0.0,55.1
20150114,18.54,0.0,56.69
20150115,19.05,0.0,53.75
20150116,19.02,0.0,53.88
20150117,17.6,0.0,52.93
20150118,16.26,0.0,49.69
20150119,16.2,0.0,47.24
20150120,16.02,0.0,46.3
20150121,16.96,0.0,45.62
20150122,18.3,0.0,44.83
20150123,18.63,0.0,42.33
20150124,18.31,0.0,48.98
20150125,17.98,0.0,48.83
20150126,18.46,0.0,42.59
20150127,20.41,0.02,46.56
20150128,19.51,0.0,53.78
20150129,18.7,0.13,49.87
20150130,16.16,0.28,52.36
20150131,15.2,0.0,42.45
20150201,16.09,0.0,39.94
20150202,18.39,0.0,38.95
20150203,19.83,0.0,38.34
20150204,20.02,0.0,40.88
20150205,18.74,0.0,43.14
20150206,18.07,0.0,44.68
20150207,18.38,0.0,43.76
20150208,19.53,0.0,41.48
20150209,19.57,0.0,43.11
20150210,19.21,0.0,38.92
20150211,18.89,0.0,35.97
20150212,18.71,0.0,35.8
20150213,18.52,0.13,37.62
20150214,18.5,0.0,39.62
20150215,19.88,0.07,38.25
20150216,20.66,0.0,45.6
20150217,21.72,0.01,47.13
20150218,22.35,0.16,45.54
20150219,22.3,1.01,49.55
20150220,21.31,0.0,46.35
20150221,22.44,0.04,42.19
20150222,23.49,0.01,38.84
20150223,24.21,0.01,36.12
20150224,24.78,0.15,36.12
20150225,24.73,0.0,37.68
20150226,25.31,0.05,38.27
20150227,25.3,1.47,38.93
20150228,25.85,0.35,35.71
20150301,26.82,0.45,39.92
20150302,24.77,9.96,45.59
20150303,21.98,1.07,52.3
20150304,21.63,0.17,46.88
20150305,20.44,0.08,36.79
20150306,20.62,0.0,37.88
20150307,21.65,0.0,40.48
20150308,22.87,0.0,35.13
20150309,24.65,0.0,28.43
20150310,24.89,0.0,23.97
20150311,23.79,0.0,26.7
20150312,24.88,0.0,27.08
20150313,24.66,0.0,25.9
20150314,26.14,0.0,29.74
20150315,26.15,0.0,32.79
20150316,26.22,0.11,36.36
20150317,26.21,0.0,36.79
20150318,25.69,0.26,30.68
20150319,24.32,0.16,26.74
20150320,25.33,0.0,28.1
20150321,26.64,0.0,27.81
20150322,27.42,0.0,29.13
20150323,28.18,0.54,30.98
20150324,27.58,0.05,34.21
20150325,29.18,0.05,32.16
20150326,28.72,0.88,40.43
20150327,24.98,13.77,65.12
20150328,27.17,1.81,54.58
20150329,28.24,0.26,48.37
20150330,26.57,17.48,61.04
20150331,24.7,4.59,57.11
20150401,26.53,1.97,50.79
20150402,27.43,0.44,43.69
20150403,28.48,0.14,40.51
20150404,28.36,0.14,40.95
20150405,27.21,0.66,46.4
20150406,26.81,0.21,44.6
20150407,27.11,0.38,50.32
20150408,27.33,0.12,50.96
20150409,27.89,0.0,34.07
20150410,28.25,0.0,31.94
20150411,29.45,0.0,28.38
20150412,28.0,0.65,43.25
20150413,25.06,8.78,62.82
20150414,25.97,0.01,50.93
20150415,27.69,0.0,47.76
20150416,29.38,0.15,42.96
20150417,28.5,5.25,47.53
20150418,26.25,25.0,63.01
20150419,27.86,3.54,51.48
20150420,28.99,0.29,54.06
20150421,29.88,0.92,46.45
