,T2M,Rain,Humidity
20150101,19.32,0.0,77.31
20150102,20.86,0.84,71.37
20150103,20.42,8.01,78.52
20150104,18.92,3.45,80.66
20150105,16.72,0.03,81.65
20150106,15.5,0.0,78.05
20150107,15.87,0.02,68.6
20150108,16.51,0.02,72.07
20150109,16.64,0.0,72.96
20150110,15.41,0.0,69.9
20150111,15.04,0.0,70.47
20150112,15.9,0.0,75.94
20150113,17.72,0.0,73.0
20150114,18.1,0.0,76.97
20150115,18.52,0.0,74.14
20150116,18.39,0.0,73.04
20150117,18.63,0.42,68.62
20150118,16.49,0.0,67.2
20150119,15.53,0.0,69.53
20150120,15.62,0.0,69.98
20150121,16.61,0.0,69.49
20150122,17.82,0.0,68.07
20150123,17.49,0.0,67.14
20150124,17.03,0.02,67.31
20150125,16.72,0.0,70.28
20150126,17.1,0.0,64.36
20150127,18.0,0.0,64.51
20150128,18.43,0.0,68.59
20150129,18.23,0.05,63.83
20150130,16.27,0.7,66.01
20150131,14.31,0.0,60.59
20150201,15.72,0.0,57.47
20150202,16.91,0.0,63.62
20150203,18.43,0.0,66.13
20150204,18.78,0.0,61.91
20150205,17.96,0.0,58.33
20150206,17.08,0.0,62.08
20150207,17.41,0.0,62.09
20150208,17.62,0.0,64.14
20150209,18.15,0.0,63.49
20150210,18.16,0.0,64.13
20150211,17.91,0.0,58.33
20150212,17.56,0.51,59.6
20150213,17.9,0.71,58.52
20150214,17.83,0.01,57.23
20150215,18.75,0.5,57.45
20150216,19.88,0.01,60.85
20150217,20.58,0.0,64.67
20150218,20.88,1.12,64.49
20150219,20.79,6.02,72.03
20150220,20.46,0.0,69.05
20150221,21.05,0.53,65.1
20150222,22.06,0.0,58.62
20150223,22.44,0.09,60.75
20150224,23.45,0.75,58.7
20150225,24.03,0.0,60.82
20150226,23.71,0.06,61.66
20150227,23.48,4.41,61.91
20150228,24.02,0.0,55.21
20150301,25.72,0.95,57.25
20150302,25.51,0.55,56.0
20150303,22.8,1.15,56.46
20150304,21.64,0.83,53.46
20150305,20.07,0.57,48.91
20150306,19.5,0.0,50.36
20150307,20.93,0.0,52.07
20150308,21.68,0.0,52.77
20150309,22.72,0.0,51.19
20150310,23.09,0.0,41.01
20150311,22.48,0.0,41.73
20150312,23.2,0.0,46.2
20150313,23.33,0.0,45.8
20150314,23.95,0.0,47.14
20150315,24.25,0.0,47.99
20150316,25.33,0.0,45.49
20150317,25.26,0.0,46.77
20150318,24.47,1.68,47.02
20150319,22.91,2.49,42.82
20150320,23.74,0.0,41.54
20150321,25.0,0.0,44.47
20150322,25.79,0.0,44.13
20150323,27.5,0.02,44.36
20150324,25.86,0.18,54.37
20150325,26.68,0.0,53.82
20150326,27.02,0.54,55.6
20150327,22.78,8.39,75.52
20150328,25.03,1.01,66.26
20150329,26.86,0.09,62.4
20150330,26.55,9.35,66.24
20150331,24.87,0.66,60.91
20150401,26.35,0.63,57.67
20150402,26.18,6.1,60.32
20150403,27.45,0.49,50.45
20150404,26.98,3.3,54.61
20150405,25.97,7.44,64.62
20150406,25.71,0.8,58.16
20150407,26.8,0.02,55.46
20150408,27.17,0.16,58.83
20150409,27.72,0.01,48.55
20150410,27.37,0.0,40.23
20150411,27.95,0.13,42.7
20150412,27.39,1.1,54.03
20150413,25.6,2.17,68.48
20150414,27.83,0.17,48.86
20150415,27.91,0.0,50.76
20150416,30.02,0.0,45.45
20150417,29.57,3.0,44.99
20150418,25.62,38.3,72.67
20150419,26.88,3.45,64.12
20150420,27.54,3.8,69.69
20150421,27.27,21.21,75.46
20150422,27.86,3.41,69.65
20150423,28.35,5.28,66.7
20150424,26.12,15.58,77.67
20150425,24.27,9.55,77.33
20150426,25.12,0.75,65.82
20150427,25.31,2.05,71.02
20150428,25.72,12.64,74.13
20150429,25.44,12.99,77.42
20150430,26.85,0.8,64.01
20150501,27.54,3.76,68.77
20150502,27.68,7.83,73.9
20150503,28.17,3.31,71.73
20150504,29.0,1.58,58.75
20150505,29.06,1.71,57.5
20150506,28.7,2.68,64.59
20150507,28.45,8.66,70.17
20150508,25.24,1.13,79.36
20150509,26.61,0.4,73.07
20150510,28.17,6.75,75.26
20150511,26.72,7.97,81.65
20150512,27.51,3.23,67.14
20150513,28.33,3.6,70.44
20150514,29.12,13.72,71.62
20150515,30.04,7.59,66.99
20150516,28.25,10.16,76.4
20150517,28.42,2.38,73.21
20150518,28.06,1.71,73.24
20150519,28.36,1.3,73.77
20150520,29.18,11.38,71.45
20150521,29.95,3.69,68.67
20150522,29.66,9.53,72.83
20150523,29.99,7.21,71.49
20150524,29.53,14.23,74.9
20150525,29.11,9.53,78.58
20150526,28.79,13.55,80.22
20150527,28.24,16.13,82.27
20150528,28.57,15.82,82.09
20150529,28.69,12.55,83.46
20150530,28.76,13.89,83.61
20150531,28.71,10.45,83.38
20150601,28.82,7.7,83.08
20150602,28.65,4.59,83.61
20150603,28.36,6.27,83.07
20150604,29.35,4.43,78.75
20150605,29.52,2.76,75.74
20150606,29.31,1.29,79.53
20150607,29.77,1.59,77.47
20150608,29.79,5.19,78.38
20150609,29.75,8.08,79.24
20150610,28.79,36.37,86.03
20150611,27.29,46.2,87.02
20150612,28.19,29.2,88.09
20150613,28.11,5.99,85.95
20150614,27.0,11.48,89.07
20150615,27.82,13.61,85.0
20150616,28.1,22.0,84.54
20150617,28.23,20.15,85.79
20150618,27.99,20.05,86.3
20150619,28.98,3.78,79.58
20150620,29.42,1.76,81.53
20150621,29.66,1.47,81.64
20150622,29.11,12.92,83.57
20150623,28.97,22.91,85.47
20150624,27.91,15.19,92.04
20150625,29.08,19.16,87.33
20150626,28.59,27.52,88.79
20150627,29.14,19.83,87.14
20150628,27.88,8.68,85.39
20150629,28.12,3.2,85.04
20150630,28.53,7.2,86.32
20150701,28.43,4.99,87.07
20150702,29.04,6.6,85.54
20150703,29.02,4.46,86.35
20150704,28.88,7.15,89.39
