,T2M,Rain,Humidity
20150101,20.43,0.34,76.41
20150102,20.4,0.01,75.36
20150103,20.52,0.0,71.19
20150104,21.62,0.0,65.2
20150105,22.34,0.0,58.8
20150106,21.86,0.0,55.94
20150107,21.76,0.0,60.57
20150108,21.15,0.0,46.23
20150109,20.12,0.0,35.09
20150110,19.18,0.0,29.18
20150111,18.86,0.0,26.17
20150112,18.77,0.0,26.21
20150113,19.91,0.0,27.23
20150114,20.13,0.0,35.71
20150115,20.18,0.0,43.26
20150116,20.82,0.0,40.91
20150117,21.2,0.0,41.62
20150118,21.92,0.0,45.27
20150119,22.45,0.0,49.96
20150120,21.92,0.0,51.73
20150121,21.62,0.0,52.18
20150122,21.72,0.0,57.39
20150123,21.98,0.0,57.37
20150124,22.92,0.0,50.89
20150125,23.34,0.0,48.53
20150126,22.08,0.0,51.83
20150127,22.7,0.0,45.0
20150128,22.78,0.0,49.02
20150129,23.28,0.0,52.63
20150130,23.96,0.0,39.53
20150131,23.87,0.0,37.47
20150201,23.98,0.0,39.17
20150202,24.0,0.0,36.09
20150203,23.03,0.0,39.9
20150204,23.12,0.0,30.56
20150205,22.56,0.0,29.86
20150206,22.42,0.0,30.25
20150207,22.8,0.0,36.65
20150208,23.1,0.0,40.79
20150209,24.09,0.0,36.76
20150210,24.8,0.0,36.65
20150211,23.98,0.0,37.39
20150212,24.24,0.0,33.31
20150213,25.01,0.0,32.08
20150214,24.85,0.0,32.91
20150215,25.83,0.0,22.59
20150216,25.84,0.0,19.7
20150217,25.73,0.0,32.62
20150218,24.91,0.0,28.58
20150219,24.28,0.0,49.04
20150220,24.96,0.0,48.17
20150221,25.97,0.0,34.78
20150222,25.91,0.0,28.19
20150223,25.5,0.0,31.07
20150224,25.7,0.0,46.37
20150225,25.39,0.0,52.23
20150226,24.98,0.0,51.54
20150227,24.05,0.0,47.11
20150228,23.09,7.82,62.99
20150301,22.72,10.88,73.21
20150302,21.96,2.75,73.58
20150303,20.55,0.0,63.78
20150304,19.83,0.0,54.94
20150305,21.83,0.0,52.7
20150306,24.16,0.0,54.34
20150307,25.64,0.03,45.57
20150308,26.72,0.74,43.6
20150309,26.78,0.13,49.28
20150310,25.74,0.28,58.9
20150311,27.08,0.0,41.91
20150312,27.0,0.0,35.49
20150313,27.47,0.0,42.03
20150314,26.86,0.0,50.18
20150315,26.41,0.0,60.3
20150316,26.87,0.0,55.38
20150317,28.34,0.0,41.44
20150318,28.4,0.0,39.01
20150319,28.71,0.0,39.28
20150320,29.2,0.0,43.32
20150321,29.08,0.0,38.93
20150322,29.62,0.0,41.33
20150323,28.79,0.16,48.73
20150324,30.37,0.57,42.85
20150325,30.23,0.34,44.24
20150326,30.07,0.04,42.28
20150327,30.34,0.13,41.32
20150328,29.39,0.01,49.01
20150329,29.18,0.02,50.94
20150330,28.48,0.03,46.33
20150331,28.44,0.69,47.37
20150401,29.51,0.01,32.32
20150402,28.67,0.0,41.66
20150403,28.0,0.0,46.77
20150404,28.04,0.0,38.98
20150405,28.46,0.0,39.17
20150406,28.67,0.0,43.67
20150407,27.97,0.0,46.59
20150408,28.76,0.0,51.2
20150409,28.36,0.0,54.08
20150410,28.23,5.5,56.88
20150411,26.17,8.71,63.69
20150412,24.9,0.63,65.94
20150413,25.79,0.0,51.2
20150414,26.09,0.0,53.95
20150415,27.83,0.0,48.87
20150416,28.63,0.08,47.82
20150417,29.51,0.04,47.16
20150418,29.98,0.0,47.03
20150419,31.01,0.0,43.91
20150420,31.35,0.0,45.09
20150421,31.11,0.0,49.15
20150422,29.69,0.43,54.44
20150423,29.37,0.72,55.69
20150424,29.77,0.13,48.83
20150425,28.91,0.0,48.52
20150426,29.08,0.0,48.62
20150427,30.81,0.32,44.18
20150428,30.71,0.14,47.08
20150429,30.67,0.0,48.43
20150430,29.75,0.0,52.61
20150501,29.9,0.0,51.22
20150502,29.55,0.0,50.79
20150503,29.39,0.0,54.08
20150504,30.32,0.01,48.42
20150505,30.57,5.04,51.36
20150506,30.5,1.78,50.33
20150507,30.65,0.13,51.49
20150508,30.26,0.02,51.89
20150509,29.9,1.36,53.91
20150510,30.1,1.09,52.37
20150511,30.22,1.76,54.73
20150512,28.45,5.26,63.4
20150513,26.86,6.21,69.68
20150514,28.42,0.38,60.93
20150515,27.74,0.32,63.46
20150516,28.88,0.14,62.09
20150517,28.73,1.75,63.54
20150518,29.03,0.1,63.0
20150519,27.81,0.0,64.55
20150520,29.29,0.0,59.4
20150521,28.98,0.0,62.13
20150522,28.91,0.0,60.98
20150523,28.92,0.0,61.96
20150524,29.17,0.0,60.46
20150525,29.07,0.0,61.66
20150526,29.33,0.0,61.72
20150527,29.6,0.04,60.27
20150528,29.41,0.05,60.13
20150529,29.17,1.27,62.36
20150530,29.27,3.33,58.88
20150531,27.83,5.96,67.78
20150601,27.0,1.32,68.7
20150602,25.75,0.15,75.5
20150603,28.55,0.17,62.6
20150604,28.76,3.84,61.63
20150605,25.67,8.18,76.42
20150606,27.67,0.1,67.86
20150607,27.39,5.41,71.23
20150608,25.66,4.25,80.96
20150609,25.84,3.11,78.59
20150610,26.34,2.83,74.39
20150611,25.96,4.69,78.71
20150612,24.36,8.35,83.66
20150613,23.76,7.54,82.55
20150614,23.74,6.4,81.12
20150615,24.21,5.54,75.54
20150616,23.86,2.13,79.17
20150617,24.0,10.4,81.27
20150618,23.42,10.1,82.37
20150619,24.32,24.98,81.53
20150620,24.28,36.77,86.34
20150621,23.94,42.25,89.71
20150622,24.25,13.82,88.4
20150623,25.23,19.48,84.85
20150624,24.96,12.69,85.56
20150625,24.96,6.89,85.79
20150626,24.92,2.27,84.51
20150627,24.84,1.03,83.88
20150628,25.09,0.4,83.1
20150629,24.95,4.18,83.47
20150630,24.7,5.83,83.95
20150701,24.5,11.54,84.35
20150702,24.96,3.93,83.24
20150703,25.04,0.95,83.28
20150704,24.35,0.29,86.12
20150705,24.86,0.29,83.23
20150706,24.54,0.14,82.91
20150707,24.43,1.23,83.21
20150708,24.59,3.76,84.27
20150709,24.71,4.08,85.2
20150710,24.48,2.8,84.96
20150711,24.22,5.34,84.83
20150712,24.73,1.94,83.09
20150713,24.77,2.51,83.63
20150714,24.92,0.65,83.78
20150715,24.6,0.18,84.06
20150716,24.42,1.94,84.42
20150717,24.71,4.16,83.33
20150718,24.88,2.29,83.08
20150719,24.65,6.42,83.96
20150720,24.1,2.48,86.68
20150721,24.59,3.49,83.99
20150722,24.43,3.42,84.13
20150723,24.47,4.8,85.44
20150724,24.28,10.79,83.62
20150725,23.35,7.26,85.81
20150726,23.89,7.04,85.97
20150727,23.68,4.49,86.62
20150728,23.99,1.89,83.74
20150729,23.2,3.42,84.5
20150730,23.67,6.29,83.45
20150731,23.88,12.71,85.41
20150801,24.36,7.73,84.35
20150802,24.22,2.56,84.09
20150803,24.11,2.72,83.94
20150804,23.83,2.37,85.38
20150805,23.67,5.6,87.48
20150806,23.74,7.76,88.34
20150807,24.2,4.92,85.19
20150808,24.31,3.34,84.94
20150809,24.51,3.14,84.38
20150810,24.29,3.94,85.24
20150811,23.66,4.33,87.78
20150812,23.32,9.19,89.51
20150813,24.13,3.82,85.49
20150814,24.5,3.97,83.72
20150815,24.5,2.78,83.8
20150816,24.16,1.37,84.53
20150817,24.44,2.25,84.0
20150818,24.63,0.44,84.21
20150819,25.64,0.19,82.36
20150820,24.59,1.73,84.7
20150821,24.17,6.57,85.32
20150822,24.16,4.28,84.43
20150823,23.39,3.27,86.87
20150824,23.89,1.5,83.6
20150825,23.97,3.8,83.7
20150826,24.28,3.67,83.78
20150827,24.21,3.33,83.86
20150828,24.21,4.5,84.91
20150829,23.86,6.48,86.77
20150830,24.06,5.1,85.42
20150831,23.77,0.74,84.82
20150901,23.86,0.41,83.02
20150902,23.38,0.18,83.54
20150903,23.98,0.0,78.03
20150904,24.71,0.0,76.22
20150905,24.81,0.34,78.23
20150906,24.08,2.98,83.51
20150907,24.06,1.27,83.22
20150908,23.59,2.16,85.96
20150909,22.77,15.05,89.93
20150910,23.3,25.39,90.24
20150911,24.27,3.94,84.98
20150912,23.98,1.49,82.39
20150913,23.68,2.99,84.36
20150914,23.05,4.63,90.47
20150915,23.43,13.15,89.69
20150916,23.22,13.59,90.3
20150917,23.68,2.36,89.98
20150918,24.32,2.15,87.38
20150919,24.47,0.62,84.98
20150920,23.75,1.55,84.7
20150921,23.62,2.26,84.66
20150922,24.03,0.3,83.68
20150923,24.94,0.01,81.03
20150924,25.08,0.01,80.81
20150925,24.71,0.0,82.6
20150926,24.35,0.0,80.19
20150927,24.79,0.0,76.94
20150928,25.36,0.0,69.47
20150929,25.86,0.11,69.04
20150930,26.06,0.29,72.95
20151001,25.25,15.44,80.08
20151002,24.71,22.67,86.39
20151003,23.9,6.23,88.04
20151004,23.56,7.79,88.46
20151005,24.86,2.36,81.38
20151006,25.16,0.34,76.54
20151007,24.64,0.2,69.59
20151008,24.91,0.38,73.42
20151009,24.94,0.03,80.66
20151010,24.57,0.13,83.17
20151011,24.77,0.53,82.75
20151012,25.3,0.32,78.02
20151013,25.82,0.01,71.58
20151014,26.56,0.0,62.99
20151015,26.31,0.0,57.93
20151016,26.55,0.0,62.4
20151017,26.62,0.04,64.52
20151018,26.7,0.03,68.09
20151019,26.57,0.0,69.27
20151020,26.71,0.0,62.54
20151021,26.61,0.0,55.13
20151022,26.62,0.0,54.65
20151023,26.67,0.0,58.7
20151024,26.82,0.0,58.21
20151025,26.29,0.0,60.56
20151026,25.43,0.0,62.73
20151027,26.07,0.0,62.68
20151028,25.39,0.0,65.29
20151029,25.29,0.0,70.16
20151030,26.22,0.0,66.54
20151031,26.38,0.55,61.55
20151101,25.99,0.34,68.23
20151102,25.24,0.01,68.86
20151103,25.37,0.14,71.01
20151104,25.23,0.38,76.19
20151105,25.78,1.15,72.23
20151106,26.37,0.13,61.31
20151107,26.45,0.0,55.39
20151108,26.0,0.0,55.61
20151109,25.58,0.0,54.5
20151110,24.4,0.0,50.67
20151111,25.17,0.0,56.07
20151112,25.94,0.0,58.07
20151113,24.81,0.0,50.4
20151114,23.97,0.0,44.12
20151115,24.17,0.0,45.07
20151116,24.67,0.0,53.25
20151117,24.16,0.0,46.54
20151118,24.38,0.0,47.76
20151119,25.04,0.01,51.63
20151120,25.63,2.44,69.84
20151121,24.91,2.72,74.52
20151122,25.32,0.76,71.32
20151123,24.56,0.43,73.76
20151124,24.68,0.01,69.46
20151125,25.62,0.0,62.41
20151126,23.89,0.0,58.06
20151127,24.19,0.0,53.79
20151128,24.93,0.0,57.63
20151129,24.12,0.0,44.69
20151130,25.01,0.0,64.97
20151201,26.16,0.0,60.27
20151202,25.88,0.0,60.46
20151203,25.6,0.0,59.88
20151204,24.72,0.0,48.51
20151205,24.09,0.0,46.87
20151206,23.42,0.0,47.88
20151207,23.59,0.0,44.97
20151208,23.43,0.0,44.16
20151209,23.69,0.0,40.63
20151210,25.82,0.0,51.82
20151211,26.0,0.0,57.09
20151212,26.45,0.0,55.92
20151213,26.1,0.53,52.13
20151214,26.58,0.04,46.59
20151215,26.98,0.0,50.97
20151216,26.62,0.0,55.09
20151217,25.9,0.0,54.72
20151218,25.81,0.0,49.57
20151219,25.78,0.0,55.22
20151220,25.45,0.0,54.8
20151221,24.67,0.0,55.51
20151222,23.32,0.0,48.3
20151223,23.35,0.0,34.84
20151224,23.6,0.0,35.81
20151225,21.81,0.0,22.45
20151226,20.61,0.0,15.99
20151227,21.43,0.0,19.52
20151228,22.2,0.0,26.18
20151229,23.22,0.0,28.84
20151230,23.53,0.0,26.49
20151231,23.68,0.0,31.13
20160101,23.42,0.0,37.12
20160102,23.25,0.0,35.39
20160103,23.13,0.0,28.58
20160104,22.74,0.0,24.62
20160105,22.84,0.0,35.27
20160106,23.06,0.0,38.84
20160107,22.71,0.0,34.86
20160108,22.59,0.0,34.42
20160109,23.39,0.0,33.84
20160110,23.33,0.0,33.48
20160111,23.05,0.0,32.19
20160112,23.28,0.0,38.97
20160113,22.68,0.0,43.43
20160114,22.46,0.0,58.49
20160115,22.58,0.0,62.52
20160116,22.62,0.0,64.69
20160117,21.66,0.0,63.59
20160118,21.48,0.0,56.02
20160119,21.13,0.02,51.29
20160120,21.89,0.0,39.46
20160121,22.23,0.0,36.55
20160122,22.66,0.0,29.94
20160123,23.44,0.0,43.92
20160124,24.97,0.0,47.12
20160125,24.83,0.0,35.13
20160126,23.92,0.0,45.78
20160127,23.99,0.0,40.91
20160128,24.45,0.0,31.01
20160129,24.61,0.0,19.02
20160130,25.14,0.0,21.24
20160131,25.51,0.0,23.96
20160201,26.14,0.0,23.84
20160202,25.96,0.0,23.18
20160203,25.77,0.0,19.66
20160204,24.97,0.0,17.9
20160205,25.05,0.0,35.56
20160206,23.56,0.0,53.2
20160207,23.18,0.0,57.16
20160208,24.72,0.0,49.17
20160209,26.0,0.0,50.03
20160210,24.23,0.0,60.41
20160211,23.46,0.0,64.99
20160212,22.5,0.0,59.84
20160213,22.38,0.0,57.26
20160214,24.44,0.0,44.2
20160215,25.03,0.0,43.55
20160216,25.78,0.0,44.22
20160217,25.87,0.0,46.63
20160218,26.46,0.0,42.55
20160219,27.5,0.0,46.73
20160220,28.28,0.0,46.27
20160221,28.36,0.0,48.09
20160222,29.51,0.0,36.38
20160223,29.33,0.0,29.33
20160224,26.68,0.0,47.89
20160225,25.93,0.0,52.47
