,T2M,Rain,Humidity
20150101,24.25,1.02,86.71
20150102,23.49,0.0,78.02
20150103,24.11,0.0,74.06
20150104,24.81,0.0,78.51
20150105,24.59,0.0,82.0
20150106,24.46,0.0,79.56
20150107,24.13,0.0,82.5
20150108,24.66,0.0,81.92
20150109,24.56,0.0,82.67
20150110,24.1,0.0,78.66
20150111,22.3,0.0,74.23
20150112,22.48,0.0,72.24
20150113,22.49,0.0,71.4
20150114,22.77,0.0,73.85
20150115,23.39,0.0,72.65
20150116,23.39,0.0,74.55
20150117,24.34,0.0,78.9
20150118,24.61,0.0,75.64
20150119,24.1,0.0,73.76
20150120,23.5,0.0,72.59
20150121,23.65,0.38,74.44
20150122,23.59,2.2,68.2
20150123,25.02,0.01,73.38
20150124,25.12,0.02,73.93
20150125,25.38,0.0,72.31
20150126,24.76,0.01,67.22
20150127,24.74,0.0,71.45
20150128,25.64,0.0,72.16
20150129,25.94,0.0,71.43
20150130,25.95,0.0,71.55
20150131,25.75,0.0,66.44
20150201,25.64,0.0,64.86
20150202,25.23,0.0,63.79
20150203,25.39,0.0,65.65
20150204,25.22,0.0,67.44
20150205,26.02,0.05,67.89
20150206,26.1,0.45,66.46
20150207,26.15,0.39,68.21
20150208,25.77,0.01,66.46
20150209,25.98,0.0,64.11
20150210,26.0,0.0,66.8
20150211,27.08,0.0,65.32
20150212,27.75,0.02,64.93
20150213,27.64,0.06,65.65
20150214,27.59,0.01,66.2
20150215,27.48,0.0,61.45
20150216,26.78,0.0,58.89
20150217,26.32,0.0,61.33
20150218,26.14,0.0,57.73
20150219,26.22,0.0,59.07
20150220,26.38,0.0,56.93
20150221,25.95,0.0,57.98
20150222,26.03,0.0,52.83
20150223,26.39,0.0,52.25
20150224,27.04,0.0,53.68
20150225,28.04,0.0,61.29
20150226,28.22,0.07,64.09
20150227,27.33,0.21,71.45
20150228,27.46,0.18,70.98
20150301,28.52,0.04,64.7
20150302,27.95,0.79,69.5
20150303,27.61,1.2,72.24
20150304,26.4,0.39,77.64
20150305,28.66,0.09,64.37
20150306,28.41,2.71,67.33
20150307,27.98,2.87,70.59
20150308,28.51,0.83,62.71
20150309,28.28,0.16,62.77
20150310,28.5,0.12,59.7
20150311,28.2,0.02,55.78
20150312,29.06,0.05,56.84
20150313,29.27,0.78,58.41
20150314,27.67,9.21,67.62
20150315,27.54,5.03,71.86
20150316,27.21,9.38,77.2
20150317,26.88,0.9,70.21
20150318,27.85,0.0,62.95
20150319,29.0,0.0,60.86
20150320,28.7,0.0,60.04
20150321,28.46,0.0,61.2
20150322,28.5,0.0,57.19
20150323,29.53,0.0,61.8
20150324,29.49,0.0,65.6
20150325,29.37,0.0,62.32
20150326,29.34,0.0,58.35
20150327,29.58,0.09,54.15
20150328,29.81,1.17,57.16
20150329,29.27,1.75,65.31
20150330,29.49,1.21,62.74
20150331,28.94,6.8,68.08
20150401,28.4,6.94,73.36
20150402,28.63,1.97,70.56
20150403,28.79,0.29,69.98
20150404,28.57,0.26,73.94
20150405,28.82,0.23,70.47
20150406,29.05,1.17,69.8
20150407,28.47,8.55,74.62
20150408,27.55,10.71,72.97
20150409,28.15,3.3,66.76
20150410,28.17,4.04,72.71
20150411,27.35,10.32,80.56
20150412,27.0,10.17,78.08
20150413,27.32,10.64,75.03
20150414,26.97,8.35,76.86
20150415,26.94,10.56,78.69
20150416,26.43,11.31,81.4
20150417,26.99,13.18,79.45
20150418,27.53,3.55,77.28
20150419,27.6,0.4,76.42
20150420,27.59,11.65,78.36
20150421,26.54,43.85,83.74
20150422,26.26,31.74,85.25
20150423,26.47,1.11,85.96
20150424,26.87,8.6,86.88
20150425,27.0,10.65,77.18
20150426,26.89,0.79,75.0
20150427,27.38,1.45,77.56
20150428,27.53,0.42,78.1
20150429,27.59,0.36,79.21
20150430,27.28,0.28,83.35
20150501,27.52,0.15,82.28
20150502,27.2,0.13,82.65
20150503,27.24,0.07,80.91
20150504,27.33,1.06,80.55
20150505,27.15,1.4,82.48
20150506,27.08,0.99,81.68
20150507,26.93,1.53,83.17
20150508,26.87,5.77,84.12
20150509,26.7,8.16,88.5
20150510,27.3,6.63,80.63
20150511,25.96,21.63,84.69
20150512,25.94,13.88,79.38
20150513,26.49,17.73,84.05
20150514,26.83,12.31,85.18
20150515,26.37,11.75,90.22
20150516,26.51,38.63,93.28
20150517,26.42,49.65,94.38
20150518,26.16,28.15,92.97
20150519,26.13,26.84,92.95
20150520,26.35,7.01,90.98
20150521,26.63,4.75,91.17
20150522,26.89,0.88,88.82
20150523,26.34,4.18,88.53
20150524,26.24,6.17,87.65
20150525,26.79,2.29,88.47
20150526,26.87,0.25,90.17
20150527,26.57,0.22,91.16
20150528,25.53,0.22,84.81
20150529,26.52,0.88,85.92
20150530,26.46,5.91,88.43
20150531,25.84,6.85,89.11
20150601,25.64,2.6,87.46
20150602,26.02,13.48,87.95
20150603,25.94,11.77,90.71
20150604,25.79,8.62,90.37
20150605,25.23,10.54,90.66
20150606,26.05,1.12,88.12
20150607,26.27,31.19,91.25
20150608,25.72,8.82,86.88
20150609,25.65,2.65,87.5
20150610,25.86,2.64,89.92
20150611,25.81,5.35,88.09
20150612,24.96,8.74,89.71
20150613,25.69,9.14,88.72
20150614,25.64,7.31,88.48
20150615,25.39,6.04,90.1
20150616,25.34,10.87,89.28
20150617,25.34,6.84,85.01
20150618,25.6,7.75,90.29
20150619,26.19,9.37,91.1
20150620,26.46,2.75,89.22
20150621,26.48,4.41,89.45
20150622,26.47,4.61,89.27
20150623,26.17,3.8,89.74
20150624,25.99,6.72,90.7
20150625,25.97,15.59,91.92
20150626,25.13,23.07,87.03
20150627,25.15,56.33,91.09
20150628,25.86,23.47,90.39
20150629,25.65,11.93,93.15
20150630,25.62,4.08,91.99
20150701,25.87,3.21,91.24
20150702,25.92,1.23,89.42
20150703,25.95,1.79,89.84
20150704,25.92,3.59,91.44
20150705,25.93,1.87,89.75
20150706,26.01,0.24,87.26
20150707,25.76,0.42,87.12
20150708,25.73,1.09,86.27
20150709,25.9,2.61,88.04
20150710,25.81,7.49,90.37
20150711,25.61,3.36,92.07
20150712,25.94,0.14,90.29
20150713,25.72,1.28,89.66
20150714,25.74,4.85,91.93
20150715,25.35,4.79,92.86
20150716,25.59,13.88,91.14
20150717,25.01,9.21,89.89
20150718,25.18,12.09,90.48
20150719,24.91,4.71,89.6
20150720,24.73,4.31,90.42
