,T2M,Rain,Humidity
20150101,17.73,11.76,90.0
20150102,19.51,2.9,87.18
20150103,19.37,2.17,85.56
20150104,17.8,1.96,84.22
20150105,14.0,0.0,68.01
20150106,14.39,0.0,56.83
20150107,15.31,0.0,56.23
20150108,14.56,0.0,64.5
20150109,13.17,0.0,64.55
20150110,13.63,0.0,52.74
20150111,13.5,0.0,48.7
20150112,13.65,0.0,49.09
20150113,13.77,0.0,52.1
20150114,15.03,0.0,56.14
20150115,16.28,0.0,53.33
20150116,14.75,0.0,57.64
20150117,13.88,0.0,57.61
20150118,13.34,0.0,52.1
20150119,13.82,0.0,53.18
20150120,14.03,0.0,52.07
20150121,15.77,0.0,54.14
20150122,17.14,0.04,54.33
20150123,17.74,0.36,63.04
20150124,18.22,0.01,70.81
20150125,18.82,0.0,66.66
20150126,19.49,0.03,64.24
20150127,20.61,0.18,63.37
20150128,19.32,0.94,70.1
20150129,19.14,1.82,71.62
20150130,16.36,0.0,54.34
20150131,14.94,0.0,37.88
20150201,15.8,0.0,41.86
20150202,16.91,0.0,46.01
20150203,19.29,0.0,42.94
20150204,20.02,0.04,48.69
20150205,19.5,0.0,51.06
20150206,18.87,0.0,45.88
20150207,20.02,0.0,47.21
20150208,20.53,0.9,51.16
20150209,19.68,1.27,61.51
20150210,20.56,0.0,56.04
20150211,20.09,1.24,54.29
20150212,18.8,4.62,67.77
20150213,19.36,0.01,53.62
20150214,20.08,0.0,40.38
20150215,21.56,0.0,42.53
20150216,21.71,0.0,42.31
20150217,21.83,0.0,42.8
20150218,23.2,0.0,38.42
20150219,21.98,0.0,39.07
20150220,22.65,0.0,37.57
20150221,23.13,0.01,36.96
20150222,22.94,0.0,41.07
20150223,23.23,0.0,38.1
20150224,23.44,0.0,37.69
20150225,23.78,0.0,37.2
20150226,24.66,0.0,36.43
20150227,23.93,0.01,41.7
20150228,24.41,1.31,46.44
20150301,23.62,7.39,56.59
20150302,20.41,16.96,77.11
20150303,21.62,4.71,69.13
20150304,20.05,0.01,51.69
20150305,20.27,0.0,43.93
20150306,21.27,0.0,42.29
20150307,22.7,0.0,39.7
20150308,23.78,0.0,41.76
20150309,25.8,0.21,40.8
20150310,25.25,0.07,47.28
20150311,24.54,0.0,37.41
20150312,25.4,0.0,34.76
20150313,26.09,0.0,38.33
20150314,26.32,0.26,44.85
20150315,25.88,1.41,49.68
20150316,25.98,3.16,46.64
20150317,25.11,5.46,58.1
20150318,25.48,0.0,47.21
20150319,24.59,0.0,38.3
20150320,24.72,0.0,33.65
20150321,24.95,0.0,31.53
20150322,26.92,0.0,34.55
20150323,27.91,0.0,38.33
20150324,27.87,0.0,37.73
20150325,28.83,0.0,31.3
20150326,29.19,0.0,31.96
20150327,28.65,0.01,38.25
20150328,29.22,0.03,35.01
20150329,29.22,3.41,36.7
20150330,24.62,3.23,63.3
20150331,27.4,0.0,48.08
20150401,28.63,0.0,33.98
20150402,29.29,0.0,28.48
20150403,29.59,0.0,30.69
20150404,30.21,0.0,29.44
20150405,29.24,0.0,30.46
20150406,30.48,0.0,33.39
20150407,30.9,0.01,31.8
20150408,30.11,11.59,36.07
20150409,28.49,4.58,48.35
20150410,30.72,0.02,41.33
20150411,30.93,0.66,39.59
20150412,26.25,0.28,54.42
20150413,24.54,0.84,60.23
20150414,26.41,2.15,53.99
20150415,26.13,2.07,52.01
20150416,28.33,0.08,47.39
20150417,29.69,0.47,40.54
20150418,31.24,0.0,36.21
20150419,33.02,0.0,32.84
20150420,33.64,0.0,30.6
20150421,33.86,0.0,28.77
20150422,33.64,0.0,24.13
20150423,33.73,0.0,22.64
20150424,33.77,0.15,19.71
20150425,30.19,3.63,38.47
20150426,28.68,5.78,53.98
20150427,30.74,0.26,45.81
20150428,32.39,0.0,38.66
20150429,32.21,1.03,37.33
20150430,32.57,0.41,34.72
20150501,33.3,0.0,26.01
20150502,33.22,0.0,17.82
20150503,33.17,0.38,27.82
20150504,34.19,0.45,30.17
20150505,34.56,0.14,29.41
20150506,35.01,0.0,21.47
20150507,34.68,0.0,18.5
20150508,35.33,0.0,15.74
20150509,35.63,0.0,17.86
20150510,34.03,0.0,20.64
20150511,32.3,2.33,33.39
20150512,34.23,0.2,33.58
20150513,35.7,0.84,28.5
20150514,34.03,0.1,33.37
20150515,32.84,0.57,39.12
20150516,32.67,0.68,39.19
20150517,34.52,0.15,35.7
20150518,35.17,0.0,28.54
20150519,36.14,0.0,26.61
20150520,36.48,0.02,22.86
20150521,36.73,0.0,19.2
20150522,37.98,0.0,14.8
20150523,38.37,0.0,16.18
20150524,38.03,0.04,16.24
20150525,38.51,0.18,19.36
20150526,38.02,0.0,18.57
20150527,37.94,0.01,20.09
20150528,36.42,0.0,10.53
20150529,36.94,0.0,14.75
20150530,37.34,0.0,24.81
20150531,36.75,0.26,34.62
20150601,33.99,1.3,42.51
20150602,35.03,0.69,35.51
20150603,35.15,0.42,34.61
