,T2M,Rain,Humidity
20150101,13.69,7.57,86.03
20150102,13.29,1.0,87.38
20150103,15.05,0.54,76.05
20150104,14.44,0.04,68.06
20150105,15.34,0.0,45.75
20150106,15.12,0.0,43.82
20150107,15.34,0.0,45.5
20150108,15.13,0.0,41.13
20150109,14.2,0.0,42.36
20150110,16.41,0.0,37.85
20150111,16.85,0.0,34.97
20150112,16.13,0.0,43.22
20150113,16.05,0.0,42.03
20150114,15.97,0.02,45.46
20150115,12.38,0.0,48.87
20150116,12.4,0.0,43.64
20150117,11.92,0.0,40.94
20150118,12.55,0.0,39.36
20150119,13.31,0.0,40.4
20150120,14.69,0.0,46.24
20150121,17.0,4.52,61.11
20150122,16.25,5.14,77.96
20150123,15.5,0.78,74.1
20150124,14.34,0.0,71.79
20150125,13.78,3.26,76.12
20150126,14.19,1.03,78.63
20150127,13.75,0.01,71.73
20150128,12.19,0.0,58.56
20150129,12.33,0.0,47.48
20150130,12.52,0.0,42.61
20150131,15.86,0.0,34.15
20150201,16.29,0.0,45.16
20150202,17.8,0.0,48.69
20150203,18.07,0.0,44.58
20150204,15.15,0.0,51.76
20150205,15.54,0.0,40.53
20150206,18.47,0.04,43.64
20150207,19.48,0.16,45.54
20150208,18.76,3.08,55.49
20150209,17.52,0.07,66.91
20150210,17.19,0.0,50.59
20150211,17.82,0.07,47.77
20150212,17.57,0.0,41.02
20150213,19.9,0.0,28.01
20150214,21.11,0.0,33.08
20150215,21.16,0.0,33.44
20150216,22.04,0.0,34.34
20150217,22.3,0.0,32.01
20150218,22.43,0.0,31.8
20150219,23.51,0.0,31.33
20150220,24.02,0.0,30.86
20150221,23.43,0.0,28.98
20150222,24.07,0.0,27.66
20150223,25.4,0.0,25.03
20150224,24.49,0.0,30.15
20150225,24.44,0.0,32.05
20150226,19.61,0.0,15.2
20150227,18.73,0.0,16.9
20150228,19.41,0.03,28.48
20150301,19.88,20.53,62.22
20150302,18.79,2.18,67.92
20150303,17.93,0.0,54.49
20150304,18.61,0.0,45.88
20150305,20.02,0.0,45.94
20150306,21.45,0.0,45.18
20150307,22.37,0.0,48.36
20150308,22.06,0.01,49.0
20150309,17.14,0.0,29.89
20150310,16.87,0.0,39.19
20150311,22.06,0.41,37.98
20150312,23.92,0.44,54.19
20150313,23.37,17.88,60.58
20150314,21.07,33.92,74.49
20150315,20.9,19.11,77.32
20150316,20.04,0.01,54.33
20150317,19.28,0.0,61.32
20150318,19.33,0.0,52.55
20150319,21.3,0.0,44.06
20150320,22.99,0.0,45.65
20150321,24.74,0.0,46.67
20150322,25.59,0.0,49.31
20150323,26.25,0.0,45.85
20150324,27.7,0.0,40.67
20150325,27.15,0.0,43.68
20150326,27.01,0.0,45.79
20150327,27.23,0.0,47.83
20150328,28.22,0.01,46.16
20150329,27.25,0.06,46.95
20150330,26.55,0.36,40.95
20150331,24.88,0.01,45.04
20150401,26.9,0.0,41.13
20150402,28.07,0.0,36.39
20150403,28.11,0.02,40.63
20150404,25.15,0.6,48.62
20150405,24.59,0.01,59.57
20150406,26.16,0.69,48.06
20150407,25.27,7.24,52.58
20150408,25.95,0.56,51.25
20150409,26.35,0.0,45.14
20150410,28.05,0.0,40.17
20150411,28.12,2.07,43.06
20150412,25.69,1.8,54.19
20150413,23.96,1.67,59.99
20150414,23.4,2.16,64.6
20150415,25.91,0.07,53.21
20150416,27.36,0.0,48.69
20150417,30.1,0.0,38.26
20150418,32.03,0.0,29.51
20150419,33.03,0.0,27.37
20150420,32.86,0.0,22.27
20150421,31.96,0.0,23.14
20150422,31.26,0.0,20.99
20150423,31.03,0.0,18.57
20150424,31.99,0.0,17.76
20150425,33.2,0.0,16.33
20150426,32.33,0.0,20.87
20150427,33.61,0.0,22.97
20150428,33.94,0.0,18.42
20150429,33.07,0.0,19.25
20150430,33.8,0.0,16.69
20150501,32.35,0.0,15.01
20150502,32.2,0.0,16.0
20150503,32.62,0.0,16.85
20150504,33.07,0.0,16.8
20150505,34.37,0.0,15.27
20150506,34.39,0.0,13.7
20150507,35.09,0.0,14.7
20150508,35.31,0.0,19.85
20150509,35.32,0.0,19.86
20150510,34.79,0.01,20.95
20150511,34.98,0.01,23.92
20150512,35.49,0.24,26.92
20150513,34.76,0.03,25.91
20150514,33.77,0.05,24.84
20150515,34.78,0.19,21.95
20150516,35.65,0.0,20.62
20150517,35.61,0.0,19.16
20150518,36.63,0.0,15.54
20150519,37.58,0.0,23.77
20150520,36.85,0.02,23.9
20150521,36.89,0.0,23.08
20150522,37.09,0.0,21.43
20150523,36.54,0.0,20.85
20150524,36.45,0.0,28.87
20150525,36.9,0.0,28.36
20150526,36.79,0.0,28.72
20150527,36.58,0.0,24.39
20150528,36.89,0.0,23.01
20150529,36.78,0.06,22.93
20150530,36.9,0.0,21.6
20150531,37.28,0.0,18.69
20150601,37.24,0.01,19.7
20150602,35.34,2.16,31.25
20150603,32.61,1.95,40.09
20150604,32.45,0.04,37.64
20150605,33.89,0.0,28.2
20150606,34.91,0.0,23.99
20150607,36.53,0.0,21.81
20150608,37.25,0.0,24.19
20150609,35.63,0.0,31.79
20150610,34.29,2.29,40.1
20150611,33.55,3.63,46.12
20150612,32.82,6.1,53.15
20150613,32.91,2.39,53.08
20150614,32.46,2.69,53.81
20150615,32.09,8.86,56.42
20150616,32.08,2.36,56.8
20150617,33.43,0.43,49.72
20150618,34.41,0.34,46.49
20150619,34.2,0.36,47.1
20150620,34.03,0.79,47.31
20150621,35.33,0.95,44.1
20150622,31.05,1.95,59.39
20150623,31.0,1.59,62.77
20150624,29.57,2.73,67.66
20150625,30.36,14.92,63.35
20150626,30.44,14.3,64.3
20150627,31.75,0.0,56.97
20150628,31.78,2.04,57.14
20150629,32.19,11.33,57.42
20150630,31.17,1.2,60.32
20150701,31.32,0.07,57.02
20150702,31.04,0.41,56.71
20150703,31.9,0.01,54.34
20150704,32.33,0.0,51.03
20150705,32.69,0.0,52.01
20150706,32.03,0.0,54.56
20150707,31.67,0.02,55.3
20150708,31.22,11.46,60.78
20150709,30.03,19.94,68.18
20150710,29.94,20.47,67.58
20150711,29.7,10.58,69.54
20150712,29.56,7.78,67.7
20150713,29.91,3.75,67.41
20150714,31.33,1.33,62.14
20150715,31.78,0.08,56.14
20150716,30.99,0.07,59.27
20150717,29.83,11.58,66.77
20150718,29.2,17.66,72.65
