,T2M,Rain,Humidity
20150101,26.42,0.2,76.95
20150102,26.67,0.01,65.04
20150103,26.96,0.0,65.85
20150104,26.8,0.0,72.8
20150105,27.21,0.0,73.29
20150106,27.3,0.01,74.62
20150107,27.12,0.0,77.11
20150108,27.47,0.0,74.68
20150109,27.5,0.0,72.66
20150110,27.31,0.0,69.83
20150111,27.25,0.0,56.4
20150112,26.29,0.0,62.2
20150113,25.98,0.0,62.14
20150114,26.1,0.0,63.75
20150115,26.26,0.0,66.05
20150116,26.86,0.0,66.05
20150117,27.2,0.0,67.63
20150118,27.59,0.0,67.41
20150119,27.48,0.0,66.37
20150120,27.19,0.0,68.32
20150121,27.16,0.03,67.9
20150122,27.2,0.08,64.68
20150123,27.34,0.01,64.75
20150124,27.78,0.03,67.15
20150125,28.19,0.01,66.05
20150126,27.96,0.01,55.92
20150127,27.72,0.0,62.45
20150128,28.01,0.0,64.83
20150129,28.04,0.02,68.5
20150130,28.21,0.02,67.31
20150131,28.62,0.02,61.88
20150201,28.11,0.0,60.9
20150202,28.37,0.01,58.24
20150203,28.1,0.0,54.48
20150204,28.07,0.0,55.67
20150205,28.4,0.0,58.79
20150206,28.43,0.01,59.99
20150207,28.0,0.03,64.25
20150208,27.83,0.05,62.51
20150209,28.32,0.06,59.61
20150210,28.16,0.0,58.67
20150211,28.23,0.01,65.71
20150212,28.76,0.04,65.05
20150213,28.62,0.17,67.24
20150214,28.55,0.01,65.77
20150215,28.52,0.0,67.26
20150216,28.55,0.01,67.5
20150217,27.75,0.02,72.13
20150218,27.56,0.02,73.6
20150219,27.65,0.02,72.7
20150220,28.61,0.0,65.75
20150221,28.8,0.0,54.53
20150222,29.19,0.0,49.48
20150223,28.73,0.0,51.31
20150224,28.65,0.0,54.73
20150225,28.47,0.0,63.62
20150226,28.47,0.0,67.73
20150227,28.19,0.1,71.93
20150228,28.52,0.29,68.43
20150301,28.61,0.36,70.25
20150302,28.16,0.41,73.68
20150303,28.46,1.02,72.99
20150304,28.41,0.71,72.41
20150305,28.59,0.2,71.89
20150306,28.48,3.64,75.08
20150307,28.4,2.69,75.83
20150308,28.21,2.25,75.27
20150309,28.04,1.79,75.07
20150310,28.57,0.78,70.82
20150311,28.96,0.16,62.94
20150312,29.28,0.2,64.71
20150313,29.22,1.86,66.79
20150314,29.09,5.18,67.08
20150315,28.36,9.81,74.72
20150316,28.46,8.4,75.31
20150317,28.61,2.4,76.58
20150318,28.44,0.12,76.66
20150319,28.87,0.04,73.74
20150320,29.14,0.01,69.65
20150321,29.21,0.01,68.66
20150322,29.4,0.0,70.51
20150323,29.27,0.0,75.12
20150324,29.3,0.0,75.56
20150325,29.19,0.01,74.5
20150326,29.25,0.01,73.56
20150327,29.37,0.31,68.9
20150328,29.41,0.8,69.83
20150329,29.28,0.85,73.98
20150330,29.34,0.91,71.96
20150331,29.15,1.76,73.68
20150401,29.1,3.04,73.87
20150402,29.11,2.25,74.55
20150403,29.15,2.03,76.48
20150404,29.77,1.15,72.43
20150405,30.12,0.57,70.79
20150406,29.64,3.81,73.71
20150407,29.53,4.52,74.26
20150408,29.11,3.65,74.31
20150409,28.71,6.96,79.0
20150410,28.32,8.68,81.34
20150411,28.08,5.57,80.7
20150412,28.99,5.97,72.83
20150413,28.56,5.04,73.46
20150414,28.18,4.9,75.31
20150415,28.49,4.52,74.06
20150416,28.5,3.28,77.46
20150417,28.74,1.88,74.83
20150418,29.24,0.65,71.75
20150419,29.41,2.54,72.77
20150420,29.52,2.53,73.86
20150421,29.15,13.88,75.47
20150422,28.51,6.09,79.44
20150423,28.67,3.66,80.88
20150424,29.17,4.69,78.69
20150425,27.99,12.27,75.55
20150426,29.01,1.58,70.34
20150427,29.32,1.45,71.9
20150428,28.98,1.22,76.56
20150429,29.16,1.99,79.42
20150430,29.01,2.9,78.6
20150501,29.19,2.22,76.54
20150502,28.72,3.18,78.88
20150503,29.02,1.87,76.25
20150504,29.03,3.36,79.44
20150505,28.78,2.29,80.31
20150506,28.73,4.43,79.81
20150507,28.73,7.33,80.96
20150508,28.65,7.0,83.9
20150509,28.77,11.13,84.84
20150510,29.18,8.85,82.05
20150511,29.22,8.96,77.73
20150512,28.48,12.34,82.44
20150513,28.66,15.15,76.7
20150514,29.01,9.05,78.92
20150515,29.04,17.39,83.09
20150516,27.8,11.05,86.22
20150517,27.87,16.28,84.56
20150518,28.36,30.76,79.86
20150519,28.34,2.58,83.95
20150520,28.88,1.49,82.08
20150521,29.14,1.13,83.5
20150522,29.49,1.63,80.26
20150523,28.61,3.25,83.23
20150524,28.41,1.21,79.4
20150525,28.82,1.1,83.44
20150526,29.04,2.61,83.15
20150527,28.87,4.31,84.51
20150528,27.43,4.43,77.78
20150529,28.33,2.31,85.24
20150530,29.11,4.64,80.5
20150531,28.83,6.9,84.78
20150601,28.24,5.69,84.39
20150602,28.16,4.25,81.87
20150603,27.76,4.24,83.49
20150604,27.7,10.02,82.68
20150605,27.86,1.78,81.83
20150606,28.49,4.83,81.99
20150607,28.46,11.81,85.34
20150608,27.47,9.57,82.65
20150609,27.02,2.28,83.77
20150610,27.51,4.85,79.94
20150611,27.64,19.58,84.09
20150612,26.88,9.31,83.07
20150613,27.3,8.05,83.52
20150614,27.79,2.88,80.97
20150615,27.67,9.95,80.64
20150616,28.18,8.39,77.87
20150617,27.61,22.21,79.45
20150618,27.87,9.53,84.02
20150619,28.04,17.22,88.23
20150620,28.32,19.63,86.91
20150621,28.03,40.85,89.22
20150622,28.01,8.02,89.03
20150623,28.07,21.86,87.35
20150624,28.17,16.24,86.52
20150625,28.2,35.62,88.69
20150626,28.13,29.33,85.74
20150627,27.99,15.34,87.93
20150628,27.82,18.91,87.98
20150629,27.75,37.02,88.14
20150630,27.23,4.28,88.32
20150701,27.6,3.74,85.68
20150702,27.63,2.12,85.04
20150703,27.44,3.28,87.57
20150704,27.6,6.98,87.81
20150705,27.7,4.57,84.63
20150706,27.78,2.42,81.97
20150707,27.67,4.0,81.71
20150708,27.77,7.11,83.09
20150709,27.43,10.52,86.63
20150710,27.56,13.7,88.52
20150711,27.72,12.88,88.45
20150712,27.32,3.15,89.04
20150713,27.43,4.39,86.38
20150714,27.25,8.03,89.74
20150715,26.97,26.11,90.42
20150716,26.98,44.86,90.35
20150717,26.75,35.24,88.82
20150718,26.7,19.04,90.3
20150719,26.31,8.32,86.46
20150720,26.79,13.69,87.34
20150721,26.83,8.78,89.92
20150722,26.61,19.19,91.6
20150723,26.24,13.71,90.32
20150724,26.11,5.81,85.87
20150725,25.96,3.94,83.73
20150726,26.31,1.95,80.2
20150727,26.25,1.43,84.35
20150728,26.18,0.83,87.09
20150729,26.58,2.28,86.26
20150730,26.88,1.36,84.34
20150731,26.88,1.15,85.44
20150801,26.76,3.55,86.4
20150802,25.85,4.09,89.28
20150803,26.53,7.61,89.96
20150804,26.44,9.69,90.58
20150805,26.48,16.44,90.68
20150806,26.43,14.54,89.09
20150807,26.5,11.33,90.58
20150808,27.0,10.03,88.93
20150809,26.71,8.87,90.46
20150810,26.57,30.55,90.79
20150811,26.82,5.33,89.86
20150812,26.91,11.96,89.55
20150813,26.69,9.99,91.7
20150814,26.77,2.08,90.23
20150815,26.82,2.64,89.17
20150816,26.65,9.44,90.51
20150817,26.51,4.94,91.6
20150818,26.72,6.92,91.48
20150819,26.43,21.02,89.24
20150820,26.77,5.72,88.38
20150821,26.76,12.17,88.75
20150822,26.32,7.93,88.88
20150823,26.33,4.15,86.26
20150824,26.12,2.16,86.3
20150825,26.43,0.71,88.96
20150826,26.85,0.58,84.53
20150827,27.13,3.37,84.88
20150828,27.19,1.06,84.06
20150829,27.25,1.26,85.43
20150830,27.24,1.35,85.4
20150831,27.11,2.68,85.33
20150901,27.35,1.52,86.12
20150902,27.27,0.83,86.64
20150903,27.36,2.05,86.51
20150904,26.9,9.82,86.0
20150905,26.32,8.52,86.9
20150906,26.79,7.11,86.84
20150907,25.91,24.14,87.99
20150908,26.8,1.48,81.88
20150909,27.11,1.38,81.8
20150910,27.19,8.79,81.09
20150911,27.42,5.14,80.27
20150912,27.66,3.09,81.52
20150913,27.46,0.66,81.72
20150914,27.66,1.64,80.03
20150915,27.99,3.27,79.53
20150916,27.47,13.81,86.39
20150917,26.8,8.36,85.87
20150918,27.38,3.68,85.0
20150919,27.76,2.47,84.14
20150920,27.2,7.45,84.34
20150921,27.41,2.39,82.02
20150922,27.76,0.34,79.79
20150923,27.73,2.03,81.44
20150924,27.72,7.56,82.72
20150925,27.67,5.02,85.64
20150926,27.64,6.51,87.86
20150927,27.64,14.87,88.21
20150928,27.34,10.78,87.1
20150929,26.68,36.67,90.43
20150930,26.88,12.13,83.4
20151001,27.28,7.33,84.75
20151002,27.74,7.98,84.98
20151003,27.8,2.79,84.26
20151004,27.37,11.91,85.72
20151005,27.0,19.3,83.25
20151006,27.28,5.11,76.56
20151007,27.34,4.51,83.74
20151008,27.83,10.4,84.51
20151009,27.98,6.61,82.88
20151010,27.72,4.57,84.0
20151011,27.74,6.1,84.0
20151012,27.65,3.6,80.27
20151013,27.14,8.68,81.88
20151014,27.89,5.64,80.53
20151015,27.63,4.3,80.84
20151016,28.34,1.46,78.15
20151017,28.24,3.22,79.27
20151018,28.58,2.6,78.16
20151019,28.74,1.42,78.58
20151020,28.18,1.74,82.91
20151021,28.04,1.8,81.46
20151022,27.76,2.64,81.01
20151023,27.93,3.45,78.07
20151024,28.18,2.11,75.75
20151025,27.89,5.47,69.82
20151026,28.03,0.1,70.51
20151027,27.82,2.54,74.78
20151028,27.45,8.55,77.83
20151029,27.93,3.73,73.83
20151030,28.21,3.59,80.1
20151031,28.08,9.02,82.76
20151101,27.64,13.8,83.45
20151102,26.77,12.74,86.57
20151103,27.11,7.11,83.9
20151104,27.76,2.59,78.06
20151105,27.2,17.32,85.03
20151106,27.65,6.8,81.26
20151107,27.79,6.62,79.72
20151108,27.62,30.22,81.94
20151109,27.24,12.28,85.28
20151110,27.19,5.94,79.4
20151111,26.98,6.36,85.97
20151112,28.07,3.33,81.97
20151113,27.04,2.95,81.27
20151114,27.55,0.7,66.65
20151115,27.75,0.89,68.86
20151116,27.22,2.32,75.4
20151117,27.75,0.59,75.41
20151118,27.97,3.17,76.57
20151119,27.37,11.53,83.62
20151120,28.07,1.08,79.87
20151121,28.11,1.44,78.12
20151122,27.64,4.71,78.85
20151123,27.9,6.17,78.06
20151124,27.95,4.69,78.53
20151125,28.16,2.63,73.23
20151126,27.41,0.19,65.92
20151127,27.77,0.01,71.86
20151128,27.53,1.33,77.93
20151129,28.23,2.69,68.45
20151130,28.07,2.14,74.21
20151201,28.1,2.21,71.64
20151202,27.82,3.01,74.94
20151203,27.9,1.1,76.51
20151204,28.73,0.46,72.35
20151205,28.49,2.36,73.34
20151206,27.79,3.9,78.3
20151207,28.42,4.79,77.14
20151208,27.66,2.15,76.17
20151209,27.37,0.91,77.12
20151210,28.36,1.22,78.88
20151211,28.17,2.69,78.42
20151212,27.93,2.92,81.13
20151213,26.83,4.4,87.4
20151214,27.32,4.07,81.7
20151215,27.23,2.58,85.26
20151216,27.01,1.76,81.68
20151217,27.15,0.12,70.72
20151218,27.93,0.01,72.72
20151219,28.35,0.59,72.6
20151220,27.96,0.03,73.52
20151221,28.25,0.11,69.17
20151222,28.1,0.02,63.06
20151223,27.77,0.0,65.11
20151224,27.7,0.0,66.85
20151225,27.85,0.0,64.43
20151226,27.96,0.0,64.12
20151227,28.19,0.0,68.77
20151228,28.25,0.0,66.28
20151229,28.07,0.0,66.06
20151230,28.27,0.0,61.62
20151231,27.2,0.0,64.34
20160101,26.98,0.0,61.02
20160102,27.16,0.0,57.61
20160103,27.22,0.0,54.76
20160104,26.99,0.0,58.38
20160105,27.03,0.0,56.36
20160106,27.53,0.0,61.74
20160107,27.82,0.0,66.63
20160108,27.94,0.01,64.11
20160109,27.73,0.0,65.66
20160110,27.75,0.0,61.06
20160111,27.48,0.0,62.66
20160112,27.21,0.0,64.38
20160113,27.22,0.0,66.47
20160114,27.3,0.0,65.02
20160115,26.9,0.01,64.36
20160116,26.92,0.02,66.21
20160117,27.58,0.02,66.6
20160118,27.58,0.12,68.4
20160119,27.68,0.08,73.69
20160120,27.63,0.03,74.33
20160121,28.2,1.13,74.37
20160122,28.67,0.96,72.56
