,T2M,Rain,Humidity
20150101,10.56,0.0,72.08
20150102,11.31,0.0,74.85
20150103,10.78,0.4,86.04
20150104,10.64,3.44,92.61
20150105,9.29,1.0,88.96
20150106,9.2,0.07,85.07
20150107,7.6,0.01,87.57
20150108,8.47,0.01,85.07
20150109,7.13,0.0,77.6
20150110,8.45,0.0,70.24
20150111,8.33,0.0,67.24
20150112,7.82,0.0,76.61
20150113,8.41,0.0,79.48
20150114,7.08,0.0,84.4
20150115,7.85,0.0,84.07
20150116,7.99,0.0,84.53
20150117,8.92,0.0,78.37
20150118,8.07,0.0,76.1
20150119,6.26,0.0,87.25
20150120,8.31,0.0,75.24
20150121,9.08,0.0,66.41
20150122,8.92,0.0,75.11
20150123,8.57,0.16,90.17
20150124,8.9,0.02,86.47
20150125,9.51,0.0,86.74
20150126,10.11,0.0,84.73
20150127,9.61,0.0,86.94
20150128,9.09,0.0,89.44
20150129,9.44,0.26,85.74
20150130,7.26,0.75,87.33
20150131,6.51,0.29,80.62
20150201,7.2,0.02,70.46
20150202,8.53,0.0,66.22
20150203,9.04,0.0,70.29
20150204,8.64,0.0,83.88
20150205,9.04,0.0,83.0
20150206,8.38,0.0,81.51
20150207,8.45,0.0,82.8
20150208,8.46,0.0,86.69
20150209,9.18,0.0,85.52
20150210,9.54,0.04,85.57
20150211,10.46,0.01,79.17
20150212,9.21,1.88,83.42
20150213,7.97,1.73,83.5
20150214,8.14,0.92,83.66
20150215,8.35,0.01,86.29
20150216,8.21,0.0,85.26
20150217,10.43,0.0,77.51
20150218,9.28,0.4,85.6
20150219,6.15,0.95,92.48
20150220,9.23,0.2,80.26
20150221,9.62,2.25,92.01
20150222,11.53,0.69,76.52
20150223,11.81,0.0,82.37
20150224,12.37,0.0,88.1
20150225,12.72,2.51,88.37
20150226,12.62,7.04,90.51
20150227,12.22,1.4,89.45
20150228,12.73,0.09,83.09
20150301,12.44,0.0,87.82
20150302,12.97,0.1,86.35
20150303,12.49,1.59,83.52
20150304,10.86,3.33,83.89
20150305,9.62,1.19,83.08
20150306,9.09,3.7,79.68
20150307,9.65,1.11,83.75
20150308,11.03,0.0,79.28
20150309,12.55,0.0,76.05
20150310,12.37,1.09,72.03
20150311,12.87,0.06,71.54
20150312,13.55,0.0,71.99
20150313,13.67,0.0,75.35
20150314,12.1,0.19,80.0
20150315,12.75,0.02,78.59
20150316,13.01,0.03,80.67
20150317,12.42,0.2,81.55
20150318,12.04,0.89,79.56
20150319,11.52,0.48,70.0
20150320,12.49,0.01,64.79
20150321,14.19,0.0,65.36
20150322,15.07,0.0,66.03
20150323,15.34,0.06,68.01
20150324,14.13,0.03,73.05
20150325,14.45,0.0,75.01
20150326,15.08,0.0,79.24
20150327,13.85,2.05,90.74
20150328,13.38,1.68,92.63
20150329,14.74,0.21,85.51
20150330,14.96,3.55,89.08
20150331,13.96,2.93,87.74
20150401,13.66,15.31,88.53
20150402,12.72,14.4,91.1
20150403,12.93,6.39,80.95
20150404,14.23,28.45,87.01
20150405,13.9,5.39,87.68
20150406,13.17,4.01,86.49
20150407,13.35,0.61,84.7
20150408,13.78,5.68,86.83
20150409,14.71,12.77,84.57
20150410,13.96,1.53,81.39
20150411,12.56,0.12,84.94
20150412,14.03,0.0,73.37
20150413,14.12,0.0,83.54
20150414,15.06,7.01,84.45
20150415,17.07,1.62,77.21
20150416,16.32,3.34,84.07
20150417,15.77,9.58,83.66
20150418,15.07,13.56,87.18
20150419,14.06,2.19,82.86
20150420,14.41,0.0,81.37
20150421,13.34,5.18,89.43
20150422,13.63,8.72,83.79
20150423,13.49,14.97,86.06
20150424,12.42,6.83,87.88
20150425,13.09,3.23,86.32
20150426,12.97,0.45,87.99
20150427,13.69,0.3,82.35
20150428,14.78,1.32,83.47
20150429,14.46,2.04,91.27
20150430,14.35,2.28,85.95
20150501,13.37,0.79,87.9
20150502,13.54,6.89,87.06
20150503,16.23,13.32,87.9
20150504,17.14,12.36,84.44
20150505,16.49,0.27,86.91
20150506,15.09,2.47,79.38
20150507,14.9,2.16,78.27
20150508,17.31,4.9,72.43
20150509,17.39,1.78,81.96
20150510,18.03,5.71,85.17
20150511,17.31,6.55,81.93
20150512,15.33,2.76,87.99
20150513,17.65,6.48,80.04
20150514,18.52,9.69,88.82
20150515,15.82,16.31,88.85
20150516,17.45,18.96,92.62
20150517,17.11,14.13,90.38
20150518,16.14,12.84,88.48
20150519,17.06,0.34,88.85
20150520,18.51,0.33,86.67
20150521,19.31,6.02,84.34
20150522,19.42,17.0,82.96
20150523,18.66,42.94,87.37
20150524,18.24,12.49,90.44
20150525,16.29,8.88,87.21
20150526,17.88,5.96,83.27
20150527,16.11,14.66,89.01
20150528,15.91,28.46,89.58
20150529,16.86,3.07,79.9
20150530,17.37,13.87,84.01
20150531,18.21,29.29,91.26
20150601,20.14,22.59,89.5
20150602,19.07,10.13,92.34
20150603,18.13,3.37,90.36
20150604,19.03,16.51,91.27
20150605,19.94,29.79,91.02
20150606,19.46,28.12,94.05
20150607,19.78,39.05,95.24
20150608,19.38,33.26,92.29
20150609,17.52,51.99,92.34
20150610,15.43,11.2,89.81
20150611,16.03,6.41,91.54
20150612,17.55,22.83,94.2
20150613,18.82,28.25,92.93
20150614,18.43,14.77,92.72
20150615,18.77,13.4,89.24
20150616,19.0,14.2,91.24
20150617,19.69,13.79,90.73
20150618,19.01,21.23,94.02
20150619,19.81,25.65,89.48
20150620,19.47,13.78,91.73
20150621,18.44,40.6,94.3
20150622,18.87,10.93,94.23
20150623,19.87,32.74,92.16
20150624,20.08,36.43,90.02
20150625,21.67,4.93,83.35
20150626,21.4,0.68,87.58
20150627,21.01,9.05,90.21
20150628,20.85,17.06,90.48
20150629,21.01,6.02,87.85
20150630,20.68,12.88,91.74
