,T2M,Rain,Humidity
20150101,22.41,2.4,84.16
20150102,23.89,0.09,76.85
20150103,23.48,0.0,72.33
20150104,23.8,0.0,72.17
20150105,23.11,0.0,71.01
20150106,22.5,0.0,69.5
20150107,22.57,0.0,67.61
20150108,22.87,0.0,68.24
20150109,22.05,0.0,70.62
20150110,20.57,0.0,54.52
20150111,19.05,0.0,61.36
20150112,19.37,0.0,62.36
20150113,19.61,0.0,57.92
20150114,19.51,0.0,59.77
20150115,20.47,0.0,63.07
20150116,22.2,0.0,66.26
20150117,22.46,0.0,62.04
20150118,21.91,0.0,62.95
20150119,21.59,0.0,63.83
20150120,21.77,0.0,64.34
20150121,21.22,0.0,63.86
20150122,21.27,0.0,63.06
20150123,22.71,0.11,68.15
20150124,23.01,0.09,68.28
20150125,22.17,0.0,56.52
20150126,21.08,0.0,64.52
20150127,22.25,0.0,66.7
20150128,22.9,0.0,63.69
20150129,23.63,0.0,63.46
20150130,23.27,0.0,61.82
20150131,23.01,0.0,59.85
20150201,22.72,0.0,60.2
20150202,22.41,0.0,62.04
20150203,21.93,0.0,60.84
20150204,22.01,0.0,59.45
20150205,22.22,0.0,56.85
20150206,22.56,0.0,56.42
20150207,22.59,0.0,55.04
20150208,23.22,0.0,54.28
20150209,22.38,0.0,55.77
20150210,21.35,0.0,60.62
20150211,23.61,0.0,60.29
20150212,24.51,0.0,55.02
20150213,24.33,0.0,47.65
20150214,24.57,0.0,50.14
20150215,24.66,0.0,49.61
20150216,23.95,0.0,53.19
20150217,24.1,0.0,50.42
20150218,24.09,0.0,46.22
20150219,24.23,0.0,49.71
20150220,23.26,0.0,53.12
20150221,23.62,0.0,53.5
20150222,23.64,0.0,52.21
20150223,23.18,0.0,46.12
20150224,22.98,0.0,42.19
20150225,24.15,0.0,48.17
20150226,26.52,0.0,53.2
20150227,27.3,0.0,56.33
20150228,25.89,0.59,65.75
20150301,26.54,0.47,61.32
20150302,27.09,1.49,59.58
20150303,25.56,6.79,67.94
20150304,25.58,2.46,65.36
20150305,26.73,0.02,57.79
20150306,26.69,2.37,60.74
20150307,25.98,2.11,64.29
20150308,25.85,0.08,59.28
20150309,25.77,0.02,59.56
20150310,25.28,0.0,52.11
20150311,24.46,0.0,56.75
20150312,25.72,0.0,58.88
20150313,25.87,0.0,56.74
20150314,25.95,0.01,55.82
20150315,26.82,0.05,56.63
20150316,25.92,1.73,53.13
20150317,25.77,0.0,48.82
20150318,26.61,0.0,38.73
20150319,26.97,0.0,40.7
20150320,26.3,0.0,49.93
20150321,26.39,0.0,46.96
20150322,27.49,0.0,41.63
20150323,28.45,0.0,40.26
20150324,28.72,0.0,44.2
20150325,27.67,0.0,50.14
20150326,27.33,0.0,49.52
20150327,26.81,0.0,48.22
20150328,26.61,0.0,49.05
20150329,27.95,0.0,50.69
20150330,27.89,0.0,51.34
20150331,27.65,0.23,54.92
20150401,28.86,1.07,52.98
20150402,30.03,0.03,48.19
20150403,30.59,2.85,46.03
20150404,30.64,0.03,47.08
20150405,30.79,0.0,46.16
20150406,30.57,0.0,46.44
20150407,29.67,0.01,49.76
20150408,29.16,0.01,52.98
20150409,29.47,0.03,51.81
20150410,29.57,2.0,51.97
20150411,27.53,3.84,59.97
20150412,26.52,7.33,65.62
20150413,23.4,10.9,77.61
20150414,24.6,5.07,73.1
20150415,23.48,8.31,79.99
20150416,24.94,5.73,74.36
20150417,26.1,9.13,69.96
20150418,27.08,0.87,64.24
20150419,27.79,0.01,60.97
20150420,27.6,0.0,62.09
20150421,27.55,0.25,63.06
20150422,27.61,0.1,63.38
20150423,27.49,5.8,64.9
20150424,27.17,25.71,68.11
20150425,25.09,19.73,75.93
20150426,25.86,3.61,71.16
20150427,26.39,0.47,68.75
20150428,27.01,0.0,64.53
20150429,27.99,0.69,64.07
20150430,28.37,3.16,64.6
20150501,28.43,2.19,61.88
20150502,27.05,5.32,69.93
20150503,27.35,1.6,67.64
20150504,27.01,0.13,67.68
20150505,27.21,0.0,64.42
20150506,26.65,0.79,69.57
20150507,27.23,1.89,70.21
20150508,27.63,0.75,66.42
20150509,27.16,0.83,66.91
20150510,27.31,1.33,64.86
20150511,26.65,1.88,58.67
20150512,27.17,0.8,58.71
20150513,25.41,13.55,72.97
20150514,25.1,1.56,69.77
20150515,24.58,8.75,81.93
20150516,24.88,21.55,83.75
20150517,25.45,12.25,78.32
20150518,26.32,1.07,74.96
20150519,27.99,8.51,68.56
20150520,27.89,1.55,69.77
20150521,28.03,0.0,65.13
20150522,25.1,0.0,77.04
20150523,26.1,0.0,69.38
20150524,27.32,2.15,66.34
20150525,26.21,0.14,72.88
20150526,28.17,0.1,62.8
20150527,25.56,10.52,78.16
20150528,23.37,3.1,73.22
20150529,27.03,5.86,70.6
20150530,27.57,1.76,68.11
20150531,27.93,6.6,68.94
