,T2M,Rain,Humidity
20150101,25.53,0.23,62.24
20150102,25.77,0.34,67.62
20150103,26.02,0.26,63.96
20150104,25.52,0.0,60.44
20150105,24.53,0.0,51.18
20150106,23.35,0.0,43.29
20150107,23.53,0.0,34.94
20150108,22.51,0.0,40.07
20150109,21.77,0.0,28.16
20150110,20.41,0.0,29.06
20150111,20.24,0.0,28.01
20150112,20.32,0.0,34.79
20150113,20.88,0.0,38.78
20150114,21.01,0.0,54.33
20150115,21.75,0.0,60.29
20150116,22.26,0.0,54.48
20150117,22.22,0.0,45.08
20150118,22.55,0.0,39.79
20150119,22.35,0.0,54.75
20150120,22.9,0.0,61.88
20150121,22.5,0.0,60.53
20150122,22.04,0.0,52.91
20150123,22.82,0.0,55.78
20150124,23.34,0.0,54.39
20150125,22.49,0.0,56.97
20150126,23.26,0.0,57.56
20150127,23.02,0.0,58.2
20150128,23.37,0.0,60.32
20150129,24.02,0.0,58.29
20150130,24.58,0.0,56.17
20150131,24.33,0.0,54.16
20150201,24.27,0.0,55.93
20150202,24.33,0.0,59.34
20150203,23.81,0.0,55.9
20150204,23.07,0.0,53.13
20150205,23.71,0.0,45.34
20150206,22.92,0.0,50.29
20150207,23.13,0.0,53.37
20150208,23.37,0.0,56.95
20150209,24.52,0.0,54.65
20150210,24.25,0.0,57.16
20150211,24.62,0.0,55.7
20150212,24.7,0.0,49.26
20150213,25.91,0.0,45.38
20150214,25.95,0.0,38.27
20150215,26.36,0.0,36.23
20150216,25.81,0.0,45.1
20150217,25.96,0.0,43.85
20150218,26.46,0.0,41.94
20150219,26.23,0.0,44.91
20150220,26.41,0.0,47.56
20150221,26.58,0.0,44.34
20150222,26.91,0.0,34.51
20150223,26.62,0.0,34.08
20150224,26.26,0.0,34.09
20150225,26.05,0.0,32.28
20150226,26.05,0.0,30.43
20150227,26.82,0.0,42.1
20150228,26.54,0.25,59.1
20150301,26.31,5.42,57.21
20150302,27.69,3.92,59.86
20150303,27.54,0.72,51.18
20150304,26.81,0.58,43.89
20150305,28.63,0.0,48.54
20150306,28.23,4.01,58.77
20150307,27.94,0.78,57.92
20150308,28.48,0.66,53.21
20150309,28.05,1.48,55.81
20150310,28.27,0.0,49.51
20150311,27.48,0.0,41.49
20150312,27.53,0.0,48.84
20150313,28.13,0.0,48.87
20150314,27.9,0.0,46.86
20150315,28.28,0.0,48.19
20150316,29.26,0.0,41.56
20150317,29.03,0.0,42.57
20150318,30.09,0.0,33.11
20150319,29.75,0.0,28.94
20150320,29.1,0.0,35.89
20150321,29.63,0.0,31.56
20150322,30.55,0.0,30.63
20150323,31.35,0.0,31.6
20150324,32.0,0.0,31.82
20150325,31.32,0.0,38.47
20150326,30.86,0.0,43.46
20150327,30.53,0.0,41.29
20150328,30.29,0.0,37.85
20150329,30.37,0.0,40.42
20150330,29.44,0.07,45.03
20150331,29.35,0.22,50.65
20150401,31.58,0.0,42.87
20150402,32.88,0.0,38.95
20150403,33.47,0.0,23.16
20150404,33.1,0.0,28.39
20150405,32.94,0.0,33.06
20150406,33.58,0.07,39.79
20150407,32.95,0.23,40.11
20150408,32.67,0.0,42.46
20150409,32.14,0.02,45.31
20150410,32.17,4.56,43.24
20150411,29.55,1.23,48.25
20150412,27.08,13.75,63.12
20150413,23.79,21.41,76.82
20150414,25.32,1.19,63.71
20150415,26.31,2.16,62.7
20150416,27.58,0.08,63.37
20150417,28.71,0.0,58.33
20150418,29.89,0.0,50.15
20150419,29.99,0.0,53.74
20150420,30.13,0.0,54.55
20150421,30.96,0.0,52.22
20150422,32.06,0.02,48.76
20150423,32.16,3.86,50.78
20150424,30.23,13.32,59.09
20150425,30.49,0.32,57.06
20150426,29.74,0.04,56.69
20150427,30.54,0.0,55.7
20150428,31.3,0.0,53.03
20150429,32.87,0.0,44.29
20150430,32.89,0.0,40.08
20150501,33.32,0.0,33.19
20150502,33.8,0.19,36.08
20150503,32.35,3.77,46.02
20150504,32.7,0.04,47.33
20150505,32.13,0.01,46.08
20150506,32.91,0.07,43.5
20150507,33.32,0.0,42.33
20150508,33.67,0.0,37.58
20150509,33.04,0.0,37.88
20150510,31.88,0.02,42.39
20150511,31.56,0.0,41.62
20150512,32.54,0.0,28.26
20150513,32.41,0.0,37.66
20150514,32.96,0.0,33.77
20150515,30.84,21.84,55.85
20150516,30.11,0.64,62.85
20150517,30.93,0.16,59.26
20150518,31.32,0.22,58.36
20150519,32.5,0.04,52.65
20150520,33.91,0.0,46.31
20150521,35.51,0.0,39.47
20150522,34.7,0.0,40.96
20150523,34.35,0.09,39.73
20150524,34.43,0.07,36.05
20150525,34.6,0.0,36.92
20150526,35.58,0.0,32.85
20150527,36.0,0.35,32.31
20150528,34.62,0.85,36.4
20150529,34.66,0.96,37.61
20150530,33.94,1.72,43.93
20150531,31.38,2.51,53.6
20150601,30.96,2.57,55.52
20150602,31.66,0.62,52.91
20150603,32.61,0.2,46.65
20150604,32.82,0.94,48.14
20150605,30.64,1.13,56.95
20150606,30.93,0.88,53.93
20150607,30.06,0.67,55.46
20150608,28.46,15.89,67.19
20150609,27.68,13.37,71.53
20150610,29.74,0.06,64.67
20150611,29.23,0.57,65.95
20150612,29.1,2.08,65.87
20150613,28.74,2.5,65.91
20150614,26.73,2.85,73.61
20150615,27.2,1.71,66.78
20150616,26.17,2.42,68.55
20150617,27.01,2.16,66.43
20150618,25.97,2.61,68.93
20150619,24.93,1.32,72.99
20150620,25.95,0.51,70.31
20150621,26.64,3.65,71.42
20150622,27.61,0.21,67.22
20150623,29.01,0.0,64.95
20150624,29.93,0.04,60.54
20150625,29.99,0.0,60.44
20150626,30.04,0.0,60.1
20150627,30.41,0.27,57.52
20150628,30.69,0.13,55.88
20150629,30.36,1.26,57.98
20150630,31.08,0.46,52.57
20150701,30.51,0.11,51.88
20150702,30.04,0.64,57.94
20150703,30.98,0.16,53.27
20150704,32.2,0.0,46.62
20150705,32.01,0.0,47.36
20150706,31.95,0.0,45.63
