,T2M,Rain,Humidity
20150101,14.59,0.0,41.78
20150102,15.72,3.33,53.77
20150103,13.88,7.6,72.07
20150104,12.7,0.02,57.35
20150105,12.73,0.0,40.5
20150106,13.6,0.0,44.13
20150107,12.48,0.0,47.65
20150108,12.24,0.0,44.93
20150109,11.16,0.0,41.15
20150110,11.48,0.0,37.44
20150111,11.92,0.0,34.14
20150112,12.9,0.0,33.59
20150113,12.73,0.0,37.41
20150114,10.73,5.17,66.01
20150115,11.93,0.0,68.93
20150116,13.02,0.0,63.01
20150117,12.66,0.0,48.35
20150118,12.47,0.0,44.1
20150119,13.43,0.0,42.47
20150120,12.38,0.0,43.68
20150121,12.09,1.05,51.04
20150122,12.56,5.22,79.89
20150123,12.8,0.39,71.04
20150124,13.26,0.0,60.81
20150125,12.41,0.0,49.29
20150126,12.07,2.18,53.73
20150127,11.66,0.23,56.59
20150128,10.87,0.0,51.27
20150129,10.71,0.0,41.8
20150130,11.67,0.0,43.14
20150131,12.78,0.0,39.03
20150201,14.73,0.0,38.98
20150202,15.66,1.84,44.49
20150203,15.16,8.79,63.52
20150204,14.59,0.06,59.63
20150205,14.03,0.0,48.79
20150206,13.94,0.0,43.87
20150207,16.03,0.0,38.65
20150208,16.86,0.0,42.56
20150209,16.03,0.0,49.27
20150210,15.55,0.0,41.66
20150211,14.93,0.0,40.68
20150212,14.84,0.0,38.5
20150213,15.74,0.0,37.83
20150214,19.66,0.0,38.06
20150215,19.64,0.0,41.18
20150216,18.6,0.19,43.63
20150217,19.82,0.05,46.15
20150218,20.16,0.0,44.56
20150219,21.08,0.05,41.88
20150220,20.73,6.03,49.54
20150221,21.1,0.0,47.32
20150222,21.36,0.0,47.77
20150223,20.91,0.0,47.74
20150224,20.92,0.0,44.1
20150225,18.99,4.21,52.61
20150226,14.88,0.18,32.23
20150227,15.26,0.45,32.24
20150228,17.01,0.37,36.29
20150301,15.67,44.74,81.93
20150302,14.97,38.53,87.9
20150303,15.01,4.48,71.14
20150304,14.99,0.03,65.28
20150305,16.52,0.09,62.12
20150306,17.68,0.73,59.32
20150307,18.53,2.4,60.68
20150308,18.39,3.27,65.68
20150309,14.82,3.12,58.25
20150310,17.02,0.0,54.41
20150311,18.22,0.0,47.77
20150312,19.07,0.0,46.5
20150313,21.84,0.0,40.12
20150314,20.74,1.76,56.34
20150315,18.94,5.04,68.77
20150316,18.01,6.94,77.17
20150317,18.87,0.05,65.58
20150318,19.02,0.0,60.61
20150319,20.15,0.0,53.23
20150320,21.41,0.0,47.45
20150321,22.85,0.0,49.03
20150322,24.0,0.0,50.25
20150323,24.37,0.0,50.97
20150324,25.66,0.0,43.72
20150325,26.72,0.0,41.15
20150326,26.52,0.0,40.69
20150327,26.74,0.0,39.32
20150328,26.33,0.0,34.16
20150329,21.86,5.39,52.76
20150330,20.73,5.37,70.7
20150331,23.78,0.0,53.9
20150401,25.05,1.55,52.27
20150402,25.41,0.34,51.17
20150403,23.57,17.34,58.29
20150404,22.3,4.38,65.73
20150405,22.63,0.06,59.14
20150406,23.84,0.05,49.09
20150407,24.23,1.05,47.08
20150408,24.05,1.82,48.47
20150409,24.28,0.1,49.32
20150410,25.52,0.0,46.6
20150411,27.47,0.02,39.68
20150412,26.64,0.56,46.01
20150413,26.0,0.18,49.5
20150414,25.27,3.54,59.21
20150415,26.76,8.4,54.25
20150416,25.97,2.77,55.92
20150417,26.77,0.94,51.38
20150418,29.09,0.0,43.58
20150419,31.51,0.0,35.61
20150420,30.4,0.27,36.34
20150421,29.4,0.0,34.28
20150422,29.06,0.0,31.37
20150423,30.2,0.0,28.93
20150424,31.75,0.0,22.42
20150425,31.31,0.0,24.93
20150426,28.33,0.27,43.82
20150427,29.5,0.32,42.54
20150428,31.25,2.22,41.07
20150429,30.62,0.75,34.09
20150430,30.56,1.26,33.78
20150501,29.47,5.92,41.4
20150502,29.53,0.01,30.28
20150503,30.08,0.0,26.37
20150504,30.82,0.0,25.05
20150505,31.65,0.0,26.59
20150506,33.06,0.0,26.88
20150507,33.09,0.0,26.49
20150508,33.5,0.0,23.51
20150509,34.34,0.0,26.73
20150510,34.37,0.18,28.59
20150511,34.32,1.35,30.73
20150512,33.24,1.32,32.29
20150513,32.91,0.23,30.27
20150514,31.71,0.51,35.78
20150515,32.07,0.21,37.72
20150516,32.86,0.91,32.19
20150517,33.63,0.0,26.91
20150518,35.86,0.0,25.88
20150519,35.88,0.12,25.13
20150520,34.35,0.17,18.92
20150521,34.85,0.0,17.31
20150522,35.49,0.0,14.81
20150523,36.36,0.0,13.51
20150524,36.92,0.0,12.22
20150525,37.02,0.0,11.11
20150526,36.13,0.0,10.6
20150527,34.71,0.0,9.13
20150528,35.02,0.0,10.73
20150529,36.13,0.07,17.8
20150530,36.4,0.0,18.35
20150531,36.33,0.0,17.74
20150601,35.97,0.22,16.65
20150602,34.37,0.33,25.64
20150603,34.57,0.08,24.09
20150604,34.68,1.6,27.41
20150605,34.06,3.89,32.61
20150606,34.45,0.0,26.42
20150607,35.95,0.0,21.79
20150608,37.71,0.0,17.79
20150609,38.4,0.0,18.02
20150610,36.46,0.0,30.23
20150611,37.54,0.01,26.15
20150612,37.19,0.0,25.31
20150613,36.21,5.17,29.92
20150614,32.76,4.7,42.91
20150615,33.8,0.09,42.17
20150616,35.03,0.21,35.98
20150617,35.91,0.07,31.92
20150618,36.56,1.34,29.9
20150619,37.94,0.79,26.95
20150620,35.03,5.14,38.78
20150621,35.16,19.84,44.15
20150622,34.45,2.97,43.86
20150623,34.96,0.61,39.79
20150624,32.64,15.89,56.73
20150625,31.27,13.19,58.84
20150626,32.62,0.03,40.31
20150627,33.22,0.26,47.16
20150628,34.15,1.01,43.26
20150629,33.01,20.25,52.09
20150630,32.73,10.05,51.42
20150701,33.4,0.24,45.31
20150702,33.09,1.35,47.05
20150703,34.31,1.99,46.18
20150704,34.72,2.3,47.04
20150705,33.86,22.84,54.43
20150706,31.89,27.05,64.24
20150707,28.82,9.96,73.43
20150708,31.33,9.2,62.65
20150709,31.94,5.02,59.97
20150710,30.27,26.75,68.68
20150711,28.2,51.19,78.48
20150712,29.22,47.56,75.07
20150713,29.11,20.98,77.18
20150714,29.64,2.46,75.98
20150715,30.26,1.63,72.0
20150716,30.12,9.28,73.67
20150717,30.05,23.48,75.96
20150718,29.63,14.99,78.61
20150719,29.95,2.08,76.17
20150720,30.05,1.63,73.95
20150721,30.4,9.27,74.15
20150722,29.61,2.77,79.56
20150723,29.19,2.36,81.86
20150724,29.08,0.29,80.1
20150725,29.79,19.13,77.2
20150726,28.57,2.62,82.49
20150727,28.53,5.42,81.82
20150728,28.2,2.0,78.15
20150729,27.71,0.0,79.51
20150730,28.83,0.84,78.5
20150731,28.59,10.21,79.77
20150801,28.25,10.44,80.3
20150802,28.38,0.52,79.0
20150803,29.13,0.05,75.56
20150804,30.53,0.05,70.19
20150805,30.99,2.08,69.71
20150806,30.89,12.8,70.96
20150807,28.49,18.74,84.54
20150808,29.62,28.99,78.1
20150809,29.93,8.49,75.89
20150810,30.67,3.35,69.13
20150811,29.31,3.37,74.15
20150812,28.71,13.62,82.31
20150813,29.85,6.52,75.62
20150814,29.84,2.32,78.7
20150815,29.44,11.3,81.18
20150816,28.62,3.86,83.02
20150817,29.1,12.39,77.71
20150818,29.57,6.93,76.24
20150819,28.76,3.32,76.75
20150820,28.21,27.93,78.14
20150821,28.23,19.22,78.48
20150822,28.12,22.4,77.5
20150823,28.21,13.12,77.45
20150824,27.91,5.94,80.0
20150825,27.81,0.0,76.65
20150826,27.91,0.01,75.9
20150827,29.13,0.82,69.39
20150828,28.83,3.0,72.81
20150829,29.15,1.92,72.06
20150830,29.04,1.74,71.33
20150831,27.46,5.2,69.2
20150901,27.59,0.28,66.85
20150902,27.65,2.0,63.96
20150903,27.89,5.57,63.53
20150904,27.39,0.03,61.04
20150905,26.66,0.0,60.53
20150906,27.02,0.0,59.62
20150907,27.39,0.0,59.15
20150908,27.4,0.0,59.08
20150909,27.7,0.0,59.01
20150910,27.51,0.0,56.16
20150911,27.64,0.0,54.87
20150912,29.3,0.0,47.92
20150913,29.43,0.0,46.02
20150914,30.05,0.0,46.38
20150915,30.02,0.66,47.29
20150916,29.61,2.07,49.18
20150917,29.72,0.01,48.34
20150918,28.83,2.66,54.7
20150919,27.5,9.36,72.13
20150920,28.71,23.64,74.31
20150921,29.67,1.12,67.19
20150922,28.64,8.22,70.62
20150923,26.0,2.5,74.67
20150924,25.9,0.0,63.53
20150925,25.92,0.0,57.81
20150926,27.44,0.3,52.88
20150927,27.46,0.21,52.92
20150928,26.17,0.16,56.75
20150929,26.1,0.0,53.48
20150930,25.79,0.0,51.83
20151001,25.95,0.0,48.59
20151002,26.21,0.0,47.91
20151003,26.52,0.0,47.71
20151004,27.19,0.0,45.15
20151005,27.34,0.0,46.71
20151006,26.99,0.0,46.3
20151007,27.0,0.0,50.15
20151008,27.0,0.0,49.79
20151009,27.3,0.0,46.82
20151010,27.78,0.0,42.13
20151011,27.65,0.0,46.27
20151012,27.92,0.68,49.76
20151013,27.3,2.66,56.65
20151014,25.73,4.24,60.11
20151015,25.91,0.27,58.92
20151016,25.98,0.0,54.76
20151017,26.08,0.0,50.98
20151018,27.33,0.0,43.54
20151019,26.98,0.0,43.99
20151020,26.64,0.0,45.72
20151021,24.16,0.0,46.81
20151022,23.02,0.0,42.02
20151023,23.11,0.0,40.33
20151024,25.42,0.0,32.93
20151025,24.85,0.03,34.59
20151026,23.43,2.15,43.71
20151027,22.03,1.92,49.55
20151028,19.68,0.16,54.78
20151029,20.85,0.0,52.69
20151030,20.69,0.02,44.93
20151031,21.68,0.0,43.57
20151101,22.05,0.0,43.82
20151102,22.34,0.0,44.74
20151103,21.86,0.0,46.93
20151104,22.79,0.01,44.66
20151105,23.37,2.44,45.98
20151106,21.98,0.01,41.51
20151107,20.92,0.0,40.6
20151108,21.64,0.3,43.71
20151109,22.75,0.0,44.17
20151110,22.35,0.0,44.33
20151111,21.07,0.0,45.2
20151112,20.93,0.0,47.68
20151113,22.34,0.0,47.4
20151114,22.54,0.0,47.91
20151115,21.61,0.0,41.19
20151116,20.7,0.07,41.94
20151117,18.61,0.0,36.77
20151118,18.06,0.0,37.1
20151119,18.48,0.0,36.07
20151120,19.01,0.0,37.68
20151121,19.29,0.0,40.64
20151122,19.03,0.0,39.77
20151123,18.66,0.0,38.86
20151124,18.93,0.0,37.23
20151125,18.59,0.0,36.46
20151126,19.5,0.51,41.44
20151127,19.79,0.6,53.24
20151128,20.13,0.32,54.12
20151129,18.29,0.0,48.8
20151130,19.18,0.0,46.53
20151201,18.94,0.0,46.66
20151202,17.5,0.0,47.76
20151203,17.45,0.0,46.48
20151204,16.95,0.0,40.2
20151205,17.62,0.0,37.45
20151206,17.46,0.0,37.88
20151207,17.18,0.0,37.35
20151208,17.33,0.0,38.1
20151209,15.84,0.0,42.76
20151210,17.87,0.1,40.65
20151211,16.42,4.05,52.23
20151212,14.59,0.18,55.37
20151213,13.2,0.0,40.96
20151214,12.71,0.0,38.58
20151215,12.39,0.0,38.44
20151216,14.8,0.0,28.71
20151217,13.37,0.0,32.54
20151218,12.21,0.0,35.05
20151219,12.71,0.0,33.54
20151220,12.8,0.0,35.77
20151221,12.45,0.0,36.88
20151222,12.76,0.0,36.46
20151223,11.65,0.0,34.3
20151224,11.15,0.0,39.77
20151225,10.44,0.0,31.86
20151226,13.43,0.0,26.78
20151227,15.97,0.0,32.46
20151228,17.3,0.0,39.7
20151229,16.56,0.0,40.16
20151230,15.5,0.0,37.06
20151231,15.44,0.0,33.67
20160101,15.2,0.0,29.58
20160102,14.94,0.0,27.85
20160103,14.94,0.0,29.27
20160104,15.49,0.0,33.29
20160105,17.36,0.05,35.8
20160106,17.49,0.0,39.42
20160107,17.26,0.41,42.17
20160108,15.71,0.08,46.47
20160109,14.42,0.01,44.18
20160110,14.85,0.0,36.25
20160111,16.08,0.0,36.57
20160112,16.17,0.0,35.54
20160113,15.06,0.81,39.5
20160114,13.71,0.02,45.05
20160115,13.12,0.0,48.74
20160116,12.83,0.0,47.5
20160117,13.51,0.0,37.42
20160118,13.19,0.0,34.93
20160119,12.58,0.03,34.16
20160120,11.35,0.04,41.87
20160121,10.78,0.0,30.51
20160122,11.42,0.0,24.75
20160123,12.12,0.0,23.77
20160124,11.35,0.0,26.97
20160125,11.02,0.0,27.96
20160126,14.71,0.0,24.41
20160127,14.82,0.0,27.13
20160128,16.26,0.0,40.89
20160129,18.51,0.52,34.98
20160130,18.73,0.5,38.01
20160131,16.52,0.0,41.18
20160201,14.29,0.0,33.34
20160202,13.38,0.0,34.5
20160203,14.12,0.0,34.1
20160204,14.44,0.0,31.91
20160205,15.63,0.0,28.78
20160206,16.72,0.0,24.38
20160207,15.64,5.38,43.01
20160208,15.26,0.0,56.66
20160209,15.98,0.0,49.2
20160210,16.55,0.0,35.99
20160211,15.47,0.01,29.02
20160212,14.68,0.0,24.58
20160213,16.31,0.81,26.52
20160214,15.02,1.38,37.32
20160215,14.48,0.0,32.95
20160216,15.17,0.0,31.01
20160217,18.05,0.0,24.67
20160218,21.61,0.28,30.13
20160219,22.96,0.07,35.13
20160220,21.19,1.94,54.85
20160221,19.62,0.0,42.09
20160222,19.7,0.0,26.62
20160223,19.48,0.0,23.75
20160224,21.33,0.0,17.15
20160225,20.18,0.0,17.79
20160226,20.31,0.0,20.08
20160227,21.02,0.0,19.58
20160228,21.12,0.0,20.79
20160229,21.46,0.0,21.35
20160301,22.36,0.0,23.92
20160302,23.14,0.0,25.6
20160303,24.58,0.0,25.82
20160304,24.68,0.0,26.67
20160305,23.4,2.43,34.75
20160306,22.09,1.43,48.86
20160307,21.71,1.44,46.83
20160308,22.02,0.0,39.76
20160309,22.11,0.0,36.95
20160310,24.07,0.0,35.71
20160311,25.35,1.74,39.66
20160312,23.66,22.14,56.6
