,T2M,Rain,Humidity
20150101,5.03,0.0,72.42
20150102,5.64,0.0,78.38
20150103,5.69,0.36,82.41
20150104,4.41,2.91,89.15
20150105,2.87,0.5,80.31
20150106,2.5,0.02,79.13
20150107,1.54,0.01,89.91
20150108,0.96,0.07,86.71
20150109,0.14,0.01,70.9
20150110,1.21,0.0,61.48
20150111,1.62,0.0,61.05
20150112,1.94,0.0,72.72
20150113,2.73,0.0,83.68
20150114,2.29,0.0,86.14
20150115,2.13,0.0,82.29
20150116,1.63,0.0,79.52
20150117,1.3,0.0,78.81
20150118,1.07,0.0,80.74
20150119,0.45,0.0,89.4
20150120,2.26,0.0,73.53
20150121,2.28,0.0,67.53
20150122,2.86,0.0,78.13
20150123,3.38,0.05,85.75
20150124,3.2,0.0,83.32
20150125,3.53,0.0,84.27
20150126,4.23,0.0,78.92
20150127,4.28,0.0,77.42
20150128,3.46,0.0,79.49
20150129,2.78,0.2,78.6
20150130,0.74,0.27,81.65
20150131,0.36,0.08,80.17
20150201,0.44,0.01,78.76
20150202,2.01,0.0,74.96
20150203,3.09,0.0,74.39
20150204,2.84,0.0,81.68
20150205,2.95,0.0,80.44
20150206,2.92,0.0,80.6
20150207,2.93,0.0,82.74
20150208,2.88,0.0,82.76
20150209,3.05,0.0,81.85
20150210,3.59,0.02,81.51
20150211,3.67,0.0,83.0
20150212,2.86,0.69,85.22
20150213,1.0,0.72,87.15
20150214,1.83,0.18,82.47
20150215,2.0,0.0,83.84
20150216,2.96,0.0,81.17
20150217,3.75,0.01,77.91
20150218,2.64,0.26,89.42
20150219,1.26,0.51,93.71
20150220,3.68,0.06,75.64
20150221,4.02,1.39,89.99
20150222,5.22,0.09,73.26
20150223,6.32,0.0,71.99
20150224,7.18,0.0,84.23
20150225,7.39,1.25,83.19
20150226,7.16,2.89,86.78
20150227,6.33,0.46,86.79
20150228,6.7,0.02,80.02
20150301,6.86,0.0,80.47
20150302,7.11,0.04,78.38
20150303,6.73,0.42,78.35
20150304,5.16,1.43,79.99
20150305,3.63,0.26,82.06
20150306,3.18,2.12,78.5
20150307,3.68,0.28,82.02
20150308,5.23,0.0,81.63
20150309,6.63,0.0,74.68
20150310,5.87,0.29,65.48
20150311,6.4,0.02,71.23
20150312,7.44,0.0,73.65
20150313,7.23,0.0,78.16
20150314,6.36,0.08,78.05
20150315,6.65,0.01,79.47
20150316,7.26,0.0,77.76
20150317,6.77,0.05,75.92
20150318,5.58,0.2,76.07
20150319,4.47,0.12,70.23
20150320,6.24,0.0,64.95
20150321,7.2,0.0,72.4
20150322,8.42,0.0,74.44
20150323,7.39,0.08,80.29
20150324,7.79,0.05,76.71
20150325,7.61,0.0,79.23
20150326,8.09,0.0,88.57
20150327,8.14,1.48,88.31
20150328,8.25,0.49,86.69
20150329,9.47,0.06,87.0
20150330,9.54,1.17,89.38
20150331,7.99,1.2,85.64
20150401,8.16,8.11,88.75
20150402,8.05,7.21,87.55
20150403,7.95,3.22,81.96
20150404,8.51,14.43,85.02
20150405,7.36,1.61,84.09
20150406,7.08,1.77,86.18
20150407,7.41,0.24,86.32
20150408,8.92,1.73,84.97
20150409,8.82,5.29,80.19
20150410,7.55,0.33,81.75
20150411,6.84,0.01,85.98
20150412,7.24,0.0,79.22
20150413,7.95,0.01,85.82
20150414,9.01,9.59,87.9
20150415,9.92,3.14,83.71
20150416,10.14,0.86,85.01
20150417,9.69,7.34,85.19
20150418,9.08,5.82,85.72
20150419,9.06,0.36,81.87
20150420,9.91,0.08,85.27
20150421,8.39,5.16,90.11
20150422,7.03,4.71,87.11
20150423,7.44,5.12,88.06
20150424,6.64,4.05,90.8
20150425,7.34,3.7,89.13
20150426,7.13,0.18,89.19
20150427,7.32,0.09,88.07
20150428,7.92,2.41,88.79
20150429,8.13,1.65,91.65
20150430,8.11,0.57,88.74
20150501,8.86,0.47,91.5
20150502,10.25,2.96,90.1
20150503,12.1,5.42,84.1
20150504,11.35,5.86,83.04
20150505,11.32,0.26,83.86
20150506,9.18,3.63,86.29
20150507,8.63,3.81,82.38
20150508,10.83,1.15,79.3
20150509,11.95,0.16,84.55
20150510,12.11,7.19,86.86
20150511,10.29,10.59,88.55
20150512,10.66,2.1,88.86
20150513,11.65,3.01,85.09
20150514,13.78,6.24,88.17
20150515,12.81,8.26,91.07
20150516,12.86,7.49,91.29
20150517,11.81,9.98,90.91
20150518,11.0,7.88,92.02
20150519,12.08,0.08,91.1
20150520,13.11,0.08,90.37
20150521,13.83,3.56,86.68
20150522,13.4,8.92,84.7
20150523,12.75,25.66,88.5
20150524,13.07,6.6,88.89
20150525,12.24,7.0,91.25
20150526,11.82,4.36,91.14
20150527,12.05,7.76,92.17
20150528,12.13,15.89,92.39
20150529,11.83,1.98,87.0
20150530,11.06,7.71,89.48
20150531,12.98,11.44,92.26
20150601,15.5,7.25,84.35
20150602,13.58,8.34,92.93
20150603,14.07,4.46,91.79
