,T2M,Rain,Humidity
20150101,19.91,0.0,64.84
20150102,21.21,0.0,64.65
20150103,21.67,0.24,70.87
20150104,19.79,6.47,85.56
20150105,18.7,0.55,85.26
20150106,17.64,0.01,80.81
20150107,18.05,0.0,75.32
20150108,18.78,0.12,74.3
20150109,18.66,0.47,79.04
20150110,16.29,0.1,84.22
20150111,16.62,0.0,77.66
20150112,15.86,0.0,79.15
20150113,16.33,0.0,74.36
20150114,17.03,0.0,69.0
20150115,17.63,0.0,69.86
20150116,18.75,0.0,68.11
20150117,19.28,0.33,67.24
20150118,18.2,0.4,74.79
20150119,17.43,0.08,76.83
20150120,18.05,0.0,69.11
20150121,18.22,0.0,70.46
20150122,18.56,0.0,67.73
20150123,18.81,0.26,72.25
20150124,18.67,0.03,72.61
20150125,18.58,0.0,74.31
20150126,19.12,0.0,71.75
20150127,19.08,0.0,69.0
20150128,19.19,0.0,74.16
20150129,19.29,0.33,73.07
20150130,17.85,0.85,78.14
20150131,16.96,0.16,72.38
20150201,17.61,0.01,63.18
20150202,18.27,0.0,61.57
20150203,19.24,0.0,59.74
20150204,19.63,0.0,65.39
20150205,19.36,0.0,65.6
20150206,18.97,0.0,64.97
20150207,18.59,0.0,64.63
20150208,18.67,0.0,66.65
20150209,19.63,0.0,65.61
20150210,19.66,0.03,69.92
20150211,19.93,0.02,67.42
20150212,19.46,2.97,67.16
20150213,19.52,3.07,64.4
20150214,18.86,1.76,68.52
20150215,19.23,0.0,68.31
20150216,19.47,0.0,68.63
20150217,20.77,0.0,61.48
20150218,21.65,0.56,61.96
20150219,19.81,0.7,68.72
20150220,18.58,0.81,72.83
20150221,20.77,1.46,70.91
20150222,20.04,1.8,77.24
20150223,21.39,0.0,72.25
20150224,22.93,0.0,68.24
20150225,22.85,4.03,70.54
20150226,22.97,8.9,75.21
20150227,23.82,3.48,68.82
20150228,24.5,0.02,66.24
20150301,24.48,0.0,66.09
20150302,24.2,0.24,70.33
20150303,23.51,3.18,66.64
20150304,22.96,3.46,61.42
20150305,21.26,3.0,65.88
20150306,20.22,3.95,60.74
20150307,20.41,1.66,65.37
20150308,22.03,0.0,59.62
20150309,23.45,0.0,57.23
20150310,23.61,0.04,57.43
20150311,23.56,0.11,50.99
20150312,24.14,0.0,50.94
20150313,24.03,0.0,54.38
20150314,23.69,0.04,53.42
20150315,24.74,0.19,59.25
20150316,25.02,0.0,56.84
20150317,25.02,0.02,58.4
20150318,25.04,0.67,57.72
20150319,24.66,1.04,53.23
20150320,24.54,0.02,48.33
20150321,25.79,0.0,47.56
20150322,26.63,0.0,48.62
20150323,27.5,0.0,51.18
20150324,22.58,0.0,70.09
20150325,25.11,0.28,63.68
20150326,25.82,0.25,65.17
20150327,24.94,3.44,70.62
20150328,24.28,3.12,76.27
20150329,26.17,0.33,62.66
20150330,27.22,4.97,64.56
20150331,25.79,4.8,69.48
20150401,25.95,11.73,64.51
20150402,24.69,24.89,70.5
20150403,23.39,9.89,74.08
20150404,25.29,26.78,75.45
20150405,24.13,10.45,78.02
20150406,24.83,3.73,71.66
