,T2M,Rain,Humidity
20150101,19.63,0.59,58.48
20150102,19.38,6.86,85.85
20150103,18.52,6.7,91.46
20150104,19.53,1.94,79.56
20150105,16.23,0.0,61.4
20150106,13.54,0.0,54.4
20150107,14.4,0.0,56.31
20150108,14.74,0.0,58.53
20150109,13.99,0.0,58.88
20150110,13.19,0.0,50.66
20150111,12.7,0.0,49.71
20150112,12.89,0.0,49.96
20150113,13.06,0.0,52.43
20150114,15.29,0.0,46.58
20150115,15.76,0.0,47.46
20150116,14.77,0.0,54.49
20150117,13.8,0.0,53.57
20150118,13.83,0.0,57.86
20150119,13.42,0.0,52.42
20150120,13.05,0.0,48.33
20150121,13.56,0.0,47.28
20150122,16.35,0.0,42.1
20150123,17.57,0.0,52.78
20150124,18.42,0.0,66.98
20150125,17.22,0.0,56.93
20150126,18.16,0.0,56.31
20150127,19.03,0.42,68.54
20150128,19.18,1.92,69.43
20150129,18.5,3.9,66.95
20150130,16.21,0.21,52.22
20150131,14.35,0.0,41.24
20150201,14.69,0.0,42.17
20150202,16.88,0.0,41.24
20150203,18.97,0.0,39.48
20150204,20.07,0.0,45.09
20150205,17.74,0.0,44.09
20150206,15.74,0.0,39.36
20150207,16.84,0.0,37.03
20150208,20.0,0.01,45.96
20150209,19.21,0.08,62.61
20150210,19.46,0.0,47.93
20150211,17.63,0.0,40.78
20150212,19.02,0.01,42.98
20150213,19.32,0.0,48.04
20150214,19.23,0.0,38.56
20150215,20.43,0.0,39.02
20150216,20.75,0.56,51.46
20150217,22.44,0.0,51.39
20150218,23.36,0.56,53.39
20150219,22.64,0.56,55.67
20150220,22.69,0.0,41.54
20150221,23.96,0.0,37.26
20150222,23.7,1.47,41.55
20150223,24.85,0.0,33.93
20150224,24.47,0.0,37.54
20150225,24.74,0.0,37.78
20150226,26.36,0.0,34.68
20150227,24.5,0.2,45.61
20150228,26.38,0.03,41.2
20150301,27.46,0.19,40.78
20150302,24.45,0.28,48.78
20150303,22.46,2.97,60.58
20150304,22.66,0.42,46.34
20150305,20.67,0.0,35.86
20150306,20.57,0.0,33.2
20150307,21.94,0.0,36.86
20150308,23.44,0.0,35.75
20150309,25.38,0.0,36.74
20150310,25.63,0.0,38.33
20150311,23.29,0.0,23.11
20150312,23.37,0.0,23.29
20150313,25.62,0.0,31.77
20150314,27.63,0.0,38.2
20150315,26.72,0.0,41.57
20150316,25.28,2.33,47.84
20150317,26.79,0.19,42.18
20150318,26.57,0.0,36.61
20150319,24.22,0.0,30.97
20150320,24.51,0.0,28.83
20150321,25.23,0.0,25.99
20150322,26.87,0.0,28.6
20150323,28.18,0.0,29.84
20150324,30.01,0.13,25.69
20150325,30.61,0.0,25.81
20150326,30.8,0.16,40.5
20150327,29.4,4.24,48.61
20150328,29.39,1.49,46.23
20150329,29.83,0.0,41.83
20150330,27.75,7.41,55.16
20150331,25.76,6.14,60.92
20150401,28.84,0.43,43.12
20150402,29.49,0.0,38.55
20150403,30.04,0.0,38.76
20150404,31.68,0.5,36.84
20150405,29.62,0.87,45.7
20150406,30.17,0.57,40.28
20150407,30.27,0.41,44.09
20150408,29.54,4.2,48.48
20150409,28.67,0.0,31.64
20150410,29.14,0.0,27.02
20150411,31.58,0.0,23.35
20150412,30.55,0.07,33.96
20150413,26.79,17.94,56.77
20150414,27.3,0.45,59.39
20150415,28.26,0.39,53.7
20150416,29.16,0.19,51.0
20150417,28.44,7.66,51.08
20150418,30.58,0.02,41.65
20150419,31.85,1.99,32.48
20150420,31.85,0.0,47.4
20150421,33.1,0.0,36.74
20150422,32.66,0.76,32.83
20150423,32.55,0.32,29.8
20150424,31.26,1.41,46.18
20150425,27.67,1.27,61.67
20150426,26.62,0.07,58.17
20150427,28.62,2.27,53.22
20150428,29.94,2.51,54.64
20150429,30.04,5.75,56.85
20150430,30.46,0.04,48.72
20150501,32.23,0.01,39.2
20150502,32.67,0.32,46.33
20150503,32.95,0.63,41.52
20150504,33.45,1.43,32.93
20150505,34.32,0.0,26.11
20150506,33.61,0.0,25.44
20150507,34.16,0.01,31.22
20150508,33.04,0.16,40.75
20150509,33.61,0.19,42.57
20150510,34.18,0.09,41.33
20150511,32.6,8.73,52.53
20150512,33.48,1.31,45.97
20150513,33.48,1.83,42.99
20150514,34.78,1.08,36.0
20150515,34.66,0.62,36.55
20150516,32.41,7.16,41.71
20150517,32.24,0.39,45.81
20150518,33.79,1.06,45.98
20150519,33.44,2.27,51.62
20150520,34.84,0.55,43.39
20150521,36.03,0.0,29.34
20150522,36.43,0.0,20.89
20150523,37.03,0.01,19.07
20150524,37.11,0.14,21.22
20150525,36.41,0.33,39.14
20150526,36.81,0.4,38.13
20150527,34.42,8.02,46.78
20150528,35.59,0.68,43.31
20150529,36.29,0.13,42.0
20150530,36.22,1.43,42.65
20150531,36.14,0.41,44.4
20150601,36.57,2.94,39.86
20150602,35.62,1.26,35.18
20150603,36.45,0.16,36.1
20150604,36.39,0.33,39.16
20150605,35.59,1.82,42.85
20150606,36.35,0.07,38.76
20150607,37.62,0.15,34.47
20150608,38.1,0.01,32.71
20150609,39.13,0.0,27.33
20150610,39.14,0.05,27.78
20150611,37.54,1.91,37.08
20150612,36.8,1.91,40.73
20150613,33.23,1.59,48.52
20150614,31.06,1.49,56.87
20150615,33.27,1.29,55.56
20150616,33.85,0.63,52.24
20150617,34.16,0.08,49.92
20150618,33.58,0.23,52.51
20150619,34.89,0.75,47.92
20150620,34.61,2.13,50.32
20150621,33.35,2.09,56.8
20150622,30.84,16.49,70.26
20150623,30.61,14.3,73.51
20150624,31.85,12.03,68.19
20150625,31.84,6.2,64.27
20150626,31.22,18.66,68.32
20150627,29.36,30.98,71.53
20150628,29.08,10.51,71.78
20150629,30.91,0.73,68.2
20150630,32.06,1.84,63.83
20150701,31.36,19.97,69.47
20150702,31.5,2.04,66.23
20150703,32.0,6.01,66.05
20150704,33.19,1.5,60.81
20150705,32.22,15.01,66.64
20150706,29.53,64.77,81.88
20150707,29.59,12.79,79.68
20150708,29.27,17.91,81.24
20150709,28.43,23.66,89.8
20150710,27.95,9.29,88.68
20150711,28.38,3.44,84.67
20150712,29.79,0.23,78.64
20150713,30.07,2.44,80.39
20150714,30.0,0.82,81.17
20150715,28.91,7.31,86.18
20150716,27.7,21.36,88.66
20150717,27.78,13.91,85.74
20150718,28.85,6.15,79.87
20150719,28.49,3.92,82.63
20150720,28.38,4.08,86.37
20150721,28.37,10.88,84.72
20150722,28.49,4.64,85.14
20150723,28.08,16.92,87.84
20150724,27.97,3.67,88.39
20150725,28.34,8.49,84.05
20150726,28.78,4.11,80.92
20150727,27.46,6.59,88.12
20150728,28.08,1.37,85.05
20150729,28.54,0.03,82.89
20150730,28.86,1.63,83.35
20150731,27.98,4.0,85.74
20150801,26.68,13.18,89.79
20150802,27.23,11.26,88.21
20150803,28.1,1.54,84.0
20150804,28.64,0.04,81.6
20150805,29.58,0.02,78.07
20150806,29.17,0.36,80.03
20150807,29.24,0.12,77.72
20150808,28.8,1.31,81.1
20150809,29.46,2.76,80.06
20150810,29.55,4.53,80.86
20150811,29.56,3.88,81.0
20150812,28.86,2.0,83.16
20150813,29.14,0.65,82.51
20150814,29.49,0.51,81.54
20150815,29.21,2.61,83.25
20150816,29.36,4.75,82.69
20150817,29.34,7.61,84.76
20150818,28.41,14.84,88.42
20150819,27.9,52.84,89.7
20150820,28.38,51.97,88.41
20150821,27.85,18.24,88.18
20150822,27.69,1.17,86.27
20150823,28.73,1.53,83.08
20150824,28.63,4.24,85.97
20150825,28.42,0.96,86.72
20150826,29.05,5.6,85.44
20150827,28.8,9.14,87.0
20150828,29.07,1.76,84.51
20150829,28.89,1.33,87.73
20150830,29.06,4.05,86.33
20150831,28.04,12.4,89.21
20150901,28.67,4.96,83.21
20150902,28.46,0.08,80.85
20150903,28.52,1.02,78.2
20150904,28.5,2.7,79.95
20150905,28.4,0.17,81.03
20150906,28.39,0.05,78.96
20150907,28.21,0.03,79.91
20150908,27.86,0.05,80.32
20150909,28.23,0.01,80.02
20150910,29.3,4.64,75.59
20150911,28.66,17.15,82.35
20150912,27.29,4.04,88.19
20150913,28.77,0.94,78.74
20150914,28.92,0.04,80.73
20150915,27.73,7.18,86.5
20150916,27.09,23.76,90.99
20150917,27.66,0.35,88.99
20150918,29.12,0.08,81.58
20150919,27.85,0.56,85.64
20150920,27.48,5.21,89.53
20150921,27.35,22.14,91.83
20150922,27.35,24.44,90.13
20150923,27.4,27.04,88.13
20150924,27.0,0.24,82.88
20150925,26.06,0.0,83.39
20150926,26.55,0.01,77.93
20150927,27.47,0.01,70.15
20150928,27.29,0.0,71.22
20150929,27.56,0.0,70.75
20150930,27.63,0.0,73.75
20151001,28.02,0.0,74.55
20151002,28.21,0.0,78.77
20151003,27.66,0.0,74.74
20151004,27.2,0.0,65.69
20151005,26.71,0.0,64.44
20151006,27.24,0.0,63.93
20151007,27.46,0.01,64.23
20151008,27.09,0.01,69.74
20151009,25.85,0.0,71.76
20151010,26.17,0.0,63.68
20151011,25.58,0.03,69.89
20151012,25.75,0.05,75.3
20151013,26.6,0.51,72.08
20151014,25.06,0.76,84.51
20151015,25.54,0.13,79.46
20151016,26.62,0.06,71.22
20151017,26.53,0.0,65.62
20151018,26.53,0.0,62.61
20151019,26.86,0.0,64.34
20151020,26.96,0.0,64.37
20151021,27.06,0.0,63.64
