,T2M,Rain,Humidity
20150101,21.78,1.83,79.18
20150102,23.25,0.0,72.35
20150103,23.52,0.0,72.32
20150104,22.74,0.01,77.98
20150105,20.57,0.01,76.93
20150106,18.03,0.0,72.36
20150107,17.57,0.0,67.86
20150108,17.5,0.0,61.39
20150109,16.9,0.0,63.12
20150110,17.04,0.0,65.71
20150111,18.71,0.0,59.83
20150112,18.71,0.0,56.76
20150113,19.31,0.0,55.22
20150114,20.49,0.0,59.78
20150115,20.74,0.3,62.79
20150116,21.15,0.82,65.08
20150117,21.55,2.18,64.95
20150118,19.32,0.01,66.79
20150119,17.38,0.0,69.27
20150120,17.95,0.0,68.01
20150121,19.79,0.0,62.87
20150122,20.04,0.0,65.35
20150123,18.92,0.0,66.62
20150124,18.84,0.0,62.07
20150125,18.76,0.0,58.34
20150126,18.72,0.0,50.5
20150127,19.67,0.0,46.66
20150128,20.26,0.0,56.46
20150129,20.97,0.0,60.05
20150130,19.56,0.0,68.21
20150131,17.94,0.0,63.44
20150201,17.05,0.0,48.63
20150202,18.57,0.0,45.22
20150203,20.27,0.0,41.98
20150204,20.63,0.0,45.71
20150205,20.31,0.0,51.17
20150206,20.37,0.0,50.85
20150207,19.21,0.0,49.5
20150208,19.58,0.0,42.77
20150209,20.47,0.0,43.73
20150210,20.51,0.0,53.38
20150211,20.57,0.0,51.54
20150212,19.19,0.0,46.54
20150213,18.93,0.0,50.4
20150214,19.22,0.0,57.66
20150215,20.15,0.04,56.53
20150216,20.87,0.0,55.59
20150217,21.17,0.0,49.71
20150218,21.2,0.0,52.33
20150219,20.78,0.86,63.76
20150220,21.92,0.0,60.1
20150221,22.25,0.03,57.85
20150222,22.67,0.38,56.65
20150223,23.01,0.0,57.06
20150224,23.62,0.0,55.79
20150225,23.33,0.0,55.77
20150226,23.06,0.0,61.49
20150227,23.2,0.0,67.9
20150228,23.79,0.0,65.81
20150301,25.42,0.0,57.06
20150302,25.44,0.0,52.76
20150303,24.81,0.11,59.6
20150304,22.96,7.53,69.14
20150305,23.52,3.37,62.99
20150306,22.63,0.0,45.33
20150307,21.89,0.0,39.69
20150308,22.99,0.0,38.42
20150309,25.02,0.0,36.13
20150310,26.01,0.0,34.24
20150311,25.96,0.0,31.41
20150312,24.77,0.0,27.89
20150313,25.01,0.0,26.2
20150314,25.56,0.0,37.47
20150315,26.65,0.0,45.26
20150316,27.35,0.0,43.05
20150317,26.79,0.0,44.56
20150318,27.04,0.0,45.57
20150319,26.72,0.0,45.16
20150320,25.62,0.0,39.03
20150321,26.36,0.0,29.35
20150322,26.68,0.0,28.9
20150323,26.15,0.0,36.47
20150324,26.47,0.0,45.1
20150325,25.0,7.6,61.83
20150326,25.77,4.55,62.83
20150327,26.94,0.0,55.45
20150328,26.46,0.0,58.57
20150329,26.55,0.05,58.15
20150330,26.44,0.52,60.09
20150331,23.74,11.39,80.58
20150401,25.44,4.2,73.09
20150402,24.49,18.22,78.07
20150403,25.17,24.64,81.51
20150404,25.7,2.67,76.41
20150405,25.39,8.37,77.67
20150406,25.47,19.59,79.83
20150407,26.1,5.81,77.23
20150408,27.15,1.44,68.04
20150409,26.28,0.0,70.13
20150410,26.83,0.03,69.31
20150411,27.1,0.02,65.38
20150412,27.2,0.13,67.43
20150413,27.4,1.93,69.08
20150414,25.9,4.61,75.98
20150415,26.77,0.0,71.43
20150416,27.52,0.0,69.37
20150417,26.86,1.22,67.86
20150418,25.87,13.76,75.36
20150419,26.83,4.26,73.61
20150420,28.29,0.13,67.75
20150421,27.3,1.96,75.15
20150422,26.33,15.27,79.96
20150423,24.02,34.5,91.17
20150424,23.69,11.65,86.27
20150425,23.84,0.22,78.1
20150426,25.58,0.02,64.75
20150427,25.67,0.25,69.81
20150428,25.85,0.13,72.04
20150429,25.82,0.41,73.63
20150430,26.24,11.62,77.04
20150501,26.1,13.35,80.71
20150502,26.15,0.67,81.32
20150503,26.6,0.17,78.16
20150504,27.82,0.0,73.22
20150505,27.47,0.0,73.74
20150506,26.58,0.03,72.31
20150507,25.83,1.31,77.75
20150508,27.34,1.18,70.59
20150509,27.57,1.14,72.03
20150510,27.0,6.27,82.49
20150511,26.61,10.68,85.31
20150512,27.02,3.32,79.03
20150513,27.67,0.87,73.8
20150514,28.23,0.17,76.39
20150515,27.52,2.07,81.28
20150516,27.14,3.23,81.88
20150517,26.86,7.58,85.23
20150518,26.43,3.55,79.66
20150519,28.21,0.13,71.98
20150520,29.2,0.0,71.59
20150521,28.88,0.07,74.04
20150522,28.62,0.6,76.02
20150523,27.22,27.69,84.72
20150524,26.14,23.76,90.66
20150525,27.53,0.1,78.2
20150526,27.88,0.15,74.34
20150527,28.02,0.55,78.82
20150528,27.0,0.49,83.81
20150529,28.23,0.76,77.81
20150530,28.64,0.9,78.78
20150531,28.45,1.67,78.39
20150601,27.47,1.78,83.79
20150602,28.64,0.28,76.6
20150603,29.22,3.36,77.08
20150604,28.81,2.13,78.28
20150605,28.31,6.73,81.45
20150606,28.11,4.07,81.47
20150607,27.55,3.13,84.97
20150608,27.54,4.23,84.88
20150609,27.21,1.75,85.1
20150610,27.4,13.57,84.18
20150611,26.64,26.97,87.34
20150612,25.82,21.91,93.82
20150613,25.99,4.0,89.53
20150614,25.96,13.65,88.81
20150615,26.41,15.76,88.1
20150616,26.86,8.63,85.2
20150617,27.73,1.74,82.45
20150618,27.93,0.8,81.7
20150619,27.73,6.31,84.09
20150620,28.11,4.68,81.2
20150621,27.57,21.24,83.81
20150622,26.56,53.76,88.99
20150623,26.79,105.4,89.56
20150624,27.16,105.98,92.2
20150625,27.27,60.89,92.04
20150626,26.74,77.22,93.24
20150627,25.63,35.6,94.19
20150628,26.23,10.37,87.54
20150629,25.89,10.68,86.98
20150630,26.25,1.41,87.26
20150701,26.42,5.19,87.05
20150702,26.6,10.29,88.82
20150703,27.31,9.83,88.25
20150704,27.69,1.92,86.4
20150705,28.12,1.6,85.36
20150706,27.5,8.68,89.04
20150707,27.9,21.15,85.31
20150708,26.31,63.74,91.73
20150709,25.56,66.44,92.98
20150710,25.27,2.11,88.62
20150711,26.66,9.66,88.12
20150712,27.14,2.05,85.15
20150713,27.77,1.48,84.52
20150714,28.14,4.96,85.82
20150715,27.55,19.2,88.76
20150716,26.81,31.02,91.69
20150717,25.78,51.16,95.48
20150718,26.16,60.45,91.52
20150719,25.65,63.58,93.45
20150720,26.51,9.98,88.83
20150721,26.53,5.94,88.32
20150722,25.2,11.14,91.29
20150723,25.82,42.63,91.11
20150724,24.94,99.13,96.11
20150725,24.34,232.76,94.8
20150726,24.66,81.9,93.67
20150727,25.33,70.37,93.61
20150728,25.34,19.89,91.4
20150729,25.42,13.4,90.24
20150730,25.37,54.43,90.12
20150731,25.59,78.59,95.53
20150801,25.48,26.53,88.33
20150802,25.12,0.09,87.12
20150803,25.83,0.51,85.72
20150804,26.15,1.2,86.83
20150805,26.46,1.03,87.43
20150806,26.98,0.47,86.05
20150807,27.3,3.18,86.46
20150808,27.09,3.98,87.4
20150809,25.58,3.35,89.14
20150810,27.42,6.11,86.66
20150811,27.08,35.48,91.79
20150812,27.4,0.78,87.97
20150813,26.38,3.6,91.46
20150814,26.87,6.68,89.29
20150815,26.15,10.9,92.17
20150816,25.73,39.47,92.19
20150817,25.68,39.13,91.92
20150818,25.9,69.07,90.69
20150819,26.08,85.9,91.37
20150820,26.33,41.47,94.37
20150821,27.32,13.41,87.03
20150822,27.04,9.5,86.38
20150823,26.64,8.36,88.37
20150824,26.85,1.01,86.91
20150825,26.32,3.08,91.58
20150826,26.77,2.2,89.05
20150827,26.01,5.99,91.73
20150828,25.34,23.66,92.53
20150829,25.89,24.13,89.98
20150830,25.76,22.98,92.42
20150831,25.56,103.38,95.11
20150901,25.24,31.1,95.83
20150902,25.39,20.83,92.65
20150903,25.43,18.57,91.65
20150904,26.4,0.72,86.37
20150905,26.44,1.14,88.06
20150906,26.58,0.88,87.24
20150907,25.9,3.32,88.52
20150908,26.75,3.02,87.26
20150909,26.83,6.89,89.71
20150910,27.11,25.33,88.89
20150911,26.88,8.16,91.24
20150912,27.81,19.69,85.82
20150913,25.96,29.11,96.44
20150914,27.25,4.97,87.68
