,T2M,Rain,Humidity
20150101,14.03,0.0,54.56
20150102,14.25,0.0,60.9
20150103,14.58,0.14,67.44
20150104,14.12,2.82,80.72
20150105,13.03,1.38,75.16
20150106,11.45,0.01,63.05
20150107,10.98,0.0,69.83
20150108,11.31,0.23,70.17
20150109,12.21,0.16,66.49
20150110,9.63,0.22,82.57
20150111,10.56,0.02,67.13
20150112,9.7,0.0,69.72
20150113,10.41,0.0,62.88
20150114,10.52,0.0,58.28
20150115,11.05,0.0,66.53
20150116,11.2,0.0,66.1
20150117,10.77,0.14,55.77
20150118,11.8,1.12,58.85
20150119,10.66,0.64,71.5
20150120,10.41,0.0,67.12
20150121,11.26,0.0,62.28
20150122,11.45,0.0,60.78
20150123,11.56,0.08,71.01
20150124,10.86,0.21,84.41
20150125,11.87,0.0,74.21
20150126,12.08,0.0,71.02
20150127,12.46,0.0,68.98
20150128,12.85,0.0,75.27
20150129,13.41,0.25,65.47
20150130,12.2,2.03,77.91
20150131,11.09,1.13,68.39
20150201,10.23,0.02,47.51
20150202,10.65,0.0,45.52
20150203,11.92,0.0,51.66
20150204,12.41,0.0,63.2
20150205,12.43,0.0,71.81
20150206,11.53,0.0,66.14
20150207,11.61,0.0,66.92
20150208,12.03,0.0,65.64
20150209,12.51,0.0,66.58
20150210,12.33,0.0,73.98
20150211,12.81,0.0,67.58
20150212,12.42,3.14,65.77
20150213,11.07,10.69,67.63
20150214,10.79,0.2,64.7
20150215,11.54,0.0,66.93
20150216,12.91,0.0,65.74
20150217,12.72,0.0,61.51
20150218,13.38,0.11,59.88
20150219,12.6,0.17,67.08
20150220,13.01,1.52,72.06
20150221,13.38,0.23,70.44
20150222,12.18,1.01,78.33
20150223,14.22,0.0,68.19
20150224,14.81,0.0,72.21
20150225,15.2,0.91,78.4
20150226,14.59,15.38,85.0
20150227,15.58,7.34,83.92
20150228,16.68,0.94,73.98
20150301,17.37,0.0,70.32
20150302,17.16,0.33,71.86
20150303,16.39,4.63,75.19
20150304,15.68,5.2,74.51
20150305,13.39,5.51,73.97
20150306,13.23,0.63,66.32
20150307,13.39,0.54,61.56
20150308,14.1,0.0,53.29
20150309,16.32,0.0,53.79
20150310,17.3,2.24,58.68
20150311,16.39,0.18,58.3
20150312,16.61,0.0,54.82
20150313,17.15,0.0,58.92
20150314,17.82,0.0,56.38
20150315,16.75,0.0,68.13
20150316,17.55,0.02,64.17
20150317,17.67,0.3,65.33
20150318,17.77,1.96,59.67
20150319,17.25,4.47,57.58
20150320,16.9,0.4,49.13
20150321,17.83,0.0,46.76
20150322,19.22,0.0,50.86
20150323,20.17,0.0,51.42
20150324,16.45,0.1,63.54
20150325,16.0,0.05,65.34
20150326,18.82,0.04,64.65
20150327,17.71,4.62,71.67
20150328,17.02,8.1,72.23
20150329,17.77,0.41,70.89
20150330,18.41,10.37,71.47
20150331,19.02,6.3,67.53
20150401,17.49,22.48,77.31
20150402,15.85,12.72,80.18
20150403,13.88,13.04,81.09
20150404,16.37,21.97,83.1
20150405,17.28,8.16,77.36
20150406,17.17,2.97,76.81
20150407,18.02,0.31,66.88
20150408,16.95,6.91,71.38
20150409,17.35,25.95,79.23
20150410,17.71,6.02,68.05
20150411,15.46,0.74,74.35
20150412,17.19,1.08,69.12
20150413,17.81,0.02,68.84
20150414,18.73,0.25,75.79
20150415,19.68,0.01,74.33
20150416,19.9,5.73,65.79
20150417,19.36,8.83,70.23
20150418,17.63,31.28,81.05
20150419,16.8,11.09,72.97
20150420,18.45,0.0,64.99
20150421,18.52,2.27,74.9
20150422,15.51,34.71,85.85
20150423,17.3,17.45,81.47
20150424,18.13,1.19,68.43
20150425,18.41,2.35,72.32
20150426,17.29,1.12,74.06
20150427,17.43,0.18,77.36
20150428,19.41,0.01,69.57
20150429,18.2,3.53,79.4
20150430,18.71,1.51,60.27
20150501,19.74,1.08,62.86
20150502,18.75,6.14,76.13
20150503,19.08,30.12,80.0
20150504,20.81,11.58,62.22
20150505,20.66,0.08,63.63
20150506,19.87,0.06,77.9
20150507,19.26,0.09,71.41
20150508,20.54,9.54,68.64
20150509,18.43,17.04,79.53
20150510,20.97,0.18,68.28
20150511,21.08,0.13,74.61
20150512,19.54,1.72,76.02
20150513,19.56,10.22,80.96
20150514,21.9,9.56,71.92
20150515,22.4,19.78,67.64
20150516,20.48,16.65,83.69
20150517,21.62,20.87,72.8
20150518,21.51,4.12,74.45
20150519,22.08,0.12,75.01
20150520,22.32,0.37,75.21
20150521,22.65,6.26,77.1
20150522,21.91,25.8,71.68
20150523,22.14,33.35,60.17
20150524,21.14,20.56,71.47
20150525,21.71,7.18,71.48
20150526,22.8,3.52,64.34
20150527,21.9,6.17,66.2
20150528,20.83,25.84,76.28
20150529,21.54,9.71,66.8
20150530,22.31,6.31,76.33
20150531,21.86,33.23,71.79
20150601,22.58,43.93,72.14
20150602,21.75,22.93,73.15
20150603,22.61,0.13,71.59
20150604,23.45,5.57,70.28
20150605,23.18,11.46,73.89
20150606,22.9,32.18,74.63
20150607,21.24,26.3,81.28
20150608,20.24,54.61,88.35
20150609,20.57,63.59,90.07
20150610,22.17,6.91,71.61
20150611,22.04,1.36,75.38
20150612,20.04,18.54,89.45
20150613,22.25,17.09,80.99
20150614,21.98,14.06,83.8
20150615,21.5,6.74,84.44
20150616,21.42,14.55,88.51
20150617,22.38,5.38,80.93
20150618,21.93,10.02,85.33
20150619,22.29,8.64,84.09
20150620,22.47,13.06,85.54
20150621,22.75,12.99,84.68
20150622,22.28,14.56,89.15
20150623,22.95,10.26,88.96
20150624,23.46,19.18,84.95
20150625,24.62,1.27,82.76
20150626,25.48,0.04,78.76
20150627,23.85,9.96,85.94
20150628,23.79,4.81,83.43
20150629,22.7,13.5,90.64
20150630,22.07,26.61,91.69
20150701,23.01,37.01,83.13
20150702,22.09,5.06,87.57
20150703,23.26,21.26,77.69
20150704,22.19,35.65,87.09
20150705,23.09,2.73,84.44
20150706,23.71,0.07,81.89
20150707,24.49,0.55,76.79
20150708,24.37,0.11,72.17
20150709,23.68,2.02,82.27
20150710,22.87,7.39,84.96
20150711,23.71,5.45,80.19
20150712,25.1,13.03,77.74
20150713,24.34,5.68,84.75
20150714,23.67,16.55,85.93
20150715,23.12,26.22,83.89
20150716,22.2,1.95,83.16
20150717,23.2,0.17,75.45
20150718,22.91,0.1,81.73
20150719,22.7,2.62,83.19
20150720,21.88,3.94,85.82
20150721,22.33,21.81,85.33
20150722,21.43,43.04,89.82
20150723,20.8,40.31,94.55
20150724,21.45,15.62,89.07
20150725,23.28,0.3,78.47
20150726,23.93,0.03,79.36
20150727,22.47,0.13,84.71
20150728,22.99,1.24,81.61
20150729,22.82,1.95,82.34
20150730,22.96,0.64,77.43
20150731,22.57,1.88,81.28
20150801,22.58,4.25,81.16
20150802,23.05,1.66,82.08
20150803,22.37,12.38,88.03
20150804,22.38,22.47,85.74
20150805,22.65,61.59,84.03
20150806,23.3,8.11,79.29
20150807,22.13,8.01,83.31
20150808,23.17,3.94,79.62
20150809,23.59,0.76,78.69
20150810,23.12,24.81,83.88
20150811,24.22,3.02,78.35
20150812,22.24,4.4,93.5
20150813,23.7,11.56,82.03
20150814,23.52,26.93,83.75
20150815,23.24,19.57,86.8
20150816,21.58,16.59,92.46
20150817,21.29,18.95,91.39
20150818,21.19,19.8,89.07
20150819,21.48,23.57,90.94
20150820,21.95,71.93,90.14
20150821,21.83,35.04,87.17
20150822,22.16,11.35,84.09
20150823,22.59,17.37,85.03
20150824,21.83,3.92,87.14
20150825,22.52,3.56,86.11
20150826,23.37,15.11,81.97
20150827,22.81,42.75,86.8
20150828,21.83,36.23,88.09
20150829,19.97,75.39,93.07
20150830,20.64,152.89,89.98
20150831,21.04,11.96,88.69
20150901,21.39,24.17,88.88
20150902,21.78,11.0,84.59
20150903,20.85,3.62,89.9
20150904,22.14,12.07,86.3
20150905,21.83,41.96,89.82
20150906,21.51,5.06,84.9
20150907,22.33,4.71,79.38
20150908,21.8,0.01,80.28
20150909,22.85,0.01,76.3
20150910,22.28,4.87,85.68
20150911,22.45,5.9,84.2
20150912,21.68,3.09,86.27
20150913,21.96,2.41,84.75
20150914,21.52,9.81,88.53
20150915,21.39,1.48,85.2
20150916,21.39,5.3,86.44
20150917,22.36,12.01,80.14
20150918,23.17,2.79,79.4
20150919,22.64,18.9,83.26
20150920,20.99,13.87,87.18
20150921,20.68,7.64,90.15
20150922,21.52,30.86,82.82
20150923,21.03,3.66,86.49
20150924,20.04,14.9,92.01
20150925,19.48,18.12,91.9
20150926,21.54,0.1,75.47
20150927,22.01,0.0,72.9
20150928,22.03,0.0,76.45
20150929,22.13,0.0,73.8
20150930,21.42,0.0,71.19
20151001,22.61,0.01,68.17
20151002,21.55,0.79,77.14
20151003,20.64,0.66,77.65
20151004,21.2,0.0,72.59
20151005,21.06,0.09,76.21
20151006,21.67,0.09,78.95
20151007,21.89,0.59,78.86
20151008,20.43,4.68,84.69
20151009,18.55,21.57,89.2
20151010,18.9,36.34,86.43
20151011,18.46,4.63,79.86
20151012,18.17,0.33,76.54
20151013,18.76,0.01,78.55
20151014,17.84,3.61,85.06
20151015,17.79,18.91,78.45
20151016,18.91,0.39,70.87
20151017,18.36,0.05,73.15
20151018,18.34,0.0,74.92
20151019,18.88,0.0,74.48
20151020,18.95,0.0,74.0
20151021,18.36,0.0,69.94
20151022,17.8,0.0,76.28
20151023,18.05,1.43,80.5
20151024,17.35,0.32,79.96
20151025,17.1,0.0,72.54
20151026,17.55,0.0,73.1
20151027,16.8,0.0,77.07
20151028,16.49,0.0,74.73
20151029,16.07,0.0,76.57
20151030,16.52,0.0,65.03
20151031,16.51,0.13,77.93
20151101,15.94,0.1,80.07
20151102,16.32,0.02,84.33
20151103,17.65,6.5,77.76
20151104,15.39,10.17,86.4
20151105,15.55,0.18,73.22
20151106,14.29,0.26,75.77
20151107,14.34,0.01,75.56
20151108,14.85,0.0,68.45
20151109,14.03,0.0,69.37
20151110,13.88,0.0,69.05
20151111,14.5,0.0,73.02
20151112,15.45,0.0,65.28
20151113,15.0,0.0,74.6
20151114,14.96,0.0,73.56
20151115,15.17,0.0,78.44
20151116,13.9,2.98,88.22
20151117,14.6,5.48,87.96
20151118,14.25,0.0,68.72
20151119,14.61,0.0,66.42
20151120,14.99,0.0,67.41
20151121,15.54,0.0,53.07
20151122,14.99,0.0,56.43
20151123,15.26,0.0,60.01
20151124,14.43,0.0,64.2
20151125,15.01,0.0,66.73
20151126,14.57,0.0,75.56
20151127,14.2,0.0,84.32
20151128,13.48,0.0,82.75
20151129,14.5,0.0,72.86
20151130,14.47,0.0,75.53
20151201,14.25,0.0,77.31
20151202,14.08,0.0,78.29
20151203,13.87,0.97,81.77
20151204,10.4,2.07,88.72
20151205,11.65,0.0,72.16
20151206,12.08,0.0,71.59
20151207,12.78,0.0,66.82
20151208,11.96,0.09,77.27
20151209,11.75,0.01,77.77
20151210,12.21,0.0,75.15
20151211,10.5,0.44,89.0
20151212,10.52,2.99,89.95
20151213,10.76,3.72,92.67
20151214,10.27,4.04,84.76
20151215,9.51,0.26,78.65
20151216,10.23,0.0,69.28
20151217,9.99,0.04,68.89
20151218,9.68,0.17,80.82
20151219,9.04,0.2,79.55
20151220,8.78,0.04,67.78
20151221,8.38,0.07,69.93
20151222,8.4,0.0,70.0
20151223,9.36,0.0,68.49
20151224,9.26,0.0,57.7
20151225,8.73,0.01,50.67
20151226,9.81,0.0,47.19
20151227,10.61,0.0,53.91
20151228,11.61,0.0,66.04
20151229,11.68,0.0,78.5
20151230,11.22,0.0,81.26
20151231,11.23,0.32,78.68
20160101,11.89,0.36,71.17
20160102,11.16,0.0,67.25
20160103,11.06,0.0,62.97
20160104,10.88,0.0,65.91
20160105,10.08,0.0,69.03
20160106,10.22,0.0,63.05
20160107,10.9,0.0,61.09
20160108,9.88,6.17,80.35
20160109,9.65,5.22,82.88
20160110,8.85,1.25,82.27
20160111,9.95,0.0,68.79
20160112,9.87,0.0,65.84
20160113,10.27,0.0,63.54
20160114,9.43,0.0,74.33
20160115,9.81,0.4,66.66
20160116,8.83,0.67,81.84
20160117,9.73,0.0,63.1
20160118,9.69,0.0,54.95
20160119,9.58,0.0,59.73
20160120,9.68,0.56,79.94
20160121,10.95,0.66,74.21
20160122,9.9,0.69,65.29
20160123,9.17,2.87,77.74
20160124,9.77,0.0,68.19
20160125,8.71,0.0,75.34
20160126,8.87,0.04,81.72
20160127,8.83,0.18,80.58
20160128,8.24,0.02,77.6
20160129,9.06,0.0,72.42
20160130,10.28,0.0,70.17
20160131,10.6,0.0,75.52
20160201,10.43,0.06,82.7
20160202,11.4,0.01,77.1
20160203,10.76,0.01,84.61
20160204,11.47,0.0,79.28
20160205,12.34,0.0,75.25
20160206,13.16,0.0,74.15
20160207,12.11,0.0,82.78
20160208,12.79,3.59,80.65
20160209,11.21,5.71,82.37
20160210,9.6,5.28,90.19
20160211,11.13,4.75,79.14
20160212,11.15,2.38,82.21
20160213,11.37,0.0,77.49
20160214,11.5,0.0,72.2
20160215,11.84,0.0,73.79
20160216,12.64,0.0,74.87
20160217,13.58,0.0,75.25
20160218,13.94,0.0,77.54
20160219,15.41,0.0,77.47
20160220,14.92,1.58,86.21
20160221,14.78,19.25,90.63
20160222,16.05,13.7,79.63
20160223,14.73,2.55,67.72
20160224,14.2,10.73,71.87
20160225,13.8,8.04,73.9
20160226,13.03,0.0,59.05
20160227,14.21,0.0,62.65
20160228,13.68,0.0,65.09
20160229,14.03,0.0,66.81
20160301,14.14,0.27,72.92
